Date,CAPUTLG2212S
1967-01-01,89.34
1967-02-01,88.99
1967-03-01,88.55
1967-04-01,88.68
1967-05-01,88.77
1967-06-01,88.18
1967-07-01,88.40
1967-08-01,88.86
1967-09-01,89.33
1967-10-01,90.02
1967-11-01,90.22
1967-12-01,91.00
1968-01-01,90.84
1968-02-01,88.98
1968-03-01,89.58
1968-04-01,88.72
1968-05-01,89.82
1968-06-01,90.00
1968-07-01,89.63
1968-08-01,89.51
1968-09-01,89.07
1968-10-01,89.12
1968-11-01,89.55
1968-12-01,90.14
1969-01-01,90.71
1969-02-01,90.72
1969-03-01,90.60
1969-04-01,90.17
1969-05-01,89.84
1969-06-01,90.05
1969-07-01,89.96
1969-08-01,89.91
1969-09-01,90.33
1969-10-01,90.86
1969-11-01,91.00
1969-12-01,91.14
1970-01-01,90.10
1970-02-01,89.90
1970-03-01,91.00
1970-04-01,90.65
1970-05-01,90.30
1970-06-01,90.09
1970-07-01,90.44
1970-08-01,90.19
1970-09-01,90.02
1970-10-01,89.25
1970-11-01,88.48
1970-12-01,88.43
1971-01-01,89.61
1971-02-01,90.17
1971-03-01,90.10
1971-04-01,90.56
1971-05-01,90.54
1971-06-01,90.15
1971-07-01,89.72
1971-08-01,89.60
1971-09-01,89.15
1971-10-01,88.24
1971-11-01,88.38
1971-12-01,88.14
1972-01-01,89.09
1972-02-01,97.28
1972-03-01,95.61
1972-04-01,93.52
1972-05-01,91.85
1972-06-01,91.91
1972-07-01,91.55
1972-08-01,92.59
1972-09-01,90.94
1972-10-01,91.32
1972-11-01,94.49
1972-12-01,94.52
1973-01-01,91.42
1973-02-01,91.83
1973-03-01,90.23
1973-04-01,91.27
1973-05-01,92.11
1973-06-01,90.91
1973-07-01,86.46
1973-08-01,88.74
1973-09-01,92.24
1973-10-01,88.82
1973-11-01,88.64
1973-12-01,83.11
1974-01-01,87.97
1974-02-01,83.63
1974-03-01,87.69
1974-04-01,89.59
1974-05-01,88.24
1974-06-01,90.55
1974-07-01,91.58
1974-08-01,88.61
1974-09-01,85.91
1974-10-01,88.94
1974-11-01,82.82
1974-12-01,81.94
1975-01-01,79.77
1975-02-01,81.05
1975-03-01,84.48
1975-04-01,91.21
1975-05-01,84.89
1975-06-01,79.90
1975-07-01,84.00
1975-08-01,83.43
1975-09-01,83.51
1975-10-01,82.70
1975-11-01,78.79
1975-12-01,80.08
1976-01-01,82.85
1976-02-01,82.37
1976-03-01,79.85
1976-04-01,79.41
1976-05-01,80.98
1976-06-01,81.85
1976-07-01,82.82
1976-08-01,83.32
1976-09-01,84.49
1976-10-01,84.60
1976-11-01,89.26
1976-12-01,87.71
1977-01-01,84.10
1977-02-01,78.46
1977-03-01,75.36
1977-04-01,78.21
1977-05-01,78.93
1977-06-01,82.48
1977-07-01,84.16
1977-08-01,82.78
1977-09-01,83.77
1977-10-01,84.48
1977-11-01,82.94
1977-12-01,85.00
1978-01-01,82.45
1978-02-01,87.04
1978-03-01,86.23
1978-04-01,84.52
1978-05-01,84.89
1978-06-01,83.11
1978-07-01,81.12
1978-08-01,84.49
1978-09-01,82.60
1978-10-01,81.25
1978-11-01,81.67
1978-12-01,81.98
1979-01-01,83.45
1979-02-01,88.78
1979-03-01,89.18
1979-04-01,93.50
1979-05-01,88.45
1979-06-01,88.55
1979-07-01,84.40
1979-08-01,84.83
1979-09-01,83.64
1979-10-01,83.93
1979-11-01,84.73
1979-12-01,82.63
1980-01-01,82.52
1980-02-01,85.62
1980-03-01,85.98
1980-04-01,81.10
1980-05-01,81.21
1980-06-01,82.51
1980-07-01,85.15
1980-08-01,83.01
1980-09-01,85.34
1980-10-01,87.17
1980-11-01,90.38
1980-12-01,89.02
1981-01-01,82.29
1981-02-01,75.81
1981-03-01,81.33
1981-04-01,79.29
1981-05-01,84.10
1981-06-01,84.95
1981-07-01,85.54
1981-08-01,84.88
1981-09-01,84.15
1981-10-01,86.59
1981-11-01,83.32
1981-12-01,86.58
1982-01-01,84.95
1982-02-01,80.42
1982-03-01,80.13
1982-04-01,79.01
1982-05-01,72.86
1982-06-01,76.60
1982-07-01,78.69
1982-08-01,78.20
1982-09-01,79.71
1982-10-01,79.29
1982-11-01,80.62
1982-12-01,74.02
1983-01-01,76.97
1983-02-01,65.79
1983-03-01,73.33
1983-04-01,73.34
1983-05-01,72.50
1983-06-01,69.72
1983-07-01,71.29
1983-08-01,74.23
1983-09-01,74.19
1983-10-01,75.32
1983-11-01,77.47
1983-12-01,86.51
1984-01-01,82.58
1984-02-01,79.93
1984-03-01,80.87
1984-04-01,84.22
1984-05-01,83.68
1984-06-01,81.26
1984-07-01,77.74
1984-08-01,77.15
1984-09-01,76.24
1984-10-01,73.60
1984-11-01,74.44
1984-12-01,73.32
1985-01-01,73.18
1985-02-01,83.27
1985-03-01,74.67
1985-04-01,74.79
1985-05-01,71.31
1985-06-01,74.08
1985-07-01,76.02
1985-08-01,75.11
1985-09-01,74.46
1985-10-01,72.81
1985-11-01,70.81
1985-12-01,80.02
1986-01-01,74.05
1986-02-01,73.18
1986-03-01,71.13
1986-04-01,68.51
1986-05-01,70.91
1986-06-01,71.65
1986-07-01,70.95
1986-08-01,69.35
1986-09-01,69.98
1986-10-01,67.38
1986-11-01,69.56
1986-12-01,72.22
1987-01-01,71.42
1987-02-01,72.41
1987-03-01,72.92
1987-04-01,73.43
1987-05-01,69.75
1987-06-01,71.64
1987-07-01,72.62
1987-08-01,73.33
1987-09-01,73.00
1987-10-01,77.45
1987-11-01,74.20
1987-12-01,74.20
1988-01-01,77.01
1988-02-01,78.20
1988-03-01,77.02
1988-04-01,74.04
1988-05-01,77.62
1988-06-01,75.72
1988-07-01,75.02
1988-08-01,76.56
1988-09-01,73.45
1988-10-01,76.60
1988-11-01,75.35
1988-12-01,73.99
1989-01-01,69.66
1989-02-01,76.38
1989-03-01,80.35
1989-04-01,77.24
1989-05-01,77.31
1989-06-01,75.89
1989-07-01,75.82
1989-08-01,75.31
1989-09-01,76.54
1989-10-01,76.23
1989-11-01,76.42
1989-12-01,86.34
1990-01-01,72.12
1990-02-01,67.36
1990-03-01,70.55
1990-04-01,74.32
1990-05-01,75.21
1990-06-01,77.39
1990-07-01,75.83
1990-08-01,76.51
1990-09-01,76.53
1990-10-01,74.09
1990-11-01,72.06
1990-12-01,74.09
1991-01-01,78.16
1991-02-01,71.01
1991-03-01,73.63
1991-04-01,71.49
1991-05-01,72.71
1991-06-01,73.37
1991-07-01,77.58
1991-08-01,76.08
1991-09-01,77.91
1991-10-01,77.79
1991-11-01,82.41
1991-12-01,76.67
1992-01-01,74.86
1992-02-01,74.49
1992-03-01,75.26
1992-04-01,78.79
1992-05-01,77.95
1992-06-01,77.63
1992-07-01,77.99
1992-08-01,77.69
1992-09-01,77.35
1992-10-01,77.76
1992-11-01,78.74
1992-12-01,81.17
1993-01-01,76.64
