Date,CAPUTLG325S
1948-01-01,84.97
1948-02-01,84.05
1948-03-01,84.04
1948-04-01,82.61
1948-05-01,82.90
1948-06-01,83.74
1948-07-01,82.91
1948-08-01,81.83
1948-09-01,81.30
1948-10-01,80.25
1948-11-01,79.22
1948-12-01,77.54
1949-01-01,76.67
1949-02-01,76.07
1949-03-01,73.54
1949-04-01,72.06
1949-05-01,71.11
1949-06-01,70.67
1949-07-01,69.74
1949-08-01,71.81
1949-09-01,73.36
1949-10-01,74.64
1949-11-01,75.17
1949-12-01,75.89
1950-01-01,77.08
1950-02-01,78.50
1950-03-01,80.08
1950-04-01,81.87
1950-05-01,83.64
1950-06-01,84.46
1950-07-01,86.18
1950-08-01,88.11
1950-09-01,88.65
1950-10-01,89.18
1950-11-01,89.25
1950-12-01,89.94
1951-01-01,88.85
1951-02-01,89.98
1951-03-01,90.60
1951-04-01,89.70
1951-05-01,89.68
1951-06-01,90.08
1951-07-01,89.41
1951-08-01,87.91
1951-09-01,86.02
1951-10-01,85.39
1951-11-01,85.61
1951-12-01,85.40
1952-01-01,86.41
1952-02-01,85.39
1952-03-01,84.37
1952-04-01,83.97
1952-05-01,83.17
1952-06-01,82.98
1952-07-01,84.15
1952-08-01,83.95
1952-09-01,84.52
1952-10-01,85.66
1952-11-01,85.08
1952-12-01,84.86
1953-01-01,84.46
1953-02-01,85.18
1953-03-01,85.68
1953-04-01,86.54
1953-05-01,86.85
1953-06-01,85.89
1953-07-01,86.02
1953-08-01,84.36
1953-09-01,83.08
1953-10-01,82.00
1953-11-01,81.10
1953-12-01,79.08
1954-01-01,78.45
1954-02-01,79.04
1954-03-01,79.35
1954-04-01,78.63
1954-05-01,78.60
1954-06-01,78.57
1954-07-01,79.04
1954-08-01,78.84
1954-09-01,80.13
1954-10-01,80.76
1954-11-01,81.21
1954-12-01,82.30
1955-01-01,83.22
1955-02-01,84.45
1955-03-01,86.28
1955-04-01,85.87
1955-05-01,86.41
1955-06-01,86.47
1955-07-01,86.07
1955-08-01,84.75
1955-09-01,86.65
1955-10-01,86.25
1955-11-01,86.91
1955-12-01,87.67
1956-01-01,86.20
1956-02-01,85.50
1956-03-01,85.20
1956-04-01,85.05
1956-05-01,84.33
1956-06-01,83.49
1956-07-01,82.66
1956-08-01,82.40
1956-09-01,82.00
1956-10-01,82.16
1956-11-01,81.50
1956-12-01,82.00
1957-01-01,83.17
1957-02-01,82.72
1957-03-01,82.23
1957-04-01,80.70
1957-05-01,81.39
1957-06-01,79.49
1957-07-01,81.35
1957-08-01,81.13
1957-09-01,80.66
1957-10-01,82.10
1957-11-01,79.75
1957-12-01,79.22
1958-01-01,78.20
1958-02-01,76.46
1958-03-01,75.16
1958-04-01,73.52
1958-05-01,74.55
1958-06-01,75.33
1958-07-01,76.93
1958-08-01,77.92
1958-09-01,79.36
1958-10-01,79.97
1958-11-01,80.56
1958-12-01,80.52
1959-01-01,81.50
1959-02-01,82.70
1959-03-01,83.26
1959-04-01,85.27
1959-05-01,85.14
1959-06-01,84.35
1959-07-01,84.12
1959-08-01,84.11
1959-09-01,84.97
1959-10-01,82.89
1959-11-01,82.24
1959-12-01,83.57
1960-01-01,84.36
1960-02-01,83.33
1960-03-01,83.73
1960-04-01,82.86
1960-05-01,82.11
1960-06-01,82.00
1960-07-01,80.96
1960-08-01,80.23
1960-09-01,79.42
1960-10-01,78.62
1960-11-01,77.42
1960-12-01,76.32
1961-01-01,76.32
1961-02-01,76.22
1961-03-01,76.78
1961-04-01,77.63
1961-05-01,78.66
1961-06-01,78.62
1961-07-01,78.49
1961-08-01,79.12
1961-09-01,78.05
1961-10-01,79.88
1961-11-01,81.32
1961-12-01,81.66
1962-01-01,79.71
1962-02-01,82.15
1962-03-01,81.60
1962-04-01,81.15
1962-05-01,81.42
1962-06-01,81.60
1962-07-01,81.86
1962-08-01,81.42
1962-09-01,80.72
1962-10-01,80.90
1962-11-01,80.99
1962-12-01,80.85
1963-01-01,81.05
1963-02-01,81.93
1963-03-01,82.66
1963-04-01,83.21
1963-05-01,82.51
1963-06-01,82.14
1963-07-01,82.60
1963-08-01,82.89
1963-09-01,82.70
1963-10-01,83.71
1963-11-01,83.11
1963-12-01,82.64
1964-01-01,82.81
1964-02-01,83.29
1964-03-01,82.72
1964-04-01,84.02
1964-05-01,83.68
1964-06-01,83.88
1964-07-01,83.54
1964-08-01,83.59
1964-09-01,84.46
1964-10-01,83.83
1964-11-01,83.51
1964-12-01,84.54
1965-01-01,85.63
1965-02-01,85.25
1965-03-01,86.27
1965-04-01,85.00
1965-05-01,85.09
1965-06-01,85.52
1965-07-01,85.40
1965-08-01,85.48
1965-09-01,84.34
1965-10-01,83.82
1965-11-01,83.51
1965-12-01,83.58
1966-01-01,84.24
1966-02-01,83.58
1966-03-01,84.71
1966-04-01,83.08
1966-05-01,83.88
1966-06-01,83.53
1966-07-01,83.26
1966-08-01,83.91
1966-09-01,83.27
1966-10-01,82.27
1966-11-01,82.86
1966-12-01,82.16
1967-01-01,81.91
1967-02-01,80.09
1967-03-01,79.85
1967-04-01,78.19
1967-05-01,77.75
1967-06-01,77.61
1967-07-01,77.04
1967-08-01,77.32
1967-09-01,77.78
1967-10-01,78.50
1967-11-01,80.81
1967-12-01,79.74
1968-01-01,80.17
1968-02-01,79.75
1968-03-01,79.52
1968-04-01,79.84
1968-05-01,80.60
1968-06-01,79.87
1968-07-01,80.17
1968-08-01,80.28
1968-09-01,80.17
1968-10-01,79.92
1968-11-01,81.61
1968-12-01,79.51
1969-01-01,80.04
1969-02-01,81.11
1969-03-01,79.15
1969-04-01,80.30
1969-05-01,79.08
1969-06-01,79.01
1969-07-01,78.89
1969-08-01,79.03
1969-09-01,78.54
1969-10-01,78.39
1969-11-01,77.28
1969-12-01,77.81
1970-01-01,76.70
1970-02-01,77.02
1970-03-01,77.10
1970-04-01,76.70
1970-05-01,76.82
1970-06-01,76.80
1970-07-01,77.53
1970-08-01,74.70
1970-09-01,75.69
1970-10-01,75.20
1970-11-01,74.25
1970-12-01,74.42
1971-01-01,73.33
1971-02-01,73.05
1971-03-01,73.38
1971-04-01,73.92
1971-05-01,73.99
1971-06-01,75.65
1971-07-01,75.84
1971-08-01,75.40
1971-09-01,76.59
1971-10-01,76.76
1971-11-01,77.69
1971-12-01,78.14
1972-01-01,78.77
1972-02-01,79.38
1972-03-01,79.14
1972-04-01,79.17
1972-05-01,79.45
1972-06-01,80.29
1972-07-01,79.68
1972-08-01,79.82
1972-09-01,80.10
1972-10-01,80.42
1972-11-01,81.51
1972-12-01,82.05
1973-01-01,82.70
1973-02-01,83.70
1973-03-01,83.07
1973-04-01,83.39
1973-05-01,83.44
1973-06-01,82.73
1973-07-01,83.15
1973-08-01,83.38
1973-09-01,83.04
1973-10-01,84.95
1973-11-01,85.19
1973-12-01,85.11
1974-01-01,86.03
1974-02-01,86.42
1974-03-01,86.29
1974-04-01,86.32
1974-05-01,85.60
1974-06-01,85.03
1974-07-01,86.06
1974-08-01,84.22
1974-09-01,84.48
1974-10-01,83.22
1974-11-01,79.89
1974-12-01,75.89
1975-01-01,74.92
1975-02-01,72.40
1975-03-01,70.34
1975-04-01,69.31
1975-05-01,69.21
1975-06-01,69.91
1975-07-01,70.32
1975-08-01,71.16
1975-09-01,72.44
1975-10-01,73.43
1975-11-01,73.45
1975-12-01,75.10
1976-01-01,75.07
1976-02-01,76.91
1976-03-01,76.80
1976-04-01,77.34
1976-05-01,77.02
1976-06-01,77.55
1976-07-01,77.96
1976-08-01,78.59
1976-09-01,78.99
1976-10-01,78.85
1976-11-01,79.08
1976-12-01,80.01
1977-01-01,79.61
1977-02-01,81.04
1977-03-01,81.24
1977-04-01,81.62
1977-05-01,82.51
1977-06-01,82.52
1977-07-01,81.83
1977-08-01,81.64
1977-09-01,81.64
1977-10-01,80.98
1977-11-01,80.93
1977-12-01,81.32
1978-01-01,82.09
1978-02-01,79.89
1978-03-01,79.49
1978-04-01,81.25
1978-05-01,82.79
1978-06-01,83.60
1978-07-01,83.35
1978-08-01,83.17
1978-09-01,83.64
1978-10-01,83.35
1978-11-01,83.98
1978-12-01,84.27
1979-01-01,83.79
1979-02-01,83.99
1979-03-01,84.17
1979-04-01,84.26
1979-05-01,83.80
1979-06-01,82.98
1979-07-01,83.56
1979-08-01,82.94
1979-09-01,80.99
1979-10-01,81.84
1979-11-01,82.12
1979-12-01,81.71
1980-01-01,81.33
1980-02-01,80.41
1980-03-01,79.35
1980-04-01,78.56
1980-05-01,75.69
1980-06-01,73.78
1980-07-01,71.95
1980-08-01,73.64
1980-09-01,75.03
1980-10-01,75.73
1980-11-01,76.96
1980-12-01,78.18
1981-01-01,77.86
1981-02-01,76.79
1981-03-01,77.47
1981-04-01,77.49
1981-05-01,77.62
1981-06-01,77.46
1981-07-01,77.59
1981-08-01,75.94
1981-09-01,76.05
1981-10-01,74.67
1981-11-01,73.05
1981-12-01,71.20
1982-01-01,70.13
1982-02-01,71.19
1982-03-01,70.55
1982-04-01,69.86
1982-05-01,68.90
1982-06-01,69.04
1982-07-01,69.06
1982-08-01,68.54
1982-09-01,69.22
1982-10-01,68.89
1982-11-01,68.01
1982-12-01,67.96
1983-01-01,68.80
1983-02-01,70.27
1983-03-01,70.54
1983-04-01,71.73
1983-05-01,72.33
1983-06-01,72.33
1983-07-01,73.48
1983-08-01,73.73
1983-09-01,74.88
1983-10-01,75.79
1983-11-01,76.04
1983-12-01,75.24
1984-01-01,76.51
1984-02-01,76.87
1984-03-01,77.31
1984-04-01,76.67
1984-05-01,76.66
1984-06-01,76.79
1984-07-01,76.22
1984-08-01,75.49
1984-09-01,75.13
1984-10-01,74.65
1984-11-01,75.20
1984-12-01,74.84
1985-01-01,73.89
1985-02-01,73.73
1985-03-01,74.02
1985-04-01,74.44
1985-05-01,74.35
1985-06-01,73.29
1985-07-01,72.67
1985-08-01,72.18
1985-09-01,73.33
1985-10-01,72.52
1985-11-01,73.66
1985-12-01,73.35
1986-01-01,74.70
1986-02-01,74.72
1986-03-01,74.07
1986-04-01,74.77
1986-05-01,76.11
1986-06-01,75.77
1986-07-01,75.87
1986-08-01,76.48
1986-09-01,77.02
1986-10-01,77.84
1986-11-01,77.04
1986-12-01,77.57
1987-01-01,78.06
1987-02-01,78.43
1987-03-01,78.84
1987-04-01,79.48
1987-05-01,79.73
1987-06-01,80.35
1987-07-01,82.28
1987-08-01,82.35
1987-09-01,83.10
1987-10-01,82.69
1987-11-01,83.72
1987-12-01,83.65
1988-01-01,84.05
1988-02-01,83.62
1988-03-01,83.96
1988-04-01,85.26
1988-05-01,84.47
1988-06-01,84.68
1988-07-01,85.19
1988-08-01,84.87
1988-09-01,84.34
1988-10-01,84.44
1988-11-01,84.14
1988-12-01,84.83
1989-01-01,84.61
1989-02-01,84.58
1989-03-01,84.73
1989-04-01,83.62
1989-05-01,82.61
1989-06-01,83.15
1989-07-01,82.60
1989-08-01,82.25
1989-09-01,82.62
1989-10-01,83.54
1989-11-01,83.33
1989-12-01,82.47
1990-01-01,83.23
1990-02-01,84.47
1990-03-01,83.53
1990-04-01,83.83
1990-05-01,82.18
1990-06-01,83.05
1990-07-01,82.54
1990-08-01,82.63
1990-09-01,82.51
1990-10-01,82.30
1990-11-01,82.73
1990-12-01,82.35
1991-01-01,81.71
1991-02-01,80.98
1991-03-01,80.77
1991-04-01,81.43
1991-05-01,81.35
1991-06-01,81.41
1991-07-01,81.50
1991-08-01,81.75
1991-09-01,81.45
1991-10-01,80.47
1991-11-01,80.15
1991-12-01,80.79
1992-01-01,79.86
1992-02-01,79.55
1992-03-01,80.07
1992-04-01,80.02
1992-05-01,79.07
1992-06-01,79.94
1992-07-01,80.37
1992-08-01,79.02
1992-09-01,79.41
1992-10-01,79.59
1992-11-01,79.74
1992-12-01,79.25
1993-01-01,79.54
1993-02-01,79.21
1993-03-01,79.00
1993-04-01,79.38
1993-05-01,79.16
1993-06-01,78.61
1993-07-01,78.90
1993-08-01,78.94
1993-09-01,79.24
1993-10-01,79.40
1993-11-01,78.85
1993-12-01,78.67
1994-01-01,78.04
1994-02-01,79.48
1994-03-01,80.31
1994-04-01,80.01
1994-05-01,81.26
1994-06-01,81.73
1994-07-01,80.71
1994-08-01,81.99
1994-09-01,80.13
1994-10-01,79.73
1994-11-01,80.68
1994-12-01,81.77
1995-01-01,81.77
1995-02-01,81.63
1995-03-01,81.00
1995-04-01,80.85
1995-05-01,80.48
1995-06-01,80.38
1995-07-01,80.14
1995-08-01,79.91
1995-09-01,80.68
1995-10-01,81.02
1995-11-01,80.75
1995-12-01,80.28
1996-01-01,80.18
1996-02-01,79.33
1996-03-01,79.57
1996-04-01,79.25
1996-05-01,80.01
