Date,CAPUTLG337S
1967-01-01,93.39
1967-02-01,93.52
1967-03-01,91.69
1967-04-01,92.33
1967-05-01,92.37
1967-06-01,91.20
1967-07-01,89.54
1967-08-01,91.57
1967-09-01,92.55
1967-10-01,90.56
1967-11-01,92.28
1967-12-01,91.91
1968-01-01,92.59
1968-02-01,92.33
1968-03-01,91.50
1968-04-01,91.55
1968-05-01,92.25
1968-06-01,90.65
1968-07-01,90.30
1968-08-01,92.84
1968-09-01,89.83
1968-10-01,89.67
1968-11-01,90.25
1968-12-01,91.82
1969-01-01,94.06
1969-02-01,92.42
1969-03-01,94.10
1969-04-01,92.56
1969-05-01,92.42
1969-06-01,93.11
1969-07-01,94.06
1969-08-01,92.12
1969-09-01,91.10
1969-10-01,91.85
1969-11-01,89.96
1969-12-01,91.24
1970-01-01,86.39
1970-02-01,84.84
1970-03-01,85.25
1970-04-01,83.97
1970-05-01,82.68
1970-06-01,83.33
1970-07-01,81.96
1970-08-01,81.87
1970-09-01,83.32
1970-10-01,84.46
1970-11-01,82.38
1970-12-01,82.53
1971-01-01,82.38
1971-02-01,82.11
1971-03-01,80.70
1971-04-01,82.62
1971-05-01,82.52
1971-06-01,83.48
1971-07-01,83.22
1971-08-01,84.11
1971-09-01,85.19
1971-10-01,86.23
1971-11-01,88.57
1971-12-01,90.10
1972-01-01,91.69
1972-02-01,91.36
1972-03-01,91.23
1972-04-01,92.37
1972-05-01,92.22
1972-06-01,92.39
1972-07-01,93.88
1972-08-01,94.14
1972-09-01,94.09
1972-10-01,95.88
1972-11-01,96.50
1972-12-01,96.88
1973-01-01,94.79
1973-02-01,96.76
1973-03-01,96.85
1973-04-01,96.15
1973-05-01,95.05
1973-06-01,95.55
1973-07-01,94.99
1973-08-01,94.38
1973-09-01,93.60
1973-10-01,92.91
1973-11-01,92.33
1973-12-01,91.99
1974-01-01,91.69
1974-02-01,88.74
1974-03-01,88.57
1974-04-01,87.05
1974-05-01,86.75
1974-06-01,86.01
1974-07-01,84.09
1974-08-01,83.23
1974-09-01,81.04
1974-10-01,78.19
1974-11-01,74.28
1974-12-01,72.35
1975-01-01,65.99
1975-02-01,63.06
1975-03-01,62.82
1975-04-01,64.49
1975-05-01,67.21
1975-06-01,68.35
1975-07-01,70.14
1975-08-01,73.13
1975-09-01,74.83
1975-10-01,74.63
1975-11-01,75.65
1975-12-01,75.83
1976-01-01,76.99
1976-02-01,76.98
1976-03-01,75.76
1976-04-01,75.95
1976-05-01,76.06
1976-06-01,75.07
1976-07-01,77.09
1976-08-01,76.29
1976-09-01,76.87
1976-10-01,76.40
1976-11-01,76.16
1976-12-01,76.56
1977-01-01,78.03
1977-02-01,80.97
1977-03-01,82.88
1977-04-01,82.03
1977-05-01,83.69
1977-06-01,84.67
1977-07-01,86.73
1977-08-01,86.10
1977-09-01,86.99
1977-10-01,87.83
1977-11-01,87.35
1977-12-01,88.26
1978-01-01,85.58
1978-02-01,88.14
1978-03-01,87.04
1978-04-01,87.67
1978-05-01,87.55
1978-06-01,86.88
1978-07-01,85.58
1978-08-01,85.75
1978-09-01,84.87
1978-10-01,85.36
1978-11-01,84.93
1978-12-01,83.47
1979-01-01,83.31
1979-02-01,82.31
1979-03-01,82.52
1979-04-01,81.30
1979-05-01,81.19
1979-06-01,78.81
1979-07-01,79.08
1979-08-01,79.24
1979-09-01,79.47
1979-10-01,80.76
1979-11-01,80.88
1979-12-01,82.31
1980-01-01,81.98
1980-02-01,80.56
1980-03-01,79.18
1980-04-01,77.94
1980-05-01,74.37
1980-06-01,71.63
1980-07-01,69.31
1980-08-01,70.62
1980-09-01,72.89
1980-10-01,73.09
1980-11-01,73.63
1980-12-01,74.05
1981-01-01,72.77
1981-02-01,72.05
1981-03-01,72.73
1981-04-01,73.51
1981-05-01,73.52
1981-06-01,73.43
1981-07-01,73.08
1981-08-01,71.52
1981-09-01,71.37
1981-10-01,70.14
1981-11-01,68.54
1981-12-01,67.75
1982-01-01,65.12
1982-02-01,67.44
1982-03-01,67.48
1982-04-01,66.84
1982-05-01,66.43
1982-06-01,66.24
1982-07-01,66.13
1982-08-01,67.34
1982-09-01,66.77
1982-10-01,64.97
1982-11-01,64.80
1982-12-01,65.59
1983-01-01,65.41
1983-02-01,64.73
1983-03-01,66.13
1983-04-01,67.53
1983-05-01,69.76
1983-06-01,71.45
1983-07-01,73.70
1983-08-01,75.25
1983-09-01,76.27
1983-10-01,77.27
1983-11-01,78.23
1983-12-01,78.98
1984-01-01,79.11
1984-02-01,79.22
1984-03-01,78.83
1984-04-01,80.92
1984-05-01,80.07
1984-06-01,78.61
1984-07-01,78.30
1984-08-01,78.01
1984-09-01,77.73
1984-10-01,78.57
1984-11-01,78.93
1984-12-01,78.56
1985-01-01,78.62
1985-02-01,78.00
1985-03-01,77.66
1985-04-01,77.52
1985-05-01,76.28
1985-06-01,76.48
1985-07-01,75.85
1985-08-01,76.21
1985-09-01,77.07
1985-10-01,77.09
1985-11-01,77.10
1985-12-01,77.88
1986-01-01,77.60
1986-02-01,77.30
1986-03-01,76.91
1986-04-01,77.26
1986-05-01,77.72
1986-06-01,79.58
1986-07-01,79.52
1986-08-01,79.77
1986-09-01,80.16
1986-10-01,80.85
1986-11-01,80.31
1986-12-01,80.05
1987-01-01,80.62
1987-02-01,81.69
1987-03-01,82.16
1987-04-01,81.69
1987-05-01,82.30
1987-06-01,81.64
1987-07-01,82.99
1987-08-01,83.91
1987-09-01,84.03
1987-10-01,84.01
1987-11-01,83.96
1987-12-01,84.04
1988-01-01,82.23
1988-02-01,81.41
1988-03-01,81.51
1988-04-01,81.23
1988-05-01,80.78
1988-06-01,80.60
1988-07-01,79.72
1988-08-01,79.11
1988-09-01,80.50
1988-10-01,79.68
1988-11-01,79.50
1988-12-01,79.45
1989-01-01,80.13
1989-02-01,80.41
1989-03-01,80.47
1989-04-01,79.84
1989-05-01,79.13
1989-06-01,79.62
1989-07-01,78.56
1989-08-01,78.27
1989-09-01,77.39
1989-10-01,77.65
1989-11-01,78.67
1989-12-01,78.43
1990-01-01,76.77
1990-02-01,76.65
1990-03-01,77.35
1990-04-01,77.53
1990-05-01,77.32
1990-06-01,77.12
1990-07-01,77.19
1990-08-01,76.96
1990-09-01,76.03
1990-10-01,74.86
1990-11-01,73.50
1990-12-01,72.72
1991-01-01,71.18
1991-02-01,68.83
1991-03-01,68.67
1991-04-01,69.72
1991-05-01,70.41
1991-06-01,70.71
1991-07-01,70.12
1991-08-01,70.88
1991-09-01,71.13
1991-10-01,71.41
1991-11-01,72.44
1991-12-01,72.20
1992-01-01,73.02
1992-02-01,72.50
1992-03-01,76.37
1992-04-01,76.26
1992-05-01,76.24
1992-06-01,76.67
1992-07-01,78.41
1992-08-01,77.92
1992-09-01,77.83
1992-10-01,77.55
1992-11-01,77.35
1992-12-01,78.12
1993-01-01,78.72
1993-02-01,79.64
1993-03-01,78.62
1993-04-01,79.14
1993-05-01,78.62
1993-06-01,78.10
1993-07-01,78.13
1993-08-01,77.29
1993-09-01,78.72
1993-10-01,80.22
1993-11-01,80.52
1993-12-01,80.64
1994-01-01,79.83
1994-02-01,77.76
1994-03-01,79.02
1994-04-01,79.26
1994-05-01,80.22
1994-06-01,80.49
1994-07-01,80.64
1994-08-01,80.64
1994-09-01,81.70
1994-10-01,82.09
1994-11-01,81.78
1994-12-01,82.10
1995-01-01,82.67
1995-02-01,81.81
1995-03-01,81.57
1995-04-01,79.74
1995-05-01,79.08
1995-06-01,79.72
1995-07-01,77.75
1995-08-01,79.52
1995-09-01,79.08
1995-10-01,79.28
1995-11-01,78.71
1995-12-01,78.65
1996-01-01,77.00
1996-02-01,76.22
1996-03-01,76.82
1996-04-01,77.25
1996-05-01,78.30
1996-06-01,78.44
1996-07-01,78.81
1996-08-01,78.79
1996-09-01,80.01
1996-10-01,79.79
1996-11-01,80.47
1996-12-01,80.41
1997-01-01,80.48
1997-02-01,81.69
1997-03-01,82.30
1997-04-01,83.03
1997-05-01,83.24
1997-06-01,83.33
1997-07-01,83.31
1997-08-01,83.00
1997-09-01,83.63
1997-10-01,83.85
1997-11-01,84.41
1997-12-01,84.29
1998-01-01,84.42
1998-02-01,84.85
1998-03-01,84.60
1998-04-01,83.15
1998-05-01,82.52
1998-06-01,81.66
1998-07-01,82.40
1998-08-01,82.00
1998-09-01,80.85
1998-10-01,80.29
1998-11-01,81.77
1998-12-01,82.18
1999-01-01,80.85
1999-02-01,80.29
1999-03-01,79.81
1999-04-01,80.12
1999-05-01,80.37
1999-06-01,80.50
1999-07-01,79.75
1999-08-01,80.76
1999-09-01,79.91
1999-10-01,80.40
1999-11-01,79.57
1999-12-01,78.75
2000-01-01,78.39
2000-02-01,77.96
2000-03-01,78.17
2000-04-01,78.91
2000-05-01,78.30
2000-06-01,77.49
2000-07-01,76.36
2000-08-01,75.42
2000-09-01,75.55
2000-10-01,76.28
2000-11-01,75.29
2000-12-01,73.83
2001-01-01,73.39
2001-02-01,73.14
2001-03-01,72.21
2001-04-01,71.58
2001-05-01,70.26
2001-06-01,68.39
2001-07-01,69.69
2001-08-01,69.11
2001-09-01,69.31
2001-10-01,68.37
2001-11-01,68.14
2001-12-01,67.68
2002-01-01,69.08
2002-02-01,70.92
2002-03-01,72.69
2002-04-01,72.96
2002-05-01,72.48
2002-06-01,72.91
2002-07-01,72.79
2002-08-01,71.49
2002-09-01,71.90
2002-10-01,71.12
2002-11-01,71.27
2002-12-01,72.32
2003-01-01,70.81
2003-02-01,69.49
2003-03-01,68.68
2003-04-01,67.29
2003-05-01,68.64
2003-06-01,70.07
2003-07-01,71.10
2003-08-01,71.05
2003-09-01,71.88
2003-10-01,72.06
2003-11-01,74.17
2003-12-01,73.94
2004-01-01,73.72
2004-02-01,73.59
2004-03-01,74.04
2004-04-01,75.06
2004-05-01,77.08
2004-06-01,76.08
2004-07-01,76.78
2004-08-01,77.01
2004-09-01,76.91
2004-10-01,77.64
2004-11-01,78.10
2004-12-01,79.10
2005-01-01,80.65
2005-02-01,81.00
2005-03-01,80.18
2005-04-01,79.87
2005-05-01,79.66
2005-06-01,79.68
2005-07-01,79.32
2005-08-01,78.15
2005-09-01,79.94
2005-10-01,79.82
2005-11-01,79.01
2005-12-01,78.99
2006-01-01,79.99
2006-02-01,80.30
2006-03-01,80.05
2006-04-01,80.40
2006-05-01,79.63
2006-06-01,79.24
2006-07-01,76.96
2006-08-01,77.96
2006-09-01,77.88
2006-10-01,78.24
2006-11-01,77.50
2006-12-01,77.68
2007-01-01,76.71
2007-02-01,75.69
2007-03-01,76.02
2007-04-01,75.25
2007-05-01,75.48
2007-06-01,74.84
2007-07-01,74.71
2007-08-01,75.50
2007-09-01,75.56
2007-10-01,75.30
2007-11-01,75.73
2007-12-01,74.95
2008-01-01,73.61
2008-02-01,72.70
2008-03-01,73.07
2008-04-01,73.26
2008-05-01,73.07
2008-06-01,73.06
2008-07-01,71.85
2008-08-01,71.37
2008-09-01,70.02
2008-10-01,69.57
2008-11-01,66.89
2008-12-01,63.81
2009-01-01,60.10
2009-02-01,58.81
2009-03-01,57.19
2009-04-01,56.93
2009-05-01,56.06
2009-06-01,55.79
2009-07-01,56.14
2009-08-01,55.85
2009-09-01,56.25
2009-10-01,56.54
2009-11-01,56.84
2009-12-01,57.20
2010-01-01,57.28
2010-02-01,57.44
2010-03-01,58.39
2010-04-01,59.15
2010-05-01,60.32
2010-06-01,60.95
2010-07-01,61.41
2010-08-01,61.16
2010-09-01,61.67
2010-10-01,61.98
2010-11-01,63.14
2010-12-01,63.51
2011-01-01,63.43
2011-02-01,64.88
2011-03-01,65.88
2011-04-01,65.35
2011-05-01,66.54
2011-06-01,66.55
2011-07-01,66.91
2011-08-01,67.70
2011-09-01,67.76
2011-10-01,67.75
2011-11-01,66.57
2011-12-01,67.35
2012-01-01,70.18
2012-02-01,70.51
2012-03-01,70.75
2012-04-01,71.34
2012-05-01,71.73
2012-06-01,71.10
2012-07-01,72.15
2012-08-01,71.99
2012-09-01,72.05
2012-10-01,71.68
2012-11-01,71.92
2012-12-01,72.31
2013-01-01,71.50
2013-02-01,73.05
2013-03-01,73.47
2013-04-01,74.09
2013-05-01,73.94
2013-06-01,75.07
2013-07-01,73.00
2013-08-01,73.76
2013-09-01,73.15
2013-10-01,73.04
2013-11-01,73.54
2013-12-01,74.11
2014-01-01,73.57
2014-02-01,72.94
2014-03-01,75.01
2014-04-01,75.00
2014-05-01,75.13
2014-06-01,75.69
2014-07-01,76.44
2014-08-01,76.00
