Date,CEU0500000001
1939-01-01,25338000.00
1939-02-01,25447000.00
1939-03-01,25833000.00
1939-04-01,25801000.00
1939-05-01,26113000.00
1939-06-01,26485000.00
1939-07-01,26481000.00
1939-08-01,26848000.00
1939-09-01,27468000.00
1939-10-01,27830000.00
1939-11-01,27740000.00
1939-12-01,27886000.00
1940-01-01,26847000.00
1940-02-01,26902000.00
1940-03-01,27205000.00
1940-04-01,27255000.00
1940-05-01,27535000.00
1940-06-01,27765000.00
1940-07-01,27789000.00
1940-08-01,28332000.00
1940-09-01,29007000.00
1940-10-01,29399000.00
1940-11-01,29619000.00
1940-12-01,30221000.00
1941-01-01,29402000.00
1941-02-01,29671000.00
1941-03-01,30079000.00
1941-04-01,30610000.00
1941-05-01,31379000.00
1941-06-01,31999000.00
1941-07-01,32545000.00
1941-08-01,33014000.00
1941-09-01,33417000.00
1941-10-01,33457000.00
1941-11-01,33367000.00
1941-12-01,33552000.00
1942-01-01,32660000.00
1942-02-01,32739000.00
1942-03-01,33240000.00
1942-04-01,33764000.00
1942-05-01,34203000.00
1942-06-01,34624000.00
1942-07-01,35065000.00
1942-08-01,35460000.00
1942-09-01,35771000.00
1942-10-01,35852000.00
1942-11-01,35867000.00
1942-12-01,36209000.00
1943-01-01,35494000.00
1943-02-01,35627000.00
1943-03-01,35955000.00
1943-04-01,36212000.00
1943-05-01,36202000.00
1943-06-01,36608000.00
1943-07-01,36637000.00
1943-08-01,36628000.00
1943-09-01,36584000.00
1943-10-01,36658000.00
1943-11-01,36810000.00
1943-12-01,36815000.00
1944-01-01,36018000.00
1944-02-01,35973000.00
1944-03-01,35948000.00
1944-04-01,35833000.00
1944-05-01,35768000.00
1944-06-01,35949000.00
1944-07-01,35861000.00
1944-08-01,35828000.00
1944-09-01,35652000.00
1944-10-01,35555000.00
1944-11-01,35597000.00
1944-12-01,35850000.00
1945-01-01,35229000.00
1945-02-01,35290000.00
1945-03-01,35411000.00
1945-04-01,35161000.00
1945-05-01,35024000.00
1945-06-01,35065000.00
1945-07-01,34769000.00
1945-08-01,34490000.00
1945-09-01,32760000.00
1945-10-01,32833000.00
1945-11-01,33354000.00
1945-12-01,33755000.00
1946-01-01,33656000.00
1946-02-01,33092000.00
1946-03-01,34240000.00
1946-04-01,34997000.00
1946-05-01,35409000.00
1946-06-01,36074000.00
1946-07-01,36474000.00
1946-08-01,37139000.00
1946-09-01,37532000.00
1946-10-01,37637000.00
1946-11-01,38045000.00
1946-12-01,38351000.00
1947-01-01,37510000.00
1947-02-01,37495000.00
1947-03-01,37720000.00
1947-04-01,37686000.00
1947-05-01,37772000.00
1947-06-01,38249000.00
1947-07-01,38186000.00
1947-08-01,38660000.00
1947-09-01,39077000.00
1947-10-01,39197000.00
1947-11-01,39283000.00
1947-12-01,39708000.00
1948-01-01,38617000.00
1948-02-01,38344000.00
1948-03-01,38624000.00
1948-04-01,38368000.00
1948-05-01,38728000.00
1948-06-01,39240000.00
1948-07-01,39355000.00
1948-08-01,39674000.00
1948-09-01,40012000.00
1948-10-01,39881000.00
1948-11-01,39763000.00
1948-12-01,39946000.00
1949-01-01,38282000.00
1949-02-01,37932000.00
1949-03-01,37785000.00
1949-04-01,37857000.00
1949-05-01,37625000.00
1949-06-01,37747000.00
1949-07-01,37558000.00
1949-08-01,37984000.00
1949-09-01,38365000.00
1949-10-01,37487000.00
1949-11-01,37729000.00
1949-12-01,38370000.00
1950-01-01,37056000.00
1950-02-01,36649000.00
1950-03-01,37281000.00
1950-04-01,37842000.00
1950-05-01,38299000.00
1950-06-01,39063000.00
1950-07-01,39369000.00
1950-08-01,40384000.00
1950-09-01,40805000.00
1950-10-01,40989000.00
1950-11-01,40948000.00
1950-12-01,41316000.00
1951-01-01,40337000.00
