Date,CEU1000000011
2006-03-01,964.51
2006-04-01,1013.73
2006-05-01,986.43
2006-06-01,1013.90
2006-07-01,1026.86
2006-08-01,1012.79
2006-09-01,1020.82
2006-10-01,1036.03
2006-11-01,1048.67
2006-12-01,1056.91
2007-01-01,1042.07
2007-02-01,1065.11
2007-03-01,1067.50
2007-04-01,1133.10
2007-05-01,1089.71
2007-06-01,1104.67
2007-07-01,1102.18
2007-08-01,1092.24
2007-09-01,1119.11
2007-10-01,1102.71
2007-11-01,1096.60
2007-12-01,1117.49
2008-01-01,1106.39
2008-02-01,1081.88
2008-03-01,1174.84
2008-04-01,1100.12
2008-05-01,1090.64
2008-06-01,1128.96
2008-07-01,1145.76
2008-08-01,1172.60
2008-09-01,1150.17
2008-10-01,1165.11
2008-11-01,1224.33
2008-12-01,1185.68
2009-01-01,1176.57
2009-02-01,1167.67
2009-03-01,1166.92
2009-04-01,1135.47
2009-05-01,1137.93
2009-06-01,1137.17
2009-07-01,1129.85
2009-08-01,1176.77
2009-09-01,1127.95
2009-10-01,1135.68
2009-11-01,1160.35
2009-12-01,1145.31
2010-01-01,1163.88
2010-02-01,1155.64
2010-03-01,1170.15
2010-04-01,1179.93
2010-05-01,1200.67
2010-06-01,1176.14
2010-07-01,1190.28
2010-08-01,1228.42
2010-09-01,1183.18
2010-10-01,1207.57
2010-11-01,1201.18
2010-12-01,1206.26
2011-01-01,1246.27
2011-02-01,1230.83
2011-03-01,1242.17
2011-04-01,1250.24
2011-05-01,1262.91
2011-06-01,1246.11
2011-07-01,1232.99
2011-08-01,1251.45
2011-09-01,1255.05
2011-10-01,1282.27
2011-11-01,1248.53
2011-12-01,1258.17
2012-01-01,1279.49
2012-02-01,1273.61
2012-03-01,1260.63
2012-04-01,1293.37
2012-05-01,1246.09
2012-06-01,1274.67
2012-07-01,1273.84
2012-08-01,1245.45
2012-09-01,1263.68
2012-10-01,1243.47
2012-11-01,1238.54
2012-12-01,1275.86
2013-01-01,1241.93
2013-02-01,1249.68
2013-03-01,1254.10
2013-04-01,1280.64
2013-05-01,1283.03
2013-06-01,1319.27
2013-07-01,1299.48
2013-08-01,1313.05
2013-09-01,1341.45
2013-10-01,1339.99
2013-11-01,1361.92
2013-12-01,1382.47
2014-01-01,1349.48
2014-02-01,1383.91
2014-03-01,1399.90
2014-04-01,1383.02
2014-05-01,1362.69
2014-06-01,1400.14
2014-07-01,1364.76
2014-08-01,1382.77
2014-09-01,1377.08
2014-10-01,1371.70
2014-11-01,1399.23
2014-12-01,1394.04
2015-01-01,1366.15
2015-02-01,1374.18
2015-03-01,1379.40
2015-04-01,1340.24
2015-05-01,1344.03
2015-06-01,1340.70
2015-07-01,1352.98
2015-08-01,1400.90
2015-09-01,1362.86
2015-10-01,1374.60
2015-11-01,1425.48
2015-12-01,1398.99
2016-01-01,1385.17
2016-02-01,1360.00
2016-03-01,1354.78
2016-04-01,1370.67
2016-05-01,1401.82
2016-06-01,1365.51
2016-07-01,1366.70
2016-08-01,1371.74
2016-09-01,1390.75
2016-10-01,1434.94
2016-11-01,1392.51
2016-12-01,1406.70
2017-01-01,1447.55
2017-02-01,1414.02
2017-03-01,1429.12
2017-04-01,1458.73
2017-05-01,1431.47
2017-06-01,1424.25
2017-07-01,1485.80
2017-08-01,1435.08
2017-09-01,1449.18
2017-10-01,1488.08
2017-11-01,1455.55
2017-12-01,1476.53
2018-01-01,1457.22
2018-02-01,1477.44
2018-03-01,1482.11
2018-04-01,1509.31
2018-05-01,1484.84
