Date,CEU1000000017
2006-03-01,79.60
2006-04-01,85.60
2006-05-01,84.80
2006-06-01,89.00
2006-07-01,90.90
2006-08-01,90.10
2006-09-01,90.70
2006-10-01,92.70
2006-11-01,93.00
2006-12-01,93.60
2007-01-01,90.70
2007-02-01,93.30
2007-03-01,94.40
2007-04-01,101.50
2007-05-01,99.00
2007-06-01,102.30
2007-07-01,103.00
2007-08-01,102.70
2007-09-01,104.20
2007-10-01,102.70
2007-11-01,102.20
2007-12-01,104.00
2008-01-01,101.90
2008-02-01,99.80
2008-03-01,109.80
2008-04-01,103.40
2008-05-01,104.60
2008-06-01,110.20
2008-07-01,113.30
2008-08-01,117.80
2008-09-01,115.40
2008-10-01,116.30
2008-11-01,120.90
2008-12-01,114.90
2009-01-01,110.70
2009-02-01,107.80
2009-03-01,105.10
2009-04-01,100.30
2009-05-01,99.30
2009-06-01,99.40
2009-07-01,98.50
2009-08-01,101.10
2009-09-01,96.50
2009-10-01,95.90
2009-11-01,97.90
2009-12-01,95.50
2010-01-01,95.70
2010-02-01,96.10
2010-03-01,98.60
2010-04-01,100.80
2010-05-01,105.30
2010-06-01,105.10
2010-07-01,108.30
2010-08-01,112.80
2010-09-01,109.30
2010-10-01,113.00
2010-11-01,112.30
2010-12-01,111.20
2011-01-01,113.40
2011-02-01,112.30
2011-03-01,116.10
2011-04-01,119.40
2011-05-01,123.60
2011-06-01,125.50
2011-07-01,126.50
2011-08-01,129.00
2011-09-01,130.20
2011-10-01,134.30
2011-11-01,130.40
2011-12-01,131.40
2012-01-01,133.00
2012-02-01,133.70
2012-03-01,133.00
2012-04-01,137.10
2012-05-01,134.30
2012-06-01,138.60
2012-07-01,139.00
2012-08-01,136.10
2012-09-01,136.60
2012-10-01,132.90
2012-11-01,132.20
2012-12-01,136.50
2013-01-01,131.30
2013-02-01,133.10
2013-03-01,134.00
2013-04-01,136.80
2013-05-01,138.70
2013-06-01,144.60
2013-07-01,143.40
2013-08-01,145.90
2013-09-01,148.60
2013-10-01,148.60
2013-11-01,149.70
2013-12-01,151.20
2014-01-01,146.40
2014-02-01,150.20
2014-03-01,153.30
2014-04-01,152.70
2014-05-01,151.50
2014-06-01,158.10
2014-07-01,156.50
2014-08-01,159.30
2014-09-01,158.80
2014-10-01,157.30
2014-11-01,159.60
2014-12-01,157.90
2015-01-01,151.20
2015-02-01,149.30
2015-03-01,147.60
2015-04-01,140.70
2015-05-01,138.50
2015-06-01,138.50
2015-07-01,139.60
2015-08-01,142.10
2015-09-01,135.50
2015-10-01,135.30
2015-11-01,136.90
2015-12-01,132.20
2016-01-01,126.00
2016-02-01,119.80
2016-03-01,116.40
2016-04-01,115.30
2016-05-01,117.30
2016-06-01,114.00
2016-07-01,114.10
2016-08-01,113.90
2016-09-01,114.60
2016-10-01,118.20
2016-11-01,114.50
2016-12-01,114.60
2017-01-01,116.30
2017-02-01,115.10
2017-03-01,117.20
2017-04-01,121.50
2017-05-01,121.40
2017-06-01,122.90
2017-07-01,129.70
2017-08-01,126.40
2017-09-01,127.20
2017-10-01,131.40
2017-11-01,129.10
2017-12-01,130.40
2018-01-01,127.40
2018-02-01,130.80
2018-03-01,133.10
2018-04-01,137.30
2018-05-01,137.10
