Date,CEU2000000001
1939-01-01,981000.00
1939-02-01,970000.00
1939-03-01,1091000.00
1939-04-01,1181000.00
1939-05-01,1286000.00
1939-06-01,1328000.00
1939-07-01,1341000.00
1939-08-01,1368000.00
1939-09-01,1342000.00
1939-10-01,1291000.00
1939-11-01,1218000.00
1939-12-01,1066000.00
1940-01-01,961000.00
1940-02-01,986000.00
1940-03-01,1072000.00
1940-04-01,1203000.00
1940-05-01,1319000.00
1940-06-01,1358000.00
1940-07-01,1401000.00
1940-08-01,1430000.00
1940-09-01,1529000.00
1940-10-01,1610000.00
1940-11-01,1667000.00
1940-12-01,1689000.00
1941-01-01,1666000.00
1941-02-01,1627000.00
1941-03-01,1592000.00
1941-04-01,1698000.00
1941-05-01,1800000.00
1941-06-01,1866000.00
1941-07-01,2020000.00
1941-08-01,2079000.00
1941-09-01,2100000.00
1941-10-01,2033000.00
1941-11-01,1943000.00
1941-12-01,1797000.00
1942-01-01,1738000.00
1942-02-01,1712000.00
1942-03-01,1897000.00
1942-04-01,2104000.00
1942-05-01,2287000.00
1942-06-01,2469000.00
1942-07-01,2631000.00
1942-08-01,2643000.00
1942-09-01,2596000.00
1942-10-01,2435000.00
1942-11-01,2275000.00
1942-12-01,2019000.00
1943-01-01,1896000.00
1943-02-01,1842000.00
1943-03-01,1825000.00
1943-04-01,1802000.00
1943-05-01,1755000.00
1943-06-01,1730000.00
1943-07-01,1641000.00
1943-08-01,1584000.00
1943-09-01,1511000.00
1943-10-01,1402000.00
1943-11-01,1331000.00
1943-12-01,1205000.00
1944-01-01,1172000.00
1944-02-01,1126000.00
1944-03-01,1119000.00
1944-04-01,1133000.00
1944-05-01,1167000.00
1944-06-01,1206000.00
1944-07-01,1211000.00
1944-08-01,1215000.00
1944-09-01,1183000.00
1944-10-01,1150000.00
1944-11-01,1114000.00
1944-12-01,1025000.00
1945-01-01,1006000.00
1945-02-01,1015000.00
1945-03-01,1058000.00
1945-04-01,1109000.00
1945-05-01,1149000.00
1945-06-01,1204000.00
1945-07-01,1245000.00
1945-08-01,1290000.00
1945-09-01,1290000.00
1945-10-01,1309000.00
1945-11-01,1325000.00
1945-12-01,1274000.00
1946-01-01,1280000.00
1946-02-01,1312000.00
1946-03-01,1437000.00
1946-04-01,1583000.00
1946-05-01,1679000.00
1946-06-01,1766000.00
1946-07-01,1868000.00
1946-08-01,1954000.00
1946-09-01,1990000.00
1946-10-01,1976000.00
1946-11-01,1954000.00
1946-12-01,1892000.00
1947-01-01,1769000.00
1947-02-01,1747000.00
1947-03-01,1794000.00
1947-04-01,1908000.00
1947-05-01,2004000.00
1947-06-01,2154000.00
1947-07-01,2199000.00
1947-08-01,2264000.00
1947-09-01,2263000.00
1947-10-01,2236000.00
1947-11-01,2172000.00
1947-12-01,2101000.00
1948-01-01,2000000.00
1948-02-01,1862000.00
1948-03-01,1949000.00
1948-04-01,2090000.00
1948-05-01,2230000.00
1948-06-01,2366000.00
1948-07-01,2426000.00
1948-08-01,2463000.00
1948-09-01,2449000.00
1948-10-01,2413000.00
1948-11-01,2367000.00
1948-12-01,2278000.00
1949-01-01,2093000.00
1949-02-01,2002000.00
1949-03-01,2024000.00
1949-04-01,2114000.00
1949-05-01,2217000.00
1949-06-01,2287000.00
1949-07-01,2359000.00
1949-08-01,2423000.00
1949-09-01,2423000.00
1949-10-01,2388000.00
1949-11-01,2328000.00
1949-12-01,2169000.00
1950-01-01,1997000.00
1950-02-01,1932000.00
1950-03-01,1986000.00
1950-04-01,2158000.00
1950-05-01,2330000.00
1950-06-01,2503000.00
1950-07-01,2623000.00
1950-08-01,2723000.00
1950-09-01,2721000.00
1950-10-01,2727000.00
1950-11-01,2665000.00
1950-12-01,2495000.00
1951-01-01,2372000.00
1951-02-01,2317000.00
1951-03-01,2411000.00
1951-04-01,2563000.00
1951-05-01,2697000.00
1951-06-01,2793000.00
1951-07-01,2867000.00
1951-08-01,2929000.00
1951-09-01,2890000.00
1951-10-01,2888000.00
1951-11-01,2760000.00
1951-12-01,2643000.00
1952-01-01,2439000.00
1952-02-01,2436000.00
1952-03-01,2429000.00
1952-04-01,2559000.00
1952-05-01,2674000.00
1952-06-01,2827000.00
1952-07-01,2893000.00
1952-08-01,2964000.00
1952-09-01,2947000.00
1952-10-01,2883000.00
