Date,CEU2023600001
1990-01-01,1384600.00
1990-02-01,1368800.00
1990-03-01,1370500.00
1990-04-01,1389600.00
1990-05-01,1429600.00
1990-06-01,1474700.00
1990-07-01,1483400.00
1990-08-01,1478700.00
1990-09-01,1452600.00
1990-10-01,1421500.00
1990-11-01,1374600.00
1990-12-01,1327400.00
1991-01-01,1235500.00
1991-02-01,1210900.00
1991-03-01,1210700.00
1991-04-01,1230500.00
1991-05-01,1261400.00
1991-06-01,1293700.00
1991-07-01,1308100.00
1991-08-01,1309900.00
1991-09-01,1286500.00
1991-10-01,1264500.00
1991-11-01,1225700.00
1991-12-01,1197900.00
1992-01-01,1136400.00
1992-02-01,1115100.00
1992-03-01,1117100.00
1992-04-01,1140400.00
1992-05-01,1176400.00
1992-06-01,1212200.00
1992-07-01,1238200.00
1992-08-01,1252400.00
1992-09-01,1236700.00
1992-10-01,1234900.00
1992-11-01,1209900.00
1992-12-01,1177800.00
1993-01-01,1126300.00
1993-02-01,1128300.00
1993-03-01,1130900.00
1993-04-01,1172300.00
1993-05-01,1221700.00
1993-06-01,1262000.00
1993-07-01,1288200.00
1993-08-01,1292900.00
1993-09-01,1279900.00
1993-10-01,1288000.00
1993-11-01,1279100.00
1993-12-01,1259500.00
1994-01-01,1200000.00
1994-02-01,1183000.00
1994-03-01,1213300.00
1994-04-01,1257600.00
1994-05-01,1297700.00
1994-06-01,1338300.00
1994-07-01,1359800.00
1994-08-01,1370900.00
1994-09-01,1361100.00
1994-10-01,1360000.00
1994-11-01,1347700.00
1994-12-01,1319900.00
1995-01-01,1259400.00
1995-02-01,1235900.00
1995-03-01,1252900.00
1995-04-01,1286000.00
1995-05-01,1313600.00
1995-06-01,1356300.00
1995-07-01,1377900.00
1995-08-01,1385000.00
1995-09-01,1373400.00
1995-10-01,1374200.00
1995-11-01,1358600.00
1995-12-01,1331700.00
1996-01-01,1271700.00
1996-02-01,1270100.00
1996-03-01,1293800.00
1996-04-01,1334700.00
1996-05-01,1376800.00
1996-06-01,1424900.00
1996-07-01,1444100.00
1996-08-01,1452300.00
1996-09-01,1435900.00
1996-10-01,1432700.00
1996-11-01,1423800.00
1996-12-01,1402100.00
1997-01-01,1343800.00
1997-02-01,1342600.00
1997-03-01,1358800.00
1997-04-01,1393800.00
1997-05-01,1430700.00
1997-06-01,1471800.00
1997-07-01,1497300.00
1997-08-01,1499600.00
1997-09-01,1478700.00
1997-10-01,1480800.00
1997-11-01,1471800.00
1997-12-01,1455100.00
1998-01-01,1405600.00
1998-02-01,1398000.00
1998-03-01,1407400.00
1998-04-01,1455300.00
1998-05-01,1494000.00
1998-06-01,1551200.00
1998-07-01,1584200.00
1998-08-01,1588400.00
1998-09-01,1559800.00
1998-10-01,1568800.00
1998-11-01,1554900.00
1998-12-01,1538200.00
1999-01-01,1484900.00
1999-02-01,1488300.00
1999-03-01,1497700.00
1999-04-01,1538200.00
1999-05-01,1573700.00
1999-06-01,1629200.00
1999-07-01,1660600.00
1999-08-01,1654400.00
1999-09-01,1635300.00
1999-10-01,1635900.00
1999-11-01,1629400.00
1999-12-01,1608000.00
2000-01-01,1571200.00
2000-02-01,1563600.00
2000-03-01,1588000.00
2000-04-01,1603400.00
2000-05-01,1632500.00
2000-06-01,1680200.00
2000-07-01,1699000.00
2000-08-01,1691400.00
2000-09-01,1664900.00
2000-10-01,1662400.00
2000-11-01,1634500.00
2000-12-01,1598900.00
