Date,CEU2023610001
1985-01-01,598300.00
1985-02-01,578600.00
1985-03-01,601700.00
1985-04-01,632800.00
1985-05-01,663900.00
1985-06-01,688900.00
1985-07-01,702900.00
1985-08-01,715600.00
1985-09-01,707400.00
1985-10-01,710600.00
1985-11-01,703800.00
1985-12-01,689700.00
1986-01-01,633900.00
1986-02-01,621300.00
1986-03-01,637800.00
1986-04-01,673500.00
1986-05-01,703900.00
1986-06-01,732800.00
1986-07-01,746900.00
1986-08-01,757100.00
1986-09-01,747300.00
1986-10-01,755400.00
1986-11-01,744800.00
1986-12-01,733100.00
1987-01-01,671100.00
1987-02-01,661900.00
1987-03-01,680300.00
1987-04-01,705800.00
1987-05-01,730500.00
1987-06-01,757400.00
1987-07-01,772000.00
1987-08-01,769700.00
1987-09-01,758500.00
1987-10-01,768300.00
1987-11-01,759500.00
1987-12-01,738400.00
1988-01-01,696500.00
1988-02-01,688600.00
1988-03-01,704600.00
1988-04-01,731400.00
1988-05-01,753300.00
1988-06-01,786200.00
1988-07-01,787400.00
1988-08-01,784200.00
1988-09-01,767300.00
1988-10-01,756400.00
1988-11-01,744400.00
1988-12-01,724200.00
1989-01-01,689600.00
1989-02-01,668400.00
1989-03-01,663900.00
1989-04-01,684500.00
1989-05-01,711400.00
1989-06-01,735000.00
1989-07-01,748600.00
1989-08-01,755400.00
1989-09-01,737400.00
1989-10-01,728700.00
1989-11-01,717000.00
1989-12-01,698100.00
1990-01-01,668100.00
1990-02-01,661700.00
1990-03-01,661200.00
1990-04-01,668100.00
1990-05-01,688500.00
1990-06-01,707400.00
1990-07-01,711000.00
1990-08-01,701500.00
1990-09-01,682500.00
1990-10-01,665800.00
1990-11-01,638400.00
1990-12-01,615900.00
1991-01-01,570800.00
1991-02-01,558200.00
1991-03-01,558900.00
1991-04-01,565500.00
1991-05-01,586800.00
1991-06-01,604700.00
1991-07-01,608500.00
1991-08-01,604600.00
1991-09-01,591800.00
1991-10-01,580900.00
1991-11-01,562100.00
1991-12-01,546800.00
1992-01-01,516900.00
1992-02-01,508000.00
1992-03-01,507700.00
1992-04-01,524600.00
1992-05-01,544400.00
1992-06-01,566900.00
1992-07-01,580600.00
1992-08-01,587000.00
1992-09-01,578500.00
1992-10-01,575000.00
1992-11-01,565100.00
1992-12-01,552000.00
1993-01-01,530200.00
1993-02-01,531300.00
1993-03-01,534100.00
1993-04-01,558700.00
1993-05-01,585500.00
1993-06-01,607100.00
1993-07-01,616600.00
1993-08-01,615300.00
1993-09-01,605700.00
1993-10-01,605600.00
1993-11-01,604000.00
1993-12-01,599600.00
1994-01-01,579600.00
1994-02-01,572900.00
1994-03-01,584800.00
