Date,CEU2023800101
2001-01-01,1712700.00
2001-02-01,1719400.00
2001-03-01,1760000.00
2001-04-01,1802900.00
2001-05-01,1867200.00
2001-06-01,1912300.00
2001-07-01,1935200.00
2001-08-01,1936300.00
2001-09-01,1912100.00
2001-10-01,1904900.00
2001-11-01,1877800.00
2001-12-01,1836800.00
2002-01-01,1758100.00
2002-02-01,1751900.00
2002-03-01,1790200.00
2002-04-01,1836300.00
2002-05-01,1896400.00
2002-06-01,1934500.00
2002-07-01,1959800.00
2002-08-01,1965800.00
2002-09-01,1958300.00
2002-10-01,1956400.00
2002-11-01,1937300.00
2002-12-01,1896100.00
2003-01-01,1812900.00
2003-02-01,1802500.00
2003-03-01,1837000.00
2003-04-01,1892300.00
2003-05-01,1962600.00
2003-06-01,2022700.00
2003-07-01,2052000.00
2003-08-01,2067100.00
2003-09-01,2047500.00
2003-10-01,2053200.00
2003-11-01,2050200.00
2003-12-01,2006500.00
2004-01-01,1938600.00
2004-02-01,1940000.00
2004-03-01,1987800.00
2004-04-01,2061500.00
2004-05-01,2115800.00
2004-06-01,2188700.00
2004-07-01,2218200.00
2004-08-01,2236200.00
2004-09-01,2218500.00
2004-10-01,2226200.00
2004-11-01,2209400.00
2004-12-01,2168600.00
2005-01-01,2069000.00
2005-02-01,2091200.00
2005-03-01,2136700.00
2005-04-01,2229900.00
2005-05-01,2303800.00
2005-06-01,2366600.00
2005-07-01,2395500.00
2005-08-01,2407000.00
2005-09-01,2407900.00
2005-10-01,2429900.00
2005-11-01,2420100.00
2005-12-01,2369300.00
2006-01-01,2291000.00
2006-02-01,2298700.00
2006-03-01,2322600.00
2006-04-01,2378300.00
2006-05-01,2446200.00
2006-06-01,2493600.00
2006-07-01,2496800.00
2006-08-01,2500600.00
2006-09-01,2446100.00
2006-10-01,2405900.00
2006-11-01,2371300.00
2006-12-01,2309900.00
2007-01-01,2214300.00
2007-02-01,2172200.00
2007-03-01,2222100.00
2007-04-01,2272100.00
2007-05-01,2336900.00
2007-06-01,2386300.00
2007-07-01,2403600.00
2007-08-01,2371600.00
2007-09-01,2314100.00
2007-10-01,2283000.00
2007-11-01,2217500.00
2007-12-01,2131700.00
2008-01-01,2021500.00
2008-02-01,1992800.00
2008-03-01,1995300.00
2008-04-01,2021400.00
2008-05-01,2055300.00
2008-06-01,2086600.00
2008-07-01,2084200.00
2008-08-01,2059700.00
2008-09-01,2020900.00
2008-10-01,1981500.00
2008-11-01,1886500.00
2008-12-01,1784500.00
2009-01-01,1650900.00
2009-02-01,1602700.00
2009-03-01,1588300.00
2009-04-01,1602400.00
2009-05-01,1642800.00
2009-06-01,1662100.00
2009-07-01,1661600.00
2009-08-01,1646500.00
2009-09-01,1616300.00
2009-10-01,1601700.00
2009-11-01,1560100.00
2009-12-01,1493600.00
2010-01-01,1400400.00
2010-02-01,1382800.00
2010-03-01,1388000.00
2010-04-01,1441600.00
2010-05-01,1485600.00
2010-06-01,1528100.00
2010-07-01,1532000.00
2010-08-01,1526200.00
2010-09-01,1508700.00
2010-10-01,1497200.00
2010-11-01,1461100.00
2010-12-01,1400400.00
2011-01-01,1327800.00
2011-02-01,1328300.00
2011-03-01,1346300.00
2011-04-01,1402300.00
2011-05-01,1474100.00
2011-06-01,1511100.00
2011-07-01,1530400.00
2011-08-01,1529700.00
2011-09-01,1517100.00
2011-10-01,1515300.00
2011-11-01,1485500.00
2011-12-01,1432100.00
2012-01-01,1361700.00
2012-02-01,1354500.00
2012-03-01,1382100.00
2012-04-01,1435900.00
2012-05-01,1482300.00
2012-06-01,1528900.00
2012-07-01,1542600.00
2012-08-01,1552400.00
2012-09-01,1537900.00
2012-10-01,1539500.00
2012-11-01,1512600.00
2012-12-01,1472300.00
2013-01-01,1409800.00
2013-02-01,1418100.00
2013-03-01,1451900.00
2013-04-01,1508200.00
2013-05-01,1564300.00
2013-06-01,1622300.00
2013-07-01,1650200.00
2013-08-01,1659600.00
2013-09-01,1645300.00
2013-10-01,1642100.00
2013-11-01,1630300.00
2013-12-01,1577400.00
2014-01-01,1513200.00
2014-02-01,1509900.00
2014-03-01,1549400.00
2014-04-01,1613800.00
2014-05-01,1668500.00
2014-06-01,1723800.00
2014-07-01,1752700.00
2014-08-01,1765100.00
2014-09-01,1750800.00
2014-10-01,1761200.00
2014-11-01,1736300.00
2014-12-01,1693600.00
2015-01-01,1621100.00
2015-02-01,1629900.00
2015-03-01,1647800.00
2015-04-01,1728900.00
2015-05-01,1786700.00
2015-06-01,1828500.00
2015-07-01,1850100.00
2015-08-01,1851900.00
2015-09-01,1835800.00
2015-10-01,1840500.00
2015-11-01,1833600.00
2015-12-01,1802600.00
2016-01-01,1727400.00
2016-02-01,1736400.00
2016-03-01,1771100.00
2016-04-01,1826300.00
2016-05-01,1870900.00
2016-06-01,1918500.00
2016-07-01,1933100.00
2016-08-01,1938700.00
2016-09-01,1928800.00
2016-10-01,1923000.00
2016-11-01,1919900.00
2016-12-01,1888600.00
2017-01-01,1821100.00
2017-02-01,1830900.00
2017-03-01,1850300.00
2017-04-01,1900900.00
2017-05-01,1954200.00
2017-06-01,2003500.00
2017-07-01,2008600.00
2017-08-01,2018500.00
2017-09-01,1999400.00
2017-10-01,1997700.00
2017-11-01,1993300.00
2017-12-01,1964900.00
2018-01-01,1892500.00
2018-02-01,1920000.00
2018-03-01,1940100.00
2018-04-01,1983800.00
2018-05-01,2041900.00
