Date,CEU3000000011
2006-03-01,823.38
2006-04-01,826.61
2006-05-01,825.53
2006-06-01,832.14
2006-07-01,834.31
2006-08-01,834.08
2006-09-01,842.19
2006-10-01,848.22
2006-11-01,844.00
2006-12-01,863.23
2007-01-01,844.27
2007-02-01,840.80
2007-03-01,851.07
2007-04-01,862.40
2007-05-01,856.00
2007-06-01,861.08
2007-07-01,861.60
2007-08-01,862.29
2007-09-01,875.21
2007-10-01,859.20
2007-11-01,870.73
2007-12-01,889.95
2008-01-01,864.47
2008-02-01,866.45
2008-03-01,885.20
2008-04-01,877.40
2008-05-01,876.40
2008-06-01,891.03
2008-07-01,874.37
2008-08-01,882.40
2008-09-01,885.78
2008-10-01,889.53
2008-11-01,898.01
2008-12-01,896.74
2009-01-01,882.78
2009-02-01,889.34
2009-03-01,887.81
2009-04-01,882.04
2009-05-01,885.12
2009-06-01,890.07
2009-07-01,892.40
2009-08-01,903.11
2009-09-01,902.43
2009-10-01,909.29
2009-11-01,928.00
2009-12-01,932.33
2010-01-01,923.42
2010-02-01,914.93
2010-03-01,926.48
2010-04-01,932.33
2010-05-01,944.06
2010-06-01,930.23
2010-07-01,930.80
2010-08-01,943.25
2010-09-01,941.41
2010-10-01,949.63
2010-11-01,952.38
2010-12-01,958.08
2011-01-01,954.78
2011-02-01,946.76
2011-03-01,952.63
2011-04-01,955.06
2011-05-01,961.81
2011-06-01,951.42
2011-07-01,951.57
2011-08-01,953.78
2011-09-01,961.41
2011-10-01,973.83
2011-11-01,965.40
2011-12-01,977.10
2012-01-01,976.43
2012-02-01,967.55
2012-03-01,970.75
2012-04-01,980.42
2012-05-01,965.87
2012-06-01,967.85
2012-07-01,969.17
2012-08-01,963.44
2012-09-01,981.13
2012-10-01,970.29
2012-11-01,974.77
2012-12-01,999.87
2013-01-01,977.68
2013-02-01,981.71
2013-03-01,983.72
2013-04-01,988.20
2013-05-01,982.94
2013-06-01,997.12
2013-07-01,982.93
2013-08-01,991.83
2013-09-01,1008.16
2013-10-01,1000.81
2013-11-01,1008.59
2013-12-01,1027.13
2014-01-01,1002.38
2014-02-01,1006.02
2014-03-01,1016.39
2014-04-01,1010.62
2014-05-01,1012.29
2014-06-01,1020.94
2014-07-01,1007.69
2014-08-01,1013.52
2014-09-01,1018.87
2014-10-01,1017.62
2014-11-01,1035.43
2014-12-01,1034.59
2015-01-01,1022.45
2015-02-01,1023.61
2015-03-01,1029.04
2015-04-01,1023.61
2015-05-01,1021.98
2015-06-01,1018.72
2015-07-01,1018.98
2015-08-01,1036.48
2015-09-01,1024.95
2015-10-01,1034.69
2015-11-01,1049.28
2015-12-01,1052.16
2016-01-01,1043.01
2016-02-01,1038.68
2016-03-01,1045.86
2016-04-01,1051.95
2016-05-01,1060.39
2016-06-01,1051.69
2016-07-01,1050.40
2016-08-01,1056.57
2016-09-01,1064.06
2016-10-01,1079.12
2016-11-01,1070.18
2016-12-01,1081.17
2017-01-01,1079.77
2017-02-01,1069.61
2017-03-01,1069.61
2017-04-01,1080.30
2017-05-01,1078.14
2017-06-01,1080.17
2017-07-01,1086.69
2017-08-01,1077.94
2017-09-01,1087.32
2017-10-01,1102.92
2017-11-01,1095.73
2017-12-01,1105.40
2018-01-01,1092.29
2018-02-01,1094.66
2018-03-01,1096.30
2018-04-01,1113.40
2018-05-01,1096.30
