Date,CEU3132100001
1990-01-01,544700.00
1990-02-01,542900.00
1990-03-01,547400.00
1990-04-01,549700.00
1990-05-01,551900.00
1990-06-01,558200.00
1990-07-01,555300.00
1990-08-01,552600.00
1990-09-01,545200.00
1990-10-01,533800.00
1990-11-01,521300.00
1990-12-01,512800.00
1991-01-01,499900.00
1991-02-01,486900.00
1991-03-01,488500.00
1991-04-01,494900.00
1991-05-01,503600.00
1991-06-01,512400.00
1991-07-01,511600.00
1991-08-01,512400.00
1991-09-01,508300.00
1991-10-01,502000.00
1991-11-01,496400.00
1991-12-01,491200.00
1992-01-01,483100.00
1992-02-01,484300.00
1992-03-01,489700.00
1992-04-01,496700.00
1992-05-01,503600.00
1992-06-01,511400.00
1992-07-01,512200.00
1992-08-01,516100.00
1992-09-01,514800.00
1992-10-01,513900.00
1992-11-01,512800.00
1992-12-01,511000.00
1993-01-01,505500.00
1993-02-01,507300.00
1993-03-01,513200.00
1993-04-01,516700.00
1993-05-01,521100.00
1993-06-01,529700.00
1993-07-01,532300.00
1993-08-01,536600.00
1993-09-01,537700.00
1993-10-01,538500.00
1993-11-01,538200.00
1993-12-01,539700.00
1994-01-01,537900.00
1994-02-01,539000.00
1994-03-01,543600.00
1994-04-01,552200.00
1994-05-01,558200.00
1994-06-01,571100.00
1994-07-01,573000.00
1994-08-01,577400.00
1994-09-01,575700.00
1994-10-01,575900.00
1994-11-01,577200.00
1994-12-01,574100.00
1995-01-01,569500.00
1995-02-01,566700.00
1995-03-01,569200.00
1995-04-01,571100.00
1995-05-01,574300.00
1995-06-01,580400.00
1995-07-01,579500.00
1995-08-01,582400.00
1995-09-01,581200.00
1995-10-01,581100.00
1995-11-01,578900.00
1995-12-01,578800.00
1996-01-01,565700.00
1996-02-01,566800.00
1996-03-01,569200.00
1996-04-01,577300.00
1996-05-01,583400.00
1996-06-01,593600.00
1996-07-01,593500.00
1996-08-01,599000.00
1996-09-01,595800.00
1996-10-01,595400.00
1996-11-01,593100.00
1996-12-01,589700.00
1997-01-01,579800.00
1997-02-01,580800.00
1997-03-01,586300.00
1997-04-01,592100.00
1997-05-01,598800.00
1997-06-01,605500.00
1997-07-01,604400.00
1997-08-01,609500.00
1997-09-01,605500.00
1997-10-01,604700.00
1997-11-01,603100.00
1997-12-01,602600.00
1998-01-01,596800.00
1998-02-01,597400.00
1998-03-01,602000.00
1998-04-01,607500.00
1998-05-01,612100.00
1998-06-01,618300.00
1998-07-01,619400.00
1998-08-01,619800.00
1998-09-01,617900.00
1998-10-01,616500.00
1998-11-01,615400.00
1998-12-01,615600.00
1999-01-01,609700.00
1999-02-01,610300.00
1999-03-01,613300.00
1999-04-01,618400.00
1999-05-01,623600.00
1999-06-01,630200.00
1999-07-01,630300.00
1999-08-01,632100.00
1999-09-01,629400.00
1999-10-01,627200.00
1999-11-01,626100.00
1999-12-01,621700.00
2000-01-01,614700.00
2000-02-01,614900.00
2000-03-01,616200.00
2000-04-01,621800.00
2000-05-01,623000.00
2000-06-01,629700.00
2000-07-01,625300.00
2000-08-01,623600.00
2000-09-01,615200.00
2000-10-01,605900.00
2000-11-01,601000.00
2000-12-01,593900.00
2001-01-01,579300.00
2001-02-01,574800.00
2001-03-01,575400.00
2001-04-01,577000.00
2001-05-01,577500.00
2001-06-01,586400.00
2001-07-01,584300.00
2001-08-01,581200.00
2001-09-01,581000.00
2001-10-01,571800.00
2001-11-01,565800.00
2001-12-01,561600.00
2002-01-01,553400.00
2002-02-01,552400.00
2002-03-01,552700.00
2002-04-01,556500.00
2002-05-01,560300.00
2002-06-01,566600.00
2002-07-01,564500.00
2002-08-01,568400.00
2002-09-01,561100.00
2002-10-01,555300.00
2002-11-01,550500.00
2002-12-01,542300.00
2003-01-01,535100.00
2003-02-01,533100.00
2003-03-01,530500.00
2003-04-01,536700.00
2003-05-01,540200.00
2003-06-01,543900.00
2003-07-01,542900.00
2003-08-01,543800.00
2003-09-01,542600.00
2003-10-01,542800.00
2003-11-01,543200.00
2003-12-01,539700.00
2004-01-01,531900.00
2004-02-01,535100.00
2004-03-01,537200.00
2004-04-01,542400.00
2004-05-01,551800.00
2004-06-01,560200.00
2004-07-01,561200.00
2004-08-01,563600.00
2004-09-01,558500.00
2004-10-01,562400.00
2004-11-01,558700.00
2004-12-01,555800.00
2005-01-01,547800.00
2005-02-01,549100.00
2005-03-01,552300.00
2005-04-01,553100.00
2005-05-01,556500.00
2005-06-01,569100.00
2005-07-01,566300.00
2005-08-01,569700.00
2005-09-01,567600.00
2005-10-01,564800.00
2005-11-01,567400.00
2005-12-01,568600.00
2006-01-01,563200.00
2006-02-01,562600.00
2006-03-01,565200.00
2006-04-01,566100.00
2006-05-01,571200.00
2006-06-01,575000.00
2006-07-01,572200.00
2006-08-01,568600.00
2006-09-01,560300.00
2006-10-01,547400.00
2006-11-01,539800.00
2006-12-01,535300.00
2007-01-01,527200.00
2007-02-01,518800.00
2007-03-01,519100.00
2007-04-01,519000.00
2007-05-01,523600.00
2007-06-01,528500.00
2007-07-01,530100.00
2007-08-01,524500.00
2007-09-01,513600.00
2007-10-01,505300.00
2007-11-01,498500.00
2007-12-01,496600.00
2008-01-01,485300.00
2008-02-01,475900.00
2008-03-01,472200.00
2008-04-01,472700.00
2008-05-01,468200.00
2008-06-01,469000.00
2008-07-01,465800.00
2008-08-01,459600.00
2008-09-01,450700.00
2008-10-01,438200.00
2008-11-01,424900.00
2008-12-01,409300.00
2009-01-01,385300.00
2009-02-01,364600.00
2009-03-01,366800.00
2009-04-01,365800.00
2009-05-01,360700.00
2009-06-01,359600.00
2009-07-01,358700.00
2009-08-01,359300.00
2009-09-01,356400.00
2009-10-01,352200.00
2009-11-01,348100.00
2009-12-01,344400.00
2010-01-01,334000.00
2010-02-01,332200.00
2010-03-01,334000.00
2010-04-01,342000.00
2010-05-01,347200.00
2010-06-01,354500.00
2010-07-01,350900.00
2010-08-01,350900.00
2010-09-01,344800.00
2010-10-01,339600.00
2010-11-01,339200.00
2010-12-01,336200.00
2011-01-01,332600.00
2011-02-01,333000.00
2011-03-01,333500.00
2011-04-01,337600.00
2011-05-01,339900.00
2011-06-01,342100.00
2011-07-01,338000.00
2011-08-01,341800.00
2011-09-01,339400.00
2011-10-01,337400.00
2011-11-01,335700.00
2011-12-01,334000.00
2012-01-01,330700.00
2012-02-01,329700.00
2012-03-01,332200.00
2012-04-01,335400.00
2012-05-01,338600.00
2012-06-01,343300.00
2012-07-01,343900.00
2012-08-01,342500.00
2012-09-01,340800.00
2012-10-01,342300.00
2012-11-01,345000.00
2012-12-01,344900.00
2013-01-01,340700.00
2013-02-01,341300.00
2013-03-01,344200.00
2013-04-01,345900.00
2013-05-01,351000.00
2013-06-01,356100.00
2013-07-01,358500.00
2013-08-01,359000.00
2013-09-01,359000.00
2013-10-01,361200.00
2013-11-01,361000.00
2013-12-01,359900.00
2014-01-01,357500.00
2014-02-01,360000.00
2014-03-01,361900.00
2014-04-01,367200.00
2014-05-01,371600.00
2014-06-01,375900.00
2014-07-01,378700.00
2014-08-01,379500.00
2014-09-01,377700.00
2014-10-01,377500.00
2014-11-01,377400.00
2014-12-01,374300.00
2015-01-01,373100.00
2015-02-01,372700.00
2015-03-01,372900.00
2015-04-01,376200.00
2015-05-01,379800.00
2015-06-01,382100.00
2015-07-01,384500.00
2015-08-01,387900.00
2015-09-01,388300.00
2015-10-01,389200.00
2015-11-01,391800.00
2015-12-01,391700.00
2016-01-01,385300.00
2016-02-01,385600.00
2016-03-01,385600.00
2016-04-01,388800.00
2016-05-01,392200.00
2016-06-01,398000.00
2016-07-01,396900.00
2016-08-01,397200.00
2016-09-01,393900.00
2016-10-01,395300.00
2016-11-01,396400.00
2016-12-01,397100.00
2017-01-01,394400.00
2017-02-01,392000.00
2017-03-01,393500.00
2017-04-01,395200.00
2017-05-01,396700.00
2017-06-01,399800.00
2017-07-01,399800.00
2017-08-01,400800.00
2017-09-01,394700.00
2017-10-01,398400.00
2017-11-01,396800.00
2017-12-01,399100.00
2018-01-01,395500.00
2018-02-01,398500.00
2018-03-01,401600.00
2018-04-01,402500.00
2018-05-01,406500.00
