Date,CEU3133500001
1990-01-01,646700.00
1990-02-01,643200.00
1990-03-01,642400.00
1990-04-01,641200.00
1990-05-01,638000.00
1990-06-01,640200.00
1990-07-01,626600.00
1990-08-01,629200.00
1990-09-01,626700.00
1990-10-01,625500.00
1990-11-01,620500.00
1990-12-01,617100.00
1991-01-01,608300.00
1991-02-01,603100.00
1991-03-01,600400.00
1991-04-01,597800.00
1991-05-01,597600.00
1991-06-01,600000.00
1991-07-01,589200.00
1991-08-01,595800.00
1991-09-01,595400.00
1991-10-01,594400.00
1991-11-01,596600.00
1991-12-01,594200.00
1992-01-01,588000.00
1992-02-01,583100.00
1992-03-01,582100.00
1992-04-01,582800.00
1992-05-01,582600.00
1992-06-01,584200.00
1992-07-01,573200.00
1992-08-01,574700.00
1992-09-01,576700.00
1992-10-01,575000.00
1992-11-01,575400.00
1992-12-01,575000.00
1993-01-01,573600.00
1993-02-01,573600.00
1993-03-01,575200.00
1993-04-01,575800.00
1993-05-01,575000.00
1993-06-01,575600.00
1993-07-01,571100.00
1993-08-01,572200.00
1993-09-01,576500.00
1993-10-01,578000.00
1993-11-01,581000.00
1993-12-01,582200.00
1994-01-01,578400.00
1994-02-01,581300.00
1994-03-01,583700.00
1994-04-01,588000.00
1994-05-01,587100.00
1994-06-01,592700.00
1994-07-01,583700.00
1994-08-01,590400.00
1994-09-01,593900.00
1994-10-01,591400.00
1994-11-01,595300.00
1994-12-01,596600.00
1995-01-01,596600.00
1995-02-01,597300.00
1995-03-01,595700.00
1995-04-01,594700.00
1995-05-01,594600.00
1995-06-01,595400.00
1995-07-01,585100.00
1995-08-01,587100.00
1995-09-01,590800.00
1995-10-01,591300.00
1995-11-01,592000.00
1995-12-01,592700.00
1996-01-01,590600.00
1996-02-01,590800.00
1996-03-01,589500.00
1996-04-01,587900.00
1996-05-01,591300.00
1996-06-01,593800.00
1996-07-01,587000.00
1996-08-01,589000.00
1996-09-01,592200.00
1996-10-01,592300.00
1996-11-01,594700.00
1996-12-01,593200.00
1997-01-01,589900.00
1997-02-01,588000.00
1997-03-01,586700.00
1997-04-01,581800.00
1997-05-01,582700.00
1997-06-01,585800.00
1997-07-01,581000.00
1997-08-01,583600.00
1997-09-01,586500.00
1997-10-01,587300.00
1997-11-01,591000.00
1997-12-01,590800.00
1998-01-01,591100.00
1998-02-01,590400.00
1998-03-01,591900.00
1998-04-01,591500.00
1998-05-01,590900.00
1998-06-01,595100.00
1998-07-01,588900.00
1998-08-01,589200.00
1998-09-01,594200.00
1998-10-01,591200.00
1998-11-01,592600.00
1998-12-01,591600.00
1999-01-01,587900.00
1999-02-01,587800.00
1999-03-01,588800.00
1999-04-01,590700.00
1999-05-01,588700.00
1999-06-01,590100.00
1999-07-01,588500.00
1999-08-01,582900.00
1999-09-01,584100.00
1999-10-01,587500.00
1999-11-01,588700.00
1999-12-01,589800.00
2000-01-01,589500.00
2000-02-01,590300.00
2000-03-01,591000.00
2000-04-01,591500.00
2000-05-01,590600.00
2000-06-01,596200.00
2000-07-01,595100.00
2000-08-01,591900.00
2000-09-01,591700.00
2000-10-01,588900.00
2000-11-01,585300.00
2000-12-01,588200.00
2001-01-01,581500.00
2001-02-01,584900.00
2001-03-01,580100.00
2001-04-01,575400.00
2001-05-01,568800.00
2001-06-01,565000.00
2001-07-01,553300.00
2001-08-01,551600.00
2001-09-01,544100.00
2001-10-01,534100.00
2001-11-01,526300.00
2001-12-01,517900.00
2002-01-01,514800.00
2002-02-01,509300.00
2002-03-01,506600.00
2002-04-01,502700.00
2002-05-01,500600.00
2002-06-01,500200.00
2002-07-01,497500.00
2002-08-01,493700.00
2002-09-01,490200.00
2002-10-01,484200.00
2002-11-01,479400.00
2002-12-01,479300.00
2003-01-01,474700.00
2003-02-01,470700.00
2003-03-01,469600.00
2003-04-01,465500.00
2003-05-01,460000.00
2003-06-01,461500.00
2003-07-01,457200.00
2003-08-01,453800.00
2003-09-01,452500.00
2003-10-01,449700.00
