Date,CEU3231300001
1990-01-01,500100.00
1990-02-01,497100.00
1990-03-01,494300.00
1990-04-01,494900.00
1990-05-01,491900.00
1990-06-01,494400.00
1990-07-01,482700.00
1990-08-01,492400.00
1990-09-01,492600.00
1990-10-01,490100.00
1990-11-01,487300.00
1990-12-01,483400.00
1991-01-01,479700.00
1991-02-01,474700.00
1991-03-01,475200.00
1991-04-01,476600.00
1991-05-01,479900.00
1991-06-01,481900.00
1991-07-01,475300.00
1991-08-01,483200.00
1991-09-01,484200.00
1991-10-01,484300.00
1991-11-01,482900.00
1991-12-01,480900.00
1992-01-01,478000.00
1992-02-01,477700.00
1992-03-01,477400.00
1992-04-01,479400.00
1992-05-01,479800.00
1992-06-01,481900.00
1992-07-01,475200.00
1992-08-01,479900.00
1992-09-01,482700.00
1992-10-01,477500.00
1992-11-01,479300.00
1992-12-01,479300.00
1993-01-01,477700.00
1993-02-01,478400.00
1993-03-01,477100.00
1993-04-01,481300.00
1993-05-01,482000.00
1993-06-01,483200.00
1993-07-01,475100.00
1993-08-01,477600.00
1993-09-01,479900.00
1993-10-01,477700.00
1993-11-01,477300.00
1993-12-01,477200.00
1994-01-01,474300.00
1994-02-01,474100.00
1994-03-01,474100.00
1994-04-01,475500.00
1994-05-01,476600.00
1994-06-01,480400.00
1994-07-01,473300.00
1994-08-01,480600.00
1994-09-01,480300.00
1994-10-01,480600.00
1994-11-01,481300.00
1994-12-01,480300.00
1995-01-01,477600.00
1995-02-01,478700.00
1995-03-01,477900.00
1995-04-01,479600.00
1995-05-01,475300.00
1995-06-01,474400.00
1995-07-01,460300.00
1995-08-01,466000.00
1995-09-01,462700.00
1995-10-01,458600.00
1995-11-01,457400.00
1995-12-01,453700.00
1996-01-01,446000.00
1996-02-01,446400.00
1996-03-01,444700.00
1996-04-01,442800.00
1996-05-01,446100.00
1996-06-01,447100.00
1996-07-01,438800.00
1996-08-01,444400.00
1996-09-01,441900.00
1996-10-01,442200.00
1996-11-01,439500.00
1996-12-01,438500.00
1997-01-01,436900.00
1997-02-01,435300.00
1997-03-01,437500.00
1997-04-01,436600.00
1997-05-01,438100.00
1997-06-01,439700.00
1997-07-01,432200.00
1997-08-01,436300.00
1997-09-01,436000.00
1997-10-01,435100.00
1997-11-01,434800.00
1997-12-01,436000.00
1998-01-01,432700.00
1998-02-01,431900.00
1998-03-01,431100.00
1998-04-01,432100.00
1998-05-01,430900.00
1998-06-01,429900.00
1998-07-01,420300.00
1998-08-01,420000.00
1998-09-01,421800.00
1998-10-01,416900.00
1998-11-01,414600.00
1998-12-01,412300.00
1999-01-01,408500.00
1999-02-01,405200.00
1999-03-01,403300.00
1999-04-01,402400.00
1999-05-01,399900.00
1999-06-01,400000.00
1999-07-01,393600.00
1999-08-01,393700.00
1999-09-01,392600.00
1999-10-01,391100.00
1999-11-01,388300.00
1999-12-01,386500.00
2000-01-01,380500.00
2000-02-01,382500.00
2000-03-01,382800.00
2000-04-01,382300.00
2000-05-01,381700.00
2000-06-01,382800.00
2000-07-01,377800.00
2000-08-01,380300.00
2000-09-01,377400.00
2000-10-01,373400.00
2000-11-01,370700.00
2000-12-01,366600.00
2001-01-01,360400.00
2001-02-01,351100.00
2001-03-01,352100.00
2001-04-01,347200.00
2001-05-01,342900.00
2001-06-01,338400.00
2001-07-01,329400.00
2001-08-01,324800.00
2001-09-01,320900.00
2001-10-01,314500.00
2001-11-01,308200.00
2001-12-01,305100.00
2002-01-01,298200.00
2002-02-01,297200.00
2002-03-01,297000.00
2002-04-01,295900.00
2002-05-01,294800.00
2002-06-01,294200.00
2002-07-01,290700.00
2002-08-01,290500.00
2002-09-01,288600.00
2002-10-01,283600.00
2002-11-01,281700.00
2002-12-01,278800.00
2003-01-01,277600.00
