Date,CEU3232200001
1990-01-01,643600.00
1990-02-01,644400.00
1990-03-01,644000.00
1990-04-01,645000.00
1990-05-01,645200.00
1990-06-01,654200.00
1990-07-01,652700.00
1990-08-01,653400.00
1990-09-01,649100.00
1990-10-01,646800.00
1990-11-01,644700.00
1990-12-01,642700.00
1991-01-01,639000.00
1991-02-01,637400.00
1991-03-01,636200.00
1991-04-01,634600.00
1991-05-01,634800.00
1991-06-01,641800.00
1991-07-01,640200.00
1991-08-01,643500.00
1991-09-01,640000.00
1991-10-01,638600.00
1991-11-01,638200.00
1991-12-01,637500.00
1992-01-01,633200.00
1992-02-01,631300.00
1992-03-01,632300.00
1992-04-01,634500.00
1992-05-01,637300.00
1992-06-01,645100.00
1992-07-01,643100.00
1992-08-01,644800.00
1992-09-01,646400.00
1992-10-01,642700.00
1992-11-01,642200.00
1992-12-01,642000.00
1993-01-01,637500.00
1993-02-01,637000.00
1993-03-01,637400.00
1993-04-01,636800.00
1993-05-01,638900.00
1993-06-01,646200.00
1993-07-01,643800.00
1993-08-01,643300.00
1993-09-01,641700.00
1993-10-01,638100.00
1993-11-01,637900.00
1993-12-01,637900.00
1994-01-01,635500.00
1994-02-01,635300.00
1994-03-01,634700.00
1994-04-01,634500.00
1994-05-01,636100.00
1994-06-01,643900.00
1994-07-01,643600.00
1994-08-01,643100.00
1994-09-01,639900.00
1994-10-01,641000.00
1994-11-01,642500.00
1994-12-01,642100.00
1995-01-01,639400.00
1995-02-01,637900.00
1995-03-01,637700.00
1995-04-01,638700.00
1995-05-01,639000.00
1995-06-01,645800.00
1995-07-01,643600.00
1995-08-01,644400.00
1995-09-01,639200.00
1995-10-01,636800.00
1995-11-01,635600.00
1995-12-01,635300.00
1996-01-01,632500.00
1996-02-01,629900.00
1996-03-01,628300.00
1996-04-01,625900.00
1996-05-01,629000.00
1996-06-01,635300.00
1996-07-01,632000.00
1996-08-01,634100.00
1996-09-01,632700.00
1996-10-01,630700.00
1996-11-01,632700.00
1996-12-01,633400.00
1997-01-01,630100.00
1997-02-01,629700.00
1997-03-01,629000.00
1997-04-01,628300.00
1997-05-01,630200.00
1997-06-01,635100.00
1997-07-01,632500.00
1997-08-01,632900.00
1997-09-01,631000.00
1997-10-01,628700.00
1997-11-01,629900.00
1997-12-01,630200.00
1998-01-01,628300.00
1998-02-01,626800.00
1998-03-01,626100.00
1998-04-01,624200.00
1998-05-01,625400.00
1998-06-01,629900.00
1998-07-01,625700.00
1998-08-01,626000.00
1998-09-01,624900.00
1998-10-01,621100.00
