Date,CEU4000000001
1939-01-01,6479000.00
1939-02-01,6471000.00
1939-03-01,6530000.00
1939-04-01,6597000.00
1939-05-01,6637000.00
1939-06-01,6711000.00
1939-07-01,6673000.00
1939-08-01,6690000.00
1939-09-01,6854000.00
1939-10-01,6975000.00
1939-11-01,7004000.00
1939-12-01,7243000.00
1940-01-01,6771000.00
1940-02-01,6770000.00
1940-03-01,6898000.00
1940-04-01,6863000.00
1940-05-01,6945000.00
1940-06-01,7018000.00
1940-07-01,6961000.00
1940-08-01,7004000.00
1940-09-01,7154000.00
1940-10-01,7235000.00
1940-11-01,7297000.00
1940-12-01,7602000.00
1941-01-01,7085000.00
1941-02-01,7106000.00
1941-03-01,7204000.00
1941-04-01,7413000.00
1941-05-01,7439000.00
1941-06-01,7561000.00
1941-07-01,7589000.00
1941-08-01,7668000.00
1941-09-01,7756000.00
1941-10-01,7820000.00
1941-11-01,7863000.00
1941-12-01,8090000.00
1942-01-01,7567000.00
1942-02-01,7511000.00
1942-03-01,7542000.00
1942-04-01,7567000.00
1942-05-01,7570000.00
1942-06-01,7552000.00
1942-07-01,7502000.00
1942-08-01,7513000.00
1942-09-01,7574000.00
1942-10-01,7686000.00
1942-11-01,7735000.00
1942-12-01,7965000.00
1943-01-01,7470000.00
1943-02-01,7438000.00
1943-03-01,7494000.00
1943-04-01,7587000.00
1943-05-01,7546000.00
1943-06-01,7625000.00
1943-07-01,7606000.00
1943-08-01,7570000.00
1943-09-01,7611000.00
1943-10-01,7718000.00
1943-11-01,7843000.00
1943-12-01,8025000.00
1944-01-01,7636000.00
1944-02-01,7646000.00
1944-03-01,7695000.00
1944-04-01,7735000.00
1944-05-01,7729000.00
1944-06-01,7767000.00
1944-07-01,7757000.00
1944-08-01,7750000.00
1944-09-01,7795000.00
1944-10-01,7897000.00
1944-11-01,8017000.00
1944-12-01,8231000.00
1945-01-01,7840000.00
1945-02-01,7846000.00
1945-03-01,7923000.00
1945-04-01,7858000.00
1945-05-01,7889000.00
1945-06-01,7918000.00
1945-07-01,7931000.00
1945-08-01,7935000.00
1945-09-01,8051000.00
1945-10-01,8206000.00
1945-11-01,8439000.00
1945-12-01,8734000.00
1946-01-01,8482000.00
1946-02-01,8538000.00
1946-03-01,8680000.00
1946-04-01,8793000.00
1946-05-01,8746000.00
1946-06-01,8824000.00
1946-07-01,8883000.00
1946-08-01,8996000.00
1946-09-01,9068000.00
1946-10-01,9215000.00
1946-11-01,9425000.00
1946-12-01,9689000.00
1947-01-01,9217000.00
1947-02-01,9179000.00
1947-03-01,9261000.00
1947-04-01,9190000.00
1947-05-01,9247000.00
1947-06-01,9373000.00
1947-07-01,9385000.00
1947-08-01,9417000.00
1947-09-01,9557000.00
1947-10-01,9685000.00
