Date,CEU4000000003
2006-03-01,18.24
2006-04-01,18.52
2006-05-01,18.22
2006-06-01,18.25
2006-07-01,18.45
2006-08-01,18.19
2006-09-01,18.37
2006-10-01,18.38
2006-11-01,18.19
2006-12-01,18.22
2007-01-01,18.44
2007-02-01,18.54
2007-03-01,18.46
2007-04-01,18.75
2007-05-01,18.46
2007-06-01,18.53
2007-07-01,18.64
2007-08-01,18.47
2007-09-01,18.80
2007-10-01,18.66
2007-11-01,18.57
2007-12-01,18.62
2008-01-01,18.76
2008-02-01,18.87
2008-03-01,18.90
2008-04-01,18.92
2008-05-01,18.88
2008-06-01,18.99
2008-07-01,18.93
2008-08-01,18.92
2008-09-01,19.05
2008-10-01,18.95
2008-11-01,19.07
2008-12-01,18.91
2009-01-01,19.20
2009-02-01,19.38
2009-03-01,19.35
2009-04-01,19.30
2009-05-01,19.25
2009-06-01,19.17
2009-07-01,19.22
2009-08-01,19.49
2009-09-01,19.44
2009-10-01,19.38
2009-11-01,19.45
2009-12-01,19.27
2010-01-01,19.64
2010-02-01,19.67
2010-03-01,19.61
2010-04-01,19.72
2010-05-01,19.73
2010-06-01,19.53
2010-07-01,19.59
2010-08-01,19.66
2010-09-01,19.76
2010-10-01,19.74
2010-11-01,19.62
2010-12-01,19.53
2011-01-01,20.10
2011-02-01,19.98
2011-03-01,19.89
2011-04-01,20.03
2011-05-01,20.11
2011-06-01,19.94
2011-07-01,20.07
2011-08-01,19.93
2011-09-01,20.09
2011-10-01,20.28
2011-11-01,20.06
2011-12-01,19.96
2012-01-01,20.44
2012-02-01,20.31
2012-03-01,20.29
2012-04-01,20.67
2012-05-01,20.38
2012-06-01,20.43
2012-07-01,20.65
2012-08-01,20.38
2012-09-01,20.76
2012-10-01,20.57
2012-11-01,20.48
2012-12-01,20.62
2013-01-01,20.85
2013-02-01,20.85
2013-03-01,20.85
2013-04-01,21.02
2013-05-01,20.86
2013-06-01,21.06
2013-07-01,20.94
2013-08-01,20.89
2013-09-01,21.23
2013-10-01,21.07
2013-11-01,20.99
2013-12-01,20.95
2014-01-01,21.26
2014-02-01,21.46
2014-03-01,21.44
2014-04-01,21.49
2014-05-01,21.36
2014-06-01,21.46
2014-07-01,21.34
2014-08-01,21.31
2014-09-01,21.45
2014-10-01,21.40
2014-11-01,21.53
2014-12-01,21.13
2015-01-01,21.68
2015-02-01,21.86
2015-03-01,21.79
2015-04-01,21.85
2015-05-01,21.77
2015-06-01,21.71
2015-07-01,21.78
2015-08-01,21.94
2015-09-01,21.91
2015-10-01,21.99
2015-11-01,22.01
2015-12-01,21.70
2016-01-01,22.15
2016-02-01,22.15
2016-03-01,22.21
2016-04-01,22.37
2016-05-01,22.40
2016-06-01,22.29
2016-07-01,22.34
2016-08-01,22.29
2016-09-01,22.45
2016-10-01,22.68
2016-11-01,22.41
2016-12-01,22.14
2017-01-01,22.81
2017-02-01,22.66
2017-03-01,22.61
2017-04-01,22.92
2017-05-01,22.71
2017-06-01,22.71
2017-07-01,22.96
2017-08-01,22.73
2017-09-01,22.94
2017-10-01,23.03
2017-11-01,22.76
2017-12-01,22.67
2018-01-01,23.11
2018-02-01,23.13
2018-03-01,23.11
2018-04-01,23.46
2018-05-01,23.24
