Date,CEU4200000011
2006-03-01,470.01
2006-04-01,487.90
2006-05-01,475.45
2006-06-01,480.95
2006-07-01,491.69
2006-08-01,480.73
2006-09-01,481.52
2006-10-01,482.09
2006-11-01,472.10
2006-12-01,477.97
2007-01-01,471.43
2007-02-01,469.96
2007-03-01,473.26
2007-04-01,483.48
2007-05-01,477.16
2007-06-01,484.16
2007-07-01,489.35
2007-08-01,482.14
2007-09-01,492.34
2007-10-01,479.06
2007-11-01,473.13
2007-12-01,482.03
2008-01-01,471.12
2008-02-01,472.72
2008-03-01,480.32
2008-04-01,478.26
2008-05-01,479.48
2008-06-01,488.64
2008-07-01,481.52
2008-08-01,483.36
2008-09-01,483.84
2008-10-01,474.24
2008-11-01,474.86
2008-12-01,467.74
2009-01-01,471.24
2009-02-01,479.25
2009-03-01,478.94
2009-04-01,477.09
2009-05-01,480.48
2009-06-01,479.52
2009-07-01,484.16
2009-08-01,490.75
2009-09-01,492.96
2009-10-01,480.17
2009-11-01,480.79
2009-12-01,479.12
2010-01-01,477.40
2010-02-01,476.77
2010-03-01,480.80
2010-04-01,488.89
2010-05-01,490.77
2010-06-01,486.70
2010-07-01,492.94
2010-08-01,497.28
2010-09-01,494.24
2010-10-01,490.78
2010-11-01,483.60
2010-12-01,493.12
2011-01-01,491.35
2011-02-01,487.60
2011-03-01,489.83
2011-04-01,500.54
2011-05-01,504.03
2011-06-01,498.96
2011-07-01,507.85
2011-08-01,500.53
2011-09-01,505.94
2011-10-01,513.28
2011-11-01,500.22
2011-12-01,507.79
2012-01-01,507.42
2012-02-01,505.85
2012-03-01,507.47
2012-04-01,520.20
2012-05-01,510.93
2012-06-01,517.34
2012-07-01,527.72
2012-08-01,516.11
2012-09-01,531.52
2012-10-01,513.63
2012-11-01,508.68
2012-12-01,522.56
2013-01-01,509.74
2013-02-01,515.33
2013-03-01,521.24
2013-04-01,521.35
2013-05-01,522.59
2013-06-01,531.38
2013-07-01,526.54
2013-08-01,527.88
2013-09-01,536.47
2013-10-01,519.06
2013-11-01,511.09
2013-12-01,524.38
2014-01-01,511.79
2014-02-01,521.75
2014-03-01,530.54
2014-04-01,532.90
2014-05-01,530.71
2014-06-01,540.68
2014-07-01,537.08
2014-08-01,537.95
2014-09-01,540.86
2014-10-01,533.52
2014-11-01,538.20
2014-12-01,534.01
2015-01-01,532.95
2015-02-01,544.75
2015-03-01,544.79
2015-04-01,543.94
2015-05-01,547.62
2015-06-01,546.99
2015-07-01,553.32
2015-08-01,562.88
2015-09-01,566.54
2015-10-01,552.86
2015-11-01,554.52
2015-12-01,551.58
2016-01-01,545.23
2016-02-01,547.62
2016-03-01,547.38
2016-04-01,554.04
2016-05-01,557.31
2016-06-01,557.00
2016-07-01,559.64
2016-08-01,556.30
2016-09-01,558.31
2016-10-01,560.79
2016-11-01,548.05
2016-12-01,555.53
2017-01-01,553.27
2017-02-01,546.01
2017-03-01,549.92
2017-04-01,571.54
2017-05-01,560.84
2017-06-01,563.84
2017-07-01,578.28
2017-08-01,567.22
2017-09-01,568.85
2017-10-01,571.31
2017-11-01,562.91
2017-12-01,567.54
2018-01-01,562.73
2018-02-01,564.88
2018-03-01,568.57
2018-04-01,584.99
2018-05-01,581.57
