Date,CEU4245100001
1990-01-01,476500.00
1990-02-01,444400.00
1990-03-01,445500.00
1990-04-01,442700.00
1990-05-01,443400.00
1990-06-01,440800.00
1990-07-01,441800.00
1990-08-01,446900.00
1990-09-01,460100.00
1990-10-01,468500.00
1990-11-01,508400.00
1990-12-01,543800.00
1991-01-01,482600.00
1991-02-01,449700.00
1991-03-01,443000.00
1991-04-01,437600.00
1991-05-01,437100.00
1991-06-01,434700.00
1991-07-01,433600.00
1991-08-01,442100.00
1991-09-01,454500.00
1991-10-01,460000.00
1991-11-01,496900.00
1991-12-01,542000.00
1992-01-01,476400.00
1992-02-01,456700.00
1992-03-01,449300.00
1992-04-01,450400.00
1992-05-01,451500.00
1992-06-01,447800.00
1992-07-01,446700.00
1992-08-01,454400.00
1992-09-01,460500.00
1992-10-01,468300.00
1992-11-01,496000.00
1992-12-01,536300.00
1993-01-01,472300.00
1993-02-01,457300.00
1993-03-01,451900.00
1993-04-01,455300.00
1993-05-01,454200.00
1993-06-01,450800.00
1993-07-01,450300.00
1993-08-01,456700.00
1993-09-01,469000.00
1993-10-01,478100.00
1993-11-01,519900.00
1993-12-01,557600.00
1994-01-01,493200.00
1994-02-01,476400.00
1994-03-01,472500.00
1994-04-01,474200.00
1994-05-01,473100.00
1994-06-01,472100.00
1994-07-01,473200.00
1994-08-01,483100.00
1994-09-01,501200.00
1994-10-01,510600.00
1994-11-01,556200.00
1994-12-01,600900.00
1995-01-01,525700.00
1995-02-01,505600.00
1995-03-01,497400.00
1995-04-01,496300.00
1995-05-01,498500.00
1995-06-01,495400.00
1995-07-01,493100.00
1995-08-01,499100.00
1995-09-01,519000.00
1995-10-01,526000.00
1995-11-01,569600.00
1995-12-01,611700.00
1996-01-01,533900.00
1996-02-01,517500.00
1996-03-01,510300.00
1996-04-01,504900.00
1996-05-01,503900.00
1996-06-01,493100.00
1996-07-01,497600.00
1996-08-01,508500.00
1996-09-01,521700.00
1996-10-01,534400.00
1996-11-01,586500.00
1996-12-01,633000.00
1997-01-01,556300.00
1997-02-01,523900.00
1997-03-01,516000.00
1997-04-01,514000.00
1997-05-01,516600.00
1997-06-01,510100.00
1997-07-01,511100.00
1997-08-01,518700.00
1997-09-01,542200.00
1997-10-01,556800.00
1997-11-01,614800.00
1997-12-01,660200.00
1998-01-01,566900.00
1998-02-01,543400.00
1998-03-01,532800.00
1998-04-01,531500.00
1998-05-01,533700.00
1998-06-01,528200.00
1998-07-01,524100.00
1998-08-01,533900.00
1998-09-01,553600.00
1998-10-01,561800.00
1998-11-01,602000.00
1998-12-01,648900.00
1999-01-01,574200.00
1999-02-01,558500.00
1999-03-01,551200.00
1999-04-01,551600.00
1999-05-01,558000.00
1999-06-01,555200.00
1999-07-01,557100.00
1999-08-01,568200.00
1999-09-01,589000.00
1999-10-01,599200.00
1999-11-01,642700.00
1999-12-01,687800.00
2000-01-01,605200.00
2000-02-01,585800.00
2000-03-01,579400.00
2000-04-01,579500.00
2000-05-01,579100.00
2000-06-01,570400.00
2000-07-01,572400.00
2000-08-01,578300.00
2000-09-01,597900.00
2000-10-01,615900.00
2000-11-01,661900.00
2000-12-01,706800.00
2001-01-01,622300.00
2001-02-01,601700.00
2001-03-01,592800.00
2001-04-01,585600.00
2001-05-01,588700.00
2001-06-01,585400.00
2001-07-01,583900.00
2001-08-01,591600.00
2001-09-01,596300.00
2001-10-01,603800.00
2001-11-01,621900.00
2001-12-01,639500.00
2002-01-01,591900.00
2002-02-01,573700.00
