Date,CEU4348200001
1947-01-01,1499800.00
1947-02-01,1490100.00
1947-03-01,1492000.00
1947-04-01,1510500.00
1947-05-01,1528000.00
1947-06-01,1537800.00
1947-07-01,1543600.00
1947-08-01,1542700.00
1947-09-01,1526100.00
1947-10-01,1517300.00
1947-11-01,1500800.00
1947-12-01,1503700.00
1948-01-01,1472500.00
1948-02-01,1464700.00
1948-03-01,1469600.00
1948-04-01,1410200.00
1948-05-01,1469600.00
1948-06-01,1499800.00
1948-07-01,1508600.00
1948-08-01,1502700.00
1948-09-01,1498800.00
1948-10-01,1494000.00
1948-11-01,1477400.00
1948-12-01,1464700.00
1949-01-01,1402400.00
1949-02-01,1377100.00
1949-03-01,1334200.00
1949-04-01,1350800.00
1949-05-01,1377100.00
1949-06-01,1373200.00
1949-07-01,1345900.00
1949-08-01,1336200.00
1949-09-01,1304100.00
1949-10-01,1225200.00
1949-11-01,1247600.00
1949-12-01,1298200.00
1950-01-01,1285500.00
1950-02-01,1258300.00
1950-03-01,1280700.00
1950-04-01,1323500.00
1950-05-01,1262200.00
1950-06-01,1373200.00
1950-07-01,1379000.00
1950-08-01,1402400.00
1950-09-01,1419900.00
1950-10-01,1424800.00
1950-11-01,1423800.00
1950-12-01,1422900.00
1951-01-01,1391800.00
1951-02-01,1391600.00
1951-03-01,1413300.00
1951-04-01,1424400.00
1951-05-01,1425000.00
1951-06-01,1430100.00
1951-07-01,1429300.00
1951-08-01,1430000.00
1951-09-01,1419500.00
1951-10-01,1402500.00
1951-11-01,1390600.00
1951-12-01,1389000.00
1952-01-01,1359000.00
1952-02-01,1355500.00
1952-03-01,1359000.00
1952-04-01,1367600.00
1952-05-01,1378900.00
1952-06-01,1359600.00
1952-07-01,1317200.00
1952-08-01,1357700.00
1952-09-01,1374100.00
1952-10-01,1386100.00
1952-11-01,1375600.00
1952-12-01,1369300.00
1953-01-01,1331800.00
1953-02-01,1321000.00
1953-03-01,1325000.00
1953-04-01,1340100.00
1953-05-01,1350800.00
1953-06-01,1363400.00
1953-07-01,1372700.00
1953-08-01,1370500.00
1953-09-01,1357100.00
1953-10-01,1346500.00
1953-11-01,1318600.00
1953-12-01,1293900.00
1954-01-01,1229600.00
1954-02-01,1204800.00
1954-03-01,1179400.00
1954-04-01,1170600.00
1954-05-01,1180000.00
1954-06-01,1192500.00
1954-07-01,1195800.00
1954-08-01,1188400.00
1954-09-01,1180400.00
1954-10-01,1171500.00
1954-11-01,1154800.00
1954-12-01,1155800.00
1955-01-01,1122700.00
1955-02-01,1121100.00
1955-03-01,1126300.00
1955-04-01,1127600.00
1955-05-01,1168000.00
1955-06-01,1196600.00
1955-07-01,1208200.00
1955-08-01,1213600.00
1955-09-01,1209300.00
1955-10-01,1202400.00
1955-11-01,1194300.00
1955-12-01,1196800.00
1956-01-01,1161500.00
1956-02-01,1158600.00
1956-03-01,1158600.00
1956-04-01,1166000.00
1956-05-01,1178900.00
1956-06-01,1193200.00
1956-07-01,1141200.00
1956-08-01,1153500.00
1956-09-01,1157900.00
1956-10-01,1157100.00
1956-11-01,1143500.00
1956-12-01,1141900.00
1957-01-01,1107700.00
1957-02-01,1100000.00
1957-03-01,1100700.00
1957-04-01,1104000.00
1957-05-01,1104600.00
1957-06-01,1110600.00
1957-07-01,1106800.00
1957-08-01,1114100.00
1957-09-01,1101800.00
1957-10-01,1079900.00
1957-11-01,1044700.00
1957-12-01,1030500.00
1958-01-01,981100.00
1958-02-01,956000.00
1958-03-01,933600.00
1958-04-01,918400.00
1958-05-01,914600.00
1958-06-01,925900.00
1958-07-01,926900.00
1958-08-01,933600.00
1958-09-01,928000.00
1958-10-01,929900.00
1958-11-01,919600.00
1958-12-01,921000.00
1959-01-01,899400.00
1959-02-01,901500.00
1959-03-01,906600.00
1959-04-01,913300.00
1959-05-01,927100.00
1959-06-01,937800.00
1959-07-01,928800.00
1959-08-01,898900.00
1959-09-01,873700.00
1959-10-01,863200.00
1959-11-01,868300.00
1959-12-01,889100.00
1960-01-01,870200.00
1960-02-01,869400.00
1960-03-01,873400.00
1960-04-01,879600.00
1960-05-01,883700.00
1960-06-01,890000.00
1960-07-01,881200.00
1960-08-01,874100.00
1960-09-01,844700.00
1960-10-01,839300.00
1960-11-01,821100.00
1960-12-01,819600.00
1961-01-01,788600.00
1961-02-01,787300.00
1961-03-01,784000.00
1961-04-01,785300.00
1961-05-01,789600.00
1961-06-01,802300.00
1961-07-01,808000.00
1961-08-01,810500.00
1961-09-01,801300.00
1961-10-01,797300.00
1961-11-01,791100.00
1961-12-01,800400.00
1962-01-01,775500.00
1962-02-01,774300.00
1962-03-01,778300.00
1962-04-01,782000.00
1962-05-01,789400.00
1962-06-01,793300.00
1962-07-01,785300.00
1962-08-01,785100.00
1962-09-01,759300.00
1962-10-01,767100.00
1962-11-01,756600.00
1962-12-01,761200.00
1963-01-01,733500.00
1963-02-01,735400.00
1963-03-01,738800.00
1963-04-01,746400.00
1963-05-01,756100.00
1963-06-01,766800.00
1963-07-01,766700.00
1963-08-01,767000.00
1963-09-01,756700.00
1963-10-01,752600.00
1963-11-01,747400.00
1963-12-01,750400.00
1964-01-01,731300.00
1964-02-01,729100.00
1964-03-01,730600.00
1964-04-01,737300.00
1964-05-01,739800.00
1964-06-01,746200.00
1964-07-01,749300.00
1964-08-01,749300.00
1964-09-01,739400.00
1964-10-01,732500.00
1964-11-01,725500.00
1964-12-01,726200.00
1965-01-01,706700.00
1965-02-01,705500.00
1965-03-01,707800.00
1965-04-01,713200.00
1965-05-01,715700.00
1965-06-01,725400.00
1965-07-01,730000.00
1965-08-01,729800.00
1965-09-01,721400.00
1965-10-01,716700.00
1965-11-01,709200.00
1965-12-01,711900.00
1966-01-01,704400.00
1966-02-01,696600.00
1966-03-01,698100.00
1966-04-01,701500.00
1966-05-01,704500.00
1966-06-01,716800.00
1966-07-01,719900.00
1966-08-01,717600.00
1966-09-01,708600.00
1966-10-01,703800.00
1966-11-01,700700.00
1966-12-01,702400.00
1967-01-01,687300.00
1967-02-01,683600.00
1967-03-01,681300.00
1967-04-01,683700.00
1967-05-01,684800.00
1967-06-01,694800.00
1967-07-01,693000.00
1967-08-01,688800.00
1967-09-01,676500.00
1967-10-01,664900.00
1967-11-01,661400.00
1967-12-01,658800.00
1968-01-01,647700.00
1968-02-01,651600.00
1968-03-01,653300.00
1968-04-01,653300.00
1968-05-01,657600.00
1968-06-01,663200.00
1968-07-01,663900.00
1968-08-01,660500.00
1968-09-01,648200.00
1968-10-01,640100.00
1968-11-01,635200.00
1968-12-01,630900.00
1969-01-01,628200.00
1969-02-01,626500.00
1969-03-01,628100.00
1969-04-01,631500.00
1969-05-01,635100.00
1969-06-01,646300.00
1969-07-01,644100.00
1969-08-01,641900.00
1969-09-01,632100.00
1969-10-01,628300.00
1969-11-01,624300.00
1969-12-01,621200.00
1970-01-01,616100.00
1970-02-01,611500.00
1970-03-01,613900.00
1970-04-01,619100.00
1970-05-01,624900.00
1970-06-01,632500.00
1970-07-01,635900.00
1970-08-01,626900.00
1970-09-01,616800.00
1970-10-01,609100.00
1970-11-01,602600.00
1970-12-01,598100.00
1971-01-01,596800.00
1971-02-01,594000.00
1971-03-01,596100.00
1971-04-01,601000.00
1971-05-01,601800.00
1971-06-01,607400.00
1971-07-01,607700.00
1971-08-01,586500.00
1971-09-01,585900.00
1971-10-01,581100.00
1971-11-01,558600.00
1971-12-01,561400.00
1972-01-01,559000.00
1972-02-01,558600.00
1972-03-01,565300.00
1972-04-01,564200.00
1972-05-01,568100.00
