Date,CEU4348600001
1990-01-01,58500.00
1990-02-01,58500.00
1990-03-01,58600.00
1990-04-01,58800.00
1990-05-01,59200.00
1990-06-01,60700.00
1990-07-01,61200.00
1990-08-01,61300.00
1990-09-01,60100.00
1990-10-01,59900.00
1990-11-01,60000.00
1990-12-01,60200.00
1991-01-01,59800.00
1991-02-01,59700.00
1991-03-01,59800.00
1991-04-01,59800.00
1991-05-01,60200.00
1991-06-01,61700.00
1991-07-01,62100.00
1991-08-01,61800.00
1991-09-01,61000.00
1991-10-01,60800.00
1991-11-01,60800.00
1991-12-01,60500.00
1992-01-01,60400.00
1992-02-01,60100.00
1992-03-01,59800.00
1992-04-01,59900.00
1992-05-01,59900.00
1992-06-01,60700.00
1992-07-01,61000.00
1992-08-01,60600.00
1992-09-01,59800.00
1992-10-01,59600.00
1992-11-01,59500.00
1992-12-01,59400.00
1993-01-01,58900.00
1993-02-01,58900.00
1993-03-01,58700.00
1993-04-01,58400.00
1993-05-01,58500.00
1993-06-01,59400.00
1993-07-01,59500.00
1993-08-01,59300.00
1993-09-01,58800.00
1993-10-01,58300.00
1993-11-01,58000.00
1993-12-01,57700.00
1994-01-01,57500.00
1994-02-01,57400.00
1994-03-01,57200.00
1994-04-01,57000.00
1994-05-01,57100.00
1994-06-01,57900.00
1994-07-01,57600.00
1994-08-01,57600.00
1994-09-01,56500.00
1994-10-01,56300.00
1994-11-01,56200.00
1994-12-01,55900.00
1995-01-01,54900.00
1995-02-01,54100.00
1995-03-01,53900.00
1995-04-01,53900.00
1995-05-01,53800.00
1995-06-01,54200.00
1995-07-01,53900.00
1995-08-01,53700.00
1995-09-01,52800.00
1995-10-01,52800.00
1995-11-01,52600.00
1995-12-01,52400.00
1996-01-01,52000.00
1996-02-01,51700.00
1996-03-01,51400.00
1996-04-01,51300.00
1996-05-01,51400.00
1996-06-01,52100.00
1996-07-01,52000.00
1996-08-01,51800.00
1996-09-01,50900.00
1996-10-01,50800.00
1996-11-01,50700.00
1996-12-01,50700.00
1997-01-01,50400.00
1997-02-01,50300.00
1997-03-01,50300.00
1997-04-01,50000.00
1997-05-01,50000.00
1997-06-01,50400.00
1997-07-01,50400.00
1997-08-01,49900.00
1997-09-01,48900.00
1997-10-01,48600.00
1997-11-01,48400.00
1997-12-01,48200.00
1998-01-01,48400.00
1998-02-01,48100.00
1998-03-01,48100.00
1998-04-01,47900.00
1998-05-01,48000.00
1998-06-01,48600.00
1998-07-01,49000.00
1998-08-01,48600.00
1998-09-01,47700.00
1998-10-01,47500.00
1998-11-01,47800.00
1998-12-01,47700.00
1999-01-01,47300.00
1999-02-01,47200.00
1999-03-01,47100.00
1999-04-01,46900.00
1999-05-01,46800.00
1999-06-01,47200.00
1999-07-01,47200.00
1999-08-01,46800.00
1999-09-01,46500.00
1999-10-01,46400.00
1999-11-01,46500.00
1999-12-01,46900.00
2000-01-01,46500.00
2000-02-01,46400.00
2000-03-01,45800.00
2000-04-01,45700.00
2000-05-01,45500.00
2000-06-01,45900.00
2000-07-01,46100.00
2000-08-01,46100.00
2000-09-01,45700.00
2000-10-01,45900.00
2000-11-01,46000.00
2000-12-01,46200.00
2001-01-01,46100.00
2001-02-01,46000.00
2001-03-01,45500.00
2001-04-01,45000.00
2001-05-01,45000.00
2001-06-01,45100.00
2001-07-01,45400.00
2001-08-01,45900.00
2001-09-01,45300.00
2001-10-01,45500.00
2001-11-01,45800.00
2001-12-01,43800.00
2002-01-01,43400.00
2002-02-01,42700.00
2002-03-01,42400.00
2002-04-01,42200.00
2002-05-01,41600.00
2002-06-01,41800.00
2002-07-01,41500.00
2002-08-01,41400.00
2002-09-01,40900.00
2002-10-01,41000.00
2002-11-01,40800.00
2002-12-01,41200.00
2003-01-01,41100.00
2003-02-01,40500.00
2003-03-01,40800.00
2003-04-01,40800.00
2003-05-01,40700.00
2003-06-01,40700.00
2003-07-01,40600.00
2003-08-01,39800.00
2003-09-01,39400.00
2003-10-01,39200.00
2003-11-01,39200.00
2003-12-01,39300.00
2004-01-01,38700.00
2004-02-01,38400.00
2004-03-01,38200.00
2004-04-01,38300.00
2004-05-01,38500.00
2004-06-01,38700.00
2004-07-01,39200.00
2004-08-01,38600.00
2004-09-01,38300.00
2004-10-01,38100.00
2004-11-01,37900.00
