Date,CEU4348700001
1990-01-01,14300.00
1990-02-01,14500.00
1990-03-01,14700.00
1990-04-01,14300.00
1990-05-01,15100.00
1990-06-01,17300.00
1990-07-01,18200.00
1990-08-01,18200.00
1990-09-01,16900.00
1990-10-01,15200.00
1990-11-01,14500.00
1990-12-01,14900.00
1991-01-01,15600.00
1991-02-01,15800.00
1991-03-01,15600.00
1991-04-01,15300.00
1991-05-01,16200.00
1991-06-01,17900.00
1991-07-01,18400.00
1991-08-01,18500.00
1991-09-01,17300.00
1991-10-01,16000.00
1991-11-01,15600.00
1991-12-01,16300.00
1992-01-01,16800.00
1992-02-01,16800.00
1992-03-01,16500.00
1992-04-01,16400.00
1992-05-01,17100.00
1992-06-01,19000.00
1992-07-01,19600.00
1992-08-01,19800.00
1992-09-01,18700.00
1992-10-01,17200.00
1992-11-01,16600.00
1992-12-01,17400.00
1993-01-01,17600.00
1993-02-01,17900.00
1993-03-01,18000.00
1993-04-01,18200.00
1993-05-01,18800.00
1993-06-01,20600.00
1993-07-01,21400.00
1993-08-01,21800.00
1993-09-01,20200.00
1993-10-01,18900.00
1993-11-01,18800.00
1993-12-01,19600.00
1994-01-01,19800.00
1994-02-01,20200.00
1994-03-01,20600.00
1994-04-01,20500.00
1994-05-01,21000.00
1994-06-01,23000.00
1994-07-01,23700.00
1994-08-01,23900.00
1994-09-01,21900.00
1994-10-01,20200.00
1994-11-01,19800.00
1994-12-01,20700.00
1995-01-01,20700.00
1995-02-01,21000.00
1995-03-01,21400.00
1995-04-01,21600.00
1995-05-01,21800.00
1995-06-01,23300.00
1995-07-01,23900.00
1995-08-01,24100.00
1995-09-01,22500.00
1995-10-01,21200.00
1995-11-01,20700.00
1995-12-01,21300.00
1996-01-01,21500.00
1996-02-01,21800.00
1996-03-01,22100.00
1996-04-01,22200.00
1996-05-01,22800.00
1996-06-01,24700.00
1996-07-01,25600.00
1996-08-01,25900.00
1996-09-01,23900.00
1996-10-01,22700.00
1996-11-01,22000.00
1996-12-01,22700.00
1997-01-01,22600.00
1997-02-01,22800.00
1997-03-01,23200.00
1997-04-01,23500.00
1997-05-01,24500.00
1997-06-01,26400.00
1997-07-01,27000.00
1997-08-01,27100.00
1997-09-01,25200.00
1997-10-01,23900.00
1997-11-01,23300.00
1997-12-01,24000.00
1998-01-01,23900.00
1998-02-01,24300.00
1998-03-01,24400.00
1998-04-01,24600.00
1998-05-01,24800.00
1998-06-01,26900.00
1998-07-01,27600.00
1998-08-01,27700.00
1998-09-01,26300.00
1998-10-01,24900.00
1998-11-01,24300.00
1998-12-01,24900.00
1999-01-01,25200.00
1999-02-01,25200.00
1999-03-01,25200.00
1999-04-01,25200.00
1999-05-01,25500.00
1999-06-01,27600.00
1999-07-01,28400.00
1999-08-01,28400.00
1999-09-01,26800.00
1999-10-01,25400.00
1999-11-01,24600.00
1999-12-01,25500.00
2000-01-01,25400.00
2000-02-01,25700.00
2000-03-01,25700.00
2000-04-01,26000.00
2000-05-01,27100.00
2000-06-01,29300.00
2000-07-01,30600.00
2000-08-01,31100.00
2000-09-01,29400.00
2000-10-01,27100.00
2000-11-01,25800.00
2000-12-01,26700.00
2001-01-01,26500.00
2001-02-01,26500.00
2001-03-01,27000.00
2001-04-01,27300.00
2001-05-01,28400.00
2001-06-01,33900.00
2001-07-01,35900.00
2001-08-01,35000.00
2001-09-01,31400.00
2001-10-01,28100.00
2001-11-01,24700.00
2001-12-01,24700.00
2002-01-01,21100.00
2002-02-01,21100.00
2002-03-01,21200.00
2002-04-01,22800.00
2002-05-01,25900.00
2002-06-01,29600.00
2002-07-01,32600.00
2002-08-01,33100.00
2002-09-01,29800.00
2002-10-01,25900.00
2002-11-01,22200.00
2002-12-01,21400.00
2003-01-01,19500.00
2003-02-01,20700.00
2003-03-01,21500.00
2003-04-01,24200.00
2003-05-01,28700.00
2003-06-01,33400.00
2003-07-01,35700.00
2003-08-01,34600.00
2003-09-01,30900.00
2003-10-01,26500.00
2003-11-01,22300.00
2003-12-01,21500.00
2004-01-01,20100.00
2004-02-01,20400.00
2004-03-01,21500.00
2004-04-01,24100.00
2004-05-01,27700.00
2004-06-01,33500.00
2004-07-01,35000.00
2004-08-01,36100.00
2004-09-01,33400.00
2004-10-01,27000.00
2004-11-01,24600.00
2004-12-01,23200.00
2005-01-01,19600.00
2005-02-01,20300.00
2005-03-01,22100.00
2005-04-01,25300.00
2005-05-01,29600.00
2005-06-01,36200.00
2005-07-01,40500.00
2005-08-01,39300.00
2005-09-01,35800.00
2005-10-01,29700.00
2005-11-01,24300.00
2005-12-01,22900.00
2006-01-01,19600.00
2006-02-01,19600.00
2006-03-01,21300.00
2006-04-01,23800.00
2006-05-01,28700.00
2006-06-01,33200.00
2006-07-01,36600.00
2006-08-01,36600.00
2006-09-01,33000.00
2006-10-01,28300.00
2006-11-01,26000.00
2006-12-01,23400.00
2007-01-01,22600.00
2007-02-01,21900.00
2007-03-01,23000.00
2007-04-01,25300.00
2007-05-01,29100.00
2007-06-01,33200.00
2007-07-01,37000.00
2007-08-01,36700.00
2007-09-01,33500.00
2007-10-01,29300.00
2007-11-01,26700.00
2007-12-01,25100.00
2008-01-01,22200.00
2008-02-01,22000.00
2008-03-01,23100.00
2008-04-01,25200.00
2008-05-01,29800.00
2008-06-01,33900.00
2008-07-01,36200.00
2008-08-01,35500.00
2008-09-01,31800.00
2008-10-01,28600.00
2008-11-01,24500.00
2008-12-01,23400.00
2009-01-01,21000.00
2009-02-01,20500.00
2009-03-01,20900.00
2009-04-01,24600.00
2009-05-01,29900.00
2009-06-01,33200.00
2009-07-01,36800.00
2009-08-01,36000.00
2009-09-01,32800.00
2009-10-01,27700.00
2009-11-01,23700.00
2009-12-01,23800.00
2010-01-01,19900.00
2010-02-01,20200.00
2010-03-01,20700.00
2010-04-01,24700.00
2010-05-01,29500.00
2010-06-01,34100.00
2010-07-01,36000.00
2010-08-01,35500.00
2010-09-01,33000.00
2010-10-01,28500.00
2010-11-01,23600.00
2010-12-01,22000.00
2011-01-01,19300.00
2011-02-01,20300.00
2011-03-01,21700.00
2011-04-01,23400.00
2011-05-01,30900.00
2011-06-01,35600.00
2011-07-01,36700.00
2011-08-01,35600.00
2011-09-01,32400.00
2011-10-01,28700.00
2011-11-01,23600.00
2011-12-01,21900.00
2012-01-01,19300.00
2012-02-01,20900.00
2012-03-01,22800.00
