Date,CEU5000000011
2006-03-01,961.20
2006-04-01,1001.70
2006-05-01,971.28
2006-06-01,976.47
2006-07-01,1011.10
2006-08-01,987.33
2006-09-01,994.05
2006-10-01,1010.72
2006-11-01,980.43
2006-12-01,989.28
2007-01-01,999.18
2007-02-01,1002.33
2007-03-01,998.10
2007-04-01,1034.41
2007-05-01,993.68
2007-06-01,995.24
2007-07-01,1038.96
2007-08-01,1008.63
2007-09-01,1040.08
2007-10-01,1012.78
2007-11-01,1012.32
2007-12-01,1036.51
2008-01-01,1028.38
2008-02-01,1027.65
2008-03-01,1067.45
2008-04-01,1037.45
2008-05-01,1025.28
2008-06-01,1057.55
2008-07-01,1046.82
2008-08-01,1051.15
2008-09-01,1056.64
2008-10-01,1051.93
2008-11-01,1072.19
2008-12-01,1048.28
2009-01-01,1043.63
2009-02-01,1084.80
2009-03-01,1073.42
2009-04-01,1038.96
2009-05-01,1050.84
2009-06-01,1053.06
2009-07-01,1074.53
2009-08-01,1105.19
2009-09-01,1078.90
2009-10-01,1081.66
2009-11-01,1118.23
2009-12-01,1078.11
2010-01-01,1085.08
2010-02-01,1090.71
2010-03-01,1090.71
2010-04-01,1090.34
2010-05-01,1130.25
2010-06-01,1096.73
2010-07-01,1107.05
2010-08-01,1153.69
2010-09-01,1134.23
2010-10-01,1142.29
2010-11-01,1134.06
2010-12-01,1121.31
2011-01-01,1177.71
2011-02-01,1143.81
2011-03-01,1153.25
2011-04-01,1150.71
2011-05-01,1181.04
2011-06-01,1135.68
2011-07-01,1146.31
2011-08-01,1143.69
2011-09-01,1152.38
2011-10-01,1192.48
2011-11-01,1154.22
2011-12-01,1147.69
2012-01-01,1190.03
2012-02-01,1150.60
2012-03-01,1147.44
2012-04-01,1190.66
2012-05-01,1145.45
2012-06-01,1146.24
2012-07-01,1189.50
2012-08-01,1140.41
2012-09-01,1198.45
2012-10-01,1148.34
2012-11-01,1150.71
2012-12-01,1200.28
2013-01-01,1172.88
2013-02-01,1171.81
2013-03-01,1177.22
2013-04-01,1189.17
2013-05-01,1180.48
2013-06-01,1244.56
2013-07-01,1190.96
2013-08-01,1197.47
2013-09-01,1257.38
2013-10-01,1214.36
2013-11-01,1217.68
2013-12-01,1257.01
2014-01-01,1213.58
2014-02-01,1264.50
2014-03-01,1274.59
2014-04-01,1240.27
2014-05-01,1228.03
2014-06-01,1283.63
2014-07-01,1241.84
2014-08-01,1242.57
2014-09-01,1261.60
2014-10-01,1247.06
2014-11-01,1295.80
2014-12-01,1235.16
2015-01-01,1247.81
2015-02-01,1295.53
2015-03-01,1294.45
2015-04-01,1253.52
2015-05-01,1247.88
2015-06-01,1249.42
2015-07-01,1258.16
2015-08-01,1313.87
2015-09-01,1271.94
2015-10-01,1271.62
2015-11-01,1326.34
2015-12-01,1268.77
2016-01-01,1295.64
2016-02-01,1288.72
2016-03-01,1282.31
2016-04-01,1296.98
2016-05-01,1350.14
2016-06-01,1295.24
2016-07-01,1308.26
2016-08-01,1303.48
2016-09-01,1322.33
2016-10-01,1380.07
2016-11-01,1332.68
2016-12-01,1331.80
2017-01-01,1414.34
2017-02-01,1347.69
2017-03-01,1345.89
2017-04-01,1425.08
2017-05-01,1365.28
2017-06-01,1375.41
2017-07-01,1435.55
2017-08-01,1369.94
2017-09-01,1386.00
2017-10-01,1428.94
2017-11-01,1372.67
2017-12-01,1377.31
2018-01-01,1379.53
2018-02-01,1390.16
2018-03-01,1391.23
2018-04-01,1467.27
2018-05-01,1399.44
