Date,CEU5552210001
1990-01-01,1928400.00
1990-02-01,1925700.00
1990-03-01,1921500.00
1990-04-01,1914700.00
1990-05-01,1912200.00
1990-06-01,1928300.00
1990-07-01,1923500.00
1990-08-01,1920400.00
1990-09-01,1893600.00
1990-10-01,1880600.00
1990-11-01,1878800.00
1990-12-01,1874200.00
1991-01-01,1867100.00
1991-02-01,1857100.00
1991-03-01,1851600.00
1991-04-01,1843000.00
1991-05-01,1838000.00
1991-06-01,1845100.00
1991-07-01,1839100.00
1991-08-01,1833700.00
1991-09-01,1812100.00
1991-10-01,1799000.00
1991-11-01,1792500.00
1991-12-01,1789900.00
1992-01-01,1781300.00
1992-02-01,1773400.00
1992-03-01,1771400.00
1992-04-01,1768800.00
1992-05-01,1770900.00
1992-06-01,1784400.00
1992-07-01,1778700.00
1992-08-01,1773700.00
1992-09-01,1760200.00
1992-10-01,1753100.00
1992-11-01,1753600.00
1992-12-01,1758900.00
1993-01-01,1759300.00
1993-02-01,1753200.00
1993-03-01,1752700.00
1993-04-01,1754300.00
1993-05-01,1756300.00
1993-06-01,1772300.00
1993-07-01,1778100.00
1993-08-01,1773600.00
1993-09-01,1758300.00
1993-10-01,1754400.00
1993-11-01,1755300.00
1993-12-01,1758200.00
1994-01-01,1750100.00
1994-02-01,1743600.00
1994-03-01,1741200.00
1994-04-01,1738900.00
1994-05-01,1737400.00
1994-06-01,1749800.00
1994-07-01,1750600.00
1994-08-01,1745700.00
1994-09-01,1726200.00
1994-10-01,1719800.00
1994-11-01,1718000.00
1994-12-01,1719600.00
1995-01-01,1710700.00
1995-02-01,1703800.00
1995-03-01,1702300.00
1995-04-01,1698300.00
1995-05-01,1697000.00
1995-06-01,1707500.00
1995-07-01,1711200.00
1995-08-01,1705900.00
1995-09-01,1691400.00
1995-10-01,1687400.00
1995-11-01,1691900.00
1995-12-01,1695100.00
1996-01-01,1691000.00
1996-02-01,1688800.00
1996-03-01,1686600.00
1996-04-01,1684900.00
1996-05-01,1688400.00
1996-06-01,1701800.00
1996-07-01,1704600.00
1996-08-01,1702500.00
1996-09-01,1686700.00
1996-10-01,1685000.00
1996-11-01,1687300.00
1996-12-01,1689200.00
1997-01-01,1687600.00
1997-02-01,1682600.00
1997-03-01,1685200.00
1997-04-01,1686000.00
1997-05-01,1691500.00
1997-06-01,1705600.00
1997-07-01,1711400.00
1997-08-01,1710800.00
1997-09-01,1694700.00
1997-10-01,1694500.00
1997-11-01,1700000.00
1997-12-01,1708700.00
1998-01-01,1703800.00
1998-02-01,1700400.00
1998-03-01,1703200.00
1998-04-01,1703500.00
1998-05-01,1706800.00
1998-06-01,1719800.00
1998-07-01,1723700.00
1998-08-01,1719100.00
1998-09-01,1703700.00
1998-10-01,1703900.00
1998-11-01,1706200.00
1998-12-01,1712800.00
1999-01-01,1714700.00
1999-02-01,1711200.00
1999-03-01,1713000.00
1999-04-01,1710600.00
1999-05-01,1709400.00
1999-06-01,1719800.00
1999-07-01,1720900.00
1999-08-01,1717600.00
1999-09-01,1702200.00
1999-10-01,1698700.00
1999-11-01,1698000.00
1999-12-01,1700600.00
2000-01-01,1694800.00
2000-02-01,1688400.00
2000-03-01,1684300.00
2000-04-01,1679200.00
2000-05-01,1681700.00
2000-06-01,1688300.00
2000-07-01,1686800.00
2000-08-01,1685300.00
2000-09-01,1671600.00
2000-10-01,1665800.00
2000-11-01,1670500.00
2000-12-01,1677200.00
2001-01-01,1676400.00
2001-02-01,1677500.00
2001-03-01,1680800.00
2001-04-01,1684300.00
2001-05-01,1691000.00
2001-06-01,1713200.00
2001-07-01,1716200.00
2001-08-01,1718200.00
2001-09-01,1708100.00
2001-10-01,1708800.00
2001-11-01,1717600.00
2001-12-01,1722800.00
2002-01-01,1728100.00
2002-02-01,1725200.00
2002-03-01,1727100.00
2002-04-01,1727700.00
2002-05-01,1730200.00
2002-06-01,1740400.00
2002-07-01,1744400.00
2002-08-01,1743600.00
2002-09-01,1728100.00
2002-10-01,1728300.00
2002-11-01,1734000.00
2002-12-01,1739000.00
2003-01-01,1742100.00
2003-02-01,1737400.00
2003-03-01,1741400.00
2003-04-01,1743200.00
2003-05-01,1749100.00
2003-06-01,1758300.00
2003-07-01,1764200.00
2003-08-01,1761400.00
2003-09-01,1746100.00
2003-10-01,1745700.00
2003-11-01,1746400.00
2003-12-01,1746800.00
2004-01-01,1748700.00
2004-02-01,1747400.00
2004-03-01,1747400.00
2004-04-01,1751900.00
2004-05-01,1751900.00
2004-06-01,1764100.00
2004-07-01,1762100.00
2004-08-01,1758300.00
2004-09-01,1745600.00
2004-10-01,1742400.00
2004-11-01,1747200.00
2004-12-01,1750900.00
2005-01-01,1757600.00
2005-02-01,1759700.00
2005-03-01,1760500.00
2005-04-01,1760400.00
2005-05-01,1761900.00
2005-06-01,1775000.00
2005-07-01,1779000.00
2005-08-01,1779100.00
2005-09-01,1769400.00
2005-10-01,1772400.00
2005-11-01,1777500.00
2005-12-01,1777500.00
2006-01-01,1775600.00
2006-02-01,1785500.00
2006-03-01,1791600.00
2006-04-01,1796700.00
2006-05-01,1799800.00
2006-06-01,1808100.00
2006-07-01,1811500.00
2006-08-01,1809400.00
2006-09-01,1803900.00
2006-10-01,1808800.00
2006-11-01,1813000.00
2006-12-01,1819800.00
2007-01-01,1819900.00
2007-02-01,1819500.00
2007-03-01,1819900.00
2007-04-01,1811000.00
2007-05-01,1817500.00
2007-06-01,1826000.00
2007-07-01,1833600.00
2007-08-01,1833400.00
2007-09-01,1826300.00
2007-10-01,1825500.00
2007-11-01,1821800.00
2007-12-01,1827000.00
2008-01-01,1821500.00
2008-02-01,1824300.00
2008-03-01,1823300.00
2008-04-01,1824300.00
2008-05-01,1822300.00
2008-06-01,1823600.00
2008-07-01,1825800.00
2008-08-01,1821400.00
2008-09-01,1804500.00
2008-10-01,1802500.00
2008-11-01,1794000.00
2008-12-01,1795000.00
2009-01-01,1787800.00
2009-02-01,1776300.00
2009-03-01,1766000.00
2009-04-01,1758300.00
2009-05-01,1753200.00
2009-06-01,1755100.00
2009-07-01,1757000.00
2009-08-01,1750700.00
2009-09-01,1734700.00
2009-10-01,1735100.00
2009-11-01,1735100.00
2009-12-01,1736600.00
2010-01-01,1732200.00
2010-02-01,1728800.00
2010-03-01,1726600.00
2010-04-01,1724600.00
2010-05-01,1723300.00
2010-06-01,1729900.00
2010-07-01,1733200.00
2010-08-01,1731000.00
2010-09-01,1723200.00
2010-10-01,1728900.00
2010-11-01,1730300.00
2010-12-01,1733800.00
2011-01-01,1731600.00
2011-02-01,1728600.00
2011-03-01,1727300.00
2011-04-01,1729500.00
2011-05-01,1736600.00
2011-06-01,1740900.00
2011-07-01,1746700.00
2011-08-01,1743200.00
2011-09-01,1731700.00
2011-10-01,1730700.00
2011-11-01,1734500.00
2011-12-01,1740200.00
2012-01-01,1735100.00
2012-02-01,1735600.00
2012-03-01,1741500.00
2012-04-01,1736600.00
2012-05-01,1735100.00
2012-06-01,1740400.00
2012-07-01,1743400.00
2012-08-01,1740700.00
2012-09-01,1734800.00
2012-10-01,1737000.00
2012-11-01,1739900.00
2012-12-01,1744100.00
2013-01-01,1742100.00
2013-02-01,1739300.00
2013-03-01,1737100.00
2013-04-01,1736100.00
2013-05-01,1734600.00
2013-06-01,1740500.00
2013-07-01,1743400.00
2013-08-01,1738600.00
2013-09-01,1724600.00
2013-10-01,1723100.00
2013-11-01,1722000.00
2013-12-01,1721900.00
2014-01-01,1718300.00
2014-02-01,1715200.00
2014-03-01,1712600.00
2014-04-01,1706400.00
2014-05-01,1702800.00
2014-06-01,1707400.00
2014-07-01,1707300.00
2014-08-01,1705400.00
2014-09-01,1691600.00
2014-10-01,1688700.00
2014-11-01,1689500.00
2014-12-01,1690000.00
2015-01-01,1688200.00
2015-02-01,1682000.00
2015-03-01,1679300.00
2015-04-01,1678600.00
2015-05-01,1683500.00
2015-06-01,1688300.00
2015-07-01,1691800.00
2015-08-01,1690000.00
2015-09-01,1677800.00
2015-10-01,1677000.00
2015-11-01,1683200.00
2015-12-01,1685800.00
2016-01-01,1687400.00
2016-02-01,1685300.00
2016-03-01,1693200.00
2016-04-01,1693000.00
2016-05-01,1696400.00
2016-06-01,1703500.00
2016-07-01,1707300.00
2016-08-01,1707300.00
2016-09-01,1697200.00
2016-10-01,1696800.00
2016-11-01,1699600.00
2016-12-01,1707000.00
2017-01-01,1710800.00
2017-02-01,1708300.00
2017-03-01,1711300.00
2017-04-01,1709400.00
2017-05-01,1714400.00
2017-06-01,1721800.00
2017-07-01,1726400.00
2017-08-01,1723400.00
2017-09-01,1708400.00
2017-10-01,1710300.00
2017-11-01,1712600.00
2017-12-01,1714500.00
2018-01-01,1713500.00
2018-02-01,1714200.00
2018-03-01,1716600.00
2018-04-01,1717300.00
2018-05-01,1722600.00
