Date,CEU6000000003
2006-03-01,23.40
2006-04-01,23.87
2006-05-01,23.23
2006-06-01,23.14
2006-07-01,23.68
2006-08-01,23.31
2006-09-01,23.64
2006-10-01,23.97
2006-11-01,23.81
2006-12-01,24.22
2007-01-01,24.42
2007-02-01,24.56
2007-03-01,24.45
2007-04-01,24.84
2007-05-01,24.46
2007-06-01,24.45
2007-07-01,24.85
2007-08-01,24.44
2007-09-01,24.91
2007-10-01,24.65
2007-11-01,24.80
2007-12-01,25.33
2008-01-01,25.33
2008-02-01,25.48
2008-03-01,25.72
2008-04-01,25.46
2008-05-01,25.47
2008-06-01,25.72
2008-07-01,25.59
2008-08-01,25.66
2008-09-01,25.89
2008-10-01,26.05
2008-11-01,26.73
2008-12-01,26.74
2009-01-01,26.89
2009-02-01,27.37
2009-03-01,27.32
2009-04-01,27.02
2009-05-01,26.84
2009-06-01,26.74
2009-07-01,26.84
2009-08-01,26.98
2009-09-01,26.98
2009-10-01,26.88
2009-11-01,27.27
2009-12-01,27.19
2010-01-01,27.32
2010-02-01,27.49
2010-03-01,27.19
2010-04-01,27.14
2010-05-01,27.43
2010-06-01,26.96
2010-07-01,27.06
2010-08-01,27.31
2010-09-01,27.18
2010-10-01,27.21
2010-11-01,27.23
2010-12-01,27.39
2011-01-01,28.19
2011-02-01,27.81
2011-03-01,27.55
2011-04-01,27.57
2011-05-01,27.84
2011-06-01,27.45
2011-07-01,27.74
2011-08-01,27.48
2011-09-01,27.67
2011-10-01,28.09
2011-11-01,27.79
2011-12-01,27.97
2012-01-01,28.55
2012-02-01,28.17
2012-03-01,28.03
2012-04-01,28.31
2012-05-01,27.86
2012-06-01,27.78
2012-07-01,28.26
2012-08-01,27.70
2012-09-01,28.30
2012-10-01,27.93
2012-11-01,28.07
2012-12-01,28.62
2013-01-01,28.61
2013-02-01,28.66
2013-03-01,28.49
2013-04-01,28.45
2013-05-01,28.32
2013-06-01,28.59
2013-07-01,28.32
2013-08-01,28.24
2013-09-01,28.73
2013-10-01,28.42
2013-11-01,28.62
2013-12-01,29.14
2014-01-01,29.15
2014-02-01,29.61
2014-03-01,29.49
2014-04-01,29.07
2014-05-01,29.05
2014-06-01,29.33
2014-07-01,29.10
2014-08-01,29.05
2014-09-01,29.18
2014-10-01,29.15
2014-11-01,29.75
2014-12-01,29.51
2015-01-01,29.98
2015-02-01,30.31
2015-03-01,30.31
2015-04-01,29.94
2015-05-01,29.87
2015-06-01,29.71
2015-07-01,29.86
2015-08-01,30.13
2015-09-01,30.04
2015-10-01,30.01
2015-11-01,30.59
2015-12-01,30.23
2016-01-01,30.77
2016-02-01,30.75
2016-03-01,30.61
2016-04-01,30.67
2016-05-01,30.99
2016-06-01,30.51
2016-07-01,30.68
2016-08-01,30.54
2016-09-01,30.74
2016-10-01,31.20
2016-11-01,30.89
2016-12-01,31.11
2017-01-01,31.89
2017-02-01,31.55
2017-03-01,31.57
2017-04-01,31.94
2017-05-01,31.33
2017-06-01,31.14
2017-07-01,31.75
2017-08-01,31.26
2017-09-01,31.61
2017-10-01,31.89
2017-11-01,31.61
2017-12-01,31.88
2018-01-01,32.33
2018-02-01,32.24
2018-03-01,32.24
2018-04-01,32.61
2018-05-01,32.03
