Date,CEU6054110001
1990-01-01,927500.00
1990-02-01,930900.00
1990-03-01,934300.00
1990-04-01,932900.00
1990-05-01,936200.00
1990-06-01,967300.00
1990-07-01,966000.00
1990-08-01,957800.00
1990-09-01,938900.00
1990-10-01,942600.00
1990-11-01,944900.00
1990-12-01,943900.00
1991-01-01,939200.00
1991-02-01,937600.00
1991-03-01,938600.00
1991-04-01,938300.00
1991-05-01,938900.00
1991-06-01,962300.00
1991-07-01,962500.00
1991-08-01,953900.00
1991-09-01,940400.00
1991-10-01,945200.00
1991-11-01,947400.00
1991-12-01,947100.00
1992-01-01,942400.00
1992-02-01,942100.00
1992-03-01,942900.00
1992-04-01,942600.00
1992-05-01,943600.00
1992-06-01,964300.00
1992-07-01,965400.00
1992-08-01,957900.00
1992-09-01,943800.00
1992-10-01,948200.00
1992-11-01,951300.00
1992-12-01,953000.00
1993-01-01,952200.00
1993-02-01,952300.00
1993-03-01,954800.00
1993-04-01,956000.00
1993-05-01,957600.00
1993-06-01,981200.00
1993-07-01,981200.00
1993-08-01,973200.00
1993-09-01,962000.00
1993-10-01,964100.00
1993-11-01,967100.00
1993-12-01,965100.00
1994-01-01,963400.00
1994-02-01,963600.00
1994-03-01,963600.00
1994-04-01,963900.00
1994-05-01,962300.00
1994-06-01,980100.00
1994-07-01,980500.00
1994-08-01,971500.00
1994-09-01,957500.00
1994-10-01,958900.00
1994-11-01,961300.00
1994-12-01,960600.00
1995-01-01,955700.00
1995-02-01,955000.00
1995-03-01,956000.00
1995-04-01,954400.00
1995-05-01,952300.00
1995-06-01,974000.00
1995-07-01,971700.00
1995-08-01,965900.00
1995-09-01,954000.00
1995-10-01,955200.00
1995-11-01,957500.00
1995-12-01,958900.00
1996-01-01,955200.00
1996-02-01,957900.00
1996-03-01,960900.00
1996-04-01,959100.00
1996-05-01,961400.00
1996-06-01,982700.00
1996-07-01,984800.00
1996-08-01,978400.00
1996-09-01,963200.00
1996-10-01,968600.00
1996-11-01,973900.00
1996-12-01,974700.00
1997-01-01,972600.00
1997-02-01,973000.00
1997-03-01,976400.00
