Date,CEU6056200001
1990-01-01,218800.00
1990-02-01,220100.00
1990-03-01,223300.00
1990-04-01,226600.00
1990-05-01,230300.00
1990-06-01,232800.00
1990-07-01,234200.00
1990-08-01,234200.00
1990-09-01,234200.00
1990-10-01,233600.00
1990-11-01,232400.00
1990-12-01,232700.00
1991-01-01,225500.00
1991-02-01,223900.00
1991-03-01,225300.00
1991-04-01,227700.00
1991-05-01,231300.00
1991-06-01,234500.00
1991-07-01,236600.00
1991-08-01,236900.00
1991-09-01,237700.00
1991-10-01,237100.00
1991-11-01,236500.00
1991-12-01,235500.00
1992-01-01,228100.00
1992-02-01,227300.00
1992-03-01,227800.00
1992-04-01,231900.00
1992-05-01,235600.00
1992-06-01,239600.00
1992-07-01,241300.00
1992-08-01,241300.00
1992-09-01,242600.00
1992-10-01,242300.00
1992-11-01,240700.00
1992-12-01,241700.00
1993-01-01,236100.00
1993-02-01,235800.00
1993-03-01,238400.00
1993-04-01,241300.00
1993-05-01,246500.00
1993-06-01,250700.00
1993-07-01,254600.00
1993-08-01,256400.00
1993-09-01,256500.00
1993-10-01,257200.00
1993-11-01,255800.00
1993-12-01,254400.00
1994-01-01,248700.00
1994-02-01,248400.00
1994-03-01,251300.00
1994-04-01,253500.00
1994-05-01,260100.00
1994-06-01,263300.00
1994-07-01,265600.00
1994-08-01,266100.00
1994-09-01,267400.00
1994-10-01,268200.00
1994-11-01,267700.00
1994-12-01,268000.00
1995-01-01,264400.00
1995-02-01,264700.00
1995-03-01,266000.00
1995-04-01,269600.00
1995-05-01,272200.00
1995-06-01,275300.00
1995-07-01,277500.00
1995-08-01,278800.00
1995-09-01,278900.00
1995-10-01,279700.00
1995-11-01,276900.00
1995-12-01,276100.00
1996-01-01,271600.00
1996-02-01,271800.00
1996-03-01,273100.00
1996-04-01,277200.00
1996-05-01,281800.00
1996-06-01,285900.00
1996-07-01,287900.00
1996-08-01,289000.00
1996-09-01,288700.00
1996-10-01,287400.00
1996-11-01,286000.00
1996-12-01,284100.00
1997-01-01,279300.00
1997-02-01,280300.00
1997-03-01,282400.00
1997-04-01,285500.00
1997-05-01,291400.00
1997-06-01,294700.00
1997-07-01,297100.00
1997-08-01,297900.00
1997-09-01,297100.00
1997-10-01,297000.00
1997-11-01,292800.00
1997-12-01,290600.00
1998-01-01,285600.00
1998-02-01,286600.00
1998-03-01,287000.00
1998-04-01,292200.00
1998-05-01,298500.00
1998-06-01,302800.00
1998-07-01,305700.00
1998-08-01,307600.00
1998-09-01,307300.00
1998-10-01,307000.00
1998-11-01,306000.00
1998-12-01,305600.00
1999-01-01,301300.00
1999-02-01,301500.00
1999-03-01,303900.00
