Date,CEU6500000016
2006-03-01,96.50
2006-04-01,97.60
2006-05-01,96.20
2006-06-01,95.50
2006-07-01,95.60
2006-08-01,94.90
2006-09-01,96.80
2006-10-01,98.90
2006-11-01,98.80
2006-12-01,98.70
2007-01-01,97.40
2007-02-01,98.50
2007-03-01,99.30
2007-04-01,100.50
2007-05-01,99.40
2007-06-01,98.70
2007-07-01,99.20
2007-08-01,98.60
2007-09-01,101.20
2007-10-01,101.60
2007-11-01,102.30
2007-12-01,103.20
2008-01-01,101.00
2008-02-01,102.50
2008-03-01,103.80
2008-04-01,103.30
2008-05-01,103.30
2008-06-01,103.30
2008-07-01,102.10
2008-08-01,102.40
2008-09-01,103.50
2008-10-01,105.00
2008-11-01,106.40
2008-12-01,105.00
2009-01-01,103.50
2009-02-01,105.70
2009-03-01,105.60
2009-04-01,104.80
2009-05-01,104.20
2009-06-01,103.10
2009-07-01,103.20
2009-08-01,103.90
2009-09-01,104.40
2009-10-01,106.00
2009-11-01,107.70
2009-12-01,106.70
2010-01-01,105.30
2010-02-01,106.20
2010-03-01,106.40
2010-04-01,106.90
2010-05-01,107.10
2010-06-01,105.30
2010-07-01,104.70
2010-08-01,105.70
2010-09-01,106.50
2010-10-01,108.10
2010-11-01,108.60
2010-12-01,108.00
2011-01-01,107.90
2011-02-01,107.90
2011-03-01,108.20
2011-04-01,109.00
2011-05-01,109.50
2011-06-01,107.30
2011-07-01,107.10
2011-08-01,106.60
2011-09-01,108.30
2011-10-01,110.80
2011-11-01,110.70
2011-12-01,110.30
2012-01-01,110.10
2012-02-01,110.90
2012-03-01,110.90
2012-04-01,112.10
2012-05-01,110.80
2012-06-01,109.70
2012-07-01,110.10
2012-08-01,109.30
2012-09-01,111.90
2012-10-01,112.40
2012-11-01,112.70
2012-12-01,113.80
2013-01-01,111.10
2013-02-01,112.50
2013-03-01,112.60
2013-04-01,113.00
2013-05-01,112.50
2013-06-01,112.50
2013-07-01,110.40
2013-08-01,110.80
2013-09-01,113.50
2013-10-01,113.60
2013-11-01,114.50
2013-12-01,114.50
2014-01-01,112.30
2014-02-01,114.00
2014-03-01,114.80
2014-04-01,114.40
2014-05-01,114.10
2014-06-01,114.00
2014-07-01,112.40
2014-08-01,113.10
2014-09-01,114.60
2014-10-01,116.30
2014-11-01,118.20
2014-12-01,116.70
2015-01-01,115.30
2015-02-01,117.60
2015-03-01,118.00
2015-04-01,117.90
2015-05-01,117.60
2015-06-01,116.40
2015-07-01,116.30
2015-08-01,117.60
2015-09-01,118.20
2015-10-01,119.70
2015-11-01,121.70
2015-12-01,120.10
2016-01-01,118.90
2016-02-01,120.20
2016-03-01,120.20
2016-04-01,121.10
2016-05-01,121.60
2016-06-01,120.10
2016-07-01,119.90
2016-08-01,119.90
2016-09-01,122.00
2016-10-01,124.50
2016-11-01,124.20
2016-12-01,123.60
2017-01-01,123.00
2017-02-01,123.90
2017-03-01,123.80
2017-04-01,125.30
2017-05-01,123.80
2017-06-01,123.00
2017-07-01,123.70
2017-08-01,122.90
2017-09-01,124.40
2017-10-01,127.10
2017-11-01,126.80
2017-12-01,126.50
2018-01-01,124.50
2018-02-01,126.80
2018-03-01,126.60
2018-04-01,128.10
2018-05-01,127.00
