Date,CEU6562100001
1990-01-01,2739400.00
1990-02-01,2759900.00
1990-03-01,2781600.00
1990-04-01,2795200.00
1990-05-01,2822500.00
1990-06-01,2853800.00
1990-07-01,2863800.00
1990-08-01,2878100.00
1990-09-01,2882400.00
1990-10-01,2893400.00
1990-11-01,2904900.00
1990-12-01,2924500.00
1991-01-01,2929000.00
1991-02-01,2941300.00
1991-03-01,2961200.00
1991-04-01,2977800.00
1991-05-01,2999300.00
1991-06-01,3036000.00
1991-07-01,3047400.00
1991-08-01,3066100.00
1991-09-01,3072400.00
1991-10-01,3086300.00
1991-11-01,3102800.00
1991-12-01,3120600.00
1992-01-01,3114200.00
1992-02-01,3128000.00
1992-03-01,3142400.00
1992-04-01,3158900.00
1992-05-01,3176400.00
1992-06-01,3200100.00
1992-07-01,3215800.00
1992-08-01,3224000.00
1992-09-01,3227900.00
1992-10-01,3252400.00
1992-11-01,3269100.00
1992-12-01,3289000.00
1993-01-01,3283500.00
1993-02-01,3300800.00
1993-03-01,3318900.00
1993-04-01,3338300.00
1993-05-01,3362400.00
1993-06-01,3387400.00
1993-07-01,3406700.00
1993-08-01,3418300.00
1993-09-01,3427800.00
1993-10-01,3444300.00
1993-11-01,3460100.00
1993-12-01,3477400.00
1994-01-01,3469900.00
1994-02-01,3482600.00
1994-03-01,3511000.00
1994-04-01,3533800.00
1994-05-01,3557000.00
1994-06-01,3586600.00
1994-07-01,3597900.00
1994-08-01,3616400.00
1994-09-01,3619600.00
1994-10-01,3639600.00
1994-11-01,3653800.00
1994-12-01,3677100.00
1995-01-01,3665500.00
1995-02-01,3689700.00
1995-03-01,3713700.00
1995-04-01,3721100.00
1995-05-01,3741500.00
1995-06-01,3774800.00
1995-07-01,3784300.00
1995-08-01,3798800.00
1995-09-01,3801700.00
1995-10-01,3818000.00
1995-11-01,3840700.00
1995-12-01,3860300.00
1996-01-01,3836000.00
1996-02-01,3860800.00
1996-03-01,3885000.00
1996-04-01,3899600.00
1996-05-01,3921500.00
1996-06-01,3950500.00
1996-07-01,3958300.00
1996-08-01,3973200.00
1996-09-01,3972100.00
1996-10-01,3989100.00
1996-11-01,4009700.00
1996-12-01,4023000.00
1997-01-01,4022700.00
1997-02-01,4031000.00
1997-03-01,4048700.00
1997-04-01,4066800.00
1997-05-01,4088100.00
1997-06-01,4101900.00
1997-07-01,4109600.00
1997-08-01,4115100.00
1997-09-01,4110900.00
1997-10-01,4129900.00
1997-11-01,4136900.00
1997-12-01,4154000.00
1998-01-01,4131500.00
1998-02-01,4133600.00
1998-03-01,4145200.00
1998-04-01,4145500.00
1998-05-01,4156100.00
1998-06-01,4172400.00
1998-07-01,4166600.00
1998-08-01,4166500.00
1998-09-01,4162600.00
1998-10-01,4176200.00
1998-11-01,4184800.00
1998-12-01,4193500.00
1999-01-01,4170800.00
1999-02-01,4180300.00
1999-03-01,4197100.00
1999-04-01,4214000.00
1999-05-01,4219000.00
1999-06-01,4236700.00
1999-07-01,4240000.00
1999-08-01,4243000.00
1999-09-01,4233800.00
1999-10-01,4245600.00
1999-11-01,4266200.00
1999-12-01,4272500.00
2000-01-01,4255700.00
2000-02-01,4263800.00
2000-03-01,4279800.00
2000-04-01,4291400.00
2000-05-01,4303200.00
2000-06-01,4330200.00
2000-07-01,4333700.00
2000-08-01,4340900.00
2000-09-01,4339100.00
2000-10-01,4354400.00
2000-11-01,4369500.00
2000-12-01,4381500.00
2001-01-01,4372800.00
2001-02-01,4386300.00
2001-03-01,4403100.00
2001-04-01,4418400.00
2001-05-01,4439700.00
2001-06-01,4470500.00
2001-07-01,4478900.00
2001-08-01,4494600.00
2001-09-01,4491300.00
2001-10-01,4505900.00
2001-11-01,4529100.00
2001-12-01,4546800.00
2002-01-01,4533400.00
2002-02-01,4553200.00
2002-03-01,4579400.00
2002-04-01,4595400.00
2002-05-01,4612000.00
2002-06-01,4632900.00
2002-07-01,4629700.00
2002-08-01,4655900.00
2002-09-01,4672000.00
2002-10-01,4693300.00
2002-11-01,4718000.00
2002-12-01,4722900.00
2003-01-01,4701300.00
2003-02-01,4710600.00
2003-03-01,4730800.00
2003-04-01,4749800.00
2003-05-01,4770900.00
2003-06-01,4799900.00
2003-07-01,4799100.00
2003-08-01,4814000.00
2003-09-01,4804500.00
2003-10-01,4839700.00
2003-11-01,4848800.00
2003-12-01,4866900.00
2004-01-01,4852000.00
2004-02-01,4865500.00
2004-03-01,4890000.00
2004-04-01,4916300.00
2004-05-01,4934500.00
2004-06-01,4964700.00
2004-07-01,4971100.00
2004-08-01,4981900.00
2004-09-01,4969300.00
2004-10-01,5009900.00
2004-11-01,5030100.00
2004-12-01,5042800.00
2005-01-01,5018900.00
2005-02-01,5030800.00
2005-03-01,5048600.00
2005-04-01,5069700.00
2005-05-01,5090000.00
2005-06-01,5124700.00
2005-07-01,5133000.00
2005-08-01,5152500.00
2005-09-01,5136900.00
2005-10-01,5163500.00
2005-11-01,5193300.00
2005-12-01,5200500.00
2006-01-01,5190300.00
2006-02-01,5206600.00
2006-03-01,5234600.00
2006-04-01,5245100.00
2006-05-01,5262800.00
2006-06-01,5285300.00
2006-07-01,5288700.00
2006-08-01,5310700.00
2006-09-01,5309600.00
2006-10-01,5338900.00
2006-11-01,5363900.00
2006-12-01,5393600.00
2007-01-01,5363400.00
2007-02-01,5384400.00
2007-03-01,5408800.00
2007-04-01,5431100.00
2007-05-01,5449500.00
2007-06-01,5469900.00
2007-07-01,5480900.00
2007-08-01,5509400.00
2007-09-01,5509000.00
2007-10-01,5543300.00
2007-11-01,5557200.00
2007-12-01,5574500.00
2008-01-01,5554400.00
2008-02-01,5568800.00
2008-03-01,5587500.00
2008-04-01,5611800.00
2008-05-01,5626000.00
2008-06-01,5653900.00
2008-07-01,5667600.00
2008-08-01,5679800.00
2008-09-01,5673400.00
2008-10-01,5697700.00
2008-11-01,5714100.00
2008-12-01,5724000.00
2009-01-01,5696500.00
2009-02-01,5708600.00
2009-03-01,5717900.00
2009-04-01,5741200.00
2009-05-01,5765400.00
2009-06-01,5796300.00
2009-07-01,5810100.00
2009-08-01,5819600.00
2009-09-01,5825500.00
2009-10-01,5855800.00
2009-11-01,5878800.00
2009-12-01,5904900.00
2010-01-01,5880200.00
2010-02-01,5891500.00
2010-03-01,5924200.00
2010-04-01,5938500.00
2010-05-01,5953400.00
2010-06-01,5970600.00
2010-07-01,5990000.00
2010-08-01,6000600.00
2010-09-01,5993800.00
2010-10-01,6036900.00
2010-11-01,6053500.00
2010-12-01,6063100.00
2011-01-01,6028000.00
2011-02-01,6048700.00
2011-03-01,6071700.00
2011-04-01,6097000.00
2011-05-01,6104500.00
2011-06-01,6130600.00
2011-07-01,6146900.00
2011-08-01,6169800.00
2011-09-01,6173300.00
2011-10-01,6213500.00
2011-11-01,6223500.00
2011-12-01,6226700.00
2012-01-01,6197600.00
2012-02-01,6227400.00
2012-03-01,6244100.00
2012-04-01,6266500.00
2012-05-01,6293600.00
2012-06-01,6301600.00
2012-07-01,6307500.00
2012-08-01,6322300.00
2012-09-01,6336200.00
2012-10-01,6380900.00
2012-11-01,6385500.00
2012-12-01,6414600.00
2013-01-01,6389000.00
2013-02-01,6405200.00
2013-03-01,6417700.00
2013-04-01,6442700.00
2013-05-01,6458600.00
2013-06-01,6474700.00
2013-07-01,6474100.00
2013-08-01,6504900.00
2013-09-01,6497000.00
2013-10-01,6536000.00
2013-11-01,6556300.00
2013-12-01,6562100.00
2014-01-01,6525800.00
2014-02-01,6532800.00
2014-03-01,6556100.00
2014-04-01,6573700.00
2014-05-01,6602300.00
2014-06-01,6621100.00
2014-07-01,6633800.00
2014-08-01,6659600.00
2014-09-01,6658800.00
2014-10-01,6707800.00
2014-11-01,6743900.00
2014-12-01,6762700.00
2015-01-01,6731300.00
2015-02-01,6745300.00
2015-03-01,6765900.00
2015-04-01,6796000.00
2015-05-01,6833200.00
2015-06-01,6864700.00
2015-07-01,6874600.00
2015-08-01,6889400.00
2015-09-01,6881200.00
2015-10-01,6942900.00
2015-11-01,6960200.00
2015-12-01,6981400.00
2016-01-01,6942200.00
2016-02-01,6963400.00
2016-03-01,6988700.00
2016-04-01,7015700.00
2016-05-01,7053800.00
2016-06-01,7076000.00
2016-07-01,7091400.00
2016-08-01,7117500.00
2016-09-01,7119300.00
2016-10-01,7175400.00
2016-11-01,7196500.00
2016-12-01,7219700.00
2017-01-01,7171900.00
2017-02-01,7202100.00
2017-03-01,7206600.00
2017-04-01,7239600.00
2017-05-01,7262000.00
2017-06-01,7290300.00
2017-07-01,7318200.00
2017-08-01,7330700.00
2017-09-01,7334100.00
2017-10-01,7383800.00
2017-11-01,7404500.00
2017-12-01,7419100.00
2018-01-01,7366900.00
2018-02-01,7401200.00
2018-03-01,7416000.00
2018-04-01,7442300.00
2018-05-01,7469900.00
