Date,CEU9091100001
1939-01-01,584900.00
1939-02-01,596300.00
1939-03-01,601500.00
1939-04-01,605800.00
1939-05-01,624600.00
1939-06-01,644700.00
1939-07-01,641700.00
1939-08-01,648000.00
1939-09-01,651200.00
1939-10-01,651000.00
1939-11-01,647900.00
1939-12-01,653100.00
1940-01-01,649000.00
1940-02-01,647000.00
1940-03-01,655400.00
1940-04-01,665800.00
1940-05-01,681600.00
1940-06-01,709100.00
1940-07-01,718600.00
1940-08-01,729100.00
1940-09-01,745900.00
1940-10-01,781400.00
1940-11-01,799400.00
1940-12-01,816500.00
1941-01-01,857100.00
1941-02-01,874900.00
1941-03-01,898100.00
1941-04-01,947400.00
1941-05-01,997800.00
1941-06-01,1064100.00
1941-07-01,1090400.00
1941-08-01,1135600.00
1941-09-01,1188100.00
1941-10-01,1216200.00
1941-11-01,1238400.00
1941-12-01,1281700.00
1942-01-01,1388600.00
1942-02-01,1460800.00
1942-03-01,1583600.00
1942-04-01,1705100.00
1942-05-01,1790200.00
1942-06-01,1898200.00
1942-07-01,2015700.00
1942-08-01,2240200.00
1942-09-01,2280000.00
1942-10-01,2375400.00
1942-11-01,2434500.00
1942-12-01,2509200.00
1943-01-01,2562400.00
1943-02-01,2638900.00
1943-03-01,2686000.00
1943-04-01,2719400.00
1943-05-01,2746700.00
1943-06-01,2841300.00
1943-07-01,2809900.00
1943-08-01,2665400.00
1943-09-01,2631000.00
1943-10-01,2616700.00
1943-11-01,2617000.00
1943-12-01,2615800.00
1944-01-01,2615800.00
1944-02-01,2623200.00
1944-03-01,2633700.00
1944-04-01,2650700.00
1944-05-01,2668400.00
1944-06-01,2716900.00
1944-07-01,2732000.00
1944-08-01,2695500.00
1944-09-01,2665200.00
1944-10-01,2659100.00
1944-11-01,2656300.00
1944-12-01,2648900.00
1945-01-01,2666700.00
1945-02-01,2696200.00
1945-03-01,2695300.00
1945-04-01,2687100.00
1945-05-01,2670300.00
1945-06-01,2689200.00
1945-07-01,2666500.00
1945-08-01,2557400.00
1945-09-01,2306700.00
1945-10-01,2198800.00
1945-11-01,2138200.00
1945-12-01,2097000.00
1946-01-01,2077500.00
1946-02-01,2063100.00
1946-03-01,2031800.00
1946-04-01,2034200.00
1946-05-01,1997400.00
1946-06-01,1928200.00
1946-07-01,1908300.00
1946-08-01,1855700.00
1946-09-01,1771700.00
1946-10-01,1732800.00
1946-11-01,1666700.00
1946-12-01,1637900.00
1947-01-01,1662300.00
1947-02-01,1648700.00
1947-03-01,1624700.00
1947-04-01,1593300.00
1947-05-01,1566000.00
1947-06-01,1499900.00
1947-07-01,1458900.00
1947-08-01,1439900.00
1947-09-01,1421000.00
1947-10-01,1421200.00
1947-11-01,1416300.00
1947-12-01,1416200.00
1948-01-01,1405600.00
1948-02-01,1411100.00
1948-03-01,1413500.00
1948-04-01,1425200.00
1948-05-01,1436700.00
1948-06-01,1459100.00
1948-07-01,1470700.00
1948-08-01,1484500.00
1948-09-01,1482400.00
1948-10-01,1489600.00
1948-11-01,1495500.00
1948-12-01,1504300.00
1949-01-01,1494500.00
1949-02-01,1494500.00
1949-03-01,1500800.00
1949-04-01,1511400.00
1949-05-01,1518900.00
1949-06-01,1511700.00
1949-07-01,1500200.00
1949-08-01,1489700.00
1949-09-01,1457100.00
1949-10-01,1413000.00
1949-11-01,1398500.00
1949-12-01,1402000.00
1950-01-01,1383700.00
1950-02-01,1384200.00
1950-03-01,1529500.00
1950-04-01,1530400.00
1950-05-01,1443600.00
1950-06-01,1416700.00
1950-07-01,1444600.00
1950-08-01,1523300.00
1950-09-01,1558100.00
