Date,CFNAIDIFF
1967-05-01,-0.25
1967-06-01,-0.22
1967-07-01,-0.26
1967-08-01,0.11
1967-09-01,0.08
1967-10-01,0.15
1967-11-01,0.18
1967-12-01,0.50
1968-01-01,0.41
1968-02-01,0.31
1968-03-01,0.22
1968-04-01,0.36
1968-05-01,0.36
1968-06-01,0.31
1968-07-01,0.29
1968-08-01,0.24
1968-09-01,0.30
1968-10-01,0.46
1968-11-01,0.56
1968-12-01,0.49
1969-01-01,0.46
1969-02-01,0.42
1969-03-01,0.53
1969-04-01,0.41
1969-05-01,0.28
1969-06-01,0.23
1969-07-01,0.23
1969-08-01,0.29
1969-09-01,0.07
1969-10-01,0.05
1969-11-01,-0.18
1969-12-01,-0.18
1970-01-01,-0.45
1970-02-01,-0.38
1970-03-01,-0.49
1970-04-01,-0.45
1970-05-01,-0.52
1970-06-01,-0.47
1970-07-01,-0.30
1970-08-01,-0.35
1970-09-01,-0.36
1970-10-01,-0.51
1970-11-01,-0.52
1970-12-01,-0.26
1971-01-01,0.07
1971-02-01,0.20
1971-04-01,0.04
1971-05-01,0.27
1971-06-01,0.44
1971-07-01,0.18
1971-08-01,0.01
1971-09-01,0.14
1971-10-01,0.31
1971-11-01,0.51
1971-12-01,0.56
1972-01-01,0.72
1972-02-01,0.73
1972-03-01,0.73
1972-04-01,0.72
1972-05-01,0.64
1972-06-01,0.56
1972-07-01,0.23
1972-08-01,0.42
1972-09-01,0.45
1972-10-01,0.80
1972-11-01,0.78
1972-12-01,0.82
1973-01-01,0.78
1973-02-01,0.75
1973-03-01,0.59
1973-04-01,0.35
1973-05-01,0.25
1973-06-01,0.21
1973-07-01,0.35
1973-08-01,0.11
1973-09-01,0.21
1973-10-01,0.34
1973-11-01,0.65
1973-12-01,0.43
1974-01-01,0.12
1974-02-01,-0.19
1974-03-01,-0.17
1974-04-01,-0.24
1974-05-01,-0.04
1974-06-01,-0.13
1974-07-01,-0.14
1974-08-01,-0.47
1974-09-01,-0.55
1974-10-01,-0.62
1974-11-01,-0.68
1974-12-01,-0.77
1975-01-01,-0.83
1975-02-01,-0.82
1975-03-01,-0.84
1975-04-01,-0.69
1975-05-01,-0.50
1975-06-01,-0.23
1975-07-01,0.03
1975-08-01,0.29
1975-09-01,0.46
1975-10-01,0.43
1975-11-01,0.35
1975-12-01,0.45
1976-01-01,0.63
1976-02-01,0.78
1976-03-01,0.66
1976-04-01,0.52
1976-05-01,0.38
1976-06-01,0.25
1976-07-01,0.28
1976-08-01,0.32
1976-09-01,0.42
1976-10-01,0.15
1976-11-01,0.23
1976-12-01,0.44
1977-01-01,0.53
1977-02-01,0.55
1977-03-01,0.51
1977-04-01,0.72
1977-05-01,0.69
1977-06-01,0.69
1977-07-01,0.60
1977-08-01,0.52
1977-09-01,0.42
1977-10-01,0.44
1977-11-01,0.42
1977-12-01,0.51
1978-01-01,0.32
1978-02-01,0.45
1978-03-01,0.49
1978-04-01,0.85
1978-05-01,0.68
1978-06-01,0.68
1978-07-01,0.34
1978-08-01,0.51
1978-09-01,0.38
1978-10-01,0.67
1978-11-01,0.65
1978-12-01,0.69
1979-01-01,0.41
1979-02-01,0.29
1979-03-01,0.36
1979-04-01,0.23
1979-05-01,0.35
1979-06-01,0.08
1979-07-01,0.13
1979-08-01,-0.23
1979-09-01,-0.20
1979-10-01,-0.08
1979-11-01,-0.09
1979-12-01,-0.16
1980-01-01,-0.12
1980-02-01,-0.16
1980-03-01,-0.37
