Date,CPIENGNS
1957-01-01,21.30
1957-02-01,21.50
1957-03-01,21.60
1957-04-01,21.50
1957-05-01,21.40
1957-06-01,21.40
1957-07-01,21.50
1957-08-01,21.40
1957-09-01,21.50
1957-10-01,21.40
1957-11-01,21.60
1957-12-01,21.60
1958-01-01,21.70
1958-02-01,21.40
1958-03-01,21.50
1958-04-01,21.30
1958-05-01,21.40
1958-06-01,21.40
1958-07-01,21.60
1958-08-01,21.80
1958-09-01,21.70
1958-10-01,21.70
1958-11-01,21.50
1958-12-01,21.40
1959-01-01,21.50
1959-02-01,21.70
1959-03-01,21.80
1959-04-01,21.80
1959-05-01,21.70
1959-06-01,21.70
1959-07-01,21.70
1959-08-01,21.90
1959-09-01,22.00
1959-10-01,22.30
1959-11-01,22.30
1959-12-01,22.40
1960-01-01,22.40
1960-02-01,22.30
1960-03-01,22.30
1960-04-01,22.30
1960-05-01,22.10
1960-06-01,22.30
1960-07-01,22.40
1960-08-01,22.60
1960-09-01,22.60
1960-10-01,22.50
1960-11-01,22.70
1960-12-01,22.70
1961-01-01,22.80
1961-02-01,22.70
1961-03-01,22.70
1961-04-01,22.20
1961-05-01,22.20
1961-06-01,22.30
1961-07-01,22.40
1961-08-01,22.50
1961-09-01,22.60
1961-10-01,22.50
1961-11-01,22.60
1961-12-01,22.40
1962-01-01,22.50
1962-02-01,22.60
1962-03-01,22.50
1962-04-01,22.70
1962-05-01,22.50
1962-06-01,22.40
1962-07-01,22.20
1962-08-01,22.40
1962-09-01,22.80
1962-10-01,22.80
1962-11-01,22.70
1962-12-01,22.90
1963-01-01,22.90
1963-02-01,22.70
1963-03-01,22.70
1963-04-01,22.50
1963-05-01,22.50
1963-06-01,22.40
1963-07-01,22.60
1963-08-01,22.60
1963-09-01,22.60
1963-10-01,22.70
1963-11-01,22.60
1963-12-01,22.70
1964-01-01,22.90
1964-02-01,22.20
1964-03-01,22.60
1964-04-01,22.50
1964-05-01,22.40
1964-06-01,22.50
1964-07-01,22.50
1964-08-01,22.60
1964-09-01,22.50
1964-10-01,22.50
1964-11-01,22.50
1964-12-01,22.70
1965-01-01,22.80
1965-02-01,22.70
1965-03-01,22.70
1965-04-01,22.90
1965-05-01,23.00
1965-06-01,23.00
1965-07-01,23.00
1965-08-01,23.00
1965-09-01,23.10
1965-10-01,23.00
1965-11-01,23.10
1965-12-01,23.10
1966-01-01,23.10
1966-02-01,23.20
1966-03-01,23.20
1966-04-01,23.10
1966-05-01,23.20
1966-06-01,23.30
1966-07-01,23.40
1966-08-01,23.30
1966-09-01,23.40
1966-10-01,23.40
1966-11-01,23.50
1966-12-01,23.50
1967-01-01,23.60
1967-02-01,23.70
1967-03-01,23.70
1967-04-01,23.90
1967-05-01,23.90
1967-06-01,23.80
1967-07-01,23.80
1967-08-01,23.90
1967-09-01,24.00
1967-10-01,23.90
1967-11-01,24.00
1967-12-01,23.90
1968-01-01,24.00
1968-02-01,24.10
1968-03-01,24.10
1968-04-01,24.00
1968-05-01,24.10
1968-06-01,24.20
1968-07-01,24.20
1968-08-01,24.30
1968-09-01,24.30
1968-10-01,24.30
1968-11-01,24.40
1968-12-01,24.30
1969-01-01,24.40
1969-02-01,24.40
1969-03-01,24.70
1969-04-01,24.90
1969-05-01,24.80
1969-06-01,25.00
1969-07-01,24.90
1969-08-01,24.90
1969-09-01,24.90
1969-10-01,25.00
1969-11-01,24.90
1969-12-01,25.00
1970-01-01,25.10
1970-02-01,25.10
1970-03-01,25.00
1970-04-01,25.50
1970-05-01,25.50
1970-06-01,25.30
1970-07-01,25.50
1970-08-01,25.40
1970-09-01,25.60
1970-10-01,25.90
1970-11-01,25.90
1970-12-01,26.20
1971-01-01,26.30
1971-02-01,26.30
1971-03-01,26.30
1971-04-01,26.10
1971-05-01,26.20
1971-06-01,26.30
1971-07-01,26.30
1971-08-01,26.80
1971-09-01,26.90
1971-10-01,26.90
1971-11-01,26.70
1971-12-01,27.00
1972-01-01,27.00
1972-02-01,26.90
1972-03-01,27.00
1972-04-01,26.90
1972-05-01,27.10
1972-06-01,27.00
1972-07-01,27.10
1972-08-01,27.30
1972-09-01,27.60
1972-10-01,27.60
1972-11-01,27.70
1972-12-01,27.70
1973-01-01,28.00
1973-02-01,28.30
1973-03-01,28.40
1973-04-01,28.70
1973-05-01,28.90
1973-06-01,29.30
1973-07-01,29.30
1973-08-01,29.40
1973-09-01,29.40
1973-10-01,30.10
1973-11-01,31.20
1973-12-01,32.40
1974-01-01,34.20
1974-02-01,35.50
1974-03-01,37.00
1974-04-01,37.70
1974-05-01,38.40
1974-06-01,38.70
1974-07-01,39.10
1974-08-01,39.20
1974-09-01,39.30
1974-10-01,39.00
1974-11-01,39.10
1974-12-01,39.40
1975-01-01,39.80
1975-02-01,40.20
1975-03-01,40.30
1975-04-01,40.70
1975-05-01,41.20
1975-06-01,41.90
1975-07-01,42.90
1975-08-01,43.20
1975-09-01,43.60
1975-10-01,43.60
1975-11-01,43.80
1975-12-01,43.90
1976-01-01,44.00
1976-02-01,44.00
1976-03-01,43.80
1976-04-01,43.80
1976-05-01,44.30
1976-06-01,45.00
1976-07-01,45.40
1976-08-01,45.60
1976-09-01,45.90
1976-10-01,46.10
1976-11-01,46.40
1976-12-01,47.00
1977-01-01,47.40
1977-02-01,48.00
1977-03-01,48.50
1977-04-01,48.90
1977-05-01,49.20
1977-06-01,49.60
1977-07-01,49.90
1977-08-01,50.10
1977-09-01,50.10
1977-10-01,50.30
1977-11-01,50.30
1977-12-01,50.40
1978-01-01,50.50
1978-02-01,50.80
1978-03-01,51.10
1978-04-01,51.40
1978-05-01,51.90
1978-06-01,52.60
1978-07-01,53.00
1978-08-01,53.30
1978-09-01,53.60
1978-10-01,54.00
1978-11-01,53.80
1978-12-01,54.40
1979-01-01,55.20
1979-02-01,56.00
1979-03-01,57.50
1979-04-01,59.60
1979-05-01,62.10
1979-06-01,65.60
1979-07-01,68.40
1979-08-01,70.60
1979-09-01,72.50
1979-10-01,73.30
1979-11-01,73.30
1979-12-01,74.80
1980-01-01,78.10
1980-02-01,82.10
1980-03-01,84.60
1980-04-01,85.50
1980-05-01,86.50
1980-06-01,87.60
1980-07-01,88.30
1980-08-01,88.30
1980-09-01,88.20
1980-10-01,87.70
1980-11-01,87.20
1980-12-01,88.30
1981-01-01,91.00
1981-02-01,95.60
1981-03-01,97.50
1981-04-01,97.70
1981-05-01,98.00
1981-06-01,98.70
1981-07-01,99.10
1981-08-01,99.20
1981-09-01,99.40
1981-10-01,98.90
1981-11-01,98.70
1981-12-01,98.80
1982-01-01,99.20
1982-02-01,98.40
1982-03-01,96.80
1982-04-01,94.30
1982-05-01,95.80
1982-06-01,99.70
1982-07-01,101.20
1982-08-01,101.20
1982-09-01,101.10
1982-10-01,101.30
1982-11-01,100.70
1982-12-01,100.10
1983-01-01,98.80
1983-02-01,96.90
1983-03-01,95.30
1983-04-01,97.70
1983-05-01,100.40
1983-06-01,101.80
1983-07-01,102.50
1983-08-01,102.40
1983-09-01,102.30
1983-10-01,101.30
1983-11-01,100.10
1983-12-01,99.60
1984-01-01,99.30
1984-02-01,100.10
1984-03-01,99.60
1984-04-01,100.40
1984-05-01,101.50
1984-06-01,102.10
1984-07-01,102.10
1984-08-01,101.80
1984-09-01,102.20
1984-10-01,101.70
1984-11-01,100.50
1984-12-01,99.80
1985-01-01,98.80
1985-02-01,98.00
1985-03-01,99.30
1985-04-01,101.10
1985-05-01,102.90
1985-06-01,104.10
1985-07-01,104.20
1985-08-01,103.40
1985-09-01,103.10
1985-10-01,101.80
1985-11-01,101.30
1985-12-01,101.60
1986-01-01,101.20
1986-02-01,97.40
1986-03-01,90.90
1986-04-01,86.20
1986-05-01,87.60
1986-06-01,90.70
1986-07-01,87.30
1986-08-01,85.50
1986-09-01,85.90
1986-10-01,83.10
1986-11-01,81.40
1986-12-01,81.60
1987-01-01,83.90
1987-02-01,85.60
1987-03-01,85.80
1987-04-01,86.40
1987-05-01,87.40
