Date,CPIFABNS
1967-01-01,34.80
1967-02-01,34.70
1967-03-01,34.70
1967-04-01,34.60
1967-05-01,34.60
1967-06-01,34.90
1967-07-01,35.20
1967-08-01,35.40
1967-09-01,35.20
1967-10-01,35.20
1967-11-01,35.20
1967-12-01,35.30
1968-01-01,35.60
1968-02-01,35.70
1968-03-01,35.80
1968-04-01,36.00
1968-05-01,36.10
1968-06-01,36.20
1968-07-01,36.40
1968-08-01,36.60
1968-09-01,36.60
1968-10-01,36.70
1968-11-01,36.60
1968-12-01,36.80
1969-01-01,37.00
1969-02-01,37.00
1969-03-01,37.20
1969-04-01,37.40
1969-05-01,37.50
1969-06-01,38.00
1969-07-01,38.40
1969-08-01,38.60
1969-09-01,38.70
1969-10-01,38.60
1969-11-01,38.90
1969-12-01,39.40
1970-01-01,39.60
1970-02-01,39.80
1970-03-01,39.80
1970-04-01,40.00
1970-05-01,40.10
1970-06-01,40.20
1970-07-01,40.40
1970-08-01,40.40
1970-09-01,40.40
1970-10-01,40.40
1970-11-01,40.20
1970-12-01,40.30
1971-01-01,40.40
1971-02-01,40.50
1971-03-01,40.90
1971-04-01,41.20
1971-05-01,41.30
1971-06-01,41.60
1971-07-01,41.80
1971-08-01,41.90
1971-09-01,41.60
1971-10-01,41.60
1971-11-01,41.60
1971-12-01,42.00
1972-01-01,42.00
1972-02-01,42.60
1972-03-01,42.70
1972-04-01,42.70
1972-05-01,42.70
1972-06-01,42.90
1972-07-01,43.30
1972-08-01,43.40
1972-09-01,43.50
1972-10-01,43.50
1972-11-01,43.70
1972-12-01,43.90
1973-01-01,44.70
1973-02-01,45.50
1973-03-01,46.60
1973-04-01,47.20
1973-05-01,47.70
1973-06-01,48.30
1973-07-01,48.70
1973-08-01,51.30
1973-09-01,51.00
1973-10-01,51.00
1973-11-01,51.60
1973-12-01,52.00
1974-01-01,52.80
1974-02-01,54.00
1974-03-01,54.50
1974-04-01,54.40
1974-05-01,54.80
1974-06-01,55.00
1974-07-01,55.10
1974-08-01,55.90
1974-09-01,56.70
1974-10-01,57.10
1974-11-01,57.60
1974-12-01,58.30
1975-01-01,58.70
1975-02-01,58.90
1975-03-01,58.90
1975-04-01,58.80
1975-05-01,59.00
1975-06-01,59.90
1975-07-01,61.20
1975-08-01,61.10
1975-09-01,61.00
1975-10-01,61.40
1975-11-01,61.60
1975-12-01,61.90
1976-01-01,61.90
1976-02-01,61.70
1976-03-01,61.30
1976-04-01,61.50
1976-05-01,61.80
1976-06-01,62.10
1976-07-01,62.50
1976-08-01,62.60
1976-09-01,62.30
1976-10-01,62.40
1976-11-01,62.20
1976-12-01,62.40
1977-01-01,62.90
1977-02-01,64.30
1977-03-01,64.60
1977-04-01,65.30
1977-05-01,65.60
1977-06-01,66.20
1977-07-01,66.50
1977-08-01,66.70
1977-09-01,66.50
1977-10-01,66.50
1977-11-01,66.90
1977-12-01,67.10
1978-01-01,68.10
1978-02-01,69.00
1978-03-01,69.80
1978-04-01,70.90
1978-05-01,71.80
1978-06-01,72.90
1978-07-01,73.40
1978-08-01,73.50
1978-09-01,73.60
1978-10-01,74.00
1978-11-01,74.30
1978-12-01,74.90
1979-01-01,76.40
1979-02-01,77.80
1979-03-01,78.50
1979-04-01,79.20
1979-05-01,79.80
1979-06-01,80.20
1979-07-01,80.70
1979-08-01,80.50
1979-09-01,80.80
1979-10-01,81.20
1979-11-01,81.50
1979-12-01,82.40
1980-01-01,83.10
1980-02-01,83.50
1980-03-01,84.30
1980-04-01,84.90
1980-05-01,85.40
1980-06-01,85.90
1980-07-01,86.90
1980-08-01,88.10
1980-09-01,88.90
1980-10-01,89.40
1980-11-01,90.00
1980-12-01,90.70
1981-01-01,91.40
1981-02-01,92.20
1981-03-01,92.70
1981-04-01,92.90
1981-05-01,92.80
1981-06-01,93.20
1981-07-01,94.10
1981-08-01,94.50
1981-09-01,94.70
1981-10-01,94.50
1981-11-01,94.40
1981-12-01,94.60
1982-01-01,95.70
1982-02-01,96.50
1982-03-01,96.40
1982-04-01,96.70
1982-05-01,97.30
1982-06-01,98.00
1982-07-01,98.20
1982-08-01,97.90
1982-09-01,98.00
1982-10-01,97.80
1982-11-01,97.60
1982-12-01,97.60
1983-01-01,98.20
1983-02-01,98.50
1983-03-01,99.10
1983-04-01,99.60
1983-05-01,99.70
1983-06-01,99.60
1983-07-01,99.60
1983-08-01,99.70
1983-09-01,99.80
1983-10-01,99.90
1983-11-01,99.80
1983-12-01,100.20
