Date,CPIRECNS
1993-01-01,89.50
1993-02-01,89.90
1993-03-01,90.30
1993-04-01,90.60
1993-05-01,90.20
1993-06-01,90.60
1993-07-01,90.50
1993-08-01,90.80
1993-09-01,91.20
1993-10-01,91.60
1993-11-01,91.70
1993-12-01,91.70
1994-01-01,92.10
1994-02-01,92.40
1994-03-01,92.60
1994-04-01,92.70
1994-05-01,92.70
1994-06-01,92.60
1994-07-01,92.70
1994-08-01,92.60
1994-09-01,92.80
1994-10-01,92.90
1994-11-01,93.20
1994-12-01,93.00
1995-01-01,93.50
1995-02-01,93.80
1995-03-01,93.90
1995-04-01,94.40
1995-05-01,94.50
1995-06-01,94.20
1995-07-01,94.30
1995-08-01,94.60
1995-09-01,95.00
1995-10-01,95.10
1995-11-01,95.50
1995-12-01,95.60
1996-01-01,96.00
1996-02-01,96.80
1996-03-01,96.90
1996-04-01,97.10
1996-05-01,97.10
1996-06-01,97.30
1996-07-01,97.50
1996-08-01,97.60
1996-09-01,97.80
1996-10-01,98.10
1996-11-01,98.40
1996-12-01,98.50
1997-01-01,98.80
1997-02-01,99.20
1997-03-01,99.40
1997-04-01,99.30
1997-05-01,99.40
1997-06-01,99.80
1997-07-01,99.80
1997-08-01,100.00
1997-09-01,99.90
1997-10-01,100.00
1997-11-01,100.00
1997-12-01,100.00
1998-01-01,100.30
1998-02-01,100.70
1998-03-01,101.00
1998-04-01,101.10
1998-05-01,101.00
1998-06-01,101.20
1998-07-01,101.10
1998-08-01,101.30
1998-09-01,101.30
1998-10-01,101.10
1998-11-01,101.30
1998-12-01,101.20
1999-01-01,101.70
1999-02-01,101.80
1999-03-01,101.80
1999-04-01,102.00
1999-05-01,102.20
1999-06-01,102.20
1999-07-01,102.20
1999-08-01,102.20
1999-09-01,101.70
1999-10-01,101.80
1999-11-01,101.90
1999-12-01,102.00
2000-01-01,102.30
2000-02-01,102.50
2000-03-01,102.90
2000-04-01,102.90
2000-05-01,103.10
2000-06-01,103.40
2000-07-01,103.70
2000-08-01,103.90
2000-09-01,103.80
2000-10-01,103.80
2000-11-01,103.70
2000-12-01,103.70
2001-01-01,104.10
2001-02-01,104.30
2001-03-01,104.30
2001-04-01,105.00
2001-05-01,105.00
2001-06-01,104.80
2001-07-01,105.00
2001-08-01,105.10
2001-09-01,105.20
2001-10-01,105.30
2001-11-01,105.50
2001-12-01,105.30
2002-01-01,105.70
2002-02-01,105.90
2002-03-01,106.10
2002-04-01,106.50
2002-05-01,106.40
2002-06-01,106.20
2002-07-01,106.20
2002-08-01,106.30
2002-09-01,106.20
2002-10-01,106.40
2002-11-01,106.40
2002-12-01,106.50
2003-01-01,106.90
2003-02-01,107.20
2003-03-01,107.40
2003-04-01,107.40
2003-05-01,107.60
2003-06-01,107.60
2003-07-01,107.70
2003-08-01,107.70
2003-09-01,107.70
2003-10-01,107.60
2003-11-01,107.80
2003-12-01,107.70
2004-01-01,107.90
2004-02-01,108.40
2004-03-01,108.80
2004-04-01,109.00
2004-05-01,108.80
2004-06-01,108.90
2004-07-01,108.70
2004-08-01,108.50
2004-09-01,108.60
2004-10-01,108.70
2004-11-01,108.70
2004-12-01,108.50
2005-01-01,108.90
2005-02-01,109.00
2005-03-01,109.00
2005-04-01,109.20
2005-05-01,109.50
2005-06-01,109.10
2005-07-01,109.10
2005-08-01,109.30
2005-09-01,109.70
2005-10-01,109.90
2005-11-01,109.80
2005-12-01,109.70
2006-01-01,109.90
2006-02-01,110.20
2006-03-01,110.60
2006-04-01,111.10
2006-05-01,111.20
2006-06-01,111.20
2006-07-01,111.30
2006-08-01,111.30
2006-09-01,111.10
2006-10-01,111.20
2006-11-01,111.20
2006-12-01,110.80
2007-01-01,111.01
2007-02-01,111.17
2007-03-01,111.24
2007-04-01,111.48
2007-05-01,111.66
2007-06-01,111.56
2007-07-01,111.35
2007-08-01,111.14
2007-09-01,111.40
2007-10-01,111.75
2007-11-01,111.84
2007-12-01,111.71
2008-01-01,112.08
2008-02-01,112.37
2008-03-01,112.73
2008-04-01,112.87
2008-05-01,112.99
2008-06-01,112.99
2008-07-01,113.28
2008-08-01,113.79
2008-09-01,114.03
2008-10-01,114.17
2008-11-01,114.08
2008-12-01,113.67
2009-01-01,113.82
2009-02-01,114.46
2009-03-01,114.63
2009-04-01,114.26
2009-05-01,114.26
2009-06-01,114.64
2009-07-01,114.62
2009-08-01,114.76
2009-09-01,114.63
2009-10-01,114.16
2009-11-01,113.82
2009-12-01,113.21
2010-01-01,113.31
2010-02-01,113.35
2010-03-01,113.34
2010-04-01,113.78
2010-05-01,113.68
2010-06-01,113.80
2010-07-01,113.69
2010-08-01,113.52
2010-09-01,113.12
2010-10-01,112.98
2010-11-01,112.84
2010-12-01,112.35
2011-01-01,112.64
2011-02-01,113.18
2011-03-01,113.26
2011-04-01,113.37
2011-05-01,113.66
2011-06-01,113.65
2011-07-01,113.49
2011-08-01,113.59
2011-09-01,113.44
2011-10-01,113.27
2011-11-01,113.23
2011-12-01,113.50
2012-01-01,114.18
2012-02-01,114.33
2012-03-01,114.68
2012-04-01,114.66
2012-05-01,114.69
2012-06-01,115.08
2012-07-01,114.94
2012-08-01,114.93
2012-09-01,114.96
2012-10-01,114.77
2012-11-01,114.76
2012-12-01,114.44
2013-01-01,114.82
2013-02-01,115.35
2013-03-01,115.39
2013-04-01,115.36
2013-05-01,115.57
2013-06-01,115.41
2013-07-01,115.38
2013-08-01,115.34
2013-09-01,115.20
2013-10-01,115.20
2013-11-01,115.33
2013-12-01,114.86
2014-01-01,115.28
2014-02-01,115.66
2014-03-01,115.76
2014-04-01,116.04
2014-05-01,116.02
2014-06-01,116.04
2014-07-01,115.84
2014-08-01,115.31
2014-09-01,115.29
2014-10-01,115.39
2014-11-01,115.03
2014-12-01,114.88
2015-01-01,115.29
2015-02-01,115.59
2015-03-01,115.84
2015-04-01,116.05
2015-05-01,116.19
2015-06-01,116.40
2015-07-01,116.36
2015-08-01,116.08
2015-09-01,116.02
2015-10-01,116.10
2015-11-01,115.76
2015-12-01,115.63
2016-01-01,116.06
2016-02-01,116.63
2016-03-01,117.07
2016-04-01,117.52
2016-05-01,117.51
2016-06-01,117.58
2016-07-01,117.36
2016-08-01,117.12
2016-09-01,116.95
2016-10-01,116.71
2016-11-01,116.75
2016-12-01,116.56
2017-01-01,117.34
2017-02-01,118.38
2017-03-01,118.57
2017-04-01,118.64
2017-05-01,118.58
2017-06-01,118.52
2017-07-01,118.86
2017-08-01,118.88
2017-09-01,118.87
2017-10-01,118.66
2017-11-01,118.42
2017-12-01,118.34
2018-01-01,118.65
2018-02-01,119.09
2018-03-01,119.28
2018-04-01,118.97
2018-05-01,118.85
