Date,DHIDFHIRIPV
2001-01-01,1.18
2001-02-01,1.14
2001-03-01,1.16
2001-04-01,1.11
2001-05-01,1.12
2001-06-01,1.07
2001-07-01,1.08
2001-08-01,1.06
2001-09-01,1.05
2001-10-01,1.07
2001-11-01,1.05
2001-12-01,1.02
2002-01-01,1.04
2002-02-01,1.05
2002-03-01,1.00
2002-04-01,1.06
2002-05-01,1.06
2002-06-01,1.04
2002-07-01,1.07
2002-08-01,1.04
2002-09-01,1.04
2002-10-01,1.03
2002-11-01,1.05
2002-12-01,1.05
2003-01-01,1.06
2003-02-01,1.02
2003-03-01,0.97
2003-04-01,1.01
2003-05-01,1.00
2003-06-01,1.03
2003-07-01,1.02
2003-08-01,1.01
2003-09-01,1.05
2003-10-01,1.05
2003-11-01,1.02
2003-12-01,1.07
2004-01-01,1.04
2004-02-01,1.01
2004-03-01,1.10
2004-04-01,1.08
2004-05-01,1.05
2004-06-01,1.05
2004-07-01,1.04
2004-08-01,1.07
2004-09-01,1.05
2004-10-01,1.07
2004-11-01,1.09
2004-12-01,1.10
2005-01-01,1.09
2005-02-01,1.10
2005-03-01,1.09
2005-04-01,1.09
2005-05-01,1.10
2005-06-01,1.10
2005-07-01,1.09
2005-08-01,1.11
2005-09-01,1.11
2005-10-01,1.04
2005-11-01,1.09
2005-12-01,1.06
2006-01-01,1.07
2006-02-01,1.09
2006-03-01,1.09
2006-04-01,1.05
2006-05-01,1.11
2006-06-01,1.08
2006-07-01,1.09
2006-08-01,1.06
2006-09-01,1.06
2006-10-01,1.06
2006-11-01,1.11
2006-12-01,1.06
2007-01-01,1.06
2007-02-01,1.06
2007-03-01,1.08
2007-04-01,1.05
2007-05-01,1.06
2007-06-01,1.05
2007-07-01,1.03
2007-08-01,1.04
2007-09-01,1.04
2007-10-01,1.06
2007-11-01,1.05
2007-12-01,1.01
2008-01-01,1.00
2008-02-01,1.01
2008-03-01,0.98
2008-04-01,1.00
2008-05-01,0.95
2008-06-01,0.98
2008-07-01,0.93
2008-08-01,0.94
2008-09-01,0.91
2008-10-01,0.94
2008-11-01,0.85
2008-12-01,0.90
2009-01-01,0.90
2009-02-01,0.88
2009-03-01,0.83
2009-04-01,0.85
2009-05-01,0.85
2009-06-01,0.83
2009-07-01,0.86
2009-08-01,0.84
2009-09-01,0.87
2009-10-01,0.85
2009-11-01,0.89
2009-12-01,0.86
2010-01-01,0.87
2010-02-01,0.85
2010-03-01,0.93
2010-04-01,0.91
2010-05-01,0.96
2010-06-01,0.90
2010-07-01,0.91
2010-08-01,0.87
2010-09-01,0.89
2010-10-01,0.90
2010-11-01,0.91
2010-12-01,0.92
2011-01-01,0.87
2011-02-01,0.90
2011-03-01,0.94
2011-04-01,0.92
2011-05-01,0.90
2011-06-01,0.94
2011-07-01,0.91
2011-08-01,0.91
2011-09-01,0.94
2011-10-01,0.92
2011-11-01,0.92
2011-12-01,0.92
2012-01-01,0.93
2012-02-01,0.95
2012-03-01,0.96
2012-04-01,0.93
2012-05-01,0.95
2012-06-01,0.95
2012-07-01,0.92
2012-08-01,0.95
2012-09-01,0.91
2012-10-01,0.92
2012-11-01,0.94
2012-12-01,0.93
2013-01-01,0.94
2013-02-01,0.95
2013-03-01,0.92
2013-04-01,0.95
2013-05-01,0.96
2013-06-01,0.93
2013-07-01,0.95
2013-08-01,0.98
2013-09-01,0.98
2013-10-01,0.93
2013-11-01,0.96
2013-12-01,0.95
2014-01-01,0.96
2014-02-01,0.96
2014-03-01,0.98
2014-04-01,0.99
2014-05-01,0.98
2014-06-01,0.98
2014-07-01,1.01
2014-08-01,0.98
2014-09-01,1.03
2014-10-01,1.03
2014-11-01,1.02
2014-12-01,1.03
2015-01-01,1.01
2015-02-01,1.01
2015-03-01,1.02
2015-04-01,1.02
2015-05-01,1.02
2015-06-01,1.02
2015-07-01,1.02
2015-08-01,1.01
2015-09-01,1.02
2015-10-01,1.05
2015-11-01,1.05
2015-12-01,1.07
2016-01-01,1.01
2016-02-01,1.06
2016-03-01,1.04
2016-04-01,1.03
2016-05-01,1.02
2016-06-01,1.02
2016-07-01,1.04
2016-08-01,1.03
2016-09-01,1.02
2016-10-01,1.01
2016-11-01,1.02
2016-12-01,1.03
2017-01-01,1.05
2017-02-01,1.02
2017-03-01,1.02
2017-04-01,1.01
2017-05-01,1.05
2017-06-01,1.05
2017-07-01,1.05
2017-08-01,1.05
2017-09-01,1.03
2017-10-01,1.06
2017-11-01,1.05
2017-12-01,1.05
2018-01-01,1.05
2018-02-01,1.04
2018-03-01,1.04
2018-04-01,1.05
