Date,DTRTNM
1970-06-01,393000000.00
1970-07-01,432420000.00
1970-08-01,471850000.00
1970-09-01,510000000.00
1970-10-01,549760000.00
1970-11-01,588240000.00
1970-12-01,628000000.00
1971-01-01,668990000.00
1971-02-01,706010000.00
1971-03-01,747000000.00
1971-04-01,785570000.00
1971-05-01,825430000.00
1971-06-01,864000000.00
1971-07-01,903420000.00
1971-08-01,942850000.00
1971-09-01,981000000.00
1971-10-01,1021100000.00
1971-11-01,1059900000.00
1971-12-01,1100000000.00
1972-01-01,1139860000.00
1972-02-01,1177140000.00
1972-03-01,1217000000.00
1972-04-01,1256560000.00
1972-05-01,1297440000.00
1972-06-01,1337000000.00
1972-07-01,1376090000.00
1972-08-01,1415170000.00
1972-09-01,1453000000.00
1972-10-01,1492760000.00
1972-11-01,1531240000.00
1972-12-01,1571000000.00
1973-01-01,1611640000.00
1973-02-01,1648360000.00
1973-03-01,1689000000.00
1973-04-01,1727240000.00
1973-05-01,1766760000.00
1973-06-01,1805000000.00
1973-07-01,1845430000.00
1973-08-01,1885870000.00
1973-09-01,1925000000.00
1973-10-01,1964420000.00
1973-11-01,2002580000.00
1973-12-01,2042000000.00
1974-01-01,2082990000.00
1974-02-01,2120010000.00
1974-03-01,2161000000.00
1974-04-01,2199570000.00
1974-05-01,2239430000.00
1974-06-01,2278000000.00
1974-07-01,2317420000.00
1974-08-01,2356850000.00
1974-09-01,2395000000.00
1974-10-01,2435100000.00
1974-11-01,2473900000.00
1974-12-01,2514000000.00
1975-01-01,2554640000.00
1975-02-01,2591360000.00
1975-03-01,2632000000.00
1975-04-01,2670900000.00
1975-05-01,2711100000.00
1975-06-01,2750000000.00
1975-07-01,2882090000.00
1975-08-01,3014170000.00
1975-09-01,3142000000.00
1975-10-01,3274760000.00
1975-11-01,3403240000.00
1975-12-01,3536000000.00
1976-01-01,3669540000.00
1976-02-01,3794460000.00
1976-03-01,3928000000.00
1976-04-01,4058220000.00
1976-05-01,4192780000.00
1976-06-01,4323000000.00
1976-07-01,4475300000.00
1976-08-01,4627610000.00
1976-09-01,4775000000.00
1976-10-01,4928320000.00
1976-11-01,5076680000.00
1976-12-01,5230000000.00
1977-01-01,5386380000.00
1977-02-01,5527620000.00
1977-03-01,5684000000.00
1977-04-01,5834330000.00
1977-05-01,5989670000.00
1977-06-01,6140000000.00
1977-07-01,6293320000.00
1977-08-01,6446630000.00
1977-09-01,6595000000.00
1977-10-01,6747640000.00
1977-11-01,6895360000.00
1977-12-01,7048000000.00
1978-01-01,7204380000.00
1978-02-01,7345620000.00
1978-03-01,7502000000.00
1978-04-01,7652330000.00
1978-05-01,7807670000.00
1978-06-01,7958000000.00
1978-07-01,8123110000.00
1978-08-01,8288220000.00
1978-09-01,8448000000.00
1978-10-01,8614120000.00
1978-11-01,8774880000.00
1978-12-01,8941000000.00
1979-01-01,9109780000.00
1979-02-01,9262220000.00
1979-03-01,9431000000.00
1979-04-01,9593200000.00
1979-05-01,9760800000.00
1979-06-01,9923000000.00
1979-07-01,10151120000.00
1979-08-01,10379240000.00
1979-09-01,10600000000.00
1979-10-01,10827450000.00
1979-11-01,11047550000.00
1979-12-01,11275000000.00
1980-01-01,11504950000.00
1980-02-01,11720050000.00
1980-03-01,11950000000.00
1980-04-01,12172530000.00
1980-05-01,12402470000.00
1980-06-01,12625000000.00
1980-07-01,12763830000.00
1980-08-01,12902650000.00
