Date,ECOMNSA
1999-10-01,5265000000.00
2000-01-01,5562000000.00
2000-04-01,6069000000.00
2000-07-01,6898000000.00
2000-10-01,9079000000.00
2001-01-01,7885000000.00
2001-04-01,7816000000.00
2001-07-01,7753000000.00
2001-10-01,10806000000.00
2002-01-01,9626000000.00
2002-04-01,10073000000.00
2002-07-01,10756000000.00
2002-10-01,14168000000.00
2003-01-01,12359000000.00
2003-04-01,12974000000.00
2003-07-01,13911000000.00
2003-10-01,17911000000.00
2004-01-01,16190000000.00
2004-04-01,16491000000.00
2004-07-01,17377000000.00
2004-10-01,22539000000.00
2005-01-01,20150000000.00
2005-04-01,20948000000.00
2005-07-01,22172000000.00
2005-10-01,28117000000.00
2006-01-01,25487000000.00
2006-04-01,25823000000.00
2006-07-01,26890000000.00
2006-10-01,35134000000.00
2007-01-01,30401000000.00
2007-04-01,31586000000.00
2007-07-01,32350000000.00
2007-10-01,42133000000.00
2008-01-01,34268000000.00
2008-04-01,34260000000.00
2008-07-01,33484000000.00
2008-10-01,39580000000.00
2009-01-01,32283000000.00
2009-04-01,32924000000.00
2009-07-01,34492000000.00
2009-10-01,45808000000.00
2010-01-01,37047000000.00
2010-04-01,38473000000.00
2010-07-01,40077000000.00
2010-10-01,54324000000.00
2011-01-01,44150000000.00
2011-04-01,45298000000.00
2011-07-01,46001000000.00
2011-10-01,64224000000.00
2012-01-01,51475000000.00
2012-04-01,52220000000.00
2012-07-01,53467000000.00
2012-10-01,73312000000.00
2013-01-01,57952000000.00
2013-04-01,59686000000.00
2013-07-01,60653000000.00
2013-10-01,82659000000.00
2014-01-01,65614000000.00
2014-04-01,68762000000.00
2014-07-01,70139000000.00
2014-10-01,94167000000.00
2015-01-01,74572000000.00
2015-04-01,78212000000.00
2015-07-01,80198000000.00
2015-10-01,107433000000.00
2016-01-01,85431000000.00
2016-04-01,90397000000.00
2016-07-01,92644000000.00
2016-10-01,122515000000.00
2017-01-01,98292000000.00
2017-04-01,105024000000.00
2017-07-01,107031000000.00
2017-10-01,142860000000.00
2018-01-01,114422000000.00
