Date,GDPC1
1947-01-01,1934471000000.00
1947-04-01,1932281000000.00
1947-07-01,1930315000000.00
1947-10-01,1960705000000.00
1948-01-01,1989535000000.00
1948-04-01,2021851000000.00
1948-07-01,2033155000000.00
1948-10-01,2035329000000.00
1949-01-01,2007522000000.00
1949-04-01,2000788000000.00
1949-07-01,2022798000000.00
1949-10-01,2004653000000.00
1950-01-01,2084559000000.00
1950-04-01,2147592000000.00
1950-07-01,2230362000000.00
1950-10-01,2273435000000.00
1951-01-01,2304542000000.00
1951-04-01,2344517000000.00
1951-07-01,2392808000000.00
1951-10-01,2398105000000.00
1952-01-01,2423457000000.00
1952-04-01,2428516000000.00
1952-07-01,2446081000000.00
1952-10-01,2526359000000.00
1953-01-01,2573372000000.00
1953-04-01,2593456000000.00
1953-07-01,2578922000000.00
1953-10-01,2539786000000.00
1954-01-01,2528043000000.00
1954-04-01,2530689000000.00
1954-07-01,2559397000000.00
1954-10-01,2609272000000.00
1955-01-01,2683766000000.00
1955-04-01,2727452000000.00
1955-07-01,2764128000000.00
1955-10-01,2780762000000.00
1956-01-01,2770032000000.00
1956-04-01,2792872000000.00
1956-07-01,2790588000000.00
1956-10-01,2836238000000.00
1957-01-01,2854517000000.00
1957-04-01,2848186000000.00
1957-07-01,2875927000000.00
1957-10-01,2846446000000.00
1958-01-01,2772654000000.00
1958-04-01,2790948000000.00
1958-07-01,2855472000000.00
1958-10-01,2922264000000.00
1959-01-01,2976629000000.00
1959-04-01,3049011000000.00
1959-07-01,3043139000000.00
1959-10-01,3055104000000.00
1960-01-01,3123162000000.00
1960-04-01,3111310000000.00
1960-07-01,3119057000000.00
1960-10-01,3081300000000.00
1961-01-01,3102251000000.00
1961-04-01,3159918000000.00
1961-07-01,3212606000000.00
1961-10-01,3277717000000.00
1962-01-01,3336753000000.00
1962-04-01,3372706000000.00
1962-07-01,3404833000000.00
1962-10-01,3418046000000.00
1963-01-01,3456080000000.00
1963-04-01,3501134000000.00
1963-07-01,3569479000000.00
1963-10-01,3594954000000.00
1964-01-01,3672708000000.00
1964-04-01,3716382000000.00
1964-07-01,3766862000000.00
1964-10-01,3780219000000.00
1965-01-01,3873452000000.00
1965-04-01,3926406000000.00
1965-07-01,4006152000000.00
1965-10-01,4100631000000.00
1966-01-01,4201891000000.00
1966-04-01,4219097000000.00
1966-07-01,4249152000000.00
1966-10-01,4285582000000.00
1967-01-01,4324926000000.00
1967-04-01,4328720000000.00
1967-07-01,4366088000000.00
1967-10-01,4401233000000.00
1968-01-01,4490609000000.00
1968-04-01,4566442000000.00
1968-07-01,4599332000000.00
1968-10-01,4619803000000.00
1969-01-01,4691637000000.00
1969-04-01,4706684000000.00
1969-07-01,4736143000000.00
1969-10-01,4715469000000.00
1970-01-01,4707112000000.00
1970-04-01,4715441000000.00
1970-07-01,4757213000000.00
1970-10-01,4708281000000.00
1971-01-01,4834349000000.00
1971-04-01,4861938000000.00
1971-07-01,4899950000000.00
1971-10-01,4914261000000.00
1972-01-01,5002436000000.00
1972-04-01,5118278000000.00
1972-07-01,5165448000000.00
1972-10-01,5251226000000.00
1973-01-01,5380502000000.00
1973-04-01,5441504000000.00
1973-07-01,5411935000000.00
1973-10-01,5462397000000.00
1974-01-01,5417024000000.00
1974-04-01,5431265000000.00
1974-07-01,5378679000000.00
1974-10-01,5357166000000.00
1975-01-01,5292444000000.00
1975-04-01,5333220000000.00
1975-07-01,5421357000000.00
1975-10-01,5494446000000.00
1976-01-01,5618520000000.00
1976-04-01,5660972000000.00
1976-07-01,5689756000000.00
1976-10-01,5732462000000.00
1977-01-01,5799160000000.00
1977-04-01,5912977000000.00
1977-07-01,6017586000000.00
1977-10-01,6018218000000.00
1978-01-01,6039158000000.00
1978-04-01,6273963000000.00
1978-07-01,6335317000000.00
1978-10-01,6420288000000.00
1979-01-01,6433044000000.00
1979-04-01,6440832000000.00
1979-07-01,6487080000000.00
1979-10-01,6503874000000.00
1980-01-01,6524912000000.00
1980-04-01,6392578000000.00
1980-07-01,6382892000000.00
1980-10-01,6501184000000.00
1981-01-01,6635726000000.00
1981-04-01,6587269000000.00
1981-07-01,6662858000000.00
1981-10-01,6585127000000.00
1982-01-01,6474973000000.00
1982-04-01,6510247000000.00
1982-07-01,6486800000000.00
1982-10-01,6493128000000.00
1983-01-01,6578175000000.00
1983-04-01,6728287000000.00
1983-07-01,6860022000000.00
1983-10-01,7001489000000.00
1984-01-01,7140597000000.00
1984-04-01,7266010000000.00
1984-07-01,7337493000000.00
1984-10-01,7396019000000.00
1985-01-01,7469545000000.00
1985-04-01,7537928000000.00
1985-07-01,7655196000000.00
1985-10-01,7712624000000.00
1986-01-01,7784109000000.00
1986-04-01,7819843000000.00
1986-07-01,7898555000000.00
1986-10-01,7939450000000.00
1987-01-01,7994965000000.00
1987-04-01,8084710000000.00
1987-07-01,8158035000000.00
1987-10-01,8292687000000.00
1988-01-01,8339324000000.00
1988-04-01,8449510000000.00
1988-07-01,8498282000000.00
1988-10-01,8610850000000.00
1989-01-01,8697711000000.00
1989-04-01,8766105000000.00
1989-07-01,8831544000000.00
1989-10-01,8850230000000.00
1990-01-01,8947129000000.00
1990-04-01,8981727000000.00
1990-07-01,8983945000000.00
1990-10-01,8907363000000.00
1991-01-01,8865564000000.00
1991-04-01,8934366000000.00
1991-07-01,8977252000000.00
1991-10-01,9016444000000.00
1992-01-01,9122950000000.00
1992-04-01,9223545000000.00
1992-07-01,9313208000000.00
1992-10-01,9406528000000.00
1993-01-01,9424065000000.00
1993-04-01,9480106000000.00
1993-07-01,9526337000000.00
1993-10-01,9653509000000.00
1994-01-01,9748156000000.00
