Date,GDP
1947-01-01,243080000000.00
1947-04-01,246267000000.00
1947-07-01,250115000000.00
1947-10-01,260309000000.00
1948-01-01,266173000000.00
1948-04-01,272897000000.00
1948-07-01,279497000000.00
1948-10-01,280656000000.00
1949-01-01,275370000000.00
1949-04-01,271692000000.00
1949-07-01,273262000000.00
1949-10-01,270984000000.00
1950-01-01,281209000000.00
1950-04-01,290735000000.00
1950-07-01,308510000000.00
1950-10-01,320320000000.00
1951-01-01,336372000000.00
1951-04-01,344455000000.00
1951-07-01,351774000000.00
1951-10-01,356579000000.00
1952-01-01,360195000000.00
1952-04-01,361414000000.00
1952-07-01,368084000000.00
1952-10-01,381241000000.00
1953-01-01,388472000000.00
1953-04-01,392259000000.00
1953-07-01,391696000000.00
1953-10-01,386521000000.00
1954-01-01,385924000000.00
1954-04-01,386716000000.00
1954-07-01,391596000000.00
1954-10-01,400348000000.00
1955-01-01,413753000000.00
1955-04-01,422226000000.00
1955-07-01,430925000000.00
1955-10-01,437787000000.00
1956-01-01,440491000000.00
1956-04-01,446771000000.00
1956-07-01,451983000000.00
1956-10-01,461278000000.00
1957-01-01,470578000000.00
1957-04-01,472835000000.00
1957-07-01,480315000000.00
1957-10-01,475681000000.00
1958-01-01,468353000000.00
1958-04-01,472786000000.00
1958-07-01,486653000000.00
1958-10-01,500380000000.00
1959-01-01,511063000000.00
1959-04-01,524241000000.00
1959-07-01,525196000000.00
1959-10-01,529322000000.00
1960-01-01,543347000000.00
1960-04-01,542697000000.00
1960-07-01,546012000000.00
1960-10-01,541063000000.00
1961-01-01,545949000000.00
1961-04-01,557430000000.00
1961-07-01,568228000000.00
1961-10-01,581624000000.00
1962-01-01,595176000000.00
1962-04-01,602580000000.00
1962-07-01,609575000000.00
1962-10-01,613132000000.00
1963-01-01,622679000000.00
1963-04-01,631835000000.00
1963-07-01,644960000000.00
1963-10-01,654840000000.00
1964-01-01,671149000000.00
1964-04-01,680757000000.00
1964-07-01,692807000000.00
1964-10-01,698424000000.00
1965-01-01,719248000000.00
1965-04-01,732369000000.00
1965-07-01,750184000000.00
1965-10-01,773104000000.00
1966-01-01,797328000000.00
1966-04-01,807153000000.00
1966-07-01,820798000000.00
1966-10-01,834864000000.00
1967-01-01,846046000000.00
1967-04-01,851058000000.00
1967-07-01,866614000000.00
1967-10-01,883201000000.00
1968-01-01,911135000000.00
1968-04-01,936297000000.00
1968-07-01,952347000000.00
1968-10-01,970129000000.00
1969-01-01,995419000000.00
1969-04-01,1011361000000.00
1969-07-01,1032016000000.00
1969-10-01,1040741000000.00
1970-01-01,1053528000000.00
1970-04-01,1070110000000.00
1970-07-01,1088461000000.00
1970-10-01,1091462000000.00
1971-01-01,1137812000000.00
1971-04-01,1159355000000.00
1971-07-01,1180313000000.00
1971-10-01,1193585000000.00
1972-01-01,1233807000000.00
1972-04-01,1270122000000.00
1972-07-01,1293837000000.00
1972-10-01,1332023000000.00
1973-01-01,1380680000000.00
1973-04-01,1417595000000.00
1973-07-01,1436813000000.00
1973-10-01,1479069000000.00
1974-01-01,1494654000000.00
1974-04-01,1534220000000.00
1974-07-01,1563396000000.00
1974-10-01,1603004000000.00
1975-01-01,1619553000000.00
1975-04-01,1656448000000.00
1975-07-01,1713812000000.00
1975-10-01,1765867000000.00
1976-01-01,1824509000000.00
1976-04-01,1856944000000.00
1976-07-01,1890500000000.00
1976-10-01,1938413000000.00
1977-01-01,1992534000000.00
1977-04-01,2060165000000.00
1977-07-01,2122387000000.00
1977-10-01,2168716000000.00
1978-01-01,2208688000000.00
1978-04-01,2336563000000.00
1978-07-01,2398866000000.00
1978-10-01,2482159000000.00
1979-01-01,2531555000000.00
1979-04-01,2595909000000.00
1979-07-01,2670388000000.00
1979-10-01,2730705000000.00
1980-01-01,2796523000000.00
1980-04-01,2799938000000.00
1980-07-01,2860044000000.00
1980-10-01,2993525000000.00
1981-01-01,3131799000000.00
1981-04-01,3167251000000.00
1981-07-01,3261203000000.00
1981-10-01,3283536000000.00
1982-01-01,3273809000000.00
1982-04-01,3331281000000.00
1982-07-01,3367072000000.00
1982-10-01,3407810000000.00
1983-01-01,3480321000000.00
1983-04-01,3583844000000.00
1983-07-01,3692257000000.00
1983-10-01,3796121000000.00
1984-01-01,3912774000000.00
1984-04-01,4015000000000.00
1984-07-01,4087378000000.00
1984-10-01,4147606000000.00
1985-01-01,4237010000000.00
1985-04-01,4302297000000.00
1985-07-01,4394563000000.00
1985-10-01,4453105000000.00
1986-01-01,4516344000000.00
1986-04-01,4555245000000.00
1986-07-01,4619627000000.00
1986-10-01,4669396000000.00
1987-01-01,4736231000000.00
1987-04-01,4821459000000.00
1987-07-01,4900509000000.00
1987-10-01,5022670000000.00
1988-01-01,5090615000000.00
1988-04-01,5207707000000.00
1988-07-01,5299486000000.00
1988-10-01,5412713000000.00
1989-01-01,5527352000000.00
1989-04-01,5628429000000.00
1989-07-01,5711556000000.00
1989-10-01,5763444000000.00
1990-01-01,5890835000000.00
1990-04-01,5974665000000.00
1990-07-01,6029504000000.00
1990-10-01,6023332000000.00
1991-01-01,6054867000000.00
1991-04-01,6143612000000.00
1991-07-01,6218425000000.00
1991-10-01,6279296000000.00
1992-01-01,6380798000000.00
1992-04-01,6492299000000.00
1992-07-01,6586548000000.00
1992-10-01,6697553000000.00
1993-01-01,6748182000000.00
1993-04-01,6829594000000.00
1993-07-01,6904222000000.00
1993-10-01,7032844000000.00
1994-01-01,7136259000000.00
1994-04-01,7269847000000.00
1994-07-01,7352255000000.00
1994-10-01,7476661000000.00
1995-01-01,7545296000000.00
1995-04-01,7604923000000.00
1995-07-01,7706531000000.00
1995-10-01,7799493000000.00
1996-01-01,7893146000000.00
1996-04-01,8061535000000.00
1996-07-01,8159043000000.00
1996-10-01,8287078000000.00
1997-01-01,8402060000000.00
1997-04-01,8551940000000.00
1997-07-01,8691756000000.00
1997-10-01,8788320000000.00
1998-01-01,8889732000000.00
1998-04-01,8994738000000.00
1998-07-01,9146521000000.00
1998-10-01,9325650000000.00
1999-01-01,9447103000000.00
