Date,GOAI
2005-01-01,22869100000000.00
2005-04-01,23217700000000.00
2005-07-01,23699400000000.00
2005-10-01,24273400000000.00
2006-01-01,24580000000000.00
2006-04-01,24792900000000.00
2006-07-01,24997700000000.00
2006-10-01,25181300000000.00
2007-01-01,25586800000000.00
2007-04-01,26084300000000.00
2007-07-01,26234100000000.00
2007-10-01,26700000000000.00
2008-01-01,26927700000000.00
2008-04-01,27370000000000.00
2008-07-01,27253100000000.00
2008-10-01,25752000000000.00
2009-01-01,24530300000000.00
2009-04-01,24411800000000.00
2009-07-01,24591000000000.00
2009-10-01,25095900000000.00
2010-01-01,25519800000000.00
2010-04-01,25900700000000.00
2010-07-01,26317200000000.00
2010-10-01,26636300000000.00
2011-01-01,27054000000000.00
2011-04-01,27518000000000.00
2011-07-01,27661900000000.00
2011-10-01,27910000000000.00
2012-01-01,28461600000000.00
2012-04-01,28515900000000.00
2012-07-01,28659100000000.00
2012-10-01,29016400000000.00
2013-01-01,29186200000000.00
2013-04-01,29445600000000.00
2013-07-01,29694800000000.00
2013-10-01,30078200000000.00
2014-01-01,30398500000000.00
2014-04-01,30960100000000.00
2014-07-01,31324100000000.00
2014-10-01,31453300000000.00
2015-01-01,31134500000000.00
2015-04-01,31471400000000.00
2015-07-01,31598900000000.00
2015-10-01,31520900000000.00
2016-01-01,31516100000000.00
2016-04-01,31907100000000.00
2016-07-01,32267400000000.00
2016-10-01,32649100000000.00
2017-01-01,33154600000000.00
2017-04-01,33456000000000.00
2017-07-01,33762300000000.00
2017-10-01,34460800000000.00
