Date,HMLBSHNO
1945-10-01,18706000000.00
1946-10-01,23100000000.00
1947-10-01,28267000000.00
1948-10-01,33422000000.00
1949-10-01,37406000000.00
1950-10-01,45250000000.00
1951-10-01,51792000000.00
1952-01-01,53066000000.00
1952-04-01,54798000000.00
1952-07-01,56640000000.00
1952-10-01,58416000000.00
1953-01-01,60006000000.00
1953-04-01,62225000000.00
1953-07-01,64205000000.00
1953-10-01,65938000000.00
1954-01-01,67351000000.00
1954-04-01,69614000000.00
1954-07-01,72336000000.00
1954-10-01,75356000000.00
1955-01-01,78237000000.00
1955-04-01,81697000000.00
1955-07-01,85032000000.00
1955-10-01,87936000000.00
1956-01-01,90356000000.00
1956-04-01,93327000000.00
1956-07-01,96174000000.00
1956-10-01,98745000000.00
1957-01-01,100851000000.00
1957-04-01,103039000000.00
1957-07-01,105397000000.00
1957-10-01,107374000000.00
1958-01-01,108975000000.00
1958-04-01,111142000000.00
1958-07-01,114035000000.00
1958-10-01,117177000000.00
1959-01-01,119935000000.00
1959-04-01,123346000000.00
1959-07-01,127007000000.00
1959-10-01,130099000000.00
1960-01-01,132580000000.00
1960-04-01,135366000000.00
1960-07-01,138582000000.00
1960-10-01,141378000000.00
1961-01-01,143645000000.00
1961-04-01,146603000000.00
1961-07-01,150179000000.00
1961-10-01,154027000000.00
1962-01-01,156488000000.00
1962-04-01,160237000000.00
1962-07-01,164345000000.00
1962-10-01,168307000000.00
1963-01-01,171352000000.00
1963-04-01,175801000000.00
1963-07-01,180662000000.00
1963-10-01,185106000000.00
1964-01-01,188776000000.00
1964-04-01,193368000000.00
1964-07-01,198076000000.00
1964-10-01,202335000000.00
1965-01-01,205891000000.00
1965-04-01,210329000000.00
1965-07-01,215042000000.00
1965-10-01,219449000000.00
1966-01-01,223358000000.00
1966-04-01,227232000000.00
1966-07-01,230272000000.00
1966-10-01,232742000000.00
1967-01-01,234221000000.00
1967-04-01,237076000000.00
1967-07-01,241547000000.00
1967-10-01,245974000000.00
1968-01-01,249378000000.00
1968-04-01,253675000000.00
1968-07-01,258183000000.00
1968-10-01,262934000000.00
1969-01-01,264857000000.00
1969-04-01,269738000000.00
1969-07-01,274512000000.00
1969-10-01,278689000000.00
1970-01-01,275814000000.00
1970-04-01,278674000000.00
1970-07-01,282347000000.00
1970-10-01,286015000000.00
1971-01-01,289592000000.00
1971-04-01,295363000000.00
1971-07-01,302822000000.00
1971-10-01,309454000000.00
1972-01-01,316038000000.00
1972-04-01,324462000000.00
1972-07-01,334408000000.00
1972-10-01,343552000000.00
1973-01-01,351550000000.00
1973-04-01,361814000000.00
1973-07-01,372134000000.00
1973-10-01,382218000000.00
1974-01-01,389858000000.00
1974-04-01,400439000000.00
1974-07-01,411381000000.00
1974-10-01,419339000000.00
1975-01-01,424313000000.00
1975-04-01,434575000000.00
1975-07-01,446324000000.00
1975-10-01,459087000000.00
1976-01-01,469994000000.00
1976-04-01,483990000000.00
1976-07-01,501121000000.00
1976-10-01,517073000000.00
1977-01-01,531310000000.00
1977-04-01,554091000000.00
1977-07-01,579911000000.00
1977-10-01,602997000000.00
1978-01-01,621021000000.00
1978-04-01,648036000000.00
1978-07-01,678951000000.00
1978-10-01,708641000000.00
1979-01-01,733605000000.00
1979-04-01,763421000000.00
1979-07-01,795927000000.00
1979-10-01,826724000000.00
1980-01-01,856228000000.00
1980-04-01,873960000000.00
1980-07-01,901374000000.00
1980-10-01,926526000000.00
1981-01-01,940590000000.00
1981-04-01,964154000000.00
1981-07-01,981849000000.00
1981-10-01,998261000000.00
1982-01-01,1007909000000.00
1982-04-01,1019260000000.00
1982-07-01,1017736000000.00
1982-10-01,1031175000000.00
1983-01-01,1026258000000.00
1983-04-01,1053751000000.00
1983-07-01,1087568000000.00
1983-10-01,1116384000000.00
1984-01-01,1144101000000.00
1984-04-01,1177677000000.00
1984-07-01,1211497000000.00
1984-10-01,1243294000000.00
1985-01-01,1304981000000.00
1985-04-01,1343287000000.00
1985-07-01,1402164000000.00
1985-10-01,1450249000000.00
1986-01-01,1476952000000.00
1986-04-01,1525857000000.00
1986-07-01,1587994000000.00
1986-10-01,1649024000000.00
1987-01-01,1681564000000.00
1987-04-01,1752706000000.00
1987-07-01,1802929000000.00
1987-10-01,1828608000000.00
1988-01-01,1875598000000.00
1988-04-01,1942104000000.00
1988-07-01,1999589000000.00
1988-10-01,2054832000000.00
1989-01-01,2088877000000.00
1989-04-01,2146493000000.00
1989-07-01,2210690000000.00
1989-10-01,2260115000000.00
1990-01-01,2334912000000.00
1990-04-01,2395411000000.00
1990-07-01,2446737000000.00
1990-10-01,2489255000000.00
1991-01-01,2529152000000.00
1991-04-01,2590113000000.00
1991-07-01,2613968000000.00
1991-10-01,2667356000000.00
1992-01-01,2707721000000.00
1992-04-01,2740695000000.00
1992-07-01,2795327000000.00
1992-10-01,2840353000000.00
1993-01-01,2854166000000.00
1993-04-01,2907787000000.00
1993-07-01,2957937000000.00
1993-10-01,2999062000000.00
1994-01-01,3029316000000.00
1994-04-01,3074394000000.00
1994-07-01,3120742000000.00
1994-10-01,3165549000000.00
1995-01-01,3191476000000.00
1995-04-01,3237696000000.00
1995-07-01,3289134000000.00
1995-10-01,3319182000000.00
1996-01-01,3377527000000.00
1996-04-01,3430888000000.00
1996-07-01,3488050000000.00
1996-10-01,3537293000000.00
1997-01-01,3579568000000.00
1997-04-01,3631000000000.00
1997-07-01,3716020000000.00
1997-10-01,3753196000000.00
1998-01-01,3808422000000.00
1998-04-01,3886925000000.00
1998-07-01,3963618000000.00
1998-10-01,4054655000000.00
1999-01-01,4133871000000.00
1999-04-01,4230370000000.00
1999-07-01,4348385000000.00
1999-10-01,4431564000000.00
2000-01-01,4493812000000.00
2000-04-01,4606196000000.00
2000-07-01,4718906000000.00
2000-10-01,4813874000000.00
2001-01-01,4898473000000.00
2001-04-01,5059297000000.00
2001-07-01,5207639000000.00
2001-10-01,5322036000000.00
2002-01-01,5459539000000.00
2002-04-01,5636280000000.00
2002-07-01,5830821000000.00
2002-10-01,6028323000000.00
2003-01-01,6202521000000.00
2003-04-01,6461330000000.00
2003-07-01,6705686000000.00
2003-10-01,6912911000000.00
2004-01-01,7087540000000.00
2004-04-01,7357907000000.00
2004-07-01,7602741000000.00
2004-10-01,7856556000000.00
2005-01-01,8086240000000.00
2005-04-01,8376590000000.00
2005-07-01,8674320000000.00
2005-10-01,8936609000000.00
2006-01-01,9240746000000.00
2006-04-01,9545216000000.00
2006-07-01,9784702000000.00
2006-10-01,9935557000000.00
2007-01-01,10148487000000.00
2007-04-01,10343378000000.00
2007-07-01,10532602000000.00
2007-10-01,10637970000000.00
2008-01-01,10715824000000.00
2008-04-01,10709160000000.00
2008-07-01,10686190000000.00
2008-10-01,10607947000000.00
2009-01-01,10608169000000.00
2009-04-01,10577086000000.00
2009-07-01,10519087000000.00
2009-10-01,10468213000000.00
2010-01-01,10337412000000.00
2010-04-01,10268722000000.00
2010-07-01,10189611000000.00
2010-10-01,9985357000000.00
2011-01-01,9930100000000.00
2011-04-01,9869226000000.00
2011-07-01,9817095000000.00
2011-10-01,9769493000000.00
2012-01-01,9710818000000.00
2012-04-01,9652035000000.00
2012-07-01,9607695000000.00
2012-10-01,9558411000000.00
2013-01-01,9511767000000.00
2013-04-01,9478259000000.00
2013-07-01,9489276000000.00
2013-10-01,9474638000000.00
2014-01-01,9440269000000.00
2014-04-01,9433539000000.00
2014-07-01,9444053000000.00
2014-10-01,9455824000000.00
2015-01-01,9425269000000.00
2015-04-01,9464144000000.00
2015-07-01,9508255000000.00
2015-10-01,9573355000000.00
2016-01-01,9577213000000.00
2016-04-01,9638616000000.00
2016-07-01,9717825000000.00
2016-10-01,9777862000000.00
2017-01-01,9833063000000.00
2017-04-01,9911603000000.00
2017-07-01,9999573000000.00
2017-10-01,10076223000000.00
2018-01-01,10110497000000.00
