Date,IPB50002N
1939-01-01,7.30
1939-02-01,7.25
1939-03-01,7.33
1939-04-01,7.30
1939-05-01,7.33
1939-06-01,7.47
1939-07-01,7.55
1939-08-01,7.66
1939-09-01,7.88
1939-10-01,8.10
1939-11-01,8.35
1939-12-01,8.43
1940-01-01,8.32
1940-02-01,8.21
1940-03-01,8.10
1940-04-01,8.13
1940-05-01,8.21
1940-06-01,8.43
1940-07-01,8.40
1940-08-01,8.54
1940-09-01,8.87
1940-10-01,9.12
1940-11-01,9.39
1940-12-01,9.72
1941-01-01,9.94
1941-02-01,10.22
1941-03-01,10.46
1941-04-01,10.63
1941-05-01,11.01
1941-06-01,11.23
1941-07-01,11.23
1941-08-01,11.40
1941-09-01,11.56
1941-10-01,11.73
1941-11-01,11.81
1941-12-01,12.03
1942-01-01,12.27
1942-02-01,12.58
1942-03-01,12.69
1942-04-01,11.78
1942-05-01,11.92
1942-06-01,12.16
1942-07-01,12.55
1942-08-01,13.04
1942-09-01,13.48
1942-10-01,13.98
1942-11-01,14.47
1942-12-01,15.08
1943-01-01,15.08
1943-02-01,15.35
1943-03-01,15.54
1943-04-01,15.84
1943-05-01,16.09
1943-06-01,16.45
1943-07-01,16.78
1943-08-01,17.16
1943-09-01,17.52
1943-10-01,17.74
1943-11-01,17.93
1943-12-01,17.52
1944-01-01,17.82
1944-02-01,18.04
1944-03-01,18.07
1944-04-01,18.15
1944-05-01,18.29
1944-06-01,18.62
1944-07-01,18.56
1944-08-01,18.78
1944-09-01,18.40
1944-10-01,18.23
1944-11-01,17.90
1944-12-01,17.74
1945-01-01,17.60
1945-02-01,17.46
1945-03-01,17.16
1945-04-01,16.86
1945-05-01,16.45
1945-06-01,16.28
1945-07-01,15.79
1945-08-01,13.89
1945-09-01,12.38
1945-10-01,11.94
1945-11-01,11.94
1945-12-01,12.00
1946-01-01,11.84
1946-02-01,11.78
1946-03-01,11.78
1946-04-01,11.94
1946-05-01,12.03
1946-06-01,12.25
1946-07-01,12.47
1946-08-01,13.04
1946-09-01,13.48
1946-10-01,13.54
1946-11-01,13.65
1946-12-01,13.65
1947-01-01,13.67
1947-02-01,13.87
1947-03-01,13.87
1947-04-01,13.54
1947-05-01,13.37
1947-06-01,13.76
1947-07-01,13.24
1947-08-01,14.22
1947-09-01,14.69
1947-10-01,14.99
1947-11-01,14.77
1947-12-01,14.47
1948-01-01,14.42
1948-02-01,14.58
1948-03-01,14.44
1948-04-01,14.22
1948-05-01,14.03
1948-06-01,14.55
1948-07-01,14.09
1948-08-01,14.80
1948-09-01,15.21
1948-10-01,15.32
1948-11-01,14.77
1948-12-01,14.22
1949-01-01,14.00
1949-02-01,14.14
1949-03-01,14.14
1949-04-01,13.76
1949-05-01,13.57
1949-06-01,13.87
1949-07-01,13.46
1949-08-01,14.53
1949-09-01,14.88
1949-10-01,15.02
1949-11-01,14.14
1949-12-01,13.70
1950-01-01,14.31
1950-02-01,14.55
1950-03-01,14.77
1950-04-01,14.88
1950-05-01,14.99
1950-06-01,15.73
1950-07-01,15.46
1950-08-01,17.41
1950-09-01,17.38
1950-10-01,17.63
1950-11-01,16.83
1950-12-01,16.94
1951-01-01,17.08
1951-02-01,17.68
1951-03-01,17.68
1951-04-01,17.11
1951-05-01,16.72
1951-06-01,17.08
1951-07-01,16.06
1951-08-01,16.94
1951-09-01,17.49
1951-10-01,17.57
1951-11-01,17.41
1951-12-01,17.27
1952-01-01,17.52
1952-02-01,18.07
1952-03-01,18.23
1952-04-01,17.68
1952-05-01,17.63
1952-06-01,18.40
1952-07-01,17.16
1952-08-01,18.56
1952-09-01,19.39
1952-10-01,19.77
1952-11-01,19.61
1952-12-01,19.25
1953-01-01,19.58
1953-02-01,20.05
1953-03-01,20.21
1953-04-01,19.83
1953-05-01,19.80
1953-06-01,19.88
1953-07-01,19.17
1953-08-01,20.10
1953-09-01,20.10
1953-10-01,20.27
1953-11-01,19.06
1953-12-01,18.40
1954-01-01,18.62
1954-02-01,18.89
1954-03-01,18.89
1954-04-01,18.45
1954-05-01,18.34
1954-06-01,18.56
1954-07-01,17.90
1954-08-01,18.67
1954-09-01,18.89
1954-10-01,18.81
1954-11-01,18.89
1954-12-01,18.89
1955-01-01,19.22
1955-02-01,19.58
1955-03-01,19.88
1955-04-01,19.94
1955-05-01,19.88
1955-06-01,20.10
1955-07-01,19.44
1955-08-01,20.24
1955-09-01,20.59
1955-10-01,21.09
1955-11-01,20.92
1955-12-01,20.81
1956-01-01,20.87
1956-02-01,21.20
1956-03-01,21.20
1956-04-01,21.23
1956-05-01,20.87
1956-06-01,21.14
1956-07-01,20.48
1956-08-01,21.53
1956-09-01,21.80
1956-10-01,22.02
1956-11-01,21.78
1956-12-01,21.80
1957-01-01,21.80
1957-02-01,22.46
1957-03-01,22.57
1957-04-01,21.97
1957-05-01,21.67
1957-06-01,22.19
1957-07-01,21.42
1957-08-01,22.46
1957-09-01,22.52
1957-10-01,22.00
1957-11-01,21.47
1957-12-01,20.90
1958-01-01,20.70
1958-02-01,20.68
1958-03-01,20.48
1958-04-01,20.10
1958-05-01,20.10
1958-06-01,20.81
1958-07-01,20.27
1958-08-01,21.23
1958-09-01,21.58
1958-10-01,21.75
1958-11-01,21.97
1958-12-01,21.69
1959-01-01,22.02
1959-02-01,22.46
1959-03-01,22.63
1959-04-01,22.79
1959-05-01,22.90
1959-06-01,23.42
1959-07-01,22.79
1959-08-01,23.40
1959-09-01,23.75
1959-10-01,23.84
1959-11-01,22.79
1959-12-01,23.01
1960-01-01,23.78
1960-02-01,24.00
1960-03-01,24.00
1960-04-01,23.89
1960-05-01,23.89
1960-06-01,24.14
1960-07-01,23.01
1960-08-01,23.67
1960-09-01,24.14
1960-10-01,24.36
1960-11-01,23.45
1960-12-01,22.76
1961-01-01,22.68
1961-02-01,23.01
1961-03-01,23.09
1961-04-01,23.42
1961-05-01,23.45
1961-06-01,24.19
1961-07-01,23.23
1961-08-01,24.00
1961-09-01,24.91
1961-10-01,25.35
1961-11-01,25.15
1961-12-01,24.91
1962-01-01,24.69
1962-02-01,25.29
1962-03-01,25.67
1962-04-01,25.78
1962-05-01,25.78
1962-06-01,26.25
1962-07-01,25.56
1962-08-01,25.81
1962-09-01,27.02
1962-10-01,27.13
1962-11-01,26.50
1962-12-01,26.22
1963-01-01,26.42
1963-02-01,27.27
1963-03-01,27.35
1963-04-01,27.24
1963-05-01,27.08
1963-06-01,27.93
1963-07-01,26.42
1963-08-01,26.88
1963-09-01,28.39
1963-10-01,28.92
1963-11-01,28.17
1963-12-01,27.46
1964-01-01,27.95
1964-02-01,28.59
1964-03-01,28.42
1964-04-01,28.94
1964-05-01,28.86
1964-06-01,29.55
1964-07-01,28.04
1964-08-01,28.59
1964-09-01,30.04
1964-10-01,29.74
1964-11-01,29.88
1964-12-01,29.57
1965-01-01,30.18
1965-02-01,31.00
1965-03-01,31.47
1965-04-01,31.17
1965-05-01,31.39
1965-06-01,32.46
1965-07-01,30.81
1965-08-01,31.22
1965-09-01,32.92
1965-10-01,33.86
1965-11-01,33.31
1965-12-01,32.59
1966-01-01,33.23
1966-02-01,34.10
1966-03-01,34.49
1966-04-01,34.35
1966-05-01,34.41
1966-06-01,35.62
1966-07-01,33.64
1966-08-01,34.27
1966-09-01,36.52
1966-10-01,37.04
1966-11-01,35.97
1966-12-01,35.04
1967-01-01,35.37
1967-02-01,35.81
1967-03-01,35.98
1967-04-01,36.17
1967-05-01,35.78
1967-06-01,37.03
1967-07-01,34.42
1967-08-01,35.84
1967-09-01,37.74
1967-10-01,37.61
1967-11-01,37.24
1967-12-01,36.59
1968-01-01,36.61
1968-02-01,37.54
1968-03-01,37.84
1968-04-01,37.21
1968-05-01,37.67
1968-06-01,39.12
1968-07-01,36.55
1968-08-01,37.36
1968-09-01,39.91
1968-10-01,39.88
1968-11-01,39.15
1968-12-01,37.65
1969-01-01,38.24
1969-02-01,39.17
1969-03-01,39.57
1969-04-01,38.92
1969-05-01,38.69
1969-06-01,40.34
1969-07-01,38.08
1969-08-01,39.27
1969-09-01,41.22
1969-10-01,40.86
1969-11-01,39.04
1969-12-01,37.60
1970-01-01,37.34
1970-02-01,38.39
1970-03-01,38.37
1970-04-01,38.05
1970-05-01,38.15
1970-06-01,39.46
1970-07-01,36.99
1970-08-01,37.72
1970-09-01,39.12
1970-10-01,37.94
1970-11-01,36.47
1970-12-01,36.16
1971-01-01,36.71
1971-02-01,37.62
1971-03-01,37.59
1971-04-01,37.44
1971-05-01,37.56
1971-06-01,39.03
1971-07-01,36.72
1971-08-01,38.18
1971-09-01,40.36
1971-10-01,40.38
1971-11-01,39.18
1971-12-01,37.44
1972-01-01,39.20
1972-02-01,40.29
1972-03-01,40.56
1972-04-01,41.25
1972-05-01,40.83
1972-06-01,41.99
1972-07-01,39.23
1972-08-01,40.98
1972-09-01,42.78
1972-10-01,43.58
1972-11-01,43.53
1972-12-01,43.18
1973-01-01,43.46
1973-02-01,44.75
1973-03-01,44.95
1973-04-01,44.36
1973-05-01,44.41
1973-06-01,45.53
1973-07-01,43.10
1973-08-01,43.35
1973-09-01,45.52
1973-10-01,46.11
1973-11-01,45.88
1973-12-01,44.43
1974-01-01,44.32
1974-02-01,44.67
1974-03-01,44.95
1974-04-01,44.00
1974-05-01,44.83
1974-06-01,46.08
1974-07-01,43.69
1974-08-01,44.48
1974-09-01,45.73
