Date,IPB51220N
1954-01-01,18.11
1954-02-01,17.71
1954-03-01,16.96
1954-04-01,16.68
1954-05-01,16.21
1954-06-01,16.30
1954-07-01,16.49
1954-08-01,16.77
1954-09-01,17.05
1954-10-01,16.99
1954-11-01,17.55
1954-12-01,18.74
1955-01-01,19.43
1955-02-01,19.52
1955-03-01,18.65
1955-04-01,18.08
1955-05-01,17.49
1955-06-01,17.65
1955-07-01,17.96
1955-08-01,18.49
1955-09-01,18.83
1955-10-01,18.74
1955-11-01,19.21
1955-12-01,20.64
1956-01-01,21.77
1956-02-01,21.36
1956-03-01,20.71
1956-04-01,20.18
1956-05-01,19.68
1956-06-01,20.02
1956-07-01,20.11
1956-08-01,20.55
1956-09-01,20.61
1956-10-01,19.96
1956-11-01,20.43
1956-12-01,21.89
1957-01-01,23.08
1957-02-01,22.71
1957-03-01,21.74
1957-04-01,21.11
1957-05-01,20.71
1957-06-01,20.96
1957-07-01,21.11
1957-08-01,22.11
1957-09-01,22.11
1957-10-01,21.36
1957-11-01,21.89
1957-12-01,23.39
1958-01-01,24.42
1958-02-01,23.92
1958-03-01,23.08
1958-04-01,22.11
1958-05-01,21.42
1958-06-01,21.89
1958-07-01,22.21
1958-08-01,23.02
1958-09-01,23.14
1958-10-01,22.27
1958-11-01,22.71
1958-12-01,24.49
1959-01-01,26.42
1959-02-01,25.49
1959-03-01,24.83
1959-04-01,23.74
1959-05-01,23.02
1959-06-01,23.45
1959-07-01,23.89
1959-08-01,24.86
1959-09-01,25.24
1959-10-01,24.14
1959-11-01,24.67
1959-12-01,26.36
1960-01-01,27.64
1960-02-01,26.95
1960-03-01,26.80
1960-04-01,25.67
1960-05-01,24.36
1960-06-01,24.86
1960-07-01,25.67
1960-08-01,26.45
1960-09-01,26.64
1960-10-01,25.42
1960-11-01,25.55
1960-12-01,27.45
1961-01-01,29.55
1961-02-01,29.01
1961-03-01,27.27
1961-04-01,26.27
1961-05-01,25.83
1961-06-01,25.86
1961-07-01,26.80
1961-08-01,27.95
1961-09-01,27.83
1961-10-01,27.05
1961-11-01,27.20
1961-12-01,29.11
1962-01-01,31.48
1962-02-01,30.67
1962-03-01,29.64
1962-04-01,28.14
1962-05-01,27.27
1962-06-01,28.36
1962-07-01,29.20
1962-08-01,29.79
1962-09-01,30.01
1962-10-01,28.55
1962-11-01,28.95
1962-12-01,30.98
1963-01-01,33.32
1963-02-01,33.23
1963-03-01,31.73
1963-04-01,29.42
1963-05-01,29.11
1963-06-01,30.14
1963-07-01,31.23
1963-08-01,32.26
1963-09-01,31.89
1963-10-01,29.95
1963-11-01,30.04
1963-12-01,32.39
1964-01-01,35.17
1964-02-01,33.79
1964-03-01,32.86
1964-04-01,31.89
1964-05-01,31.01
1964-06-01,31.92
1964-07-01,34.23
1964-08-01,35.10
1964-09-01,34.23
1964-10-01,32.39
1964-11-01,32.04
1964-12-01,34.60
1965-01-01,36.60
1965-02-01,35.70
1965-03-01,34.85
1965-04-01,33.61
1965-05-01,32.20
1965-06-01,33.29
1965-07-01,35.23
1965-08-01,36.32
1965-09-01,36.17
1965-10-01,34.20
1965-11-01,33.73
1965-12-01,36.32
1966-01-01,38.57
1966-02-01,38.51
1966-03-01,36.88
1966-04-01,35.01
1966-05-01,34.17
1966-06-01,35.14
1966-07-01,38.66
1966-08-01,40.07
1966-09-01,38.60
1966-10-01,36.20
1966-11-01,35.92
1966-12-01,38.48
1967-01-01,41.16
1967-02-01,40.03
1967-03-01,39.58
1967-04-01,38.34
1967-05-01,38.08
1967-06-01,39.67
1967-07-01,41.03
1967-08-01,41.56
1967-09-01,41.40
1967-10-01,39.85
1967-11-01,40.06
1967-12-01,42.54
1968-01-01,44.21
1968-02-01,43.75
1968-03-01,42.81
1968-04-01,40.33
1968-05-01,40.37
1968-06-01,42.18
1968-07-01,44.27
1968-08-01,45.55
1968-09-01,45.20
1968-10-01,42.14
1968-11-01,42.17
1968-12-01,45.11
1969-01-01,46.35
1969-02-01,46.17
1969-03-01,45.27
1969-04-01,43.19
1969-05-01,42.44
1969-06-01,44.25
1969-07-01,48.46
1969-08-01,49.62
1969-09-01,48.72
1969-10-01,45.71
1969-11-01,45.93
1969-12-01,48.20
1970-01-01,50.58
1970-02-01,49.26
1970-03-01,47.87
1970-04-01,46.06
1970-05-01,45.24
1970-06-01,47.11
1970-07-01,50.17
1970-08-01,51.74
1970-09-01,52.13
1970-10-01,48.57
1970-11-01,47.25
1970-12-01,50.22
1971-01-01,52.43
1971-02-01,51.75
1971-03-01,50.21
1971-04-01,48.48
1971-05-01,46.84
1971-06-01,49.90
1971-07-01,54.02
1971-08-01,54.19
1971-09-01,53.36
1971-10-01,50.79
1971-11-01,49.61
1971-12-01,52.16
1972-01-01,57.17
1972-02-01,60.07
1972-03-01,57.26
1972-04-01,51.74
1972-05-01,47.06
1972-06-01,47.07
1972-07-01,51.06
1972-08-01,53.43
1972-09-01,53.38
1972-10-01,50.65
1972-11-01,54.72
1972-12-01,64.11
1973-01-01,70.48
1973-02-01,65.02
1973-03-01,59.62
1973-04-01,52.09
1973-05-01,47.76
1973-06-01,48.24
1973-07-01,51.31
1973-08-01,52.34
1973-09-01,52.16
1973-10-01,47.87
1973-11-01,51.05
1973-12-01,57.56
1974-01-01,65.02
1974-02-01,60.77
1974-03-01,56.94
1974-04-01,54.43
1974-05-01,50.37
1974-06-01,52.32
1974-07-01,55.53
1974-08-01,56.82
1974-09-01,54.07
1974-10-01,51.18
1974-11-01,53.26
1974-12-01,63.88
1975-01-01,69.02
1975-02-01,66.57
1975-03-01,62.07
1975-04-01,56.52
1975-05-01,50.02
1975-06-01,50.87
1975-07-01,55.19
1975-08-01,56.30
1975-09-01,55.38
1975-10-01,49.90
1975-11-01,53.51
1975-12-01,64.12
1976-01-01,74.16
1976-02-01,69.66
1976-03-01,61.90
1976-04-01,56.21
1976-05-01,52.65
1976-06-01,53.65
1976-07-01,57.28
1976-08-01,58.55
1976-09-01,56.16
1976-10-01,53.49
1976-11-01,60.38
1976-12-01,72.91
1977-01-01,81.47
1977-02-01,77.38
1977-03-01,64.86
1977-04-01,57.77
1977-05-01,53.54
1977-06-01,55.33
1977-07-01,60.59
1977-08-01,60.81
1977-09-01,58.31
1977-10-01,55.90
1977-11-01,58.08
1977-12-01,70.04
1978-01-01,78.28
1978-02-01,77.28
1978-03-01,70.75
1978-04-01,58.52
1978-05-01,54.53
1978-06-01,54.86
1978-07-01,59.76
1978-08-01,61.39
1978-09-01,60.48
1978-10-01,57.09
1978-11-01,60.81
1978-12-01,72.02
1979-01-01,80.53
1979-02-01,77.96
1979-03-01,70.37
1979-04-01,62.93
1979-05-01,58.32
1979-06-01,59.01
1979-07-01,62.09
1979-08-01,63.91
1979-09-01,61.24
1979-10-01,57.97
1979-11-01,61.78
1979-12-01,70.37
1980-01-01,76.44
1980-02-01,74.31
1980-03-01,67.42
1980-04-01,59.27
1980-05-01,53.16
1980-06-01,55.25
1980-07-01,61.07
1980-08-01,62.84
1980-09-01,60.29
1980-10-01,54.92
1980-11-01,58.33
1980-12-01,68.78
1981-01-01,78.67
1981-02-01,71.87
1981-03-01,63.98
1981-04-01,57.44
1981-05-01,53.50
1981-06-01,55.34
1981-07-01,60.54
1981-08-01,61.99
1981-09-01,58.22
1981-10-01,55.62
1981-11-01,59.52
1981-12-01,69.67
1982-01-01,79.70
1982-02-01,73.60
1982-03-01,65.43
1982-04-01,59.94
1982-05-01,53.91
1982-06-01,55.61
1982-07-01,60.47
1982-08-01,60.79
1982-09-01,58.49
1982-10-01,54.85
1982-11-01,59.09
1982-12-01,68.94
1983-01-01,78.57
1983-02-01,69.84
1983-03-01,64.78
1983-04-01,60.97
1983-05-01,54.29
1983-06-01,54.33
1983-07-01,61.35
1983-08-01,64.95
1983-09-01,62.97
1983-10-01,54.20
1983-11-01,58.18
1983-12-01,70.72
1984-01-01,87.57
1984-02-01,77.62
1984-03-01,70.78
1984-04-01,62.45
1984-05-01,56.00
1984-06-01,56.38
1984-07-01,60.97
1984-08-01,61.84
1984-09-01,59.06
1984-10-01,53.92
1984-11-01,59.37
1984-12-01,72.41
1985-01-01,82.64
1985-02-01,81.10
1985-03-01,69.13
1985-04-01,59.98
1985-05-01,54.06
1985-06-01,56.08
1985-07-01,60.98
1985-08-01,62.05
1985-09-01,60.04
1985-10-01,54.62
1985-11-01,58.50
1985-12-01,77.02
1986-01-01,87.83
1986-02-01,76.69
1986-03-01,69.81
1986-04-01,58.60
1986-05-01,54.07
1986-06-01,57.05
1986-07-01,65.61
1986-08-01,65.84
1986-09-01,61.00
1986-10-01,55.28
1986-11-01,60.39
1986-12-01,77.11
1987-01-01,86.43
1987-02-01,79.05
1987-03-01,72.14
1987-04-01,63.00
1987-05-01,56.66
1987-06-01,60.45
1987-07-01,68.09
1987-08-01,70.16
1987-09-01,62.56
1987-10-01,58.60
1987-11-01,63.16
1987-12-01,78.00
1988-01-01,93.65
1988-02-01,85.26
1988-03-01,75.95
1988-04-01,65.66
1988-05-01,59.42
1988-06-01,62.07
1988-07-01,70.41
1988-08-01,73.99
1988-09-01,65.30
1988-10-01,61.51
1988-11-01,66.78
1988-12-01,81.33
1989-01-01,87.94
1989-02-01,83.18
1989-03-01,79.48
1989-04-01,66.71
1989-05-01,60.17
1989-06-01,63.20
1989-07-01,69.48
1989-08-01,69.27
1989-09-01,66.10
1989-10-01,61.67
1989-11-01,68.01
1989-12-01,90.61
1990-01-01,94.87
1990-02-01,79.58
1990-03-01,74.19
1990-04-01,66.58
1990-05-01,60.15
1990-06-01,63.56
1990-07-01,70.40
1990-08-01,69.71
1990-09-01,68.56
1990-10-01,62.59
1990-11-01,66.62
1990-12-01,80.64
1991-01-01,94.59
1991-02-01,81.50
1991-03-01,75.88
1991-04-01,65.53
1991-05-01,62.43
1991-06-01,67.33
1991-07-01,73.40
1991-08-01,72.28
1991-09-01,68.46
1991-10-01,63.05
1991-11-01,72.48
1991-12-01,85.53
1992-01-01,93.33
1992-02-01,84.66
1992-03-01,76.21
1992-04-01,69.23
1992-05-01,61.13
1992-06-01,61.13
1992-07-01,68.81
1992-08-01,67.46
1992-09-01,64.05
1992-10-01,63.82
1992-11-01,71.45
1992-12-01,90.73
1993-01-01,97.11
1993-02-01,89.19
1993-03-01,82.47
1993-04-01,70.32
1993-05-01,59.49
1993-06-01,63.51
1993-07-01,74.61
1993-08-01,74.74
1993-09-01,69.26
1993-10-01,65.10
1993-11-01,73.51
1993-12-01,89.76
1994-01-01,104.96
1994-02-01,93.36
1994-03-01,81.02
1994-04-01,68.52
1994-05-01,62.73
1994-06-01,68.00
1994-07-01,76.21
1994-08-01,72.94
1994-09-01,67.96
1994-10-01,64.20
1994-11-01,71.72
1994-12-01,88.23
1995-01-01,99.25
1995-02-01,91.79
1995-03-01,82.37
1995-04-01,70.42
1995-05-01,64.97
1995-06-01,67.90
1995-07-01,76.09
1995-08-01,80.59
1995-09-01,71.84
1995-10-01,65.08
1995-11-01,77.70
1995-12-01,95.79
1996-01-01,108.87
1996-02-01,98.85
1996-03-01,89.55
1996-04-01,75.54
1996-05-01,68.25
1996-06-01,72.24
1996-07-01,77.72
1996-08-01,77.53
1996-09-01,71.71
1996-10-01,68.47
1996-11-01,80.53
1996-12-01,96.37
1997-01-01,106.62
1997-02-01,93.82
1997-03-01,84.49
1997-04-01,74.83
1997-05-01,69.39
1997-06-01,70.27
1997-07-01,78.74
1997-08-01,77.77
1997-09-01,72.82
1997-10-01,71.90
1997-11-01,80.35
1997-12-01,96.97
1998-01-01,101.49
1998-02-01,88.70
1998-03-01,86.83
1998-04-01,72.68
1998-05-01,67.19
1998-06-01,74.80
1998-07-01,85.04
1998-08-01,83.92
1998-09-01,77.06
1998-10-01,70.71
1998-11-01,74.72
1998-12-01,90.90
1999-01-01,110.32
1999-02-01,90.45
1999-03-01,90.82
1999-04-01,77.32
1999-05-01,70.54
1999-06-01,75.86
1999-07-01,86.64
1999-08-01,86.51
1999-09-01,78.83
1999-10-01,73.02
1999-11-01,76.01
1999-12-01,93.50
2000-01-01,104.22
2000-02-01,93.29
2000-03-01,83.81
2000-04-01,75.74
2000-05-01,74.06
2000-06-01,79.72
2000-07-01,86.71
2000-08-01,88.38
2000-09-01,82.78
2000-10-01,75.32
2000-11-01,83.09
2000-12-01,103.02
2001-01-01,115.30
2001-02-01,97.64
2001-03-01,91.36
2001-04-01,79.02
2001-05-01,73.81
2001-06-01,78.65
2001-07-01,86.52
2001-08-01,89.30
2001-09-01,80.35
2001-10-01,76.17
2001-11-01,79.27
2001-12-01,94.79
2002-01-01,111.39
2002-02-01,98.07
2002-03-01,95.34
2002-04-01,82.45
2002-05-01,76.92
2002-06-01,82.53
2002-07-01,93.69
2002-08-01,93.54
2002-09-01,84.21
2002-10-01,78.18
2002-11-01,85.74
2002-12-01,105.68
2003-01-01,116.34
2003-02-01,107.75
2003-03-01,95.38
2003-04-01,80.17
2003-05-01,76.86
2003-06-01,79.58
2003-07-01,91.34
2003-08-01,94.22
2003-09-01,84.29
2003-10-01,77.77
2003-11-01,83.53
2003-12-01,105.98
2004-01-01,119.94
2004-02-01,108.91
2004-03-01,94.63
2004-04-01,82.77
2004-05-01,79.88
2004-06-01,85.56
2004-07-01,91.50
2004-08-01,90.64
2004-09-01,83.59
2004-10-01,81.87
2004-11-01,87.11
2004-12-01,106.39
2005-01-01,111.68
2005-02-01,102.20
2005-03-01,99.25
2005-04-01,88.71
2005-05-01,85.95
2005-06-01,93.34
2005-07-01,99.72
2005-08-01,99.62
2005-09-01,90.57
2005-10-01,84.74
2005-11-01,89.58
2005-12-01,107.91
2006-01-01,104.68
2006-02-01,99.13
2006-03-01,95.95
2006-04-01,86.00
2006-05-01,87.29
2006-06-01,95.24
2006-07-01,102.47
2006-08-01,104.09
2006-09-01,93.67
2006-10-01,88.75
2006-11-01,93.45
2006-12-01,106.65
2007-01-01,113.63
2007-02-01,112.42
2007-03-01,101.72
2007-04-01,92.46
2007-05-01,91.38
2007-06-01,96.19
2007-07-01,101.55
2007-08-01,105.26
