Date,IPB52000N
1939-01-01,2.12
1939-02-01,2.12
1939-03-01,2.12
1939-04-01,2.12
1939-05-01,2.13
1939-06-01,2.20
1939-07-01,2.28
1939-08-01,2.37
1939-09-01,2.49
1939-10-01,2.68
1939-11-01,2.90
1939-12-01,2.99
1940-01-01,2.94
1940-02-01,2.90
1940-03-01,2.94
1940-04-01,2.97
1940-05-01,3.04
1940-06-01,3.17
1940-07-01,3.25
1940-08-01,3.43
1940-09-01,3.62
1940-10-01,3.74
1940-11-01,3.84
1940-12-01,4.11
1941-01-01,4.39
1941-02-01,4.53
1941-03-01,4.69
1941-04-01,4.84
1941-05-01,5.09
1941-06-01,5.21
1941-07-01,5.30
1941-08-01,5.51
1941-09-01,5.65
1941-10-01,5.86
1941-11-01,5.90
1941-12-01,6.32
1942-01-01,6.71
1942-02-01,7.41
1942-03-01,7.75
1942-04-01,8.11
1942-05-01,8.48
1942-06-01,8.91
1942-07-01,9.32
1942-08-01,9.98
1942-09-01,10.55
1942-10-01,11.24
1942-11-01,11.98
1942-12-01,12.82
1943-01-01,13.37
1943-02-01,13.76
1943-03-01,14.17
1943-04-01,14.55
1943-05-01,14.79
1943-06-01,15.00
1943-07-01,15.30
1943-08-01,15.64
1943-09-01,16.02
1943-10-01,16.58
1943-11-01,16.99
1943-12-01,16.75
1944-01-01,17.22
1944-02-01,17.55
1944-03-01,17.59
1944-04-01,17.69
1944-05-01,17.84
1944-06-01,18.04
1944-07-01,17.80
1944-08-01,17.67
1944-09-01,17.14
1944-10-01,17.01
1944-11-01,16.52
1944-12-01,16.48
1945-01-01,16.20
1945-02-01,16.07
1945-03-01,15.72
1945-04-01,15.18
1945-05-01,14.42
1945-06-01,13.76
1945-07-01,12.88
1945-08-01,10.10
1945-09-01,6.68
1945-10-01,6.00
1945-11-01,5.75
1945-12-01,5.79
1946-01-01,5.05
1946-02-01,4.36
1946-03-01,4.57
1946-04-01,4.79
1946-05-01,4.76
1946-06-01,4.85
1946-07-01,4.85
1946-08-01,5.00
1946-09-01,5.10
1946-10-01,5.26
1946-11-01,5.33
1946-12-01,5.45
1947-01-01,6.24
1947-02-01,6.31
1947-03-01,6.39
1947-04-01,6.35
1947-05-01,6.28
1947-06-01,6.36
1947-07-01,6.04
1947-08-01,6.10
1947-09-01,6.35
1947-10-01,6.52
1947-11-01,6.52
1947-12-01,6.75
1948-01-01,6.73
1948-02-01,6.73
1948-03-01,6.84
1948-04-01,6.71
1948-05-01,6.59
1948-06-01,6.68
1948-07-01,6.52
1948-08-01,6.54
1948-09-01,6.64
1948-10-01,6.68
1948-11-01,6.67
1948-12-01,6.77
1949-01-01,6.54
1949-02-01,6.54
1949-03-01,6.47
1949-04-01,6.26
1949-05-01,6.10
1949-06-01,5.98
1949-07-01,5.73
1949-08-01,5.66
1949-09-01,5.70
1949-10-01,5.58
1949-11-01,5.42
1949-12-01,5.55
1950-01-01,5.58
1950-02-01,5.75
1950-03-01,5.83
1950-04-01,5.96
1950-05-01,6.15
1950-06-01,6.36
1950-07-01,6.39
1950-08-01,6.80
1950-09-01,6.80
1950-10-01,7.12
1950-11-01,7.22
1950-12-01,7.57
1951-01-01,7.74
1951-02-01,8.06
1951-03-01,8.42
1951-04-01,8.75
1951-05-01,8.80
1951-06-01,8.96
1951-07-01,8.89
1951-08-01,9.08
1951-09-01,9.33
1951-10-01,9.66
1951-11-01,9.91
1951-12-01,10.27
1952-01-01,10.47
1952-02-01,10.58
1952-03-01,10.75
1952-04-01,10.71
1952-05-01,10.81
1952-06-01,10.92
1952-07-01,10.27
1952-08-01,10.47
1952-09-01,10.72
1952-10-01,11.00
1952-11-01,11.11
1952-12-01,11.56
1953-01-01,11.65
1953-02-01,11.73
1953-03-01,11.94
1953-04-01,11.98
1953-05-01,11.98
1953-06-01,11.93
1953-07-01,11.77
1953-08-01,11.73
1953-09-01,11.62
1953-10-01,11.65
1953-11-01,11.11
1953-12-01,11.25
1954-01-01,10.86
1954-02-01,10.79
1954-03-01,10.71
1954-04-01,10.50
1954-05-01,10.34
1954-06-01,10.26
1954-07-01,9.89
1954-08-01,9.81
1954-09-01,9.82
1954-10-01,9.85
1954-11-01,9.87
1954-12-01,10.09
1955-01-01,9.95
1955-02-01,10.10
1955-03-01,10.22
1955-04-01,10.45
1955-05-01,10.50
1955-06-01,10.54
1955-07-01,10.22
1955-08-01,10.26
1955-09-01,10.43
1955-10-01,10.81
1955-11-01,10.79
1955-12-01,11.17
1956-01-01,11.07
1956-02-01,11.17
1956-03-01,11.25
1956-04-01,11.56
1956-05-01,11.44
1956-06-01,11.49
1956-07-01,11.16
1956-08-01,11.28
1956-09-01,11.49
1956-10-01,11.72
1956-11-01,11.84
1956-12-01,12.29
1957-01-01,12.25
1957-02-01,12.50
1957-03-01,12.51
1957-04-01,12.42
1957-05-01,12.11
1957-06-01,12.22
1957-07-01,11.81
1957-08-01,11.81
1957-09-01,11.77
1957-10-01,11.56
1957-11-01,11.16
1957-12-01,11.16
1958-01-01,10.83
1958-02-01,10.66
1958-03-01,10.66
1958-04-01,10.59
1958-05-01,10.41
1958-06-01,10.58
1958-07-01,10.31
1958-08-01,10.45
1958-09-01,10.71
1958-10-01,10.81
1958-11-01,10.92
1958-12-01,11.21
1959-01-01,11.16
1959-02-01,11.28
1959-03-01,11.48
1959-04-01,11.72
1959-05-01,11.94
1959-06-01,12.18
1959-07-01,11.88
1959-08-01,11.69
1959-09-01,11.90
1959-10-01,11.86
1959-11-01,11.69
1959-12-01,12.07
1960-01-01,12.16
1960-02-01,12.29
1960-03-01,12.42
1960-04-01,12.33
1960-05-01,12.37
1960-06-01,12.21
1960-07-01,11.88
1960-08-01,11.76
1960-09-01,11.93
1960-10-01,11.80
1960-11-01,11.76
1960-12-01,11.76
1961-01-01,11.60
1961-02-01,11.56
1961-03-01,11.65
1961-04-01,11.73
1961-05-01,11.73
1961-06-01,11.84
1961-07-01,11.56
1961-08-01,11.58
1961-09-01,12.02
1961-10-01,12.16
1961-11-01,12.42
1961-12-01,12.78
1962-01-01,12.50
1962-02-01,12.78
1962-03-01,13.03
1962-04-01,13.12
1962-05-01,13.15
1962-06-01,13.36
1962-07-01,13.10
1962-08-01,13.20
1962-09-01,13.47
1962-10-01,13.59
1962-11-01,13.59
1962-12-01,13.85
1963-01-01,13.72
1963-02-01,14.01
1963-03-01,14.00
1963-04-01,13.96
1963-05-01,13.87
1963-06-01,14.08
1963-07-01,13.57
1963-08-01,13.62
1963-09-01,14.14
1963-10-01,14.38
1963-11-01,14.38
1963-12-01,14.42
1964-01-01,14.42
1964-02-01,14.57
1964-03-01,14.73
1964-04-01,14.81
1964-05-01,14.76
1964-06-01,14.95
1964-07-01,14.34
1964-08-01,14.35
1964-09-01,14.97
1964-10-01,15.01
1964-11-01,15.35
1964-12-01,15.57
1965-01-01,15.49
1965-02-01,15.96
1965-03-01,16.24
1965-04-01,16.27
1965-05-01,16.52
1965-06-01,16.97
1965-07-01,16.45
1965-08-01,16.42
1965-09-01,17.25
1965-10-01,17.60
1965-11-01,17.80
1965-12-01,18.11
1966-01-01,18.29
1966-02-01,18.67
1966-03-01,19.03
1966-04-01,19.06
1966-05-01,19.33
1966-06-01,19.83
1966-07-01,19.30
1966-08-01,19.27
1966-09-01,20.18
1966-10-01,20.42
1966-11-01,20.31
1966-12-01,20.53
1967-01-01,20.37
1967-02-01,20.70
1967-03-01,20.82
1967-04-01,20.69
1967-05-01,20.75
1967-06-01,21.04
1967-07-01,20.10
1967-08-01,20.39
1967-09-01,20.98
1967-10-01,20.90
1967-11-01,21.16
1967-12-01,21.13
1968-01-01,21.02
1968-02-01,21.37
1968-03-01,21.41
1968-04-01,20.99
1968-05-01,21.25
1968-06-01,21.67
1968-07-01,20.79
1968-08-01,20.97
1968-09-01,21.80
1968-10-01,21.70
1968-11-01,21.66
1968-12-01,21.58
1969-01-01,21.63
1969-02-01,21.87
1969-03-01,22.09
1969-04-01,21.99
1969-05-01,21.83
1969-06-01,22.35
1969-07-01,21.73
1969-08-01,21.60
1969-09-01,22.44
1969-10-01,22.37
1969-11-01,21.76
1969-12-01,21.39
1970-01-01,20.89
1970-02-01,21.18
1970-03-01,21.11
1970-04-01,20.78
1970-05-01,20.60
1970-06-01,20.91
1970-07-01,20.07
1970-08-01,19.99
1970-09-01,20.32
1970-10-01,19.70
1970-11-01,19.42
1970-12-01,19.29
1971-01-01,18.85
1971-02-01,19.13
1971-03-01,18.97
1971-04-01,18.73
1971-05-01,18.69
1971-06-01,19.17
1971-07-01,18.39
1971-08-01,18.72
1971-09-01,19.63
1971-10-01,19.68
1971-11-01,19.53
1971-12-01,19.25
1972-01-01,19.65
1972-02-01,20.10
1972-03-01,20.38
1972-04-01,20.82
1972-05-01,20.60
1972-06-01,21.04
1972-07-01,19.75
1972-08-01,20.24
1972-09-01,21.27
1972-10-01,21.72
1972-11-01,22.14
1972-12-01,22.42
1973-01-01,22.31
1973-02-01,23.02
1973-03-01,23.29
1973-04-01,23.34
1973-05-01,23.46
1973-06-01,24.17
1973-07-01,23.20
1973-08-01,23.21
1973-09-01,24.48
1973-10-01,24.89
1973-11-01,25.10
1973-12-01,25.04
1974-01-01,24.56
1974-02-01,24.78
1974-03-01,25.15
1974-04-01,24.43
1974-05-01,25.16
1974-06-01,25.63
1974-07-01,24.31
1974-08-01,24.43
1974-09-01,25.64
1974-10-01,25.73
1974-11-01,25.41
1974-12-01,24.64
1975-01-01,23.59
1975-02-01,23.02
1975-03-01,22.90
1975-04-01,22.73
1975-05-01,22.67
1975-06-01,22.98
1975-07-01,21.67
1975-08-01,21.97
1975-09-01,22.98
1975-10-01,23.01
1975-11-01,22.96
1975-12-01,23.36
1976-01-01,23.15
1976-02-01,23.63
1976-03-01,23.87
1976-04-01,23.42
1976-05-01,24.01
1976-06-01,24.41
1976-07-01,23.04
1976-08-01,23.57
1976-09-01,24.20
1976-10-01,24.43
1976-11-01,25.06
1976-12-01,25.32
1977-01-01,24.91
1977-02-01,25.82
1977-03-01,26.31
1977-04-01,26.33
1977-05-01,26.95
1977-06-01,27.88
1977-07-01,26.54
1977-08-01,26.51
1977-09-01,27.68
1977-10-01,27.40
1977-11-01,27.29
1977-12-01,27.86
1978-01-01,27.01
1978-02-01,27.75
1978-03-01,28.94
1978-04-01,29.51
1978-05-01,29.45
1978-06-01,30.29
1978-07-01,28.87
1978-08-01,29.51
1978-09-01,30.93
1978-10-01,31.50
1978-11-01,31.79
1978-12-01,32.28
