Date,IPB52200N
1954-01-01,86.04
1954-02-01,86.97
1954-03-01,88.92
1954-04-01,91.07
1954-05-01,89.95
1954-06-01,89.58
1954-07-01,87.62
1954-08-01,85.20
1954-09-01,83.43
1954-10-01,84.36
1954-11-01,89.39
1954-12-01,95.72
1955-01-01,85.85
1955-02-01,86.88
1955-03-01,90.14
1955-04-01,92.65
1955-05-01,94.60
1955-06-01,96.84
1955-07-01,95.91
1955-08-01,97.49
1955-09-01,98.89
1955-10-01,100.10
1955-11-01,103.64
1955-12-01,109.50
1956-01-01,97.21
1956-02-01,92.09
1956-03-01,98.79
1956-04-01,100.94
1956-05-01,102.80
1956-06-01,104.48
1956-07-01,99.73
1956-08-01,96.09
1956-09-01,96.37
1956-10-01,97.40
1956-11-01,98.33
1956-12-01,103.82
1957-01-01,89.11
1957-02-01,87.25
1957-03-01,92.00
1957-04-01,90.60
1957-05-01,88.83
1957-06-01,93.49
1957-07-01,96.47
1957-08-01,97.68
1957-09-01,97.58
1957-10-01,95.26
1957-11-01,95.91
1957-12-01,101.68
1958-01-01,83.62
1958-02-01,81.38
1958-03-01,75.42
1958-04-01,77.94
1958-05-01,78.68
1958-06-01,80.36
1958-07-01,79.61
1958-08-01,83.99
1958-09-01,84.64
1958-10-01,87.25
1958-11-01,91.35
1958-12-01,98.89
1959-01-01,81.76
1959-02-01,78.59
1959-03-01,82.78
1959-04-01,89.02
1959-05-01,92.09
1959-06-01,96.19
1959-07-01,94.88
1959-08-01,92.74
1959-09-01,93.49
1959-10-01,92.46
1959-11-01,97.03
1959-12-01,95.82
1960-01-01,78.50
1960-02-01,78.40
1960-03-01,79.15
1960-04-01,86.04
1960-05-01,88.27
1960-06-01,87.44
1960-07-01,84.27
1960-08-01,83.71
1960-09-01,85.95
1960-10-01,85.48
1960-11-01,88.83
1960-12-01,90.60
1961-01-01,78.03
1961-02-01,74.03
1961-03-01,77.84
1961-04-01,79.24
1961-05-01,85.76
1961-06-01,87.25
1961-07-01,89.76
1961-08-01,92.00
1961-09-01,93.21
1961-10-01,92.93
1961-11-01,97.68
1961-12-01,104.29
1962-01-01,91.44
1962-02-01,87.53
1962-03-01,87.62
1962-04-01,90.60
1962-05-01,92.00
1962-06-01,92.28
1962-07-01,92.46
1962-08-01,97.21
1962-09-01,97.68
1962-10-01,93.12
1962-11-01,94.05
1962-12-01,96.47
1963-01-01,82.96
1963-02-01,83.04
1963-03-01,84.83
1963-04-01,88.95
1963-05-01,95.46
1963-06-01,95.64
1963-07-01,95.69
1963-08-01,92.27
1963-09-01,92.55
1963-10-01,97.43
1963-11-01,102.32
1963-12-01,106.26
1964-01-01,94.78
1964-02-01,88.36
1964-03-01,91.02
1964-04-01,91.55
1964-05-01,97.45
1964-06-01,102.45
1964-07-01,103.49
1964-08-01,102.41
1964-09-01,101.11
1964-10-01,102.42
1964-11-01,104.40
1964-12-01,107.29
1965-01-01,95.41
1965-02-01,89.13
1965-03-01,92.20
1965-04-01,94.72
1965-05-01,101.29
1965-06-01,104.55
1965-07-01,102.54
1965-08-01,103.86
1965-09-01,104.85
1965-10-01,109.13
1965-11-01,113.44
1965-12-01,118.20
1966-01-01,102.81
1966-02-01,93.15
1966-03-01,95.87
1966-04-01,99.62
1966-05-01,98.01
