Date,IPB52300N
1947-01-01,6.41
1947-02-01,6.29
1947-03-01,6.17
1947-04-01,6.21
1947-05-01,5.88
1947-06-01,5.76
1947-07-01,5.72
1947-08-01,5.72
1947-09-01,5.72
1947-10-01,6.01
1947-11-01,6.17
1947-12-01,6.33
1948-01-01,6.46
1948-02-01,6.70
1948-03-01,6.82
1948-04-01,7.03
1948-05-01,6.66
1948-06-01,6.78
1948-07-01,6.91
1948-08-01,7.15
1948-09-01,7.35
1948-10-01,7.52
1948-11-01,7.72
1948-12-01,7.80
1949-01-01,7.64
1949-02-01,7.72
1949-03-01,7.72
1949-04-01,7.52
1949-05-01,7.52
1949-06-01,7.48
1949-07-01,7.40
1949-08-01,7.40
1949-09-01,7.27
1949-10-01,7.03
1949-11-01,7.03
1949-12-01,7.03
1950-01-01,6.99
1950-02-01,7.03
1950-03-01,7.15
1950-04-01,7.27
1950-05-01,7.48
1950-06-01,7.60
1950-07-01,7.97
1950-08-01,8.91
1950-09-01,9.81
1950-10-01,10.50
1950-11-01,11.24
1950-12-01,12.30
1951-01-01,13.61
1951-02-01,15.89
1951-03-01,18.02
1951-04-01,19.65
1951-05-01,20.35
1951-06-01,21.16
1951-07-01,22.35
1951-08-01,23.29
1951-09-01,23.90
1951-10-01,24.80
1951-11-01,26.23
1951-12-01,27.13
1952-01-01,27.54
1952-02-01,27.99
1952-03-01,27.99
1952-04-01,28.11
1952-05-01,29.25
1952-06-01,29.83
1952-07-01,29.99
1952-08-01,30.64
1952-09-01,30.93
1952-10-01,31.91
1952-11-01,32.44
1952-12-01,33.95
1953-01-01,34.40
1953-02-01,35.34
1953-03-01,35.83
1953-04-01,36.04
1953-05-01,36.90
1953-06-01,36.85
1953-07-01,37.30
1953-08-01,37.10
1953-09-01,36.98
1953-10-01,36.36
1953-11-01,34.04
1953-12-01,34.65
1954-01-01,34.32
1954-02-01,34.16
1954-03-01,33.38
1954-04-01,32.44
1954-05-01,31.62
1954-06-01,31.26
1954-07-01,30.93
1954-08-01,30.52
1954-09-01,30.52
1954-10-01,30.40
1954-11-01,30.32
1954-12-01,30.19
1955-01-01,29.83
1955-02-01,29.74
1955-03-01,29.46
1955-04-01,29.13
1955-05-01,28.81
1955-06-01,28.64
1955-07-01,28.36
1955-08-01,28.36
1955-09-01,28.76
1955-10-01,28.81
1955-11-01,28.89
1955-12-01,29.25
1956-01-01,28.68
1956-02-01,28.36
1956-03-01,27.70
1956-04-01,27.62
1956-05-01,27.38
1956-06-01,27.42
1956-07-01,27.25
1956-08-01,27.74
1956-09-01,28.36
1956-10-01,29.17
1956-11-01,29.83
1956-12-01,30.77
1957-01-01,30.64
1957-02-01,30.77
1957-03-01,30.64
1957-04-01,30.44
1957-05-01,29.74
1957-06-01,29.95
1957-07-01,29.46
1957-08-01,29.62
1957-09-01,29.34
1957-10-01,28.76
1957-11-01,27.87
1957-12-01,27.95
1958-01-01,27.99
1958-02-01,28.11
1958-03-01,28.68
1958-04-01,28.93
1958-05-01,29.05
1958-06-01,29.87
1958-07-01,29.70
1958-08-01,30.19
1958-09-01,30.68
1958-10-01,30.77
1958-11-01,31.22
1958-12-01,31.46
1959-01-01,31.34
1959-02-01,30.93
1959-03-01,31.09
1959-04-01,31.01
1959-05-01,31.09
1959-06-01,31.09
1959-07-01,30.93
1959-08-01,31.09
1959-09-01,31.58
1959-10-01,31.71
1959-11-01,31.91
1959-12-01,32.32
1960-01-01,32.28
1960-02-01,32.28
1960-03-01,32.44
1960-04-01,31.95
1960-05-01,32.16
1960-06-01,31.26
1960-07-01,31.71
1960-08-01,32.16
1960-09-01,32.52
1960-10-01,32.40
1960-11-01,32.77
1960-12-01,32.52
1961-01-01,32.52
1961-02-01,32.16
1961-03-01,32.03
1961-04-01,31.71
1961-05-01,31.58
1961-06-01,31.46
1961-07-01,31.22
1961-08-01,31.75
1961-09-01,32.97
1961-10-01,34.04
1961-11-01,35.14
1961-12-01,36.08
1962-01-01,36.08
1962-02-01,36.49
1962-03-01,36.85
1962-04-01,36.73
1962-05-01,36.85
1962-06-01,37.02
1962-07-01,37.18
1962-08-01,38.12
1962-09-01,38.86
1962-10-01,39.43
1962-11-01,40.25
1962-12-01,40.74
1963-01-01,41.92
1963-02-01,41.31
1963-03-01,40.90
1963-04-01,40.61
1963-05-01,40.65
1963-06-01,40.74
1963-07-01,39.76
1963-08-01,40.08
1963-09-01,40.74
1963-10-01,41.06
1963-11-01,41.06
1963-12-01,41.39
1964-01-01,40.78
1964-02-01,40.08
1964-03-01,39.84
1964-04-01,39.51
1964-05-01,38.90
1964-06-01,38.69
1964-07-01,38.16
1964-08-01,38.49
1964-09-01,39.18
1964-10-01,39.76
1964-11-01,40.37
1964-12-01,40.86
1965-01-01,41.06
1965-02-01,41.23
1965-03-01,41.80
1965-04-01,42.08
1965-05-01,43.11
1965-06-01,43.68
1965-07-01,43.84
1965-08-01,44.33
1965-09-01,44.94
1965-10-01,45.76
1965-11-01,46.37
1965-12-01,47.11
1966-01-01,47.76
1966-02-01,48.17
1966-03-01,48.54
1966-04-01,49.15
1966-05-01,50.30
1966-06-01,50.99
1966-07-01,51.11
1966-08-01,51.93
1966-09-01,53.20
1966-10-01,54.18
1966-11-01,55.53
1966-12-01,56.38
1967-01-01,56.83
1967-02-01,57.01
1967-03-01,58.05
1967-04-01,58.08
1967-05-01,58.44
1967-06-01,58.37
1967-07-01,58.15
1967-08-01,58.51
1967-09-01,59.38
1967-10-01,59.86
1967-11-01,60.45
1967-12-01,60.99
1968-01-01,59.89
1968-02-01,60.09
1968-03-01,59.34
1968-04-01,57.64
1968-05-01,58.38
1968-06-01,58.81
1968-07-01,58.18
1968-08-01,58.58
1968-09-01,59.21
1968-10-01,57.65
1968-11-01,58.77
1968-12-01,59.00
