Date,IPB53120N
1947-01-01,0.95
1947-02-01,0.95
1947-03-01,0.95
1947-04-01,0.95
1947-05-01,0.92
1947-06-01,0.92
1947-07-01,0.87
1947-08-01,0.88
1947-09-01,0.89
1947-10-01,0.90
1947-11-01,0.91
1947-12-01,0.93
1948-01-01,0.92
1948-02-01,0.93
1948-03-01,0.92
1948-04-01,0.90
1948-05-01,0.90
1948-06-01,0.91
1948-07-01,0.87
1948-08-01,0.90
1948-09-01,0.90
1948-10-01,0.93
1948-11-01,0.93
1948-12-01,0.93
1949-01-01,0.92
1949-02-01,0.91
1949-03-01,0.88
1949-04-01,0.83
1949-05-01,0.79
1949-06-01,0.76
1949-07-01,0.73
1949-08-01,0.73
1949-09-01,0.77
1949-10-01,0.74
1949-11-01,0.74
1949-12-01,0.80
1950-01-01,0.82
1950-02-01,0.84
1950-03-01,0.85
1950-04-01,0.89
1950-05-01,0.92
1950-06-01,0.94
1950-07-01,0.95
1950-08-01,1.00
1950-09-01,1.04
1950-10-01,1.12
1950-11-01,1.15
1950-12-01,1.19
1951-01-01,1.20
1951-02-01,1.22
1951-03-01,1.26
1951-04-01,1.28
1951-05-01,1.30
1951-06-01,1.33
1951-07-01,1.28
1951-08-01,1.31
1951-09-01,1.35
1951-10-01,1.35
1951-11-01,1.39
1951-12-01,1.44
1952-01-01,1.46
1952-02-01,1.48
1952-03-01,1.49
1952-04-01,1.45
1952-05-01,1.47
1952-06-01,1.43
1952-07-01,1.38
1952-08-01,1.44
1952-09-01,1.57
1952-10-01,1.64
1952-11-01,1.67
1952-12-01,1.76
1953-01-01,1.78
1953-02-01,1.83
1953-03-01,1.87
1953-04-01,1.85
1953-05-01,1.85
1953-06-01,1.85
1953-07-01,1.79
1953-08-01,1.79
1953-09-01,1.78
1953-10-01,1.77
1953-11-01,1.72
1953-12-01,1.71
1954-01-01,1.64
1954-02-01,1.62
1954-03-01,1.55
1954-04-01,1.50
1954-05-01,1.49
1954-06-01,1.48
1954-07-01,1.41
1954-08-01,1.42
1954-09-01,1.47
1954-10-01,1.50
1954-11-01,1.54
1954-12-01,1.58
1955-01-01,1.56
1955-02-01,1.59
1955-03-01,1.61
1955-04-01,1.63
1955-05-01,1.64
1955-06-01,1.65
1955-07-01,1.56
1955-08-01,1.60
1955-09-01,1.67
1955-10-01,1.74
1955-11-01,1.79
1955-12-01,1.82
1956-01-01,1.79
1956-02-01,1.80
1956-03-01,1.79
1956-04-01,1.85
1956-05-01,1.83
1956-06-01,1.85
1956-07-01,1.58
1956-08-01,1.77
1956-09-01,1.90
1956-10-01,1.94
1956-11-01,1.97
1956-12-01,1.99
1957-01-01,1.93
1957-02-01,1.95
1957-03-01,1.94
1957-04-01,1.89
1957-05-01,1.85
1957-06-01,1.89
1957-07-01,1.76
1957-08-01,1.80
1957-09-01,1.82
1957-10-01,1.77
1957-11-01,1.74
1957-12-01,1.68
1958-01-01,1.59
1958-02-01,1.55
1958-03-01,1.52
1958-04-01,1.47
1958-05-01,1.44
1958-06-01,1.49
1958-07-01,1.38
1958-08-01,1.46
1958-09-01,1.56
1958-10-01,1.56
1958-11-01,1.69
1958-12-01,1.71
1959-01-01,1.75
1959-02-01,1.82
1959-03-01,1.88
1959-04-01,1.92
1959-05-01,1.96
1959-06-01,2.03
1959-07-01,1.79
1959-08-01,1.70
1959-09-01,1.74
1959-10-01,1.73
1959-11-01,1.85
1959-12-01,2.02
1960-01-01,2.04
1960-02-01,2.01
1960-03-01,2.00
1960-04-01,1.92
1960-05-01,1.86
1960-06-01,1.79
1960-07-01,1.72
1960-08-01,1.76
1960-09-01,1.77
1960-10-01,1.73
1960-11-01,1.75
1960-12-01,1.70
1961-01-01,1.75
1961-02-01,1.76
1961-03-01,1.77
1961-04-01,1.80
1961-05-01,1.82
1961-06-01,1.84
1961-07-01,1.79
1961-08-01,1.86
1961-09-01,1.93
1961-10-01,1.99
1961-11-01,2.04
1961-12-01,2.07
1962-01-01,2.08
1962-02-01,2.12
1962-03-01,2.17
1962-04-01,2.20
1962-05-01,2.15
1962-06-01,2.12
1962-07-01,2.04
1962-08-01,2.08
1962-09-01,2.12
1962-10-01,2.12
1962-11-01,2.15
1962-12-01,2.14
1963-01-01,2.15
1963-02-01,2.21
1963-03-01,2.27
1963-04-01,2.28
1963-05-01,2.28
1963-06-01,2.30
1963-07-01,2.20
1963-08-01,2.26
1963-09-01,2.36
1963-10-01,2.34
1963-11-01,2.36
1963-12-01,2.40
1964-01-01,2.37
1964-02-01,2.45
1964-03-01,2.48
1964-04-01,2.46
1964-05-01,2.47
1964-06-01,2.50
1964-07-01,2.32
1964-08-01,2.48
1964-09-01,2.60
1964-10-01,2.66
1964-11-01,2.71
1964-12-01,2.76
1965-01-01,2.78
1965-02-01,2.83
1965-03-01,2.93
1965-04-01,2.94
1965-05-01,3.00
1965-06-01,3.08
1965-07-01,2.96
1965-08-01,3.12
1965-09-01,3.28
1965-10-01,3.28
1965-11-01,3.20
1965-12-01,3.29
1966-01-01,3.33
1966-02-01,3.45
1966-03-01,3.56
1966-04-01,3.61
1966-05-01,3.60
1966-06-01,3.70
1966-07-01,3.42
1966-08-01,3.59
1966-09-01,3.86
1966-10-01,3.83
1966-11-01,3.66
1966-12-01,3.79
1967-01-01,3.76
1967-02-01,3.69
1967-03-01,3.70
1967-04-01,3.61
1967-05-01,3.57
1967-06-01,3.52
1967-07-01,3.40
1967-08-01,3.49
1967-09-01,3.52
1967-10-01,3.56
1967-11-01,3.63
1967-12-01,3.68
1968-01-01,3.67
1968-02-01,3.73
1968-03-01,3.78
1968-04-01,3.66
1968-05-01,3.70
1968-06-01,3.70
1968-07-01,3.53
1968-08-01,3.55
1968-09-01,3.54
1968-10-01,3.60
1968-11-01,3.71
1968-12-01,3.80
1969-01-01,3.81
1969-02-01,3.84
1969-03-01,3.96
1969-04-01,3.94
1969-05-01,3.96
1969-06-01,3.98
1969-07-01,3.84
1969-08-01,3.89
1969-09-01,3.97
1969-10-01,3.99
1969-11-01,3.92
1969-12-01,3.94
1970-01-01,3.82
1970-02-01,3.82
1970-03-01,3.86
1970-04-01,3.71
1970-05-01,3.63
1970-06-01,3.56
1970-07-01,3.43
1970-08-01,3.47
1970-09-01,3.48
1970-10-01,3.44
1970-11-01,3.40
1970-12-01,3.46
1971-01-01,3.53
1971-02-01,3.54
1971-03-01,3.59
1971-04-01,3.54
1971-05-01,3.63
1971-06-01,3.63
1971-07-01,3.49
1971-08-01,3.42
1971-09-01,3.62
1971-10-01,3.69
1971-11-01,3.73
1971-12-01,3.81
1972-01-01,3.95
1972-02-01,4.00
1972-03-01,4.00
1972-04-01,4.01
1972-05-01,4.08
1972-06-01,4.11
1972-07-01,3.95
1972-08-01,4.03
1972-09-01,4.23
1972-10-01,4.30
1972-11-01,4.42
1972-12-01,4.53
1973-01-01,4.51
1973-02-01,4.63
1973-03-01,4.70
1973-04-01,4.73
1973-05-01,4.80
1973-06-01,4.90
1973-07-01,4.76
1973-08-01,4.87
1973-09-01,5.06
1973-10-01,5.09
1973-11-01,5.18
1973-12-01,5.24
1974-01-01,5.14
1974-02-01,5.19
1974-03-01,5.23
1974-04-01,5.07
1974-05-01,5.21
1974-06-01,5.29
1974-07-01,5.11
1974-08-01,5.03
1974-09-01,5.23
1974-10-01,5.18
1974-11-01,5.07
1974-12-01,4.97
1975-01-01,4.76
1975-02-01,4.70
1975-03-01,4.67
1975-04-01,4.51
1975-05-01,4.34
1975-06-01,4.29
1975-07-01,4.09
1975-08-01,4.14
1975-09-01,4.32
1975-10-01,4.35
1975-11-01,4.42
1975-12-01,4.49
1976-01-01,4.46
1976-02-01,4.56
1976-03-01,4.63
1976-04-01,4.56
1976-05-01,4.69
1976-06-01,4.80
1976-07-01,4.65
1976-08-01,4.76
1976-09-01,4.95
1976-10-01,4.93
1976-11-01,5.01
1976-12-01,5.08
1977-01-01,4.96
1977-02-01,5.12
1977-03-01,5.18
1977-04-01,5.25
1977-05-01,5.34
1977-06-01,5.42
1977-07-01,5.29
1977-08-01,5.43
1977-09-01,5.62
1977-10-01,5.62
1977-11-01,5.64
1977-12-01,5.81
1978-01-01,5.67
1978-02-01,5.68
1978-03-01,5.83
1978-04-01,5.89
1978-05-01,5.95
1978-06-01,6.05
1978-07-01,5.90
1978-08-01,5.97
1978-09-01,6.18
1978-10-01,6.23
1978-11-01,6.35
1978-12-01,6.51
1979-01-01,6.38
1979-02-01,6.53
1979-03-01,6.61
1979-04-01,6.41
1979-05-01,6.55
1979-06-01,6.75
1979-07-01,6.53
1979-08-01,6.55
1979-09-01,6.79
1979-10-01,6.79
1979-11-01,6.84
1979-12-01,7.02
1980-01-01,7.05
1980-02-01,7.07
1980-03-01,7.13
1980-04-01,7.01
1980-05-01,6.86
1980-06-01,6.74
1980-07-01,6.36
1980-08-01,6.45
1980-09-01,6.62
1980-10-01,6.67
1980-11-01,6.84
1980-12-01,6.97
1981-01-01,6.87
1981-02-01,6.88
1981-03-01,7.00
1981-04-01,6.94
1981-05-01,7.05
1981-06-01,7.07
1981-07-01,6.84
1981-08-01,6.98
1981-09-01,7.11
1981-10-01,7.07
1981-11-01,7.03
1981-12-01,7.02
1982-01-01,6.71
1982-02-01,6.90
1982-03-01,6.83
1982-04-01,6.61
1982-05-01,6.53
1982-06-01,6.47
1982-07-01,6.22
