Date,IPB53230N
1967-01-01,32.91
1967-02-01,32.62
1967-03-01,32.68
1967-04-01,33.16
1967-05-01,33.01
1967-06-01,32.84
1967-07-01,31.42
1967-08-01,32.36
1967-09-01,33.88
1967-10-01,35.05
1967-11-01,36.10
1967-12-01,37.04
1968-01-01,36.15
1968-02-01,36.77
1968-03-01,37.24
1968-04-01,38.57
1968-05-01,39.22
1968-06-01,39.14
1968-07-01,38.45
1968-08-01,39.57
1968-09-01,40.31
1968-10-01,41.13
1968-11-01,41.44
1968-12-01,41.13
1969-01-01,40.58
1969-02-01,42.26
1969-03-01,41.54
1969-04-01,43.95
1969-05-01,44.15
1969-06-01,43.80
1969-07-01,42.46
1969-08-01,43.56
1969-09-01,44.24
1969-10-01,45.02
1969-11-01,44.51
1969-12-01,44.89
1970-01-01,42.79
1970-02-01,44.13
1970-03-01,43.91
1970-04-01,44.66
1970-05-01,44.48
1970-06-01,45.27
1970-07-01,43.84
1970-08-01,43.28
1970-09-01,45.36
1970-10-01,45.24
1970-11-01,44.80
1970-12-01,44.92
1971-01-01,42.74
1971-02-01,43.83
1971-03-01,44.36
1971-04-01,45.42
1971-05-01,45.28
1971-06-01,47.51
1971-07-01,45.60
1971-08-01,47.25
1971-09-01,48.89
1971-10-01,50.37
1971-11-01,51.25
1971-12-01,52.23
1972-01-01,51.52
1972-02-01,53.01
1972-03-01,53.42
1972-04-01,53.78
1972-05-01,54.29
1972-06-01,55.78
1972-07-01,53.31
1972-08-01,55.04
1972-09-01,55.95
1972-10-01,56.43
1972-11-01,57.75
1972-12-01,56.81
1973-01-01,56.97
1973-02-01,58.96
1973-03-01,58.68
1973-04-01,59.52
1973-05-01,59.77
1973-06-01,60.40
1973-07-01,59.51
1973-08-01,61.04
1973-09-01,61.79
1973-10-01,62.42
1973-11-01,63.20
1973-12-01,62.15
1974-01-01,61.74
1974-02-01,63.50
1974-03-01,63.57
1974-04-01,63.57
1974-05-01,62.81
1974-06-01,63.90
1974-07-01,62.59
1974-08-01,62.58
1974-09-01,63.89
1974-10-01,62.33
1974-11-01,59.57
1974-12-01,54.61
1975-01-01,51.59
1975-02-01,50.18
1975-03-01,48.79
1975-04-01,48.68
1975-05-01,49.25
1975-06-01,50.93
1975-07-01,50.02
1975-08-01,52.15
1975-09-01,54.93
1975-10-01,55.55
1975-11-01,55.68
1975-12-01,55.75
1976-01-01,54.55
1976-02-01,57.26
1976-03-01,59.02
1976-04-01,59.28
1976-05-01,59.06
1976-06-01,60.06
1976-07-01,58.41
1976-08-01,59.69
1976-09-01,61.77
1976-10-01,61.42
1976-11-01,62.26
1976-12-01,61.73
1977-01-01,60.75
1977-02-01,63.68
1977-03-01,65.66
1977-04-01,66.37
1977-05-01,67.04
1977-06-01,68.29
1977-07-01,65.69
1977-08-01,66.76
1977-09-01,68.01
1977-10-01,67.60
1977-11-01,67.99
1977-12-01,66.68
1978-01-01,66.42
1978-02-01,68.43
1978-03-01,69.64
1978-04-01,70.47
1978-05-01,70.54
1978-06-01,71.44
1978-07-01,69.35
1978-08-01,69.93
1978-09-01,71.90
1978-10-01,71.20
1978-11-01,72.44
1978-12-01,71.33
1979-01-01,70.61
1979-02-01,72.67
1979-03-01,73.79
1979-04-01,74.68
1979-05-01,74.55
1979-06-01,74.42
1979-07-01,72.83
1979-08-01,72.96
1979-09-01,72.79
1979-10-01,72.97
1979-11-01,73.11
1979-12-01,71.85
1980-01-01,71.67
1980-02-01,71.97
1980-03-01,71.72
1980-04-01,70.58
1980-05-01,65.86
1980-06-01,64.15
1980-07-01,60.76
1980-08-01,63.04
1980-09-01,66.82
1980-10-01,66.80
1980-11-01,68.52
1980-12-01,69.35
1981-01-01,67.96
1981-02-01,69.24
1981-03-01,70.60
1981-04-01,70.77
1981-05-01,70.42
1981-06-01,71.09
1981-07-01,68.26
1981-08-01,67.30
1981-09-01,69.35
1981-10-01,67.03
1981-11-01,64.68
1981-12-01,60.98
1982-01-01,59.23
1982-02-01,62.90
1982-03-01,62.98
1982-04-01,62.17
1982-05-01,60.34
1982-06-01,61.52
1982-07-01,59.60
1982-08-01,59.69
1982-09-01,62.89
1982-10-01,61.67
1982-11-01,60.59
1982-12-01,59.59
1983-01-01,59.98
1983-02-01,64.63
1983-03-01,65.86
1983-04-01,66.82
1983-05-01,67.09
1983-06-01,68.65
1983-07-01,67.38
1983-08-01,67.97
1983-09-01,71.68
1983-10-01,71.34
1983-11-01,71.07
1983-12-01,68.52
1984-01-01,69.86
1984-02-01,72.73
1984-03-01,73.97
1984-04-01,72.97
1984-05-01,72.65
1984-06-01,73.66
1984-07-01,70.31
1984-08-01,71.09
1984-09-01,72.68
1984-10-01,71.22
1984-11-01,71.06
1984-12-01,69.13
1985-01-01,69.03
1985-02-01,71.09
1985-03-01,70.87
1985-04-01,71.09
1985-05-01,70.31
1985-06-01,71.23
1985-07-01,69.40
1985-08-01,69.52
1985-09-01,72.73
1985-10-01,70.27
1985-11-01,70.67
1985-12-01,70.29
1986-01-01,71.84
1986-02-01,73.72
1986-03-01,72.00
1986-04-01,72.96
1986-05-01,73.38
1986-06-01,74.28
1986-07-01,72.85
1986-08-01,74.07
1986-09-01,76.62
1986-10-01,76.04
1986-11-01,74.41
1986-12-01,75.77
1987-01-01,75.67
1987-02-01,78.00
1987-03-01,77.62
1987-04-01,79.20
1987-05-01,78.77
1987-06-01,80.52
1987-07-01,80.75
1987-08-01,81.05
1987-09-01,83.99
1987-10-01,82.71
1987-11-01,83.24
1987-12-01,83.25
1988-01-01,82.85
1988-02-01,83.89
1988-03-01,84.77
1988-04-01,85.75
1988-05-01,84.18
1988-06-01,85.74
1988-07-01,85.26
1988-08-01,85.85
1988-09-01,86.68
1988-10-01,86.42
1988-11-01,86.31
1988-12-01,85.66
1989-01-01,85.72
1989-02-01,87.02
1989-03-01,87.35
1989-04-01,87.88
1989-05-01,85.56
1989-06-01,87.22
1989-07-01,86.18
1989-08-01,86.00
1989-09-01,86.82
1989-10-01,87.71
1989-11-01,85.83
1989-12-01,83.79
1990-01-01,85.92
1990-02-01,88.54
1990-03-01,87.80
1990-04-01,89.28
1990-05-01,86.42
1990-06-01,88.35
1990-07-01,87.03
1990-08-01,87.53
1990-09-01,88.12
1990-10-01,87.21
1990-11-01,86.63
1990-12-01,84.98
1991-01-01,84.51
1991-02-01,84.74
1991-03-01,83.71
1991-04-01,85.58
1991-05-01,84.55
1991-06-01,86.47
1991-07-01,86.75
1991-08-01,87.10
1991-09-01,88.63
1991-10-01,88.01
1991-11-01,86.36
1991-12-01,86.13
1992-01-01,85.54
1992-02-01,86.70
1992-03-01,88.72
1992-04-01,88.93
1992-05-01,87.00
1992-06-01,89.14
1992-07-01,89.12
1992-08-01,88.39
1992-09-01,89.72
1992-10-01,89.37
1992-11-01,88.94
1992-12-01,87.05
1993-01-01,87.77
1993-02-01,88.75
1993-03-01,88.65
1993-04-01,89.02
1993-05-01,88.19
1993-06-01,88.56
1993-07-01,88.53
1993-08-01,89.82
1993-09-01,89.81
1993-10-01,89.49
1993-11-01,88.64
1993-12-01,86.92
1994-01-01,86.70
1994-02-01,89.59
1994-03-01,91.68
1994-04-01,91.35
1994-05-01,91.78
1994-06-01,93.08
1994-07-01,92.11
1994-08-01,93.63
1994-09-01,92.92
1994-10-01,91.30
1994-11-01,91.44
1994-12-01,91.60
1995-01-01,93.46
1995-02-01,93.88
1995-03-01,93.65
1995-04-01,93.40
1995-05-01,92.74
1995-06-01,93.06
1995-07-01,91.90
1995-08-01,91.42
