Date,IPB53320N
1967-01-01,52.84
1967-02-01,52.18
1967-03-01,49.71
1967-04-01,49.96
1967-05-01,47.64
1967-06-01,49.63
1967-07-01,49.91
1967-08-01,50.33
1967-09-01,49.12
1967-10-01,50.42
1967-11-01,51.77
1967-12-01,54.31
1968-01-01,55.50
1968-02-01,54.34
1968-03-01,54.15
1968-04-01,51.96
1968-05-01,51.60
1968-06-01,54.59
1968-07-01,53.78
1968-08-01,55.19
1968-09-01,53.87
1968-10-01,52.64
1968-11-01,54.76
1968-12-01,58.49
1969-01-01,58.87
1969-02-01,58.76
1969-03-01,57.80
1969-04-01,54.79
1969-05-01,53.83
1969-06-01,58.06
1969-07-01,58.63
1969-08-01,60.13
1969-09-01,57.31
1969-10-01,56.81
1969-11-01,59.72
1969-12-01,60.92
1970-01-01,61.95
1970-02-01,62.03
1970-03-01,60.96
1970-04-01,58.94
1970-05-01,58.87
1970-06-01,60.26
1970-07-01,61.35
1970-08-01,63.67
1970-09-01,61.37
1970-10-01,58.83
1970-11-01,61.70
1970-12-01,62.72
1971-01-01,65.95
1971-02-01,65.02
1971-03-01,62.45
1971-04-01,61.07
1971-05-01,60.25
1971-06-01,63.52
1971-07-01,62.39
1971-08-01,63.30
1971-09-01,62.35
1971-10-01,61.01
1971-11-01,61.53
1971-12-01,63.61
1972-01-01,66.63
1972-02-01,67.95
1972-03-01,65.66
1972-04-01,64.41
1972-05-01,63.73
1972-06-01,66.15
1972-07-01,66.45
1972-08-01,69.26
1972-09-01,67.52
1972-10-01,65.86
1972-11-01,66.48
1972-12-01,69.21
1973-01-01,70.49
1973-02-01,69.44
1973-03-01,66.71
1973-04-01,65.94
1973-05-01,66.18
1973-06-01,69.75
1973-07-01,70.77
1973-08-01,73.17
1973-09-01,71.04
1973-10-01,70.79
1973-11-01,68.68
1973-12-01,67.82
1974-01-01,68.92
1974-02-01,67.49
1974-03-01,67.22
1974-04-01,65.65
1974-05-01,67.24
1974-06-01,68.68
1974-07-01,71.82
1974-08-01,71.71
1974-09-01,67.40
1974-10-01,68.12
1974-11-01,66.11
1974-12-01,66.59
1975-01-01,68.73
1975-02-01,67.25
1975-03-01,65.38
1975-04-01,63.97
1975-05-01,62.71
1975-06-01,64.70
1975-07-01,66.54
1975-08-01,68.76
1975-09-01,64.50
1975-10-01,64.36
1975-11-01,64.00
1975-12-01,68.73
1976-01-01,71.54
1976-02-01,69.12
1976-03-01,68.44
1976-04-01,66.40
1976-05-01,65.49
1976-06-01,68.70
1976-07-01,69.71
1976-08-01,71.18
1976-09-01,68.82
1976-10-01,67.98
1976-11-01,71.57
1976-12-01,74.54
1977-01-01,76.53
1977-02-01,72.47
1977-03-01,70.58
1977-04-01,68.19
1977-05-01,69.42
1977-06-01,72.87
1977-07-01,74.64
1977-08-01,73.94
1977-09-01,71.85
1977-10-01,70.45
1977-11-01,70.64
1977-12-01,74.44
1978-01-01,76.38
1978-02-01,71.87
1978-03-01,66.97
1978-04-01,65.31
1978-05-01,68.29
1978-06-01,72.54
1978-07-01,71.88
1978-08-01,75.14
1978-09-01,72.43
1978-10-01,70.95
1978-11-01,72.13
1978-12-01,74.70
1979-01-01,78.33
1979-02-01,78.28
1979-03-01,74.65
1979-04-01,73.31
1979-05-01,72.20
1979-06-01,73.72
1979-07-01,73.59
1979-08-01,74.50
1979-09-01,70.87
1979-10-01,71.86
1979-11-01,73.37
1979-12-01,75.02
1980-01-01,78.64
1980-02-01,78.03
1980-03-01,75.35
1980-04-01,68.58
1980-05-01,67.70
1980-06-01,69.51
1980-07-01,73.42
1980-08-01,73.59
1980-09-01,71.60
1980-10-01,69.91
1980-11-01,72.80
1980-12-01,77.11
1981-01-01,78.94
1981-02-01,73.08
1981-03-01,72.81
1981-04-01,67.53
1981-05-01,67.46
1981-06-01,72.06
1981-07-01,74.57
1981-08-01,73.99
1981-09-01,70.13
1981-10-01,70.55
1981-11-01,69.66
1981-12-01,74.08
1982-01-01,76.92
1982-02-01,70.56
1982-03-01,68.48
1982-04-01,63.38
1982-05-01,61.20
1982-06-01,64.21
1982-07-01,67.49
1982-08-01,67.36
1982-09-01,63.36
1982-10-01,63.33
1982-11-01,64.82
1982-12-01,66.13
1983-01-01,70.08
1983-02-01,63.23
1983-03-01,63.70
1983-04-01,59.69
1983-05-01,58.54
1983-06-01,61.82
1983-07-01,68.25
1983-08-01,72.28
1983-09-01,67.47
1983-10-01,66.16
1983-11-01,67.94
1983-12-01,76.64
1984-01-01,77.17
1984-02-01,71.28
1984-03-01,71.05
1984-04-01,67.22
1984-05-01,66.79
1984-06-01,71.41
1984-07-01,71.88
1984-08-01,74.31
1984-09-01,67.76
1984-10-01,67.31
1984-11-01,68.78
1984-12-01,69.31
1985-01-01,76.57
1985-02-01,74.53
1985-03-01,68.86
1985-04-01,67.83
1985-05-01,67.16
1985-06-01,68.87
1985-07-01,72.22
1985-08-01,72.55
1985-09-01,67.58
1985-10-01,65.83
1985-11-01,66.71
1985-12-01,73.93
1986-01-01,74.78
1986-02-01,70.63
1986-03-01,66.46
1986-04-01,63.43
1986-05-01,64.20
1986-06-01,68.51
1986-07-01,73.33
1986-08-01,70.39
1986-09-01,66.05
1986-10-01,63.48
1986-11-01,64.69
1986-12-01,68.91
1987-01-01,73.36
1987-02-01,70.14
1987-03-01,68.26
1987-04-01,65.74
1987-05-01,67.18
1987-06-01,73.42
1987-07-01,77.03
1987-08-01,77.93
1987-09-01,71.20
1987-10-01,68.85
1987-11-01,70.02
1987-12-01,72.89
1988-01-01,77.93
1988-02-01,76.16
1988-03-01,72.25
1988-04-01,67.98
1988-05-01,69.20
1988-06-01,75.86
1988-07-01,79.70
1988-08-01,83.43
1988-09-01,72.64
1988-10-01,70.74
1988-11-01,72.00
1988-12-01,77.52
1989-01-01,78.27
1989-02-01,80.68
1989-03-01,78.16
1989-04-01,73.69
1989-05-01,72.16
1989-06-01,75.71
1989-07-01,78.20
1989-08-01,79.16
1989-09-01,76.16
1989-10-01,74.75
1989-11-01,76.56
1989-12-01,84.54
1990-01-01,78.44
1990-02-01,75.33
