Date,IPB54200N
1947-01-01,12.66
1947-02-01,12.95
1947-03-01,13.08
1947-04-01,13.10
1947-05-01,12.84
1947-06-01,12.60
1947-07-01,11.87
1947-08-01,12.37
1947-09-01,12.95
1947-10-01,13.42
1947-11-01,13.61
1947-12-01,13.50
1948-01-01,13.18
1948-02-01,13.55
1948-03-01,13.63
1948-04-01,13.50
1948-05-01,13.29
1948-06-01,13.26
1948-07-01,12.39
1948-08-01,13.18
1948-09-01,13.61
1948-10-01,14.11
1948-11-01,14.00
1948-12-01,13.71
1949-01-01,13.16
1949-02-01,13.18
1949-03-01,13.39
1949-04-01,13.26
1949-05-01,13.08
1949-06-01,13.00
1949-07-01,12.16
1949-08-01,12.84
1949-09-01,13.61
1949-10-01,14.21
1949-11-01,14.00
1949-12-01,13.74
1950-01-01,13.61
1950-02-01,14.19
1950-03-01,14.45
1950-04-01,14.63
1950-05-01,14.42
1950-06-01,14.42
1950-07-01,13.87
1950-08-01,14.90
1950-09-01,15.45
1950-10-01,16.19
1950-11-01,16.01
1950-12-01,15.85
1951-01-01,15.69
1951-02-01,15.79
1951-03-01,16.40
1951-04-01,16.64
1951-05-01,16.08
1951-06-01,15.66
1951-07-01,14.61
1951-08-01,15.11
1951-09-01,15.69
1951-10-01,15.79
1951-11-01,15.64
1951-12-01,15.32
1952-01-01,15.08
1952-02-01,15.32
1952-03-01,15.69
1952-04-01,15.53
1952-05-01,15.08
1952-06-01,15.24
1952-07-01,14.50
1952-08-01,15.21
1952-09-01,16.22
1952-10-01,16.90
1952-11-01,16.77
1952-12-01,16.30
1953-01-01,15.77
1953-02-01,16.40
1953-03-01,17.11
1953-04-01,17.11
1953-05-01,16.77
1953-06-01,16.61
1953-07-01,15.69
1953-08-01,16.43
1953-09-01,17.09
1953-10-01,17.40
1953-11-01,17.11
1953-12-01,16.40
1954-01-01,15.98
1954-02-01,16.35
1954-03-01,16.69
1954-04-01,16.85
1954-05-01,16.69
1954-06-01,16.77
1954-07-01,15.79
1954-08-01,16.45
1954-09-01,17.43
1954-10-01,17.77
1954-11-01,17.75
1954-12-01,17.75
1955-01-01,17.51
1955-02-01,17.96
1955-03-01,18.80
1955-04-01,18.80
1955-05-01,18.96
1955-06-01,19.04
1955-07-01,18.11
1955-08-01,18.59
1955-09-01,19.59
1955-10-01,19.93
1955-11-01,19.93
1955-12-01,19.46
1956-01-01,19.25
1956-02-01,19.56
1956-03-01,20.04
1956-04-01,20.38
1956-05-01,20.09
1956-06-01,19.93
1956-07-01,19.12
1956-08-01,19.88
1956-09-01,20.46
1956-10-01,20.80
1956-11-01,20.46
1956-12-01,20.22
1957-01-01,19.85
1957-02-01,20.14
1957-03-01,20.38
1957-04-01,20.57
1957-05-01,20.59
1957-06-01,20.38
1957-07-01,19.59
1957-08-01,20.30
1957-09-01,20.88
1957-10-01,20.78
1957-11-01,20.22
1957-12-01,19.78
1958-01-01,19.30
1958-02-01,19.46
1958-03-01,19.85
1958-04-01,19.85
1958-05-01,19.67
1958-06-01,19.88
1958-07-01,19.14
1958-08-01,20.09
1958-09-01,20.91
1958-10-01,21.36
1958-11-01,21.12
1958-12-01,20.49
1959-01-01,20.59
1959-02-01,21.04
1959-03-01,21.60
1959-04-01,21.78
1959-05-01,21.75
1959-06-01,21.99
1959-07-01,21.38
1959-08-01,22.04
1959-09-01,22.83
1959-10-01,22.83
1959-11-01,22.39
1959-12-01,22.10
1960-01-01,21.83
1960-02-01,22.12
1960-03-01,22.57
1960-04-01,23.10
1960-05-01,23.15
1960-06-01,22.94
1960-07-01,22.12
1960-08-01,22.65
1960-09-01,23.18
1960-10-01,23.28
1960-11-01,22.83
1960-12-01,21.91
1961-01-01,21.75
1961-02-01,22.10
1961-03-01,22.73
1961-04-01,23.12
1961-05-01,23.18
1961-06-01,23.39
1961-07-01,22.83
1961-08-01,23.63
1961-09-01,24.26
1961-10-01,24.60
1961-11-01,24.34
1961-12-01,23.94
1962-01-01,23.34
1962-02-01,23.84
1962-03-01,24.28
1962-04-01,24.63
1962-05-01,25.00
1962-06-01,25.02
1962-07-01,24.13
1962-08-01,24.94
1962-09-01,25.92
1962-10-01,25.84
1962-11-01,25.52
1962-12-01,24.79
1963-01-01,24.10
1963-02-01,24.57
1963-03-01,24.84
1963-04-01,25.87
1963-05-01,26.31
1963-06-01,26.87
1963-07-01,26.37
1963-08-01,27.45
1963-09-01,28.11
1963-10-01,27.90
1963-11-01,27.50
1963-12-01,26.53
1964-01-01,26.21
1964-02-01,26.60
1964-03-01,27.24
1964-04-01,27.90
1964-05-01,28.29
1964-06-01,29.08
1964-07-01,28.42
1964-08-01,29.29
1964-09-01,29.72
1964-10-01,29.29
1964-11-01,28.74
1964-12-01,28.19
1965-01-01,27.84
1965-02-01,28.21
1965-03-01,29.06
1965-04-01,29.29
1965-05-01,29.69
1965-06-01,30.61
1965-07-01,29.98
1965-08-01,31.38
1965-09-01,31.83
1965-10-01,31.69
1965-11-01,31.01
1965-12-01,30.59
1966-01-01,29.87
1966-02-01,30.53
1966-03-01,31.38
1966-04-01,31.35
1966-05-01,31.88
1966-06-01,33.12
1966-07-01,32.80
1966-08-01,34.01
1966-09-01,34.65
1966-10-01,34.20
1966-11-01,33.25
1966-12-01,32.25
1967-01-01,31.88
1967-02-01,32.20
1967-03-01,32.80
1967-04-01,33.41
1967-05-01,33.14
1967-06-01,34.25
1967-07-01,33.61
1967-08-01,36.02
1967-09-01,36.74
1967-10-01,36.57
1967-11-01,35.43
1967-12-01,33.73
1968-01-01,33.10
1968-02-01,33.93
