Date,IPB54220N
1967-01-01,25.71
1967-02-01,25.76
1967-03-01,26.00
1967-04-01,26.05
1967-05-01,26.58
1967-06-01,28.21
1967-07-01,29.71
1967-08-01,30.54
1967-09-01,29.86
1967-10-01,28.88
1967-11-01,27.98
1967-12-01,27.68
1968-01-01,28.17
1968-02-01,28.52
1968-03-01,28.35
1968-04-01,28.04
1968-05-01,28.88
1968-06-01,30.73
1968-07-01,32.41
1968-08-01,33.31
1968-09-01,32.42
1968-10-01,30.82
1968-11-01,29.63
1968-12-01,29.81
1969-01-01,29.50
1969-02-01,29.72
1969-03-01,29.83
1969-04-01,29.56
1969-05-01,30.28
1969-06-01,32.53
1969-07-01,34.13
1969-08-01,34.82
1969-09-01,34.41
1969-10-01,32.34
1969-11-01,31.15
1969-12-01,31.57
1970-01-01,32.11
1970-02-01,32.08
1970-03-01,32.08
1970-04-01,31.88
1970-05-01,32.58
1970-06-01,34.67
1970-07-01,36.49
1970-08-01,37.27
1970-09-01,37.83
1970-10-01,35.36
1970-11-01,33.45
1970-12-01,33.21
1971-01-01,34.28
1971-02-01,34.22
1971-03-01,34.06
1971-04-01,33.78
1971-05-01,33.95
1971-06-01,36.46
1971-07-01,38.76
1971-08-01,38.57
1971-09-01,38.72
1971-10-01,37.01
1971-11-01,35.59
1971-12-01,34.45
1972-01-01,36.08
1972-02-01,37.94
1972-03-01,37.65
1972-04-01,34.94
1972-05-01,35.11
1972-06-01,37.00
1972-07-01,38.35
1972-08-01,39.68
1972-09-01,39.12
1972-10-01,38.22
1972-11-01,38.70
1972-12-01,40.29
1973-01-01,43.32
1973-02-01,42.82
1973-03-01,40.14
1973-04-01,37.11
1973-05-01,36.42
1973-06-01,38.12
1973-07-01,39.86
1973-08-01,40.55
1973-09-01,40.54
1973-10-01,39.01
1973-11-01,39.02
1973-12-01,39.16
1974-01-01,42.02
1974-02-01,39.40
1974-03-01,39.02
1974-04-01,37.89
1974-05-01,37.15
1974-06-01,38.79
1974-07-01,40.65
1974-08-01,41.64
1974-09-01,40.89
1974-10-01,39.22
1974-11-01,39.13
1974-12-01,42.05
1975-01-01,43.48
1975-02-01,42.27
1975-03-01,41.56
1975-04-01,40.06
1975-05-01,37.81
1975-06-01,39.65
1975-07-01,42.20
1975-08-01,43.09
1975-09-01,42.15
1975-10-01,39.03
1975-11-01,39.21
1975-12-01,42.47
1976-01-01,47.15
1976-02-01,45.11
1976-03-01,42.34
1976-04-01,39.99
1976-05-01,39.36
1976-06-01,40.78
1976-07-01,43.97
1976-08-01,44.47
1976-09-01,44.07
1976-10-01,40.95
1976-11-01,42.56
1976-12-01,47.12
1977-01-01,49.98
1977-02-01,47.80
1977-03-01,43.96
1977-04-01,41.00
1977-05-01,40.58
1977-06-01,43.04
1977-07-01,46.00
1977-08-01,46.25
1977-09-01,45.08
1977-10-01,42.70
1977-11-01,42.29
1977-12-01,46.66
1978-01-01,50.42
1978-02-01,49.77
1978-03-01,47.12
1978-04-01,41.99
1978-05-01,41.22
1978-06-01,43.61
1978-07-01,46.32
1978-08-01,47.02
1978-09-01,47.01
1978-10-01,44.09
1978-11-01,44.44
1978-12-01,48.04
1979-01-01,52.79
1979-02-01,52.22
1979-03-01,50.04
1979-04-01,46.02
1979-05-01,44.57
1979-06-01,45.88
1979-07-01,47.60
1979-08-01,49.74
1979-09-01,47.44
1979-10-01,46.63
1979-11-01,46.34
1979-12-01,49.19
1980-01-01,50.80
1980-02-01,50.75
1980-03-01,48.69
