Date,IPB562A3CN
1972-01-01,42.30
1972-02-01,43.87
1972-03-01,44.35
1972-04-01,44.63
1972-05-01,44.70
1972-06-01,45.71
1972-07-01,43.39
1972-08-01,45.07
1972-09-01,46.71
1972-10-01,47.06
1972-11-01,47.02
1972-12-01,46.68
1973-01-01,47.06
1973-02-01,48.77
1973-03-01,48.97
1973-04-01,48.83
1973-05-01,49.11
1973-06-01,50.36
1973-07-01,48.44
1973-08-01,49.20
1973-09-01,50.79
1973-10-01,50.69
1973-11-01,50.13
1973-12-01,48.97
1974-01-01,48.60
1974-02-01,49.30
1974-03-01,49.42
1974-04-01,48.97
1974-05-01,49.63
1974-06-01,50.71
1974-07-01,48.56
1974-08-01,48.83
1974-09-01,49.66
1974-10-01,48.90
1974-11-01,46.52
1974-12-01,43.97
1975-01-01,43.11
1975-02-01,42.91
1975-03-01,42.41
1975-04-01,42.19
1975-05-01,41.70
1975-06-01,42.81
1975-07-01,41.48
1975-08-01,43.26
1975-09-01,44.43
1975-10-01,44.06
1975-11-01,43.56
1975-12-01,43.71
1976-01-01,44.58
1976-02-01,46.05
1976-03-01,46.42
1976-04-01,45.95
1976-05-01,46.49
1976-06-01,47.74
1976-07-01,46.20
1976-08-01,47.16
1976-09-01,48.26
1976-10-01,48.03
1976-11-01,48.05
1976-12-01,48.26
1977-01-01,48.09
1977-02-01,49.42
1977-03-01,50.35
1977-04-01,50.27
1977-05-01,50.70
1977-06-01,52.30
1977-07-01,50.05
1977-08-01,51.00
1977-09-01,51.73
1977-10-01,51.82
1977-11-01,50.97
1977-12-01,51.20
1978-01-01,50.82
1978-02-01,52.09
1978-03-01,52.66
1978-04-01,52.79
1978-05-01,52.81
1978-06-01,54.32
1978-07-01,51.97
1978-08-01,53.16
1978-09-01,54.29
1978-10-01,54.50
1978-11-01,53.92
1978-12-01,54.18
1979-01-01,53.84
1979-02-01,55.61
1979-03-01,56.08
1979-04-01,54.02
1979-05-01,54.62
1979-06-01,55.72
1979-07-01,53.31
1979-08-01,53.73
1979-09-01,54.23
1979-10-01,54.28
1979-11-01,53.08
1979-12-01,52.78
1980-01-01,53.01
1980-02-01,53.99
1980-03-01,54.07
1980-04-01,51.22
1980-05-01,48.86
1980-06-01,48.92
1980-07-01,47.04
1980-08-01,48.78
1980-09-01,50.16
1980-10-01,50.58
1980-11-01,50.83
1980-12-01,51.06
1981-01-01,51.20
1981-02-01,51.36
1981-03-01,51.86
1981-04-01,50.84
1981-05-01,50.98
1981-06-01,52.18
1981-07-01,50.59
1981-08-01,51.51
1981-09-01,51.17
1981-10-01,50.14
1981-11-01,48.49
1981-12-01,48.03
1982-01-01,47.92
1982-02-01,48.74
1982-03-01,48.34
1982-04-01,46.96
1982-05-01,46.18
1982-06-01,47.29
1982-07-01,45.92
1982-08-01,46.48
1982-09-01,46.48
1982-10-01,45.41
1982-11-01,44.43
1982-12-01,44.21
1983-01-01,46.36
1983-02-01,46.57
1983-03-01,47.46
1983-04-01,47.20
1983-05-01,47.15
1983-06-01,48.84
1983-07-01,48.40
1983-08-01,50.30
1983-09-01,51.21
1983-10-01,50.99
1983-11-01,50.28
1983-12-01,50.96
1984-01-01,53.25
1984-02-01,53.92
1984-03-01,54.31
1984-04-01,53.29
1984-05-01,53.10
1984-06-01,54.66
1984-07-01,53.01
1984-08-01,54.43
1984-09-01,54.22
1984-10-01,53.50
1984-11-01,52.79
1984-12-01,52.66
1985-01-01,54.49
1985-02-01,55.32
1985-03-01,54.78
1985-04-01,53.70
1985-05-01,53.36
1985-06-01,54.74
1985-07-01,53.02
1985-08-01,54.57
1985-09-01,54.88
1985-10-01,53.60
1985-11-01,52.90
1985-12-01,54.00
1986-01-01,55.63
1986-02-01,55.49
1986-03-01,54.66
1986-04-01,54.40
1986-05-01,53.92
1986-06-01,55.32
1986-07-01,54.51
1986-08-01,55.68
1986-09-01,56.03
1986-10-01,55.20
1986-11-01,54.42
1986-12-01,55.28
1987-01-01,56.27
1987-02-01,57.21
1987-03-01,57.08
1987-04-01,56.44
1987-05-01,56.82
1987-06-01,59.16
1987-07-01,58.36
1987-08-01,60.06
1987-09-01,59.67
1987-10-01,59.70
1987-11-01,58.95
1987-12-01,59.41
1988-01-01,60.82
1988-02-01,61.13
1988-03-01,60.95
1988-04-01,60.21
1988-05-01,60.05
1988-06-01,62.24
1988-07-01,61.21
1988-08-01,63.12
1988-09-01,62.60
1988-10-01,61.79
1988-11-01,60.90
1988-12-01,61.17
1989-01-01,62.35
1989-02-01,62.09
1989-03-01,61.97
1989-04-01,61.14
1989-05-01,60.65
1989-06-01,62.66
1989-07-01,61.33
1989-08-01,62.95
1989-09-01,62.53
1989-10-01,61.54
1989-11-01,60.63
1989-12-01,61.63
1990-01-01,61.76
1990-02-01,61.64
1990-03-01,61.69
1990-04-01,60.48
1990-05-01,61.12
1990-06-01,63.47
1990-07-01,62.30
1990-08-01,64.02
1990-09-01,63.79
1990-10-01,61.95
1990-11-01,60.10
1990-12-01,59.79
1991-01-01,60.58
1991-02-01,59.40
1991-03-01,58.43
1991-04-01,58.52
1991-05-01,59.15
1991-06-01,62.25
1991-07-01,61.72
1991-08-01,63.15
1991-09-01,63.08
1991-10-01,61.82
1991-11-01,60.93
1991-12-01,60.79
1992-01-01,61.63
1992-02-01,62.04
1992-03-01,62.59
1992-04-01,61.81
1992-05-01,62.09
1992-06-01,64.60
1992-07-01,63.73
1992-08-01,64.88
1992-09-01,64.76
1992-10-01,64.02
1992-11-01,63.67
1992-12-01,64.20
1993-01-01,64.61
1993-02-01,65.64
1993-03-01,65.81
1993-04-01,64.50
1993-05-01,64.26
1993-06-01,67.37
1993-07-01,66.29
1993-08-01,68.11
1993-09-01,67.85
1993-10-01,66.73
1993-11-01,66.54
1993-12-01,67.26
1994-01-01,68.51
1994-02-01,68.78
1994-03-01,69.31
1994-04-01,68.40
1994-05-01,68.75
1994-06-01,72.30
1994-07-01,70.54
1994-08-01,72.75
1994-09-01,73.23
1994-10-01,72.06
1994-11-01,71.87
1994-12-01,72.85
1995-01-01,73.42
1995-02-01,73.96
1995-03-01,74.45
1995-04-01,71.93
1995-05-01,72.41
1995-06-01,75.67
1995-07-01,73.29
1995-08-01,76.91
1995-09-01,77.02
1995-10-01,74.85
1995-11-01,74.90
1995-12-01,75.83
1996-01-01,75.92
1996-02-01,77.33
1996-03-01,77.90
1996-04-01,75.86
1996-05-01,76.54
1996-06-01,80.60
1996-07-01,77.81
1996-08-01,81.38
1996-09-01,82.10
1996-10-01,79.92
1996-11-01,80.33
1996-12-01,81.21
1997-01-01,81.25
1997-02-01,82.43
1997-03-01,83.70
1997-04-01,81.75
1997-05-01,81.70
1997-06-01,85.51
1997-07-01,82.71
1997-08-01,86.49
1997-09-01,88.08
1997-10-01,86.61
1997-11-01,87.68
1997-12-01,88.94
1998-01-01,87.51
1998-02-01,88.21
1998-03-01,89.63
1998-04-01,86.65
1998-05-01,87.92
1998-06-01,90.96
1998-07-01,88.52
1998-08-01,92.60
1998-09-01,92.65
1998-10-01,91.84
1998-11-01,91.63
1998-12-01,93.18
1999-01-01,93.13
1999-02-01,93.04
1999-03-01,95.75
1999-04-01,93.16
1999-05-01,93.44
1999-06-01,97.99
1999-07-01,95.45
1999-08-01,98.97
1999-09-01,98.59
1999-10-01,97.78
1999-11-01,97.69
1999-12-01,99.19
2000-01-01,98.95
2000-02-01,98.78
2000-03-01,101.04
2000-04-01,99.18
2000-05-01,99.57
2000-06-01,104.31
2000-07-01,99.79
2000-08-01,103.19
2000-09-01,103.12
2000-10-01,100.19
2000-11-01,99.44
2000-12-01,100.72
2001-01-01,99.16
2001-02-01,97.81
2001-03-01,99.11
2001-04-01,95.04
2001-05-01,95.74
2001-06-01,99.41
2001-07-01,95.79
2001-08-01,99.00
2001-09-01,97.36
2001-10-01,94.49
2001-11-01,92.72
2001-12-01,94.13
2002-01-01,94.98
2002-02-01,95.20
2002-03-01,97.87
2002-04-01,96.25
2002-05-01,96.77
2002-06-01,102.07
2002-07-01,98.58
2002-08-01,102.21
2002-09-01,101.46
2002-10-01,98.68
2002-11-01,97.93
2002-12-01,98.75
2003-01-01,99.43
2003-02-01,99.48
2003-03-01,99.67
2003-04-01,95.93
2003-05-01,96.89
2003-06-01,101.06
2003-07-01,98.11
2003-08-01,102.02
2003-09-01,101.30
2003-10-01,98.92
2003-11-01,98.91
2003-12-01,100.70
2004-01-01,100.51
2004-02-01,101.52
2004-03-01,101.61
2004-04-01,98.81
2004-05-01,100.79
2004-06-01,104.91
2004-07-01,102.05
2004-08-01,105.13
2004-09-01,104.44
2004-10-01,102.56
2004-11-01,101.82
2004-12-01,104.10
2005-01-01,104.02
2005-02-01,103.65
2005-03-01,105.02
2005-04-01,102.54
2005-05-01,103.15
2005-06-01,108.59
2005-07-01,105.80
2005-08-01,109.35
2005-09-01,108.24
2005-10-01,105.30
2005-11-01,105.09
2005-12-01,107.36
2006-01-01,105.10
2006-02-01,105.52
2006-03-01,107.07
2006-04-01,103.37
2006-05-01,105.41
2006-06-01,110.78
2006-07-01,108.58
2006-08-01,111.73
2006-09-01,109.31
2006-10-01,105.39
2006-11-01,104.38
2006-12-01,106.84
2007-01-01,106.46
2007-02-01,107.28
2007-03-01,108.15
2007-04-01,106.18
2007-05-01,107.54
2007-06-01,112.85
2007-07-01,110.58
2007-08-01,114.32
2007-09-01,112.58
2007-10-01,108.72
2007-11-01,107.87
2007-12-01,109.51
2008-01-01,108.65
2008-02-01,107.17
2008-03-01,107.68
2008-04-01,104.83
2008-05-01,104.70
2008-06-01,110.31
2008-07-01,107.64
2008-08-01,108.11
2008-09-01,103.96
2008-10-01,99.65
2008-11-01,95.80
2008-12-01,94.68
2009-01-01,92.19
2009-02-01,89.02
2009-03-01,87.45
2009-04-01,84.31
2009-05-01,84.52
2009-06-01,88.84
2009-07-01,89.12
2009-08-01,91.88
2009-09-01,90.34
2009-10-01,88.25
2009-11-01,88.08
2009-12-01,92.04
2010-01-01,93.05
2010-02-01,92.03
2010-03-01,92.61
2010-04-01,90.73
2010-05-01,93.43
2010-06-01,99.16
2010-07-01,98.61
2010-08-01,100.63
2010-09-01,98.15
2010-10-01,94.26
2010-11-01,94.23
2010-12-01,99.16
2011-01-01,98.55
2011-02-01,95.85
2011-03-01,97.26
2011-04-01,94.46
2011-05-01,95.37
2011-06-01,101.09
2011-07-01,101.50
2011-08-01,103.14
2011-09-01,100.59
2011-10-01,96.95
2011-11-01,96.64
2011-12-01,100.02
2012-01-01,99.46
2012-02-01,98.85
2012-03-01,98.36
2012-04-01,97.13
2012-05-01,98.60
2012-06-01,102.98
2012-07-01,102.87
2012-08-01,103.89
2012-09-01,100.78
2012-10-01,98.21
2012-11-01,98.27
2012-12-01,100.60
2013-01-01,101.62
2013-02-01,100.33
2013-03-01,101.11
2013-04-01,98.83
2013-05-01,99.33
2013-06-01,103.85
2013-07-01,103.59
2013-08-01,105.76
2013-09-01,103.62
2013-10-01,101.25
2013-11-01,101.42
2013-12-01,104.27
2014-01-01,104.50
2014-02-01,102.96
2014-03-01,103.69
2014-04-01,100.44
2014-05-01,101.83
2014-06-01,106.94
2014-07-01,105.73
2014-08-01,107.88
2014-09-01,105.67
2014-10-01,102.44
2014-11-01,103.06
2014-12-01,104.20
2015-01-01,104.86
2015-02-01,103.91
2015-03-01,102.66
2015-04-01,99.69
2015-05-01,100.55
2015-06-01,105.16
2015-07-01,105.49
2015-08-01,106.91
2015-09-01,103.48
2015-10-01,101.29
2015-11-01,100.15
2015-12-01,101.43
2016-01-01,103.92
2016-02-01,101.53
2016-03-01,99.82
2016-04-01,99.11
2016-05-01,99.65
2016-06-01,105.26
2016-07-01,105.74
2016-08-01,107.62
2016-09-01,104.09
2016-10-01,101.09
2016-11-01,100.27
2016-12-01,103.93
2017-01-01,103.83
2017-02-01,100.94
2017-03-01,102.15
2017-04-01,98.91
2017-05-01,101.09
2017-06-01,105.64
2017-07-01,105.42
2017-08-01,106.22
2017-09-01,103.40
2017-10-01,102.66
2017-11-01,102.95
2017-12-01,106.02
2018-01-01,107.35
2018-02-01,104.21
2018-03-01,104.80
2018-04-01,103.06
2018-05-01,103.83
