Date,IPG212N
1972-01-01,69.26
1972-02-01,70.48
1972-03-01,72.02
1972-04-01,74.70
1972-05-01,75.14
1972-06-01,75.34
1972-07-01,68.58
1972-08-01,76.26
1972-09-01,76.76
1972-10-01,76.62
1972-11-01,73.04
1972-12-01,69.09
1973-01-01,67.44
1973-02-01,72.07
1973-03-01,73.28
1973-04-01,75.52
1973-05-01,78.21
1973-06-01,78.71
1973-07-01,73.84
1973-08-01,80.60
1973-09-01,80.82
1973-10-01,80.09
1973-11-01,75.37
1973-12-01,74.96
1974-01-01,71.62
1974-02-01,76.84
1974-03-01,76.62
1974-04-01,77.80
1974-05-01,81.68
1974-06-01,80.00
1974-07-01,71.88
1974-08-01,73.86
1974-09-01,80.44
1974-10-01,82.16
1974-11-01,61.54
1974-12-01,63.60
1975-01-01,71.23
1975-02-01,74.44
1975-03-01,71.72
1975-04-01,73.13
1975-05-01,76.03
1975-06-01,79.77
1975-07-01,65.70
1975-08-01,74.36
1975-09-01,77.03
1975-10-01,76.97
1975-11-01,76.05
1975-12-01,70.57
1976-01-01,68.32
1976-02-01,76.07
1976-03-01,76.21
1976-04-01,78.44
1976-05-01,80.99
1976-06-01,80.75
1976-07-01,66.97
1976-08-01,77.13
1976-09-01,81.93
1976-10-01,81.81
1976-11-01,78.32
1976-12-01,74.87
1977-01-01,63.93
1977-02-01,72.65
1977-03-01,81.91
1977-04-01,81.90
1977-05-01,84.10
1977-06-01,84.18
1977-07-01,72.81
1977-08-01,71.88
1977-09-01,83.23
1977-10-01,83.88
1977-11-01,82.91
1977-12-01,53.43
1978-01-01,44.97
1978-02-01,49.39
1978-03-01,60.78
1978-04-01,86.03
1978-05-01,88.37
1978-06-01,89.85
1978-07-01,78.77
1978-08-01,85.08
1978-09-01,83.48
1978-10-01,92.72
1978-11-01,90.90
1978-12-01,82.17
1979-01-01,73.00
1979-02-01,78.82
1979-03-01,84.91
1979-04-01,87.39
1979-05-01,87.29
1979-06-01,92.64
1979-07-01,77.61
1979-08-01,89.90
1979-09-01,89.49
1979-10-01,93.58
1979-11-01,88.06
1979-12-01,83.18
1980-01-01,83.06
1980-02-01,84.82
1980-03-01,89.60
1980-04-01,87.27
1980-05-01,87.98
1980-06-01,91.95
1980-07-01,73.50
1980-08-01,80.94
1980-09-01,80.81
1980-10-01,83.07
1980-11-01,87.09
1980-12-01,85.01
1981-01-01,80.07
1981-02-01,89.91
1981-03-01,91.49
1981-04-01,60.61
1981-05-01,63.83
1981-06-01,81.13
1981-07-01,87.64
1981-08-01,95.29
1981-09-01,94.32
1981-10-01,95.05
1981-11-01,89.36
1981-12-01,81.33
1982-01-01,77.65
1982-02-01,87.17
1982-03-01,89.14
1982-04-01,85.72
1982-05-01,82.19
1982-06-01,79.90
1982-07-01,66.29
1982-08-01,79.32
1982-09-01,74.89
1982-10-01,77.74
1982-11-01,70.53
1982-12-01,65.44
1983-01-01,67.58
1983-02-01,70.63
1983-03-01,70.88
1983-04-01,71.87
1983-05-01,74.52
1983-06-01,75.39
1983-07-01,69.46
1983-08-01,79.94
1983-09-01,80.32
1983-10-01,83.92
1983-11-01,78.32
1983-12-01,70.60
1984-01-01,74.73
1984-02-01,84.59
1984-03-01,87.81
1984-04-01,88.26
1984-05-01,90.47
1984-06-01,91.54
1984-07-01,85.82
1984-08-01,95.19
1984-09-01,94.46
1984-10-01,80.19
1984-11-01,75.24
1984-12-01,71.39
1985-01-01,71.37
1985-02-01,80.56
1985-03-01,88.20
1985-04-01,88.37
1985-05-01,87.68
1985-06-01,91.05
1985-07-01,76.55
1985-08-01,87.98
1985-09-01,89.10
1985-10-01,89.49
1985-11-01,82.85
1985-12-01,76.37
1986-01-01,80.20
1986-02-01,87.11
1986-03-01,88.13
1986-04-01,88.69
1986-05-01,86.33
1986-06-01,88.82
1986-07-01,77.96
1986-08-01,89.29
1986-09-01,86.89
1986-10-01,87.74
1986-11-01,82.94
1986-12-01,74.44
1987-01-01,76.82
1987-02-01,84.51
1987-03-01,84.92
1987-04-01,85.27
1987-05-01,88.98
1987-06-01,93.20
1987-07-01,86.67
1987-08-01,99.75
1987-09-01,98.52
1987-10-01,97.98
1987-11-01,95.38
1987-12-01,87.48
1988-01-01,84.90
1988-02-01,87.21
1988-03-01,90.44
1988-04-01,92.72
1988-05-01,95.99
1988-06-01,98.72
1988-07-01,94.51
1988-08-01,103.13
1988-09-01,102.04
1988-10-01,101.90
1988-11-01,98.61
1988-12-01,93.90
1989-01-01,92.56
1989-02-01,91.70
1989-03-01,95.80
1989-04-01,99.66
1989-05-01,100.69
1989-06-01,103.06
1989-07-01,96.43
1989-08-01,108.20
1989-09-01,107.67
1989-10-01,108.83
1989-11-01,104.13
1989-12-01,92.45
1990-01-01,98.43
1990-02-01,99.86
1990-03-01,100.35
1990-04-01,103.36
1990-05-01,104.83
1990-06-01,110.18
1990-07-01,105.66
1990-08-01,109.40
1990-09-01,111.30
1990-10-01,108.67
1990-11-01,105.35
1990-12-01,94.90
1991-01-01,91.97
1991-02-01,98.87
1991-03-01,97.76
1991-04-01,96.47
1991-05-01,98.43
1991-06-01,105.42
1991-07-01,98.38
1991-08-01,107.58
1991-09-01,105.94
1991-10-01,105.07
1991-11-01,99.81
1991-12-01,94.44
1992-01-01,94.24
1992-02-01,97.00
1992-03-01,99.74
1992-04-01,102.49
1992-05-01,106.81
1992-06-01,105.11
1992-07-01,103.47
1992-08-01,109.87
1992-09-01,107.82
1992-10-01,106.16
1992-11-01,103.58
1992-12-01,95.41
1993-01-01,94.67
1993-02-01,94.54
1993-03-01,94.03
1993-04-01,97.97
1993-05-01,101.24
1993-06-01,106.60
1993-07-01,99.59
1993-08-01,101.33
1993-09-01,105.06
1993-10-01,106.22
1993-11-01,102.20
1993-12-01,97.19
1994-01-01,91.99
1994-02-01,98.69
1994-03-01,103.84
1994-04-01,107.49
1994-05-01,108.20
1994-06-01,114.05
1994-07-01,108.63
1994-08-01,114.74
1994-09-01,112.51
1994-10-01,111.08
1994-11-01,107.24
1994-12-01,104.12
1995-01-01,100.73
1995-02-01,101.80
1995-03-01,103.28
1995-04-01,106.59
1995-05-01,108.06
1995-06-01,113.20
1995-07-01,112.31
1995-08-01,113.20
1995-09-01,116.91
1995-10-01,113.57
1995-11-01,107.98
1995-12-01,101.67
1996-01-01,92.59
1996-02-01,97.83
1996-03-01,105.90
1996-04-01,108.41
1996-05-01,112.41
1996-06-01,119.77
1996-07-01,115.58
1996-08-01,119.72
1996-09-01,118.61
1996-10-01,117.38
1996-11-01,112.56
1996-12-01,105.88
1997-01-01,101.81
1997-02-01,107.51
1997-03-01,110.27
1997-04-01,112.37
1997-05-01,119.31
1997-06-01,123.25
1997-07-01,117.18
1997-08-01,122.37
1997-09-01,122.31
1997-10-01,119.21
1997-11-01,115.03
1997-12-01,108.84
1998-01-01,107.92
1998-02-01,107.83
1998-03-01,108.85
1998-04-01,114.21
1998-05-01,122.12
1998-06-01,125.20
1998-07-01,120.61
1998-08-01,125.52
1998-09-01,125.42
1998-10-01,122.83
1998-11-01,121.29
1998-12-01,110.31
1999-01-01,107.26
1999-02-01,107.00
1999-03-01,108.90
1999-04-01,112.38
1999-05-01,119.04
1999-06-01,123.52
1999-07-01,119.78
1999-08-01,122.53
1999-09-01,118.69
1999-10-01,119.00
1999-11-01,116.05
1999-12-01,109.73
2000-01-01,102.44
2000-02-01,103.54
2000-03-01,110.76
2000-04-01,113.99
2000-05-01,117.77
2000-06-01,125.54
2000-07-01,119.24
2000-08-01,122.20
2000-09-01,119.85
2000-10-01,119.46
2000-11-01,111.64
2000-12-01,104.88
2001-01-01,101.53
2001-02-01,103.04
2001-03-01,107.73
2001-04-01,114.30
2001-05-01,121.40
2001-06-01,124.84
2001-07-01,119.29
2001-08-01,121.73
2001-09-01,121.30
2001-10-01,120.90
2001-11-01,114.06
2001-12-01,105.40
2002-01-01,100.32
2002-02-01,99.30
2002-03-01,100.68
2002-04-01,108.02
2002-05-01,114.80
2002-06-01,120.56
2002-07-01,112.84
2002-08-01,117.94
2002-09-01,118.97
2002-10-01,114.48
2002-11-01,109.00
2002-12-01,102.03
2003-01-01,96.00
2003-02-01,93.84
2003-03-01,98.81
2003-04-01,105.93
2003-05-01,114.17
2003-06-01,116.91
2003-07-01,115.03
2003-08-01,117.83
2003-09-01,117.82
2003-10-01,115.81
2003-11-01,111.24
2003-12-01,103.77
2004-01-01,99.42
2004-02-01,97.89
2004-03-01,104.27
2004-04-01,110.77
2004-05-01,116.93
2004-06-01,123.63
2004-07-01,122.56
2004-08-01,124.38
2004-09-01,119.00
2004-10-01,120.93
2004-11-01,118.51
2004-12-01,109.36
2005-01-01,103.91
2005-02-01,106.16
2005-03-01,108.30
2005-04-01,119.58
2005-05-01,120.89
2005-06-01,126.44
