Date,IPG213N
1972-01-01,78.79
1972-02-01,75.72
1972-03-01,73.59
1972-04-01,72.70
1972-05-01,72.75
1972-06-01,75.35
1972-07-01,77.24
1972-08-01,78.85
1972-09-01,79.73
1972-10-01,80.71
1972-11-01,81.23
1972-12-01,83.41
1973-01-01,82.29
1973-02-01,76.74
1973-03-01,73.08
1973-04-01,68.57
1973-05-01,70.62
1973-06-01,74.69
1973-07-01,77.34
1973-08-01,80.76
1973-09-01,83.10
1973-10-01,86.48
1973-11-01,88.33
1973-12-01,89.51
1974-01-01,87.53
1974-02-01,88.01
1974-03-01,89.46
1974-04-01,91.34
1974-05-01,91.87
1974-06-01,92.40
1974-07-01,94.42
1974-08-01,95.79
1974-09-01,96.10
1974-10-01,98.85
1974-11-01,100.80
1974-12-01,103.05
1975-01-01,99.55
1975-02-01,99.56
1975-03-01,103.04
1975-04-01,101.15
1975-05-01,101.09
1975-06-01,102.98
1975-07-01,103.00
1975-08-01,105.96
1975-09-01,108.27
1975-10-01,108.70
1975-11-01,110.71
1975-12-01,113.72
1976-01-01,111.81
1976-02-01,108.55
1976-03-01,108.79
1976-04-01,106.76
1976-05-01,106.76
1976-06-01,108.18
1976-07-01,111.84
1976-08-01,114.69
1976-09-01,115.57
1976-10-01,117.07
1976-11-01,119.53
1976-12-01,122.03
1977-01-01,119.36
1977-02-01,126.56
1977-03-01,127.95
1977-04-01,130.03
1977-05-01,133.38
1977-06-01,135.61
1977-07-01,136.31
1977-08-01,138.11
1977-09-01,139.00
1977-10-01,137.65
1977-11-01,137.51
1977-12-01,137.03
1978-01-01,136.07
1978-02-01,139.99
1978-03-01,140.93
1978-04-01,144.78
1978-05-01,146.15
1978-06-01,147.43
1978-07-01,147.61
1978-08-01,152.60
1978-09-01,151.62
1978-10-01,151.54
1978-11-01,149.04
1978-12-01,148.03
1979-01-01,149.79
1979-02-01,142.08
1979-03-01,140.17
1979-04-01,144.07
1979-05-01,146.49
1979-06-01,151.21
1979-07-01,154.09
1979-08-01,159.09
1979-09-01,163.02
1979-10-01,167.98
1979-11-01,166.54
1979-12-01,169.84
1980-01-01,173.12
1980-02-01,174.00
1980-03-01,177.35
1980-04-01,176.93
1980-05-01,183.49
1980-06-01,187.59
1980-07-01,188.78
1980-08-01,191.93
1980-09-01,193.97
1980-10-01,196.07
1980-11-01,201.27
1980-12-01,202.99
1981-01-01,204.60
1981-02-01,207.46
1981-03-01,212.47
1981-04-01,218.92
1981-05-01,223.71
1981-06-01,230.37
1981-07-01,236.82
1981-08-01,241.49
1981-09-01,244.37
1981-10-01,246.35
1981-11-01,250.33
1981-12-01,255.98
1982-01-01,253.08
1982-02-01,240.71
1982-03-01,225.62
1982-04-01,208.18
1982-05-01,199.01
1982-06-01,188.59
1982-07-01,180.03
1982-08-01,174.73
