Date,IPG3251N
1972-01-01,64.77
1972-02-01,65.40
1972-03-01,65.93
1972-04-01,65.96
1972-05-01,66.53
1972-06-01,67.08
1972-07-01,65.41
1972-08-01,65.54
1972-09-01,65.81
1972-10-01,69.26
1972-11-01,71.05
1972-12-01,71.16
1973-01-01,71.15
1973-02-01,71.80
1973-03-01,71.87
1973-04-01,72.22
1973-05-01,73.11
1973-06-01,72.04
1973-07-01,72.12
1973-08-01,73.73
1973-09-01,74.49
1973-10-01,78.91
1973-11-01,79.97
1973-12-01,77.97
1974-01-01,78.00
1974-02-01,78.49
1974-03-01,79.12
1974-04-01,76.76
1974-05-01,75.24
1974-06-01,73.71
1974-07-01,72.51
1974-08-01,71.75
1974-09-01,73.34
1974-10-01,74.21
1974-11-01,70.62
1974-12-01,66.75
1975-01-01,64.98
1975-02-01,62.99
1975-03-01,59.52
1975-04-01,57.65
1975-05-01,56.88
1975-06-01,55.63
1975-07-01,54.34
1975-08-01,55.65
1975-09-01,57.98
1975-10-01,60.47
1975-11-01,60.84
1975-12-01,62.43
1976-01-01,61.54
1976-02-01,64.10
1976-03-01,66.81
1976-04-01,68.03
1976-05-01,68.72
1976-06-01,69.13
1976-07-01,68.37
1976-08-01,68.63
1976-09-01,71.43
1976-10-01,72.05
1976-11-01,72.39
1976-12-01,72.45
1977-01-01,71.94
1977-02-01,73.41
1977-03-01,76.28
1977-04-01,77.51
1977-05-01,78.61
1977-06-01,79.63
1977-07-01,78.06
1977-08-01,79.03
1977-09-01,80.45
1977-10-01,80.99
1977-11-01,80.99
1977-12-01,80.39
1978-01-01,78.95
1978-02-01,73.35
1978-03-01,73.77
1978-04-01,76.48
1978-05-01,82.29
1978-06-01,81.58
1978-07-01,78.50
1978-08-01,78.99
1978-09-01,81.80
1978-10-01,82.64
1978-11-01,83.38
1978-12-01,80.21
1979-01-01,78.85
1979-02-01,79.03
1979-03-01,81.52
1979-04-01,83.42
1979-05-01,81.94
1979-06-01,79.62
1979-07-01,77.80
1979-08-01,76.38
1979-09-01,76.07
1979-10-01,77.32
1979-11-01,77.71
1979-12-01,75.57
1980-01-01,73.04
1980-02-01,73.52
1980-03-01,74.11
1980-04-01,75.35
1980-05-01,71.96
1980-06-01,70.17
1980-07-01,66.36
1980-08-01,66.92
1980-09-01,70.42
1980-10-01,69.64
1980-11-01,71.91
1980-12-01,72.70
1981-01-01,71.44
1981-02-01,73.65
1981-03-01,73.85
1981-04-01,74.87
1981-05-01,73.58
1981-06-01,74.68
1981-07-01,72.06
1981-08-01,70.15
1981-09-01,72.17
1981-10-01,70.21
1981-11-01,67.32
1981-12-01,64.83
1982-01-01,61.75
1982-02-01,63.51
1982-03-01,63.13
1982-04-01,61.60
1982-05-01,59.38
1982-06-01,60.16
1982-07-01,58.65
1982-08-01,58.38
1982-09-01,60.19
1982-10-01,60.11
1982-11-01,61.40
1982-12-01,60.46
1983-01-01,61.94
1983-02-01,65.06
1983-03-01,65.85
1983-04-01,67.73
1983-05-01,68.03
1983-06-01,68.77
1983-07-01,69.01
1983-08-01,69.08
1983-09-01,72.43
1983-10-01,73.87
1983-11-01,74.68
1983-12-01,74.33
1984-01-01,73.83
1984-02-01,76.12
1984-03-01,77.29
1984-04-01,76.67
1984-05-01,76.79
1984-06-01,78.03
1984-07-01,74.18
1984-08-01,74.18
1984-09-01,76.39
1984-10-01,75.18
1984-11-01,75.92
1984-12-01,74.95
1985-01-01,74.38
1985-02-01,75.27
1985-03-01,76.32
1985-04-01,78.65
1985-05-01,78.17
1985-06-01,76.41
1985-07-01,74.84
1985-08-01,72.61
1985-09-01,74.58
1985-10-01,74.86
1985-11-01,74.19
1985-12-01,73.30
1986-01-01,75.14
1986-02-01,77.10
1986-03-01,75.25
1986-04-01,75.38
1986-05-01,77.00
1986-06-01,76.43
1986-07-01,75.10
1986-08-01,75.49
1986-09-01,77.43
1986-10-01,76.49
1986-11-01,76.22
1986-12-01,77.01
1987-01-01,78.52
1987-02-01,78.76
1987-03-01,78.92
1987-04-01,80.06
1987-05-01,80.85
1987-06-01,80.99
1987-07-01,81.18
1987-08-01,83.29
1987-09-01,87.11
1987-10-01,85.69
1987-11-01,87.36
1987-12-01,85.98
1988-01-01,86.37
1988-02-01,85.69
1988-03-01,86.98
1988-04-01,88.18
1988-05-01,88.81
1988-06-01,89.33
1988-07-01,89.37
1988-08-01,88.09
1988-09-01,89.88
1988-10-01,88.58
1988-11-01,89.35
1988-12-01,89.76
1989-01-01,89.99
