Date,IPG33312N
1972-01-01,48.40
1972-02-01,50.08
1972-03-01,51.55
1972-04-01,53.26
1972-05-01,53.90
1972-06-01,56.89
1972-07-01,55.96
1972-08-01,55.90
1972-09-01,58.42
1972-10-01,58.56
1972-11-01,58.79
1972-12-01,59.36
1973-01-01,59.70
1973-02-01,61.44
1973-03-01,62.07
1973-04-01,62.61
1973-05-01,63.75
1973-06-01,65.30
1973-07-01,65.81
1973-08-01,67.93
1973-09-01,68.96
1973-10-01,67.30
1973-11-01,59.78
1973-12-01,68.31
1974-01-01,66.66
1974-02-01,68.58
1974-03-01,70.33
1974-04-01,68.06
1974-05-01,72.52
1974-06-01,73.26
1974-07-01,70.66
1974-08-01,74.14
1974-09-01,74.75
1974-10-01,73.04
1974-11-01,72.61
1974-12-01,74.21
1975-01-01,70.01
1975-02-01,68.84
1975-03-01,66.05
1975-04-01,64.49
1975-05-01,62.55
1975-06-01,62.76
1975-07-01,59.47
1975-08-01,61.11
1975-09-01,62.00
1975-10-01,60.47
1975-11-01,59.78
1975-12-01,58.92
1976-01-01,57.81
1976-02-01,57.73
1976-03-01,57.21
1976-04-01,56.93
1976-05-01,59.12
1976-06-01,60.22
1976-07-01,58.57
1976-08-01,61.06
1976-09-01,61.91
1976-10-01,57.45
1976-11-01,61.72
1976-12-01,62.81
1977-01-01,60.80
1977-02-01,60.74
1977-03-01,63.56
1977-04-01,63.83
1977-05-01,64.97
1977-06-01,67.31
1977-07-01,66.59
1977-08-01,70.01
1977-09-01,72.08
1977-10-01,70.62
1977-11-01,72.17
1977-12-01,73.30
1978-01-01,70.36
1978-02-01,73.84
1978-03-01,73.50
1978-04-01,75.92
1978-05-01,76.38
1978-06-01,79.14
1978-07-01,76.81
1978-08-01,81.11
1978-09-01,82.25
1978-10-01,81.71
1978-11-01,81.95
1978-12-01,83.85
1979-01-01,80.38
1979-02-01,83.02
1979-03-01,82.77
1979-04-01,77.22
1979-05-01,81.39
1979-06-01,82.02
1979-07-01,80.41
1979-08-01,81.15
1979-09-01,81.91
1979-10-01,58.30
1979-11-01,47.17
1979-12-01,45.41
1980-01-01,68.04
1980-02-01,67.83
1980-03-01,68.79
1980-04-01,66.45
1980-05-01,64.24
1980-06-01,62.14
1980-07-01,58.90
1980-08-01,59.36
1980-09-01,61.19
1980-10-01,56.39
1980-11-01,57.91
1980-12-01,58.63
1981-01-01,58.68
1981-02-01,59.86
1981-03-01,61.88
1981-04-01,61.99
1981-05-01,62.48
1981-06-01,62.47
1981-07-01,60.43
1981-08-01,60.52
1981-09-01,61.40
1981-10-01,59.22
1981-11-01,57.78
1981-12-01,55.60
1982-01-01,48.13
1982-02-01,52.01
1982-03-01,49.53
1982-04-01,47.43
1982-05-01,46.55
1982-06-01,37.40
1982-07-01,36.79
1982-08-01,36.08
1982-09-01,37.10
1982-10-01,27.43
1982-11-01,24.64
1982-12-01,24.52
1983-01-01,22.77
1983-02-01,22.73
1983-03-01,23.64
1983-04-01,23.87
1983-05-01,32.89
1983-06-01,35.86
1983-07-01,35.88
1983-08-01,37.00
1983-09-01,39.41
1983-10-01,38.81
1983-11-01,39.40
1983-12-01,39.81
1984-01-01,40.49
1984-02-01,41.78
1984-03-01,42.63
1984-04-01,44.25
1984-05-01,45.10
1984-06-01,46.81
1984-07-01,45.60
1984-08-01,46.63
1984-09-01,47.06
1984-10-01,46.13
1984-11-01,45.98
1984-12-01,45.04
1985-01-01,42.57
1985-02-01,41.81
1985-03-01,43.52
1985-04-01,42.07
1985-05-01,44.14
1985-06-01,45.15
1985-07-01,44.01
1985-08-01,47.16
1985-09-01,47.99
1985-10-01,48.12
1985-11-01,48.17
1985-12-01,49.83
1986-01-01,49.52
1986-02-01,50.18
1986-03-01,51.50
1986-04-01,53.15
1986-05-01,53.51
1986-06-01,53.26
1986-07-01,48.47
1986-08-01,52.64
1986-09-01,47.67
1986-10-01,45.41
1986-11-01,43.74
1986-12-01,42.19
1987-01-01,39.27
1987-02-01,48.32
1987-03-01,43.51
1987-04-01,41.15
1987-05-01,45.77
1987-06-01,49.73
1987-07-01,39.07
1987-08-01,46.76
1987-09-01,55.78
1987-10-01,62.87
1987-11-01,60.03
1987-12-01,51.70
1988-01-01,49.97
1988-02-01,56.74
1988-03-01,59.67
1988-04-01,59.70
1988-05-01,61.85
1988-06-01,62.84
1988-07-01,31.71
1988-08-01,53.48
1988-09-01,57.69
1988-10-01,61.36
1988-11-01,59.00
1988-12-01,49.06
1989-01-01,60.36
1989-02-01,64.19
1989-03-01,62.13
1989-04-01,65.53
1989-05-01,35.55
1989-06-01,62.28
1989-07-01,31.98
1989-08-01,52.66
1989-09-01,59.58
1989-10-01,65.04
1989-11-01,62.72
1989-12-01,51.35
1990-01-01,62.80
1990-02-01,65.78
1990-03-01,65.44
1990-04-01,62.05
1990-05-01,62.23
1990-06-01,55.17
1990-07-01,43.40
1990-08-01,53.29
1990-09-01,60.83
1990-10-01,57.68
1990-11-01,52.21
1990-12-01,37.47
1991-01-01,41.63
1991-02-01,61.56
1991-03-01,59.60
1991-04-01,56.27
1991-05-01,49.04
1991-06-01,52.41
1991-07-01,27.78
1991-08-01,41.76
1991-09-01,50.95
1991-10-01,48.67
1991-11-01,36.33
1991-12-01,22.97
1992-01-01,20.04
1992-02-01,41.69
1992-03-01,42.77
1992-04-01,40.36
1992-05-01,47.98
1992-06-01,54.46
1992-07-01,45.02
1992-08-01,41.84
1992-09-01,53.37
1992-10-01,45.54
1992-11-01,50.38
1992-12-01,33.48
1993-01-01,45.70
1993-02-01,49.70
1993-03-01,53.50
1993-04-01,51.73
1993-05-01,54.23
1993-06-01,57.14
1993-07-01,41.12
1993-08-01,41.73
1993-09-01,51.59
1993-10-01,56.21
1993-11-01,53.00
1993-12-01,41.90
1994-01-01,62.57
1994-02-01,65.33
1994-03-01,65.47
1994-04-01,61.39
1994-05-01,61.35
1994-06-01,62.70
1994-07-01,50.49
1994-08-01,46.65
1994-09-01,46.09
1994-10-01,47.19
1994-11-01,56.34
1994-12-01,47.74
1995-01-01,61.18
1995-02-01,65.17
1995-03-01,65.34
1995-04-01,61.71
1995-05-01,62.37
1995-06-01,64.87
1995-07-01,44.37
1995-08-01,56.05
1995-09-01,68.30
1995-10-01,71.40
1995-11-01,63.98
1995-12-01,52.72
1996-01-01,62.84
1996-02-01,71.08
1996-03-01,72.13
1996-04-01,67.96
1996-05-01,66.97
1996-06-01,70.62
1996-07-01,52.26
1996-08-01,54.99
1996-09-01,67.86
1996-10-01,71.62
1996-11-01,64.96
1996-12-01,50.81
1997-01-01,69.29
1997-02-01,75.66
1997-03-01,73.80
1997-04-01,77.71
1997-05-01,74.99
1997-06-01,77.11
1997-07-01,51.04
1997-08-01,70.83
1997-09-01,73.22
1997-10-01,76.98
1997-11-01,68.74
1997-12-01,58.31
1998-01-01,78.39
1998-02-01,75.99
1998-03-01,79.14
1998-04-01,75.78
1998-05-01,73.41
1998-06-01,87.08
1998-07-01,63.18
1998-08-01,79.29
1998-09-01,80.27
1998-10-01,84.61
1998-11-01,71.85
1998-12-01,65.23
1999-01-01,78.37
1999-02-01,81.46
1999-03-01,75.39
1999-04-01,75.21
1999-05-01,69.13
1999-06-01,71.63
1999-07-01,59.75
1999-08-01,58.60
1999-09-01,68.18
1999-10-01,74.04
1999-11-01,62.14
1999-12-01,52.93
2000-01-01,64.31
2000-02-01,75.28
2000-03-01,79.13
2000-04-01,73.62
2000-05-01,72.15
2000-06-01,74.28
2000-07-01,56.27
2000-08-01,69.56
2000-09-01,75.46
2000-10-01,79.05
2000-11-01,78.58
2000-12-01,60.70
2001-01-01,69.56
2001-02-01,70.22
2001-03-01,79.99
2001-04-01,68.54
2001-05-01,68.96
2001-06-01,68.94
2001-07-01,49.18
2001-08-01,58.86
2001-09-01,61.55
2001-10-01,62.78
2001-11-01,57.39
2001-12-01,39.85
2002-01-01,56.27
2002-02-01,56.18
2002-03-01,59.35
2002-04-01,59.06
2002-05-01,61.57
2002-06-01,64.08
2002-07-01,47.85
2002-08-01,61.70
2002-09-01,59.08
2002-10-01,59.52
2002-11-01,56.67
2002-12-01,42.26
2003-01-01,55.20
2003-02-01,60.88
2003-03-01,63.51
2003-04-01,59.73
2003-05-01,60.92
2003-06-01,61.60
2003-07-01,46.45
2003-08-01,59.09
2003-09-01,62.39
2003-10-01,65.28
2003-11-01,68.03
2003-12-01,56.95
2004-01-01,60.49
2004-02-01,72.70
2004-03-01,77.00
2004-04-01,73.47
2004-05-01,76.58
2004-06-01,78.28
2004-07-01,71.59
2004-08-01,72.13
2004-09-01,80.71
2004-10-01,85.12
2004-11-01,73.33
2004-12-01,60.18
2005-01-01,82.97
2005-02-01,85.26
2005-03-01,86.46
2005-04-01,92.68
2005-05-01,89.63
2005-06-01,92.32
2005-07-01,76.06
2005-08-01,85.08
2005-09-01,88.58
2005-10-01,92.21
2005-11-01,85.93
2005-12-01,74.23
2006-01-01,86.81
2006-02-01,89.09
2006-03-01,100.07
2006-04-01,97.27
2006-05-01,94.95
2006-06-01,100.43
2006-07-01,84.98
2006-08-01,96.83
2006-09-01,98.23
2006-10-01,102.32
2006-11-01,96.11
2006-12-01,89.81
2007-01-01,96.59
2007-02-01,94.93
2007-03-01,109.38
2007-04-01,96.88
2007-05-01,98.24
2007-06-01,96.01
2007-07-01,89.81
2007-08-01,87.27
2007-09-01,111.88
2007-10-01,97.19
2007-11-01,93.24
2007-12-01,85.44
2008-01-01,102.28
2008-02-01,103.93
2008-03-01,117.91
2008-04-01,89.25
2008-05-01,89.69
2008-06-01,98.62
2008-07-01,82.81
2008-08-01,93.74
2008-09-01,98.04
2008-10-01,85.03
2008-11-01,78.94
2008-12-01,56.46
2009-01-01,72.44
2009-02-01,70.51
2009-03-01,66.71
2009-04-01,61.68
2009-05-01,52.69
2009-06-01,59.13
2009-07-01,43.41
2009-08-01,62.94
2009-09-01,51.61
2009-10-01,62.45
2009-11-01,43.37
2009-12-01,50.48
2010-01-01,66.80
2010-02-01,65.90
2010-03-01,70.52
2010-04-01,80.23
2010-05-01,83.49
2010-06-01,83.92
2010-07-01,61.16
2010-08-01,78.45
2010-09-01,81.30
2010-10-01,86.60
2010-11-01,82.38
2010-12-01,72.66
2011-01-01,96.34
2011-02-01,95.19
2011-03-01,96.98
2011-04-01,95.93
2011-05-01,96.22
2011-06-01,97.87
2011-07-01,76.87
2011-08-01,93.83
2011-09-01,95.86
2011-10-01,104.00
2011-11-01,97.53
2011-12-01,87.32
2012-01-01,105.80
2012-02-01,103.60
2012-03-01,110.16
2012-04-01,106.41
2012-05-01,106.12
2012-06-01,119.37
2012-07-01,82.54
2012-08-01,98.90
2012-09-01,96.53
2012-10-01,100.76
2012-11-01,92.09
2012-12-01,77.72
2013-01-01,82.61
2013-02-01,89.20
2013-03-01,85.62
2013-04-01,81.18
2013-05-01,77.07
2013-06-01,80.62
2013-07-01,65.29
2013-08-01,73.16
2013-09-01,77.06
2013-10-01,81.25
2013-11-01,69.45
2013-12-01,58.95
2014-01-01,77.14
2014-02-01,84.70
2014-03-01,84.41
2014-04-01,88.33
2014-05-01,85.75
2014-06-01,87.78
2014-07-01,69.66
2014-08-01,81.47
2014-09-01,75.61
2014-10-01,84.19
2014-11-01,79.07
2014-12-01,63.86
2015-01-01,69.94
2015-02-01,74.82
2015-03-01,77.08
2015-04-01,74.45
2015-05-01,73.48
2015-06-01,75.73
2015-07-01,61.54
2015-08-01,66.33
2015-09-01,61.32
2015-10-01,60.31
2015-11-01,55.30
2015-12-01,45.39
2016-01-01,54.53
2016-02-01,61.03
2016-03-01,64.64
2016-04-01,69.07
2016-05-01,68.03
2016-06-01,71.30
2016-07-01,58.37
2016-08-01,64.90
2016-09-01,54.88
2016-10-01,56.59
2016-11-01,52.30
2016-12-01,47.37
2017-01-01,55.00
2017-02-01,57.32
2017-03-01,71.71
2017-04-01,83.24
2017-05-01,86.06
2017-06-01,93.18
2017-07-01,71.26
2017-08-01,84.81
2017-09-01,87.27
2017-10-01,87.84
2017-11-01,79.57
2017-12-01,68.20
2018-01-01,74.79
2018-02-01,79.66
2018-03-01,76.34
2018-04-01,80.53
2018-05-01,81.73
