Date,IPG3341N
1972-01-01,0.03
1972-02-01,0.03
1972-03-01,0.03
1972-04-01,0.04
1972-05-01,0.04
1972-06-01,0.04
1972-07-01,0.04
1972-08-01,0.04
1972-09-01,0.04
1972-10-01,0.04
1972-11-01,0.04
1972-12-01,0.04
1973-01-01,0.04
1973-02-01,0.04
1973-03-01,0.04
1973-04-01,0.04
1973-05-01,0.05
1973-06-01,0.05
1973-07-01,0.05
1973-08-01,0.05
1973-09-01,0.05
1973-10-01,0.06
1973-11-01,0.06
1973-12-01,0.06
1974-01-01,0.06
1974-02-01,0.07
1974-03-01,0.07
1974-04-01,0.07
1974-05-01,0.07
1974-06-01,0.08
1974-07-01,0.08
1974-08-01,0.08
1974-09-01,0.08
1974-10-01,0.08
1974-11-01,0.08
1974-12-01,0.08
1975-01-01,0.08
1975-02-01,0.07
1975-03-01,0.07
1975-04-01,0.07
1975-05-01,0.07
1975-06-01,0.07
1975-07-01,0.07
1975-08-01,0.07
1975-09-01,0.07
1975-10-01,0.08
1975-11-01,0.08
1975-12-01,0.08
1976-01-01,0.08
1976-02-01,0.09
1976-03-01,0.09
1976-04-01,0.09
1976-05-01,0.10
1976-06-01,0.10
1976-07-01,0.11
1976-08-01,0.11
1976-09-01,0.12
1976-10-01,0.12
1976-11-01,0.12
1976-12-01,0.13
1977-01-01,0.13
1977-02-01,0.13
1977-03-01,0.13
1977-04-01,0.14
1977-05-01,0.14
1977-06-01,0.15
1977-07-01,0.15
1977-08-01,0.16
1977-09-01,0.16
1977-10-01,0.17
1977-11-01,0.18
1977-12-01,0.19
1978-01-01,0.19
1978-02-01,0.20
1978-03-01,0.21
1978-04-01,0.22
1978-05-01,0.22
1978-06-01,0.24
1978-07-01,0.24
1978-08-01,0.25
1978-09-01,0.26
1978-10-01,0.27
1978-11-01,0.28
1978-12-01,0.30
1979-01-01,0.30
1979-02-01,0.30
1979-03-01,0.31
1979-04-01,0.31
1979-05-01,0.32
1979-06-01,0.34
1979-07-01,0.35
1979-08-01,0.36
1979-09-01,0.37
1979-10-01,0.38
1979-11-01,0.40
1979-12-01,0.42
1980-01-01,0.41
1980-02-01,0.42
1980-03-01,0.44
1980-04-01,0.44
1980-05-01,0.45
1980-06-01,0.47
1980-07-01,0.47
1980-08-01,0.50
1980-09-01,0.52
1980-10-01,0.53
1980-11-01,0.56
1980-12-01,0.58
1981-01-01,0.58
1981-02-01,0.59
1981-03-01,0.61
1981-04-01,0.63
1981-05-01,0.64
1981-06-01,0.66
1981-07-01,0.67
1981-08-01,0.69
1981-09-01,0.69
1981-10-01,0.71
1981-11-01,0.73
1981-12-01,0.74
1982-01-01,0.72
1982-02-01,0.75
1982-03-01,0.76
1982-04-01,0.76
1982-05-01,0.77
1982-06-01,0.80
1982-07-01,0.80
1982-08-01,0.79
1982-09-01,0.82
1982-10-01,0.83
1982-11-01,0.87
1982-12-01,0.90
1983-01-01,0.92
1983-02-01,0.94
1983-03-01,0.97
1983-04-01,1.01
1983-05-01,1.04
1983-06-01,1.09
1983-07-01,1.13
1983-08-01,1.19
1983-09-01,1.27
1983-10-01,1.30
1983-11-01,1.37
1983-12-01,1.41
