Date,IY11192
2007-12-01,100.00
2008-01-01,103.40
2008-02-01,106.10
2008-03-01,115.80
2008-04-01,111.30
2008-05-01,108.00
2008-06-01,107.40
2008-07-01,113.40
2008-08-01,111.70
2008-09-01,109.30
2008-10-01,99.90
2008-11-01,90.90
2008-12-01,89.20
2009-01-01,88.80
2009-02-01,87.00
2009-03-01,80.20
2009-04-01,85.10
2009-05-01,92.30
2009-06-01,87.90
2009-07-01,93.20
2009-08-01,92.40
2009-09-01,94.00
2009-10-01,102.20
2009-11-01,116.50
2009-12-01,115.90
2010-01-01,113.50
2010-02-01,112.30
2010-03-01,123.80
2010-04-01,126.40
2010-05-01,126.80
2010-06-01,131.60
2010-07-01,131.90
2010-08-01,138.40
2010-09-01,151.30
2010-10-01,167.30
2010-11-01,217.10
2010-12-01,240.50
2011-01-01,245.80
2011-02-01,284.40
2011-03-01,314.20
2011-04-01,274.40
2011-05-01,257.60
2011-06-01,235.30
2011-07-01,218.60
2011-08-01,193.90
2011-09-01,188.10
2011-10-01,185.10
2011-11-01,180.60
2011-12-01,168.60
2012-01-01,172.40
2012-02-01,170.10
2012-03-01,160.10
2012-04-01,158.20
2012-05-01,147.20
2012-06-01,126.10
2012-07-01,125.80
2012-08-01,129.00
2012-09-01,131.60
2012-10-01,126.20
2012-11-01,125.70
2012-12-01,129.80
2013-01-01,135.20
2013-02-01,145.60
2013-03-01,145.20
2013-04-01,144.40
2013-05-01,144.70
2013-06-01,141.90
2013-07-01,147.40
2013-08-01,145.50
2013-09-01,149.10
2013-10-01,149.60
2013-11-01,143.90
2013-12-01,143.00
2014-01-01,151.60
2014-02-01,155.20
2014-03-01,161.30
2014-04-01,158.60
2014-05-01,156.30
2014-06-01,143.30
2014-07-01,137.20
2014-08-01,130.10
2014-09-01,125.80
2014-10-01,122.80
2014-11-01,118.80
2014-12-01,118.70
2015-01-01,118.40
2015-02-01,116.80
2015-03-01,117.00
2015-04-01,120.50
2015-05-01,117.60
2015-06-01,119.00
2015-07-01,122.00
2015-08-01,121.90
2015-09-01,119.50
2015-10-01,117.20
2015-11-01,116.00
2015-12-01,116.70
2016-01-01,114.30
2016-02-01,113.00
2016-03-01,108.50
2016-04-01,112.50
2016-05-01,116.20
2016-06-01,120.30
2016-07-01,130.80
2016-08-01,126.50
2016-09-01,127.00
2016-10-01,128.90
2016-11-01,129.20
2016-12-01,129.10
2017-01-01,133.40
2017-02-01,134.20
2017-03-01,134.70
2017-04-01,135.10
2017-05-01,136.20
2017-06-01,131.50
2017-07-01,130.20
2017-08-01,131.80
2017-09-01,128.40
2017-10-01,125.60
2017-11-01,128.80
2017-12-01,132.10
2018-01-01,138.50
2018-02-01,136.90
2018-03-01,149.20
2018-04-01,148.50
2018-05-01,154.40
