Date,IY11
2005-12-01,100.00
2006-01-01,101.60
2006-02-01,100.30
2006-03-01,101.00
2006-04-01,100.60
2006-05-01,101.00
2006-06-01,105.00
2006-07-01,106.90
2006-08-01,107.30
2006-09-01,105.20
2006-10-01,107.20
2006-11-01,115.40
2006-12-01,118.50
2007-01-01,117.90
2007-02-01,121.40
2007-03-01,124.90
2007-04-01,121.50
2007-05-01,120.00
2007-06-01,123.40
2007-07-01,128.10
2007-08-01,129.50
2007-09-01,139.20
2007-10-01,149.30
2007-11-01,150.60
2007-12-01,157.20
2008-01-01,169.30
2008-02-01,179.90
2008-03-01,188.90
2008-04-01,179.20
2008-05-01,176.20
2008-06-01,180.40
2008-07-01,197.20
2008-08-01,168.10
2008-09-01,168.40
2008-10-01,147.70
2008-11-01,138.80
2008-12-01,128.80
2009-01-01,143.10
2009-02-01,138.10
2009-03-01,129.10
2009-04-01,138.40
2009-05-01,144.50
2009-06-01,151.70
2009-07-01,140.00
2009-08-01,140.50
2009-09-01,131.30
2009-10-01,132.00
2009-11-01,140.00
2009-12-01,143.60
2010-01-01,147.90
2010-02-01,137.00
2010-03-01,141.90
2010-04-01,140.60
2010-05-01,143.10
2010-06-01,141.70
2010-07-01,140.70
2010-08-01,151.00
2010-09-01,156.80
2010-10-01,162.50
2010-11-01,184.30
2010-12-01,189.50
2011-01-01,199.80
2011-02-01,213.00
2011-03-01,218.60
2011-04-01,215.00
2011-05-01,211.20
2011-06-01,212.70
2011-07-01,199.30
2011-08-01,204.40
2011-09-01,208.50
2011-10-01,186.40
2011-11-01,192.70
2011-12-01,186.60
2012-01-01,190.60
2012-02-01,189.80
2012-03-01,195.10
2012-04-01,200.90
2012-05-01,202.10
2012-06-01,190.40
2012-07-01,209.70
2012-08-01,222.40
2012-09-01,225.70
2012-10-01,217.80
2012-11-01,217.60
2012-12-01,217.10
2013-01-01,213.00
2013-02-01,219.90
2013-03-01,215.40
2013-04-01,207.10
2013-05-01,211.00
2013-06-01,212.50
2013-07-01,211.10
2013-08-01,195.00
2013-09-01,198.40
2013-10-01,194.10
2013-11-01,193.10
2013-12-01,193.80
2014-01-01,193.70
2014-02-01,196.10
2014-03-01,203.60
2014-04-01,204.90
2014-05-01,204.70
2014-06-01,197.80
2014-07-01,189.30
2014-08-01,179.50
2014-09-01,176.10
2014-10-01,168.10
2014-11-01,171.40
2014-12-01,172.10
2015-01-01,172.10
2015-02-01,167.00
2015-03-01,167.90
2015-04-01,168.60
2015-05-01,165.70
2015-06-01,162.40
2015-07-01,168.50
2015-08-01,159.90
2015-09-01,155.90
2015-10-01,158.40
2015-11-01,155.90
2015-12-01,154.20
2016-01-01,152.30
2016-02-01,154.30
2016-03-01,147.40
2016-04-01,149.00
2016-05-01,154.90
2016-06-01,162.10
2016-07-01,159.60
2016-08-01,150.50
2016-09-01,149.10
2016-10-01,150.70
2016-11-01,152.50
2016-12-01,151.80
2017-01-01,152.80
2017-02-01,156.70
2017-03-01,158.90
2017-04-01,158.70
2017-05-01,154.20
2017-06-01,148.50
2017-07-01,153.20
2017-08-01,152.10
2017-09-01,150.80
2017-10-01,157.00
2017-11-01,154.60
2017-12-01,153.40
2018-01-01,155.00
2018-02-01,155.70
2018-03-01,164.80
2018-04-01,161.60
2018-05-01,164.20
