Date,IY3116
2005-12-01,100.00
2006-01-01,95.90
2006-02-01,94.80
2006-03-01,92.70
2006-04-01,90.20
2006-05-01,93.20
2006-06-01,96.50
2006-07-01,101.20
2006-08-01,104.60
2006-09-01,104.20
2006-10-01,103.30
2006-11-01,102.70
2006-12-01,104.80
2007-01-01,108.40
2007-02-01,112.00
2007-03-01,114.60
2007-04-01,115.70
2007-05-01,119.10
2007-06-01,124.40
2007-07-01,126.20
2007-08-01,127.50
2007-09-01,127.40
2007-10-01,125.60
2007-11-01,124.80
2007-12-01,124.30
2008-01-01,122.30
2008-02-01,124.30
2008-03-01,130.80
2008-04-01,133.60
2008-05-01,136.90
2008-06-01,140.30
2008-07-01,144.90
2008-08-01,148.20
2008-09-01,146.10
2008-10-01,140.80
2008-11-01,119.80
2008-12-01,109.80
2009-01-01,110.40
2009-02-01,111.20
2009-03-01,110.60
2009-04-01,108.90
2009-05-01,113.10
2009-06-01,118.20
2009-07-01,116.00
2009-08-01,117.70
2009-09-01,118.80
2009-10-01,115.10
2009-11-01,115.70
2009-12-01,118.30
2010-01-01,119.90
2010-02-01,123.60
2010-03-01,128.10
2010-04-01,133.20
2010-05-01,137.40
2010-06-01,136.10
2010-07-01,137.50
2010-08-01,136.40
2010-09-01,136.30
2010-10-01,138.90
2010-11-01,139.00
2010-12-01,140.80
2011-01-01,142.50
2011-02-01,148.00
2011-03-01,152.20
2011-04-01,155.40
2011-05-01,157.50
2011-06-01,155.40
2011-07-01,157.20
2011-08-01,158.50
2011-09-01,160.20
2011-10-01,162.10
2011-11-01,160.00
2011-12-01,158.90
2012-01-01,158.40
2012-02-01,159.00
2012-03-01,160.10
2012-04-01,159.40
2012-05-01,160.40
2012-06-01,159.00
2012-07-01,156.80
2012-08-01,158.60
2012-09-01,159.80
2012-10-01,161.50
2012-11-01,160.00
2012-12-01,160.10
2013-01-01,159.70
2013-02-01,162.70
2013-03-01,163.10
2013-04-01,163.50
2013-05-01,161.80
2013-06-01,163.00
2013-07-01,164.60
2013-08-01,162.80
2013-09-01,163.10
2013-10-01,162.10
2013-11-01,161.90
2013-12-01,162.80
2014-01-01,161.10
2014-02-01,162.00
2014-03-01,165.90
2014-04-01,176.50
2014-05-01,178.80
2014-06-01,181.00
2014-07-01,188.70
2014-08-01,190.10
2014-09-01,187.10
2014-10-01,188.30
2014-11-01,185.90
2014-12-01,178.60
2015-01-01,171.80
2015-02-01,166.90
2015-03-01,158.60
2015-04-01,153.00
2015-05-01,150.70
2015-06-01,147.50
2015-07-01,141.80
2015-08-01,140.50
2015-09-01,141.90
2015-10-01,137.80
2015-11-01,135.70
2015-12-01,133.60
2016-01-01,130.60
2016-02-01,135.50
2016-03-01,137.90
2016-04-01,137.90
2016-05-01,140.70
2016-06-01,141.00
2016-07-01,141.60
2016-08-01,140.40
2016-09-01,139.60
2016-10-01,140.00
2016-11-01,141.30
2016-12-01,142.10
2017-01-01,143.60
2017-02-01,143.90
2017-03-01,149.60
2017-04-01,150.90
2017-05-01,152.80
2017-06-01,156.40
2017-07-01,158.90
2017-08-01,159.20
2017-09-01,156.30
2017-10-01,156.10
2017-11-01,154.30
2017-12-01,155.30
2018-01-01,155.10
2018-02-01,155.80
2018-03-01,156.40
2018-04-01,155.80
2018-05-01,154.10
