Date,IY32222
2015-12-01,100.00
2016-01-01,99.20
2016-02-01,98.80
2016-03-01,99.40
2016-04-01,99.60
2016-05-01,100.10
2016-06-01,100.00
2016-07-01,99.00
2016-08-01,98.80
2016-09-01,99.20
2016-10-01,98.50
2016-11-01,98.20
2016-12-01,97.90
2017-01-01,97.90
2017-02-01,98.00
2017-03-01,98.70
2017-04-01,99.80
2017-05-01,100.40
2017-06-01,100.60
2017-07-01,101.20
2017-08-01,100.60
2017-09-01,101.30
2017-10-01,102.40
2017-11-01,102.40
2017-12-01,101.20
2018-01-01,101.40
2018-02-01,102.60
2018-03-01,102.80
2018-04-01,104.50
2018-05-01,105.20
