Date,IY33422
2009-12-01,100.00
2010-01-01,99.30
2010-02-01,99.00
2010-03-01,99.50
2010-04-01,99.10
2010-05-01,98.90
2010-06-01,98.60
2010-07-01,99.10
2010-08-01,99.30
2010-09-01,99.40
2010-10-01,98.70
2010-11-01,98.60
2010-12-01,98.50
2011-01-01,98.20
2011-02-01,97.90
2011-03-01,96.90
2011-04-01,96.80
2011-05-01,95.60
2011-06-01,95.40
2011-07-01,94.90
2011-08-01,95.90
2011-09-01,95.20
2011-10-01,94.90
2011-11-01,94.80
2011-12-01,94.20
2012-01-01,95.00
2012-02-01,94.80
2012-03-01,94.20
2012-04-01,94.30
2012-05-01,94.10
2012-06-01,91.60
2012-07-01,91.10
2012-08-01,90.90
2012-09-01,90.50
2012-10-01,90.40
2012-11-01,89.60
2012-12-01,88.70
2013-01-01,87.50
2013-02-01,86.80
2013-03-01,87.00
2013-04-01,87.00
2013-05-01,86.20
2013-06-01,86.10
2013-07-01,85.80
2013-08-01,85.60
2013-09-01,85.50
2013-10-01,85.30
2013-11-01,85.30
2013-12-01,85.40
2014-01-01,85.00
2014-02-01,84.80
2014-03-01,84.60
2014-04-01,84.40
2014-05-01,83.90
2014-06-01,83.70
2014-07-01,83.50
2014-08-01,83.60
2014-09-01,82.60
2014-10-01,82.10
2014-11-01,81.80
2014-12-01,81.80
2015-01-01,81.70
2015-02-01,81.50
2015-03-01,81.20
2015-04-01,81.20
2015-05-01,81.20
2015-06-01,81.30
2015-07-01,81.30
2015-08-01,80.80
2015-09-01,80.50
2015-10-01,80.40
2015-11-01,79.80
2015-12-01,79.80
2016-01-01,79.80
2016-02-01,79.50
2016-03-01,79.10
2016-04-01,78.90
2016-05-01,78.60
2016-06-01,78.40
2016-07-01,78.40
2016-08-01,77.90
2016-09-01,77.80
2016-10-01,76.80
2016-11-01,76.80
2016-12-01,76.70
2017-01-01,76.70
2017-02-01,76.30
2017-03-01,76.30
2017-04-01,76.10
2017-05-01,76.00
2017-06-01,75.70
2017-07-01,75.70
2017-08-01,75.80
2017-09-01,75.50
2017-10-01,75.30
2017-11-01,74.90
2017-12-01,74.90
2018-01-01,74.80
2018-02-01,73.30
2018-03-01,72.00
2018-04-01,71.90
2018-05-01,71.60
