Date,IZ3114
2005-12-01,100.00
2006-01-01,102.80
2006-02-01,103.90
2006-03-01,104.70
2006-04-01,105.30
2006-05-01,105.70
2006-06-01,106.60
2006-07-01,106.00
2006-08-01,106.00
2006-09-01,106.30
2006-10-01,106.40
2006-11-01,107.10
2006-12-01,107.90
2007-01-01,109.50
2007-02-01,109.80
2007-03-01,111.70
2007-04-01,111.80
2007-05-01,114.90
2007-06-01,116.50
2007-07-01,116.20
2007-08-01,116.40
2007-09-01,120.40
2007-10-01,121.60
2007-11-01,123.10
2007-12-01,124.50
2008-01-01,125.90
2008-02-01,128.30
2008-03-01,130.20
2008-04-01,131.20
2008-05-01,131.60
2008-06-01,131.80
2008-07-01,130.90
2008-08-01,130.20
2008-09-01,130.40
2008-10-01,130.20
2008-11-01,126.90
2008-12-01,125.10
2009-01-01,123.80
2009-02-01,122.70
2009-03-01,119.90
2009-04-01,116.90
2009-05-01,117.40
2009-06-01,117.90
2009-07-01,117.90
2009-08-01,118.40
2009-09-01,118.20
2009-10-01,118.70
2009-11-01,116.80
2009-12-01,116.80
2010-01-01,120.30
2010-02-01,119.80
2010-03-01,119.60
2010-04-01,118.90
2010-05-01,119.50
2010-06-01,118.90
2010-07-01,118.20
2010-08-01,118.70
2010-09-01,118.70
2010-10-01,125.20
2010-11-01,131.10
2010-12-01,133.40
2011-01-01,136.90
2011-02-01,138.30
2011-03-01,140.60
2011-04-01,142.20
2011-05-01,143.30
2011-06-01,145.90
2011-07-01,147.00
2011-08-01,148.00
2011-09-01,145.70
2011-10-01,148.50
2011-11-01,154.20
2011-12-01,157.70
2012-01-01,160.00
2012-02-01,159.00
2012-03-01,157.60
2012-04-01,155.90
2012-05-01,154.90
2012-06-01,154.20
2012-07-01,154.10
2012-08-01,153.40
2012-09-01,153.30
2012-10-01,149.80
2012-11-01,150.10
2012-12-01,148.30
2013-01-01,146.10
2013-02-01,145.40
2013-03-01,144.70
2013-04-01,145.90
2013-05-01,148.30
2013-06-01,148.20
2013-07-01,148.50
2013-08-01,147.80
2013-09-01,148.00
2013-10-01,148.10
2013-11-01,148.60
2013-12-01,145.80
2014-01-01,147.80
2014-02-01,151.50
2014-03-01,151.10
2014-04-01,151.10
2014-05-01,151.60
2014-06-01,152.10
2014-07-01,150.90
2014-08-01,149.70
2014-09-01,149.70
2014-10-01,147.20
2014-11-01,148.00
2014-12-01,148.90
2015-01-01,147.80
2015-02-01,146.80
2015-03-01,145.10
2015-04-01,143.80
2015-05-01,142.20
2015-06-01,140.10
2015-07-01,140.20
2015-08-01,140.50
2015-09-01,137.70
2015-10-01,137.50
2015-11-01,138.70
2015-12-01,139.50
2016-01-01,139.20
2016-02-01,138.60
2016-03-01,139.20
2016-04-01,139.20
2016-05-01,138.40
2016-06-01,139.00
2016-07-01,141.40
2016-08-01,141.50
2016-09-01,142.10
2016-10-01,143.20
2016-11-01,142.50
2016-12-01,142.30
2017-01-01,140.80
2017-02-01,140.30
2017-03-01,145.50
2017-04-01,144.80
2017-05-01,145.20
2017-06-01,145.20
2017-07-01,147.40
2017-08-01,147.80
2017-09-01,149.50
2017-10-01,150.70
2017-11-01,150.20
2017-12-01,148.90
2018-01-01,147.70
2018-02-01,147.80
2018-03-01,148.80
2018-04-01,148.40
2018-05-01,149.10
