Date,IZ313
2011-12-01,100.00
2012-01-01,101.20
2012-02-01,101.30
2012-03-01,101.50
2012-04-01,101.70
2012-05-01,101.80
2012-06-01,101.50
2012-07-01,101.70
2012-08-01,101.90
2012-09-01,102.40
2012-10-01,102.50
2012-11-01,102.40
2012-12-01,102.30
2013-01-01,101.90
2013-02-01,102.00
2013-03-01,101.90
2013-04-01,101.80
2013-05-01,101.60
2013-06-01,101.30
2013-07-01,101.00
2013-08-01,100.90
2013-09-01,100.90
2013-10-01,101.00
2013-11-01,101.10
2013-12-01,101.60
2014-01-01,102.10
2014-02-01,102.10
2014-03-01,102.10
2014-04-01,102.10
2014-05-01,102.10
2014-06-01,102.00
2014-07-01,102.40
2014-08-01,102.70
2014-09-01,102.70
2014-10-01,103.40
2014-11-01,103.30
2014-12-01,103.10
2015-01-01,102.70
2015-02-01,102.30
2015-03-01,102.00
2015-04-01,101.30
2015-05-01,101.20
2015-06-01,101.20
2015-07-01,100.80
2015-08-01,100.70
2015-09-01,100.40
2015-10-01,100.20
2015-11-01,99.70
2015-12-01,99.40
2016-01-01,99.40
2016-02-01,99.10
2016-03-01,98.70
2016-04-01,98.60
2016-05-01,98.60
2016-06-01,98.70
2016-07-01,98.90
2016-08-01,97.70
2016-09-01,97.80
2016-10-01,97.70
2016-11-01,97.90
2016-12-01,97.90
2017-01-01,98.00
2017-02-01,98.00
2017-03-01,98.20
2017-04-01,98.40
2017-05-01,98.20
2017-06-01,98.20
2017-07-01,98.30
2017-08-01,98.90
2017-09-01,99.40
2017-10-01,99.50
2017-11-01,99.60
2017-12-01,100.20
2018-01-01,100.00
2018-02-01,100.30
2018-03-01,100.40
2018-04-01,100.50
2018-05-01,100.00
